chapter,section,figure_id,current_caption,semantic_role,complexity,baseline_width,new_width,standalone_page_before,standalone_page_after,caption_action,status,notes
3,Complete Activity Diagram Example,ch3-figure-5,Activity Diagram Example,NUMBERED_FIGURE,MEDIUM,source/default,78%,NO/UNKNOWN,VERIFY_R1,DESCRIPTIVE,REMEDIATED,03-systems-modeling.qmd:444 ../assets/images/ch3_fig5_activity_example.svg
3,Activity Diagram for Algorithm Logic,ch3-figure-6,"Login activity diagram with validation, retry, session creation, and dashboard redirection",NUMBERED_FIGURE,MEDIUM,source/default,70%,NO/UNKNOWN,VERIFY_R1,DESCRIPTIVE,REMEDIATED,03-systems-modeling.qmd:450 ../assets/images/ch3_fig11_activity_algorithm.svg
3,Combined Fragments,ch3-figure-7,"UML sequence notation for participants, lifelines, activations, and messages",NUMBERED_FIGURE,MEDIUM,source/default,62%,NO/UNKNOWN,VERIFY_R1,DESCRIPTIVE,REMEDIATED,03-systems-modeling.qmd:609 ../assets/images/ch3_fig6_sequence_elements.svg
3,Complete Sequence Diagram Example,ch3-figure-8,Sequence Diagram Example,NUMBERED_FIGURE,MEDIUM,source/default,78%,NO/UNKNOWN,VERIFY_R1,DESCRIPTIVE,REMEDIATED,03-systems-modeling.qmd:615 ../assets/images/ch3_fig7_sequence_example.svg
3,Class Notation,ch3-figure-9,"UML class notation showing name, attributes, operations, visibility, and types",NUMBERED_FIGURE,MEDIUM,source/default,58%,NO/UNKNOWN,VERIFY_R1,DESCRIPTIVE,REMEDIATED,03-systems-modeling.qmd:736 ../assets/images/ch3_fig8_class_notation.svg
3,Association Classes,ch3-figure-10,"UML class relationships including association, inheritance, aggregation, composition, and dependency",NUMBERED_FIGURE,MEDIUM,source/default,72%,NO/UNKNOWN,VERIFY_R1,DESCRIPTIVE,REMEDIATED,03-systems-modeling.qmd:857 ../assets/images/ch3_fig9_class_relationships.svg
3,Complete Class Diagram Example,ch3-figure-11,Class Diagram Example,NUMBERED_FIGURE,MEDIUM,source/default,78%,NO/UNKNOWN,VERIFY_R1,DESCRIPTIVE,REMEDIATED,03-systems-modeling.qmd:863 ../assets/images/ch3_fig10_class_example.svg
3,Domain Models vs. Design Class Diagrams,ch3-figure-12,Domain Model Example,NUMBERED_FIGURE,MEDIUM,source/default,78%,NO/UNKNOWN,VERIFY_R1,DESCRIPTIVE,REMEDIATED,03-systems-modeling.qmd:889 ../assets/images/ch3_fig12_domain_model.svg
3,Domain Models vs. Design Class Diagrams,ch3-figure-13,Design Class Diagram Example,NUMBERED_FIGURE,MEDIUM,source/default,78%,NO/UNKNOWN,VERIFY_R1,DESCRIPTIVE,REMEDIATED,03-systems-modeling.qmd:893 ../assets/images/ch3_fig13_design_class.svg
3,Diagram Selection Guide,ch3-figure-14,Diagram Selection Guide,NUMBERED_FIGURE,HIGH,source/default,78%,NO/UNKNOWN,VERIFY_R1,DESCRIPTIVE,REMEDIATED,03-systems-modeling.qmd:977 ../assets/images/ch3_fig14_diagram_selection.svg
4,Layered Architecture,ch4-figure-1,Layered (N-Tier) Architecture,NUMBERED_FIGURE,MEDIUM,source/default,72%,NO/UNKNOWN,VERIFY_R1,DESCRIPTIVE,REMEDIATED,04-software-architecture.qmd:85 ../assets/images/ch4_fig1_layered_architecture.svg
4,Model-View-Controller (MVC),ch4-figure-2,Model-View-Controller (MVC) Pattern,NUMBERED_FIGURE,MEDIUM,source/default,72%,NO/UNKNOWN,VERIFY_R1,DESCRIPTIVE,REMEDIATED,04-software-architecture.qmd:162 ../assets/images/ch4_fig2_mvc_pattern.svg
4,Model-View-Controller (MVC),ch4-figure-3,MVP (Model-View-Presenter) Pattern,NUMBERED_FIGURE,MEDIUM,source/default,72%,NO/UNKNOWN,VERIFY_R1,DESCRIPTIVE,REMEDIATED,04-software-architecture.qmd:178 ../assets/images/ch4_fig11_mvp_pattern.svg
4,Model-View-Controller (MVC),ch4-figure-4,MVVM (Model-View-ViewModel) Pattern,NUMBERED_FIGURE,MEDIUM,source/default,72%,NO/UNKNOWN,VERIFY_R1,DESCRIPTIVE,REMEDIATED,04-software-architecture.qmd:182 ../assets/images/ch4_fig12_mvvm_pattern.svg
4,Model-View-Controller (MVC),ch4-figure-5,MVC Flow Example: User Login,NUMBERED_FIGURE,MEDIUM,source/default,72%,NO/UNKNOWN,VERIFY_R1,DESCRIPTIVE,REMEDIATED,04-software-architecture.qmd:196 ../assets/images/ch4_fig13_mvc_flow.svg
4,Microservices Architecture,ch4-figure-6,Microservices Architecture,NUMBERED_FIGURE,HIGH,source/default,88%,NO/UNKNOWN,VERIFY_R1,DESCRIPTIVE,REMEDIATED,04-software-architecture.qmd:217 ../assets/images/ch4_fig3_microservices.svg
4,Event-Driven Architecture,ch4-figure-7,Event-Driven Architecture,NUMBERED_FIGURE,MEDIUM,source/default,72%,NO/UNKNOWN,VERIFY_R1,DESCRIPTIVE,REMEDIATED,04-software-architecture.qmd:289 ../assets/images/ch4_fig4_event_driven.svg
4,Event-Driven Architecture,ch4-figure-8,CQRS (Command Query Responsibility Segregation),NUMBERED_FIGURE,MEDIUM,source/default,72%,NO/UNKNOWN,VERIFY_R1,DESCRIPTIVE,REMEDIATED,04-software-architecture.qmd:335 ../assets/images/ch4_fig14_cqrs_pattern.svg
4,Monolithic Architecture,ch4-figure-9,Monolithic Architecture,NUMBERED_FIGURE,MEDIUM,source/default,72%,NO/UNKNOWN,VERIFY_R1,DESCRIPTIVE,REMEDIATED,04-software-architecture.qmd:369 ../assets/images/ch4_fig15_monolithic.svg
4,Monolithic Architecture,ch4-figure-10,Modular Monolith Architecture,NUMBERED_FIGURE,MEDIUM,source/default,72%,NO/UNKNOWN,VERIFY_R1,DESCRIPTIVE,REMEDIATED,04-software-architecture.qmd:391 ../assets/images/ch4_fig16_modular_monolith.svg
4,Comparing Architectural Styles,ch4-figure-11,Architectural Styles Comparison,NUMBERED_FIGURE,HIGH,source/default,88%,NO/UNKNOWN,VERIFY_R1,DESCRIPTIVE,REMEDIATED,04-software-architecture.qmd:404 ../assets/images/ch4_fig10_architecture_comparison.svg
4,The SOLID Principles,ch4-figure-12,SOLID Principles,NUMBERED_FIGURE,MEDIUM,source/default,72%,NO/UNKNOWN,VERIFY_R1,DESCRIPTIVE,REMEDIATED,04-software-architecture.qmd:412 ../assets/images/ch4_fig5_solid_principles.svg
4,Design Patterns,ch4-figure-13,Design Patterns - Gang of Four (GoF) Categories,NUMBERED_FIGURE,MEDIUM,source/default,72%,NO/UNKNOWN,VERIFY_R1,DESCRIPTIVE,REMEDIATED,04-software-architecture.qmd:863 ../assets/images/ch4_fig6_design_patterns_overview.svg
4,Singleton Pattern,ch4-figure-14,Singleton Pattern,NUMBERED_FIGURE,LOW,source/default,58%,AUDIT_FLAG,VERIFY_R1,DESCRIPTIVE,REMEDIATED,04-software-architecture.qmd:881 ../assets/images/ch4_fig17_singleton_structure.svg
4,Factory Method Pattern,ch4-figure-15,Factory Method Pattern,NUMBERED_FIGURE,LOW,source/default,58%,AUDIT_FLAG,VERIFY_R1,DESCRIPTIVE,REMEDIATED,04-software-architecture.qmd:936 ../assets/images/ch4_fig8_factory_pattern.svg
4,Factory Method Pattern,ch4-figure-16,Factory Method Pattern Structure,NUMBERED_FIGURE,LOW,source/default,58%,AUDIT_FLAG,VERIFY_R1,DESCRIPTIVE,REMEDIATED,04-software-architecture.qmd:939 ../assets/images/ch4_fig18_factory_hierarchy.svg
4,Builder Pattern,ch4-figure-17,Builder Pattern,NUMBERED_FIGURE,LOW,source/default,58%,AUDIT_FLAG,VERIFY_R1,DESCRIPTIVE,REMEDIATED,04-software-architecture.qmd:1006 ../assets/images/ch4_fig19_builder_pattern.svg
4,Adapter Pattern,ch4-figure-18,Adapter Pattern,NUMBERED_FIGURE,LOW,source/default,58%,AUDIT_FLAG,VERIFY_R1,DESCRIPTIVE,REMEDIATED,04-software-architecture.qmd:1088 ../assets/images/ch4_fig20_adapter_structure.svg
4,Decorator Pattern,ch4-figure-19,Decorator Pattern,NUMBERED_FIGURE,LOW,source/default,58%,AUDIT_FLAG,VERIFY_R1,DESCRIPTIVE,REMEDIATED,04-software-architecture.qmd:1147 ../assets/images/ch4_fig21_decorator_structure.svg
4,Facade Pattern,ch4-figure-20,Facade Pattern,NUMBERED_FIGURE,LOW,source/default,58%,AUDIT_FLAG,VERIFY_R1,DESCRIPTIVE,REMEDIATED,04-software-architecture.qmd:1246 ../assets/images/ch4_fig22_facade_structure.svg
4,Strategy Pattern,ch4-figure-21,Strategy Pattern,NUMBERED_FIGURE,LOW,source/default,58%,AUDIT_FLAG,VERIFY_R1,DESCRIPTIVE,REMEDIATED,04-software-architecture.qmd:1320 ../assets/images/ch4_fig7_strategy_pattern.svg
4,Observer Pattern,ch4-figure-22,Observer Pattern,NUMBERED_FIGURE,LOW,source/default,58%,AUDIT_FLAG,VERIFY_R1,DESCRIPTIVE,REMEDIATED,04-software-architecture.qmd:1419 ../assets/images/ch4_fig9_observer_pattern.svg
4,Template Method Pattern,ch4-figure-23,Template Method Pattern,NUMBERED_FIGURE,LOW,source/default,58%,AUDIT_FLAG,VERIFY_R1,DESCRIPTIVE,REMEDIATED,04-software-architecture.qmd:1520 ../assets/images/ch4_fig23_template_method.svg
4,The 4+1 View Model,ch4-figure-24,4+1 Architectural View Model,NUMBERED_FIGURE,HIGH,source/default,88%,NO/UNKNOWN,VERIFY_R1,DESCRIPTIVE,REMEDIATED,04-software-architecture.qmd:1690 ../assets/images/ch4_fig24_four_plus_one.svg
5,The Relationship Between UX and UI,ch5-figure-1,UX vs UI Design,NUMBERED_FIGURE,MEDIUM,source/default,72%,NO/UNKNOWN,VERIFY_R1,DESCRIPTIVE,REMEDIATED,05-ui-ux.qmd:87 ../assets/images/ch5_fig2_ux_vs_ui.svg
5,The Prototyping Spectrum,ch5-figure-2,Prototyping Fidelity Spectrum,NUMBERED_FIGURE,MEDIUM,source/default,72%,NO/UNKNOWN,VERIFY_R1,DESCRIPTIVE,REMEDIATED,05-ui-ux.qmd:633 ../assets/images/ch5_fig3_fidelity_spectrum.svg
5,Visual Hierarchy,ch5-figure-3,Visual Hierarchy Principles,NUMBERED_FIGURE,MEDIUM,source/default,72%,NO/UNKNOWN,VERIFY_R1,DESCRIPTIVE,REMEDIATED,05-ui-ux.qmd:885 ../assets/images/ch5_fig5_visual_hierarchy.svg
5,Typography,ch5-figure-4,Typography Scale and Hierarchy,NUMBERED_FIGURE,MEDIUM,source/default,72%,NO/UNKNOWN,VERIFY_R1,DESCRIPTIVE,REMEDIATED,05-ui-ux.qmd:943 ../assets/images/ch5_fig6_typography_scale.svg
5,Color,ch5-figure-5,Color System Architecture,NUMBERED_FIGURE,MEDIUM,source/default,72%,NO/UNKNOWN,VERIFY_R1,DESCRIPTIVE,REMEDIATED,05-ui-ux.qmd:979 ../assets/images/ch5_fig7_color_system.svg
5,Breakpoints,ch5-figure-6,Responsive Design Breakpoints,NUMBERED_FIGURE,MEDIUM,source/default,72%,NO/UNKNOWN,VERIFY_R1,DESCRIPTIVE,REMEDIATED,05-ui-ux.qmd:1139 ../assets/images/ch5_fig8_responsive_breakpoints.svg
5,WCAG Guidelines,ch5-figure-7,WCAG 2.1 POUR Principles,NUMBERED_FIGURE,MEDIUM,source/default,72%,NO/UNKNOWN,VERIFY_R1,DESCRIPTIVE,REMEDIATED,05-ui-ux.qmd:1274 ../assets/images/ch5_fig9_wcag_pour.svg
5,Design Systems and Style Guides,ch5-figure-8,Design System Architecture,NUMBERED_FIGURE,MEDIUM,source/default,88%,NO/UNKNOWN,VERIFY_R1,DESCRIPTIVE,REMEDIATED,05-ui-ux.qmd:1518 ../assets/images/ch5_fig10_design_system.svg
6,The Agile Manifesto,ch6-figure-1,Agile Manifesto - Four Core Values,NUMBERED_FIGURE,MEDIUM,source/default,72%,NO/UNKNOWN,VERIFY_R1,DESCRIPTIVE,REMEDIATED,06-agile-methodologies.qmd:51 ../assets/images/ch6_fig1_agile_manifesto.svg
6,The Scrum Framework Overview,ch6-figure-2,Scrum Framework,NUMBERED_FIGURE,MEDIUM,source/default,88%,NO/UNKNOWN,VERIFY_R1,DESCRIPTIVE,REMEDIATED,06-agile-methodologies.qmd:129 ../assets/images/ch6_fig2_scrum_framework.svg
7,What Is a Branch?,ch7-figure-1,Git branching basics - branches as pointers,NUMBERED_FIGURE,MEDIUM,source/default,78%,NO/UNKNOWN,VERIFY_R1,DESCRIPTIVE,REMEDIATED,07-version-control.qmd:67 ../assets/images/ch7_fig1_git_branching.svg
7,HEAD: Where You Are,ch7-figure-2,Git HEAD pointing to the current branch,NUMBERED_FIGURE,MEDIUM,source/default,82%,NO/UNKNOWN,VERIFY_R1,DESCRIPTIVE,REMEDIATED,07-version-control.qmd:80 ../assets/images/git_branch_diagram.svg
7,HEAD: Where You Are,ch7-figure-3,Git HEAD after checking out a feature branch,NUMBERED_FIGURE,MEDIUM,source/default,82%,NO/UNKNOWN,VERIFY_R1,DESCRIPTIVE,REMEDIATED,07-version-control.qmd:84 ../assets/images/git_checkout_feature_diagram.svg
7,Merging Branches,ch7-figure-4,Fast-forward merge before and after,NUMBERED_FIGURE,MEDIUM,source/default,92%,NO/UNKNOWN,VERIFY_R1,DESCRIPTIVE,REMEDIATED,07-version-control.qmd:142 ../assets/images/git_merge_before_after.svg
7,Merging Branches,ch7-figure-5,Three-way Git merge creating a merge commit,NUMBERED_FIGURE,MEDIUM,source/default,88%,NO/UNKNOWN,VERIFY_R1,DESCRIPTIVE,REMEDIATED,07-version-control.qmd:150 ../assets/images/git_three_way_merge.svg
7,Rebasing,ch7-figure-6,Git history before and after rebasing a feature branch,NUMBERED_FIGURE,MEDIUM,source/default,92%,NO/UNKNOWN,VERIFY_R1,DESCRIPTIVE,REMEDIATED,07-version-control.qmd:171 ../assets/images/git_rebase_diagram.svg
7,Gitflow,ch7-figure-7,Gitflow branching strategy,NUMBERED_FIGURE,MEDIUM,source/default,78%,NO/UNKNOWN,VERIFY_R1,DESCRIPTIVE,REMEDIATED,07-version-control.qmd:258 ../assets/images/ch7_fig2_gitflow.svg
7,GitHub Flow,ch7-figure-8,GitHub Flow branching strategy,NUMBERED_FIGURE,MEDIUM,source/default,78%,NO/UNKNOWN,VERIFY_R1,DESCRIPTIVE,REMEDIATED,07-version-control.qmd:369 ../assets/images/ch7_fig3_github_flow.svg
7,Trunk-Based Development,ch7-figure-9,Trunk-based development with short-lived branches,NUMBERED_FIGURE,MEDIUM,source/default,90%,NO/UNKNOWN,VERIFY_R1,DESCRIPTIVE,REMEDIATED,07-version-control.qmd:494 ../assets/images/trunk_based_development.svg
8,The Cost of Bugs,ch8-figure-1,Cost to fix defects rising across lifecycle stages,NUMBERED_FIGURE,MEDIUM,source/default,82%,NO/UNKNOWN,VERIFY_R1,DESCRIPTIVE,REMEDIATED,08-testing-quality.qmd:28 ../assets/images/cost_to_fix_curve_print.svg
8,Testing Levels,ch8-figure-2,"Testing pyramid with unit, integration, and end-to-end tests",NUMBERED_FIGURE,MEDIUM,source/default,88%,NO/UNKNOWN,VERIFY_R1,DESCRIPTIVE,REMEDIATED,08-testing-quality.qmd:83 ../assets/images/testing_pyramid.svg
8,The TDD Cycle,ch8-figure-3,"Test-driven development cycle: red, green, and refactor",NUMBERED_FIGURE,MEDIUM,source/default,86%,NO/UNKNOWN,VERIFY_R1,DESCRIPTIVE,REMEDIATED,08-testing-quality.qmd:660 ../assets/images/tdd_cycle.svg
