block_id,chapter,section,source_file,source_line,classification,status,notes
ascii-050,5,Visual Hierarchy,chapters/05-ui-ux.qmd,902,KEEP_AS_TEXT,REVIEWED,Print-safe text labels replace unsupported status glyphs.
ascii-051,5,Color,chapters/05-ui-ux.qmd,981,KEEP_AS_TEXT,REVIEWED,Print-safe text labels replace unsupported status glyphs.
ascii-052,5,Layout and Spacing,chapters/05-ui-ux.qmd,1026,KEEP_AS_TEXT,REVIEWED,Print-safe text labels replace unsupported status glyphs.
ascii-053,5,Layout and Spacing,chapters/05-ui-ux.qmd,1043,KEEP_AS_TEXT,REVIEWED,Print-safe text labels replace unsupported status glyphs.
ascii-054,5,Responsive Patterns,chapters/05-ui-ux.qmd,1187,KEEP_AS_TEXT,REVIEWED,Print-safe text labels replace unsupported status glyphs.
ascii-055,5,Responsive Patterns,chapters/05-ui-ux.qmd,1202,KEEP_AS_TEXT,REVIEWED,Print-safe text labels replace unsupported status glyphs.
ascii-056,5,Responsive Patterns,chapters/05-ui-ux.qmd,1219,KEEP_AS_TEXT,REVIEWED,Print-safe text labels replace unsupported status glyphs.
ascii-057,5,Common Accessibility Requirements,chapters/05-ui-ux.qmd,1377,KEEP_AS_TEXT,REVIEWED,Print-safe text labels replace unsupported status glyphs.
ascii-058,5,Components of a Design System,chapters/05-ui-ux.qmd,1538,KEEP_AS_TEXT,REVIEWED,Print-safe text labels replace unsupported status glyphs.
ascii-059,5,Components of a Design System,chapters/05-ui-ux.qmd,1591,KEEP_AS_TEXT,REVIEWED,Print-safe text labels replace unsupported status glyphs.
ascii-060,5,Components of a Design System,chapters/05-ui-ux.qmd,1659,KEEP_AS_TEXT,REVIEWED,Print-safe text labels replace unsupported status glyphs.
ascii-061,5,Style Guide Example,chapters/05-ui-ux.qmd,1744,KEEP_AS_TEXT,REVIEWED,Print-safe text labels replace unsupported status glyphs.
ascii-062,6,"Agile Is a Mindset, Not a Methodology",chapters/06-agile-methodologies.qmd,87,KEEP_AS_TEXT,REVIEWED,Print-safe text labels replace unsupported status glyphs.
ascii-063,6,The Scrum Framework Overview,chapters/06-agile-methodologies.qmd,131,KEEP_AS_TEXT,REVIEWED,Print-safe text labels replace unsupported status glyphs.
ascii-064,6,The Scrum Framework Overview,chapters/06-agile-methodologies.qmd,149,KEEP_AS_TEXT,REVIEWED,Print-safe text labels replace unsupported status glyphs.
ascii-065,6,Scrum Roles,chapters/06-agile-methodologies.qmd,223,KEEP_AS_TEXT,REVIEWED,Print-safe text labels replace unsupported status glyphs.
ascii-066,6,Scrum Artifacts,chapters/06-agile-methodologies.qmd,264,KEEP_AS_TEXT,REVIEWED,Print-safe text labels replace unsupported status glyphs.
ascii-067,6,Scrum Artifacts,chapters/06-agile-methodologies.qmd,307,KEEP_AS_TEXT,REVIEWED,Print-safe text labels replace unsupported status glyphs.
ascii-068,6,Scrum Events,chapters/06-agile-methodologies.qmd,403,KEEP_AS_TEXT,REVIEWED,Print-safe text labels replace unsupported status glyphs.
ascii-069,6,Scrum Events,chapters/06-agile-methodologies.qmd,484,KEEP_AS_TEXT,REVIEWED,Print-safe text labels replace unsupported status glyphs.
ascii-070,6,Scrum Events,chapters/06-agile-methodologies.qmd,531,KEEP_AS_TEXT,REVIEWED,Print-safe text labels replace unsupported status glyphs.
ascii-071,6,Scrum Events,chapters/06-agile-methodologies.qmd,610,KEEP_AS_TEXT,REVIEWED,Print-safe text labels replace unsupported status glyphs.
ascii-072,6,Scrum Events,chapters/06-agile-methodologies.qmd,626,KEEP_AS_TEXT,REVIEWED,Print-safe text labels replace unsupported status glyphs.
ascii-073,6,Sprint Metrics,chapters/06-agile-methodologies.qmd,682,KEEP_AS_TEXT,REVIEWED,Print-safe text labels replace unsupported status glyphs.
ascii-074,6,Sprint Metrics,chapters/06-agile-methodologies.qmd,705,KEEP_AS_TEXT,REVIEWED,Print-safe text labels replace unsupported status glyphs.
ascii-075,6,Kanban Practices,chapters/06-agile-methodologies.qmd,755,KEEP_AS_TEXT,REVIEWED,Print-safe text labels replace unsupported status glyphs.
ascii-076,6,Kanban Practices,chapters/06-agile-methodologies.qmd,792,KEEP_AS_TEXT,REVIEWED,Print-safe text labels replace unsupported status glyphs.
ascii-077,6,Kanban Board Design,chapters/06-agile-methodologies.qmd,865,KEEP_AS_TEXT,REVIEWED,Print-safe text labels replace unsupported status glyphs.
ascii-078,6,Kanban Metrics,chapters/06-agile-methodologies.qmd,896,KEEP_AS_TEXT,REVIEWED,Print-safe text labels replace unsupported status glyphs.
ascii-079,6,Kanban Metrics,chapters/06-agile-methodologies.qmd,918,KEEP_AS_TEXT,REVIEWED,Print-safe text labels replace unsupported status glyphs.
ascii-080,6,The TDD Cycle,chapters/06-agile-methodologies.qmd,1017,KEEP_AS_TEXT,REVIEWED,Print-safe text labels replace unsupported status glyphs.
ascii-081,6,Planning Poker,chapters/06-agile-methodologies.qmd,1170,KEEP_AS_TEXT,REVIEWED,Print-safe text labels replace unsupported status glyphs.
ascii-082,6,GitHub Projects,chapters/06-agile-methodologies.qmd,1289,KEEP_AS_TEXT,REVIEWED,Print-safe text labels replace unsupported status glyphs.
ascii-083,6,GitHub Projects,chapters/06-agile-methodologies.qmd,1311,KEEP_AS_TEXT,REVIEWED,Print-safe text labels replace unsupported status glyphs.
ascii-084,6,Jira,chapters/06-agile-methodologies.qmd,1369,KEEP_AS_TEXT,REVIEWED,Print-safe text labels replace unsupported status glyphs.
ascii-085,6,The Work Hierarchy,chapters/06-agile-methodologies.qmd,1440,KEEP_AS_TEXT,REVIEWED,Print-safe text labels replace unsupported status glyphs.
ascii-086,6,Epics,chapters/06-agile-methodologies.qmd,1479,KEEP_AS_TEXT,REVIEWED,Print-safe text labels replace unsupported status glyphs.
ascii-087,6,Tasks,chapters/06-agile-methodologies.qmd,1593,KEEP_AS_TEXT,REVIEWED,Print-safe text labels replace unsupported status glyphs.
ascii-088,6,Definition of Ready and Definition of Done,chapters/06-agile-methodologies.qmd,1621,KEEP_AS_TEXT,REVIEWED,Print-safe text labels replace unsupported status glyphs.
ascii-089,6,Definition of Ready and Definition of Done,chapters/06-agile-methodologies.qmd,1640,KEEP_AS_TEXT,REVIEWED,Print-safe text labels replace unsupported status glyphs.
ascii-090,6,Facilitating Effective Standups,chapters/06-agile-methodologies.qmd,1696,KEEP_AS_TEXT,REVIEWED,Print-safe text labels replace unsupported status glyphs.
ascii-091,6,Facilitating Effective Retrospectives,chapters/06-agile-methodologies.qmd,1728,KEEP_AS_TEXT,REVIEWED,Print-safe text labels replace unsupported status glyphs.
ascii-092,6,Facilitating Effective Retrospectives,chapters/06-agile-methodologies.qmd,1760,KEEP_AS_TEXT,REVIEWED,Print-safe text labels replace unsupported status glyphs.
ascii-093,6,Remote/Hybrid Agile,chapters/06-agile-methodologies.qmd,1813,KEEP_AS_TEXT,REVIEWED,Print-safe text labels replace unsupported status glyphs.
ascii-094,7,Gitflow,chapters/07-version-control.qmd,220,KEEP_AS_TEXT,REVIEWED,Print-safe text labels replace unsupported status glyphs.
ascii-095,7,GitHub Flow,chapters/07-version-control.qmd,348,KEEP_AS_TEXT,REVIEWED,Print-safe text labels replace unsupported status glyphs.
ascii-096,7,GitHub Flow,chapters/07-version-control.qmd,373,KEEP_AS_TEXT,REVIEWED,Print-safe text labels replace unsupported status glyphs.
ascii-097,7,Trunk-Based Development,chapters/07-version-control.qmd,468,KEEP_AS_TEXT,REVIEWED,Print-safe text labels replace unsupported status glyphs.
ascii-098,7,Anatomy of a Good Pull Request,chapters/07-version-control.qmd,609,KEEP_AS_TEXT,REVIEWED,Print-safe text labels replace unsupported status glyphs.
ascii-099,7,Draft Pull Requests,chapters/07-version-control.qmd,776,KEEP_AS_TEXT,REVIEWED,Print-safe text labels replace unsupported status glyphs.
ascii-100,7,Review Checklist,chapters/07-version-control.qmd,892,CONVERT_TO_TABLE,REVIEWED,Print-safe text labels replace unsupported status glyphs.
ascii-101,7,Why Conflicts Happen,chapters/07-version-control.qmd,1119,KEEP_AS_TEXT,REVIEWED,Print-safe text labels replace unsupported status glyphs.
ascii-102,7,Branch Protection,chapters/07-version-control.qmd,1706,KEEP_AS_TEXT,REVIEWED,Print-safe text labels replace unsupported status glyphs.
ascii-103,8,Testing vs. Quality Assurance,chapters/08-testing-quality.qmd,58,KEEP_AS_TEXT,REVIEWED,Print-safe text labels replace unsupported status glyphs.
ascii-104,8,Unit Testing,chapters/08-testing-quality.qmd,99,KEEP_AS_TEXT,REVIEWED,Print-safe text labels replace unsupported status glyphs.
ascii-105,8,Integration Testing,chapters/08-testing-quality.qmd,227,KEEP_AS_TEXT,REVIEWED,Print-safe text labels replace unsupported status glyphs.
ascii-106,8,System Testing,chapters/08-testing-quality.qmd,383,KEEP_AS_TEXT,REVIEWED,Print-safe text labels replace unsupported status glyphs.
ascii-107,8,Types of Test Doubles,chapters/08-testing-quality.qmd,1357,KEEP_AS_TEXT,REVIEWED,Print-safe text labels replace unsupported status glyphs.
ascii-108,8,When to Mock,chapters/08-testing-quality.qmd,1620,KEEP_AS_TEXT,REVIEWED,Print-safe text labels replace unsupported status glyphs.
ascii-109,8,Types of Coverage,chapters/08-testing-quality.qmd,1672,KEEP_AS_TEXT,REVIEWED,Print-safe text labels replace unsupported status glyphs.
ascii-110,8,Coverage Guidelines,chapters/08-testing-quality.qmd,1801,CONVERT_TO_TABLE,REVIEWED,Print-safe text labels replace unsupported status glyphs.
ascii-111,8,Test Plan,chapters/08-testing-quality.qmd,1903,KEEP_AS_TEXT,REVIEWED,Print-safe text labels replace unsupported status glyphs.
ascii-112,8,Test Cases,chapters/08-testing-quality.qmd,2007,KEEP_AS_TEXT,REVIEWED,Print-safe text labels replace unsupported status glyphs.
ascii-113,8,Test Cases,chapters/08-testing-quality.qmd,2053,KEEP_AS_TEXT,REVIEWED,Print-safe text labels replace unsupported status glyphs.
ascii-114,8,Bug Reports,chapters/08-testing-quality.qmd,2079,KEEP_AS_TEXT,REVIEWED,Print-safe text labels replace unsupported status glyphs.
ascii-115,8,Test Summary Report,chapters/08-testing-quality.qmd,2127,KEEP_AS_TEXT,REVIEWED,Print-safe text labels replace unsupported status glyphs.
ascii-116,8,CI Testing Pipeline,chapters/08-testing-quality.qmd,2201,KEEP_AS_TEXT,REVIEWED,Print-safe text labels replace unsupported status glyphs.
ascii-117,9,The Old Way: Manual Releases,chapters/09-cicd.qmd,27,KEEP_AS_TEXT,REVIEWED,Print-safe text labels replace unsupported status glyphs.
ascii-118,9,The CI/CD Revolution,chapters/09-cicd.qmd,84,KEEP_AS_TEXT,REVIEWED,Print-safe text labels replace unsupported status glyphs.
ascii-119,9,Key Terminology,chapters/09-cicd.qmd,124,KEEP_AS_TEXT,REVIEWED,Print-safe text labels replace unsupported status glyphs.
ascii-120,9,Key Terminology,chapters/09-cicd.qmd,155,KEEP_AS_TEXT,REVIEWED,Print-safe text labels replace unsupported status glyphs.
ascii-121,9,Core CI Practices,chapters/09-cicd.qmd,187,KEEP_AS_TEXT,REVIEWED,Print-safe text labels replace unsupported status glyphs.
ascii-122,9,Core CI Practices,chapters/09-cicd.qmd,257,KEEP_AS_TEXT,REVIEWED,Print-safe text labels replace unsupported status glyphs.
ascii-123,9,Core CI Practices,chapters/09-cicd.qmd,275,KEEP_AS_TEXT,REVIEWED,Print-safe text labels replace unsupported status glyphs.
ascii-124,9,Core CI Practices,chapters/09-cicd.qmd,293,KEEP_AS_TEXT,REVIEWED,Print-safe text labels replace unsupported status glyphs.
ascii-125,9,Core CI Practices,chapters/09-cicd.qmd,326,KEEP_AS_TEXT,REVIEWED,Print-safe text labels replace unsupported status glyphs.
ascii-126,9,The CI Feedback Loop,chapters/09-cicd.qmd,365,KEEP_AS_TEXT,REVIEWED,Print-safe text labels replace unsupported status glyphs.
ascii-127,9,GitHub Actions Concepts,chapters/09-cicd.qmd,441,KEEP_AS_TEXT,REVIEWED,Print-safe text labels replace unsupported status glyphs.
ascii-128,9,GitHub Actions Concepts,chapters/09-cicd.qmd,472,KEEP_AS_TEXT,REVIEWED,Print-safe text labels replace unsupported status glyphs.
ascii-129,9,Job Dependencies and Parallelization,chapters/09-cicd.qmd,875,KEEP_AS_TEXT,REVIEWED,Print-safe text labels replace unsupported status glyphs.
ascii-130,9,Secrets and Environment Variables,chapters/09-cicd.qmd,1020,KEEP_AS_TEXT,REVIEWED,Print-safe text labels replace unsupported status glyphs.
ascii-131,9,Deployment Strategies Overview,chapters/09-cicd.qmd,1046,KEEP_AS_TEXT,REVIEWED,Print-safe text labels replace unsupported status glyphs.
ascii-132,9,Recreate Deployment,chapters/09-cicd.qmd,1083,KEEP_AS_TEXT,REVIEWED,Print-safe text labels replace unsupported status glyphs.
ascii-133,9,Rolling Deployment,chapters/09-cicd.qmd,1126,KEEP_AS_TEXT,REVIEWED,Print-safe text labels replace unsupported status glyphs.
ascii-134,9,Blue-Green Deployment,chapters/09-cicd.qmd,1192,KEEP_AS_TEXT,REVIEWED,Print-safe text labels replace unsupported status glyphs.
ascii-135,9,Canary Deployment,chapters/09-cicd.qmd,1275,KEEP_AS_TEXT,REVIEWED,Print-safe text labels replace unsupported status glyphs.
ascii-136,9,Feature Flags,chapters/09-cicd.qmd,1411,KEEP_AS_TEXT,REVIEWED,Print-safe text labels replace unsupported status glyphs.
ascii-137,9,Environment Hierarchy,chapters/09-cicd.qmd,1459,KEEP_AS_TEXT,REVIEWED,Print-safe text labels replace unsupported status glyphs.
ascii-138,9,Why Infrastructure as Code?,chapters/09-cicd.qmd,1716,KEEP_AS_TEXT,REVIEWED,Print-safe text labels replace unsupported status glyphs.
ascii-139,9,The Three Pillars of Observability,chapters/09-cicd.qmd,2433,KEEP_AS_TEXT,REVIEWED,Print-safe text labels replace unsupported status glyphs.
ascii-140,9,Key Metrics to Monitor,chapters/09-cicd.qmd,2464,KEEP_AS_TEXT,REVIEWED,Print-safe text labels replace unsupported status glyphs.
ascii-141,9,Common Issues and Solutions,chapters/09-cicd.qmd,2649,KEEP_AS_TEXT,REVIEWED,Print-safe text labels replace unsupported status glyphs.
ascii-142,9,CI/CD Best Practices Checklist,chapters/09-cicd.qmd,2770,CONVERT_TO_TABLE,REVIEWED,Print-safe text labels replace unsupported status glyphs.
ascii-143,10,Data Architecture Overview,chapters/10-data-management.qmd,30,KEEP_AS_TEXT,REVIEWED,Print-safe text labels replace unsupported status glyphs.
ascii-144,10,Core Concepts,chapters/10-data-management.qmd,88,KEEP_AS_TEXT,REVIEWED,Print-safe text labels replace unsupported status glyphs.
ascii-145,10,Core Concepts,chapters/10-data-management.qmd,134,KEEP_AS_TEXT,REVIEWED,Print-safe text labels replace unsupported status glyphs.
ascii-146,10,Database Normalization,chapters/10-data-management.qmd,505,KEEP_AS_TEXT,REVIEWED,Print-safe text labels replace unsupported status glyphs.
ascii-147,10,Database Normalization,chapters/10-data-management.qmd,530,KEEP_AS_TEXT,REVIEWED,Print-safe text labels replace unsupported status glyphs.
ascii-148,10,Database Normalization,chapters/10-data-management.qmd,553,KEEP_AS_TEXT,REVIEWED,Print-safe text labels replace unsupported status glyphs.
ascii-149,10,Transactions and ACID Properties,chapters/10-data-management.qmd,607,KEEP_AS_TEXT,REVIEWED,Print-safe text labels replace unsupported status glyphs.
ascii-150,10,Types of NoSQL Databases,chapters/10-data-management.qmd,719,KEEP_AS_TEXT,REVIEWED,Print-safe text labels replace unsupported status glyphs.
ascii-151,10,Choosing Between SQL and NoSQL,chapters/10-data-management.qmd,1053,CONVERT_TO_TABLE,REVIEWED,Print-safe text labels replace unsupported status glyphs.
ascii-152,10,REST Principles,chapters/10-data-management.qmd,1107,KEEP_AS_TEXT,REVIEWED,Print-safe text labels replace unsupported status glyphs.
ascii-153,10,Resource-Oriented Design,chapters/10-data-management.qmd,1145,KEEP_AS_TEXT,REVIEWED,Print-safe text labels replace unsupported status glyphs.
ascii-154,10,HTTP Methods and CRUD Operations,chapters/10-data-management.qmd,1199,KEEP_AS_TEXT,REVIEWED,Print-safe text labels replace unsupported status glyphs.
ascii-155,10,HTTP Status Codes,chapters/10-data-management.qmd,1249,KEEP_AS_TEXT,REVIEWED,Print-safe text labels replace unsupported status glyphs.
ascii-156,10,Cache-Aside Pattern,chapters/10-data-management.qmd,2619,KEEP_AS_TEXT,REVIEWED,Print-safe text labels replace unsupported status glyphs.
ascii-157,11,What is Cloud Computing?,chapters/11-cloud-services.qmd,30,KEEP_AS_TEXT,REVIEWED,Print-safe text labels replace unsupported status glyphs.
ascii-158,11,Cloud Service Models,chapters/11-cloud-services.qmd,68,KEEP_AS_TEXT,REVIEWED,Print-safe text labels replace unsupported status glyphs.
ascii-159,11,Major Cloud Providers,chapters/11-cloud-services.qmd,120,KEEP_AS_TEXT,REVIEWED,Print-safe text labels replace unsupported status glyphs.
ascii-160,11,Compute Services,chapters/11-cloud-services.qmd,163,CONVERT_TO_TABLE,REVIEWED,Print-safe text labels replace unsupported status glyphs.
ascii-161,11,Database Services,chapters/11-cloud-services.qmd,250,KEEP_AS_TEXT,REVIEWED,Print-safe text labels replace unsupported status glyphs.
ascii-162,11,Networking Services,chapters/11-cloud-services.qmd,321,KEEP_AS_TEXT,REVIEWED,Print-safe text labels replace unsupported status glyphs.
ascii-163,11,The Problem Containers Solve,chapters/11-cloud-services.qmd,419,KEEP_AS_TEXT,REVIEWED,Print-safe text labels replace unsupported status glyphs.
ascii-164,11,Container Best Practices,chapters/11-cloud-services.qmd,685,KEEP_AS_TEXT,REVIEWED,Print-safe text labels replace unsupported status glyphs.
ascii-165,11,Why Kubernetes?,chapters/11-cloud-services.qmd,771,KEEP_AS_TEXT,REVIEWED,Print-safe text labels replace unsupported status glyphs.
ascii-166,11,Managed Kubernetes Services,chapters/11-cloud-services.qmd,1130,KEEP_AS_TEXT,REVIEWED,Print-safe text labels replace unsupported status glyphs.
ascii-167,11,What is Serverless?,chapters/11-cloud-services.qmd,1176,KEEP_AS_TEXT,REVIEWED,Print-safe text labels replace unsupported status glyphs.
ascii-168,11,Serverless Patterns,chapters/11-cloud-services.qmd,1473,KEEP_AS_TEXT,REVIEWED,Print-safe text labels replace unsupported status glyphs.
ascii-169,11,When to Use Serverless,chapters/11-cloud-services.qmd,1617,KEEP_AS_TEXT,REVIEWED,Print-safe text labels replace unsupported status glyphs.
ascii-170,11,Benefits of Infrastructure as Code,chapters/11-cloud-services.qmd,1669,KEEP_AS_TEXT,REVIEWED,Print-safe text labels replace unsupported status glyphs.
ascii-171,11,Terraform Best Practices,chapters/11-cloud-services.qmd,1996,KEEP_AS_TEXT,REVIEWED,Print-safe text labels replace unsupported status glyphs.
ascii-172,11,Identity and Access Management,chapters/11-cloud-services.qmd,2038,KEEP_AS_TEXT,REVIEWED,Print-safe text labels replace unsupported status glyphs.
ascii-173,11,Network Security,chapters/11-cloud-services.qmd,2154,KEEP_AS_TEXT,REVIEWED,Print-safe text labels replace unsupported status glyphs.
ascii-174,11,Cost Optimization Strategies,chapters/11-cloud-services.qmd,2199,KEEP_AS_TEXT,REVIEWED,Print-safe text labels replace unsupported status glyphs.
ascii-175,12,Security Principles,chapters/12-security.qmd,44,KEEP_AS_TEXT,REVIEWED,Print-safe text labels replace unsupported status glyphs.
ascii-176,12,Managing Dependency Security,chapters/12-security.qmd,889,KEEP_AS_TEXT,REVIEWED,Print-safe text labels replace unsupported status glyphs.
ascii-177,12,Incident Response Phases,chapters/12-security.qmd,1756,KEEP_AS_TEXT,REVIEWED,Print-safe text labels replace unsupported status glyphs.
ascii-178,13,Types of Software Maintenance,chapters/13-maintenance-evolution.qmd,31,KEEP_AS_TEXT,REVIEWED,Print-safe text labels replace unsupported status glyphs.
ascii-179,13,Sources of Technical Debt,chapters/13-maintenance-evolution.qmd,138,KEEP_AS_TEXT,REVIEWED,Print-safe text labels replace unsupported status glyphs.
ascii-180,13,The Interest Payments,chapters/13-maintenance-evolution.qmd,199,KEEP_AS_TEXT,REVIEWED,Print-safe text labels replace unsupported status glyphs.
ascii-181,13,Strategies for Legacy Evolution,chapters/13-maintenance-evolution.qmd,797,KEEP_AS_TEXT,REVIEWED,Print-safe text labels replace unsupported status glyphs.
ascii-182,13,Types of Documentation,chapters/13-maintenance-evolution.qmd,1028,KEEP_AS_TEXT,REVIEWED,Print-safe text labels replace unsupported status glyphs.
ascii-183,13,README Files,chapters/13-maintenance-evolution.qmd,1206,KEEP_AS_TEXT,REVIEWED,Print-safe text labels replace unsupported status glyphs.
