figure_id,chapter,section,source_file,image_path,caption,alt_text,declared_width,format,file_exists,file_sha256
figure-0017,3,Use Case Relationships,chapters/03-systems-modeling.qmd,../assets/images/ch3_fig2_usecase_elements.svg,"UML notation for actors, use cases, system boundaries, and associations","UML notation for actors, use cases, system boundaries, and associations",58%,svg,True,bc655a0e97d76f2f32bab12cfe4bf8ca07d35f818f3fbaaca373c9196bdc9b2d
figure-0018,3,Complete Use Case Diagram Example,chapters/03-systems-modeling.qmd,../assets/images/ch3_fig3_usecase_example.svg,Use Case Diagram Example,Use Case Diagram Example,,svg,True,b5439c0472f13b72f1c9c285bc8a7859e59a005bdce315fbb4bfbce194e48d6a
figure-0019,3,Control Flow vs. Object Flow,chapters/03-systems-modeling.qmd,../assets/images/ch3_fig4_activity_elements.svg,"UML activity notation for actions, decisions, flow, and initial and final nodes","UML activity notation for actions, decisions, flow, and initial and final nodes",58%,svg,True,1ec3902d9ce6cfa4d2ee6671ab60eaebd0bd14c87cc4e8b39344a30ec0d23cef
figure-0020,3,Complete Activity Diagram Example,chapters/03-systems-modeling.qmd,../assets/images/ch3_fig5_activity_example.svg,Activity Diagram Example,Activity Diagram Example,,svg,True,31c268b3e8696b3ec3dd597bd8f4da4507754ef81868c8ff9d042040a782c6ed
figure-0021,3,Activity Diagram for Algorithm Logic,chapters/03-systems-modeling.qmd,../assets/images/ch3_fig11_activity_algorithm.svg,"Login activity diagram with validation, retry, session creation, and dashboard redirection","Login activity diagram with validation, retry, session creation, and dashboard redirection",70%,svg,True,1fa44c621b249d9acaa42a4a4850000281690a9b13bc7abf80d7c87610a376ac
figure-0022,3,Combined Fragments,chapters/03-systems-modeling.qmd,../assets/images/ch3_fig6_sequence_elements.svg,"UML sequence notation for participants, lifelines, activations, and messages","UML sequence notation for participants, lifelines, activations, and messages",62%,svg,True,cb6def169580360961536020a5c17977b7475c41ec9c873a9f25a06fecf4f448
figure-0023,3,Complete Sequence Diagram Example,chapters/03-systems-modeling.qmd,../assets/images/ch3_fig7_sequence_example.svg,Sequence Diagram Example,Sequence Diagram Example,,svg,True,b6a57502c67a5133b2f53f2291c9f088ac88a4137206e5a2dddf377e64b5c753
figure-0024,3,Class Notation,chapters/03-systems-modeling.qmd,../assets/images/ch3_fig8_class_notation.svg,"UML class notation showing name, attributes, operations, visibility, and types","UML class notation showing name, attributes, operations, visibility, and types",58%,svg,True,d3999938732a7588687799070425ee40aa6d876bb8001cb9609ab7754aba815d
figure-0025,3,Association Classes,chapters/03-systems-modeling.qmd,../assets/images/ch3_fig9_class_relationships.svg,"UML class relationships including association, inheritance, aggregation, composition, and dependency","UML class relationships including association, inheritance, aggregation, composition, and dependency",72%,svg,True,bc4a118f34aa4d1ad14432106863e3c1b9812d5caf8d9e49082c2ccb6c076e7b
figure-0026,3,Complete Class Diagram Example,chapters/03-systems-modeling.qmd,../assets/images/ch3_fig10_class_example.svg,Class Diagram Example,Class Diagram Example,,svg,True,7d078f9588fe102b3ccfb8ba8e4cb3a89eb05240eebed0f8a59c834320d57453
figure-0027,3,Domain Models vs. Design Class Diagrams,chapters/03-systems-modeling.qmd,../assets/images/ch3_fig12_domain_model.svg,Domain Model Example,Domain Model Example,,svg,True,36975a906854119570d40c3225e8985dd0bc3308c2d36895bc26108c380461c3
figure-0028,3,Domain Models vs. Design Class Diagrams,chapters/03-systems-modeling.qmd,../assets/images/ch3_fig13_design_class.svg,Design Class Diagram Example,Design Class Diagram Example,,svg,True,c469ac3a6283f974620274567e38f3f7698b2bc8bbfb3bda97f04b58c115c5c3
figure-0029,3,Diagram Selection Guide,chapters/03-systems-modeling.qmd,../assets/images/ch3_fig14_diagram_selection.svg,Diagram Selection Guide,Diagram Selection Guide,,svg,True,351e1c774921db150933371abbdca576d40390768d9efd85e7dc0b0530400597
figure-0030,4,Layered Architecture,chapters/04-software-architecture.qmd,../assets/images/ch4_fig1_layered_architecture.svg,Layered (N-Tier) Architecture,Layered (N-Tier) Architecture,72%,svg,True,1ed0ba5dd498b801d9d19f732ce5054f94287d30026e3700cf9455681f12df4e
figure-0031,4,Model-View-Controller (MVC),chapters/04-software-architecture.qmd,../assets/images/ch4_fig2_mvc_pattern.svg,Model-View-Controller (MVC) Pattern,Model-View-Controller (MVC) Pattern,72%,svg,True,783a5f87f553b6bbc8ef81b47b679dd4fda926c6514c86481ed5a7d53dcef443
figure-0032,4,Model-View-Controller (MVC),chapters/04-software-architecture.qmd,../assets/images/ch4_fig11_mvp_pattern.svg,MVP (Model-View-Presenter) Pattern,MVP (Model-View-Presenter) Pattern,72%,svg,True,7d1eafb9e91930e10422f183b05daee6776773676da5efe4f9094197a7c3cade
figure-0033,4,Model-View-Controller (MVC),chapters/04-software-architecture.qmd,../assets/images/ch4_fig12_mvvm_pattern.svg,MVVM (Model-View-ViewModel) Pattern,MVVM (Model-View-ViewModel) Pattern,72%,svg,True,9502ff85f3b0722d55f12833d047021fcedbd425ea7615c773d4ac86a342b167
figure-0034,4,Model-View-Controller (MVC),chapters/04-software-architecture.qmd,../assets/images/ch4_fig13_mvc_flow.svg,MVC Flow Example: User Login,MVC Flow Example: User Login,72%,svg,True,45d2bb0dda009eaf7d670397f149698b76affb7fdd8bddb6e96904cf87c59bd4
figure-0035,4,Microservices Architecture,chapters/04-software-architecture.qmd,../assets/images/ch4_fig3_microservices.svg,Microservices Architecture,Microservices Architecture,88%,svg,True,d1a377b37106334e64337bb9f2864fe16d6565586ebdedcf859a259876e2b8b7
figure-0036,4,Event-Driven Architecture,chapters/04-software-architecture.qmd,../assets/images/ch4_fig4_event_driven.svg,Event-Driven Architecture,Event-Driven Architecture,72%,svg,True,4d457665d87fce1bc07495e98d8812004c1bcb7d53d157414e7bc4811f86195e
figure-0037,4,Event-Driven Architecture,chapters/04-software-architecture.qmd,../assets/images/ch4_fig14_cqrs_pattern.svg,CQRS (Command Query Responsibility Segregation),CQRS (Command Query Responsibility Segregation),72%,svg,True,0182e143ea9772fd3ba30953d125c5c2e00e91aa9bd01b3347f879da77ab6a2c
figure-0038,4,Monolithic Architecture,chapters/04-software-architecture.qmd,../assets/images/ch4_fig15_monolithic.svg,Monolithic Architecture,Monolithic Architecture,72%,svg,True,55a2b904af210cfb04173ea666421c0c30638a0d35f05b005ee457e51d1946a1
figure-0039,4,Monolithic Architecture,chapters/04-software-architecture.qmd,../assets/images/ch4_fig16_modular_monolith.svg,Modular Monolith Architecture,Modular Monolith Architecture,72%,svg,True,02428b0c71862c94af22f09bb3cdebbc30350772d0762f218c95037852e5b9cf
figure-0040,4,Comparing Architectural Styles,chapters/04-software-architecture.qmd,../assets/images/ch4_fig10_architecture_comparison.svg,Architectural Styles Comparison,Architectural Styles Comparison,88%,svg,True,b670263fe62eb4005543ad321decbe0ddcdfc4567f9aeac43c89cbad0e54d6e5
figure-0041,4,The SOLID Principles,chapters/04-software-architecture.qmd,../assets/images/ch4_fig5_solid_principles.svg,SOLID Principles,SOLID Principles,72%,svg,True,ac34e69271e54864488eb156e9f3ff324492f0eb4a3783281e61aa5d3fbe2e13
figure-0042,4,Design Patterns,chapters/04-software-architecture.qmd,../assets/images/ch4_fig6_design_patterns_overview.svg,Design Patterns - Gang of Four (GoF) Categories,Design Patterns - Gang of Four (GoF) Categories,72%,svg,True,cd41c3ff35dccead7af8c50d46744e284bae23933313af8fd91e6ba7938d4f7c
figure-0043,4,Singleton Pattern,chapters/04-software-architecture.qmd,../assets/images/ch4_fig17_singleton_structure.svg,Singleton Pattern,Singleton Pattern,58%,svg,True,196779c9d717cd21245f889e74ac9a5d24d3b0f67ec23ebd76313cc4552f6180
figure-0044,4,Factory Method Pattern,chapters/04-software-architecture.qmd,../assets/images/ch4_fig8_factory_pattern.svg,Factory Method Pattern,Factory Method Pattern,58%,svg,True,fc67d991cb419ba2b4406e798f221d3f13efd4cbedef6ac9fe65bd37d460179d
figure-0045,4,Factory Method Pattern,chapters/04-software-architecture.qmd,../assets/images/ch4_fig18_factory_hierarchy.svg,Factory Method Pattern Structure,Factory Method Pattern Structure,58%,svg,True,b0548267510f1ba44d22ce029862244606708f02e28ff7448bca55c38d4f50d1
figure-0046,4,Builder Pattern,chapters/04-software-architecture.qmd,../assets/images/ch4_fig19_builder_pattern.svg,Builder Pattern,Builder Pattern,58%,svg,True,e9d1a17676df07e2b3a6c44df0823b0f079d71b4c422dccee6e670faa067cd68
figure-0047,4,Adapter Pattern,chapters/04-software-architecture.qmd,../assets/images/ch4_fig20_adapter_structure.svg,Adapter Pattern,Adapter Pattern,58%,svg,True,ccac8912bb9e607f58c067d075b91e2af241de96fca164e5acab1eb23e148768
figure-0048,4,Decorator Pattern,chapters/04-software-architecture.qmd,../assets/images/ch4_fig21_decorator_structure.svg,Decorator Pattern,Decorator Pattern,58%,svg,True,63cb71946e8c9503302f4cf6b882f4cd81ee6c1894455c32511d3a4c8ed8d22a
figure-0049,4,Facade Pattern,chapters/04-software-architecture.qmd,../assets/images/ch4_fig22_facade_structure.svg,Facade Pattern,Facade Pattern,58%,svg,True,f807228715d3443ec4091c8ffad31a61f8cf85f775c3264872bc9a43d0d33193
figure-0050,4,Strategy Pattern,chapters/04-software-architecture.qmd,../assets/images/ch4_fig7_strategy_pattern.svg,Strategy Pattern,Strategy Pattern,58%,svg,True,bb4eda75218b1fd62636ee79940c9e6e722ad69327924eb37e388e8c53d7ca44
figure-0051,4,Observer Pattern,chapters/04-software-architecture.qmd,../assets/images/ch4_fig9_observer_pattern.svg,Observer Pattern,Observer Pattern,58%,svg,True,13ac58d52af4a318f5f01339e1eafc0d967d8d7ac3b5dd8a1551c45851ad6ef6
figure-0052,4,Template Method Pattern,chapters/04-software-architecture.qmd,../assets/images/ch4_fig23_template_method.svg,Template Method Pattern,Template Method Pattern,58%,svg,True,3d49a0668b4e240c7c923c66aa6f67e80e31104137533cf2e661a2d5e5497f86
figure-0053,4,The 4+1 View Model,chapters/04-software-architecture.qmd,../assets/images/ch4_fig24_four_plus_one.svg,4+1 Architectural View Model,4+1 Architectural View Model,88%,svg,True,fe0eadd916fbeff7138476a338c003a4d06bbc2f41fe8a030924394eac894fe0
figure-0054,5,The Relationship Between UX and UI,chapters/05-ui-ux.qmd,../assets/images/ch5_fig2_ux_vs_ui.svg,UX vs UI Design,UX vs UI Design,72%,svg,True,f6bdfedc743dcdc71f6e775cbaed9a63b8687b7ea4112746fecd89dd3ef38bf6
figure-0055,5,The Prototyping Spectrum,chapters/05-ui-ux.qmd,../assets/images/ch5_fig3_fidelity_spectrum.svg,Prototyping Fidelity Spectrum,Prototyping Fidelity Spectrum,72%,svg,True,3d991567cd0b19c549ab60f1379a800ba00c2fec10d343aeae822b2e6c8c19ff
figure-0056,5,Visual Hierarchy,chapters/05-ui-ux.qmd,../assets/images/ch5_fig5_visual_hierarchy.svg,Visual Hierarchy Principles,Visual Hierarchy Principles,72%,svg,True,1f33c91b27aaf3ca3dc90030d4107a128803b9a0c174ee434bf402896b71d59b
figure-0057,5,Typography,chapters/05-ui-ux.qmd,../assets/images/ch5_fig6_typography_scale.svg,Typography Scale and Hierarchy,Typography Scale and Hierarchy,72%,svg,True,3ced712f546e30d00c08c81ef3d4ced0b72b00ebdec98959884911e45c83d2f3
figure-0058,5,Color,chapters/05-ui-ux.qmd,../assets/images/ch5_fig7_color_system.svg,Color System Architecture,Color System Architecture,72%,svg,True,1c797eefcd8f52a4795f041e69e40538469ea436a5bccff65f910c12c3377593
figure-0059,5,Breakpoints,chapters/05-ui-ux.qmd,../assets/images/ch5_fig8_responsive_breakpoints.svg,Responsive Design Breakpoints,Responsive Design Breakpoints,72%,svg,True,089a1e269eb260870abad64003dac3ac36c23f74eebdc12f2a2c13d5544f9dd7
figure-0060,5,WCAG Guidelines,chapters/05-ui-ux.qmd,../assets/images/ch5_fig9_wcag_pour.svg,WCAG 2.1 POUR Principles,WCAG 2.1 POUR Principles,72%,svg,True,728921d0fbf31ba26f089f37aeaf81f7e7e7b3f1d5221949976e5c16549327c2
figure-0061,5,Design Systems and Style Guides,chapters/05-ui-ux.qmd,../assets/images/ch5_fig10_design_system.svg,Design System Architecture,Design System Architecture,88%,svg,True,e690261d86368658b19810f35ba3512392fe693c3d5be9ed491b6b3d8cbf9082
figure-0062,6,The Agile Manifesto,chapters/06-agile-methodologies.qmd,../assets/images/ch6_fig1_agile_manifesto.svg,Agile Manifesto - Four Core Values,Agile Manifesto - Four Core Values,72%,svg,True,20fb2f40ded982087f04fa89c42423a7204774320b9c226c7e64a497ad0b74ef
figure-0063,6,The Scrum Framework Overview,chapters/06-agile-methodologies.qmd,../assets/images/ch6_fig2_scrum_framework.svg,Scrum Framework,Scrum Framework,88%,svg,True,5c5c6ab32d96bead15019f9da65a3645cb42bed971c7f9872441f73d1d583a4e
fig-git-branching-basics,7,What Is a Branch?,chapters/07-version-control.qmd,../assets/images/ch7_fig1_git_branching.svg,Git branching basics - branches as pointers,Git branching basics - branches as pointers,78%,svg,True,4b526f296b27da682fb6e0920adada16387983ed78de874229f0514fd89f4b2e
fig-git-head,7,HEAD: Where You Are,chapters/07-version-control.qmd,../assets/images/git_branch_diagram.svg,Git HEAD pointing to the current branch,Git HEAD pointing to the current branch,82%,svg,True,3fb6d17a46dee9c3bff3bc8cd8fc51440b8067df6b62124ad2893d20c7b88729
fig-git-checkout-feature,7,HEAD: Where You Are,chapters/07-version-control.qmd,../assets/images/git_checkout_feature_diagram.svg,Git HEAD after checking out a feature branch,Git HEAD after checking out a feature branch,82%,svg,True,4da7e0f4f5684486b916e7499dc75fd2040049f56f5768db673ea287370c8f22
fig-fast-forward-merge,7,Merging Branches,chapters/07-version-control.qmd,../assets/images/git_merge_before_after.svg,Fast-forward merge before and after,Fast-forward merge before and after,92%,svg,True,14ce9f897582d389219b172eb7c2bd65dc6bd1db8d09cb157f1787b2d2ed4eaa
fig-three-way-merge,7,Merging Branches,chapters/07-version-control.qmd,../assets/images/git_three_way_merge.svg,Three-way Git merge creating a merge commit,Three-way Git merge creating a merge commit,88%,svg,True,17ebe13f7c595bfe1be0584a2d04f53a468303255529ee6034c97c100268e40b
fig-git-rebase,7,Rebasing,chapters/07-version-control.qmd,../assets/images/git_rebase_diagram.svg,Git history before and after rebasing a feature branch,Git history before and after rebasing a feature branch,92%,svg,True,a9cc49af2206c8ebe75d0130089ed2ad2de0e66ea0cde4c0616c1bbd344f956f
figure-0070,7,Gitflow,chapters/07-version-control.qmd,../assets/images/ch7_fig2_gitflow.svg,Gitflow branching strategy,Gitflow branching strategy,,svg,True,7db59088de1ddf9f5bc88dac905ccbe92b537ec34c1e22f00a66babb97545eb6
figure-0071,7,GitHub Flow,chapters/07-version-control.qmd,../assets/images/ch7_fig3_github_flow.svg,GitHub Flow branching strategy,GitHub Flow branching strategy,,svg,True,6f6f53421aaeeef49adf6bb9261af66495663a9385a15e0f8ef8757feb650f3d
fig-trunk-based-development,7,Trunk-Based Development,chapters/07-version-control.qmd,../assets/images/trunk_based_development.svg,Trunk-based development with short-lived branches,Trunk-based development with short-lived branches,90%,svg,True,4c285116c295e7e61b751600e85f28a798036a8c7624e08b8fbf1badc515bbb7
fig-cost-to-fix-defects,8,The Cost of Bugs,chapters/08-testing-quality.qmd,../assets/images/cost_to_fix_curve_print.svg,Cost to fix defects rising across lifecycle stages,Cost to fix defects rising across lifecycle stages,82%,svg,True,b6643afc4f5bc005799de5ba6f348090b3979ab7f27ee7b0e0e1d1e6b55c71a8
fig-testing-pyramid,8,Testing Levels,chapters/08-testing-quality.qmd,../assets/images/testing_pyramid.svg,"Testing pyramid with unit, integration, and end-to-end tests","Testing pyramid with unit, integration, and end-to-end tests",88%,svg,True,311ea965626908537441e82464628d5ac1582eddaf3ad053a8cf8a987dc28cd4
fig-tdd-cycle,8,The TDD Cycle,chapters/08-testing-quality.qmd,../assets/images/tdd_cycle.svg,"Test-driven development cycle: red, green, and refactor","Test-driven development cycle: red, green, and refactor",86%,svg,True,34baf9bfe0e974aa45353eb1b57fde96f938c800c3fad2fa3a166472e980a367
