chapter,source_file,heading_level,heading_text,identifier,source_line,source_order
3,chapters/03-systems-modeling.qmd,3,Use Case Relationships,use-case-relationships,202,107
3,chapters/03-systems-modeling.qmd,3,Complete Use Case Diagram Example,complete-use-case-diagram-example,255,108
3,chapters/03-systems-modeling.qmd,3,Use Case Descriptions,use-case-descriptions,261,109
3,chapters/03-systems-modeling.qmd,3,Best Practices for Use Case Diagrams,best-practices-for-use-case-diagrams,315,110
3,chapters/03-systems-modeling.qmd,2,Activity Diagrams,activity-diagrams,352,111
3,chapters/03-systems-modeling.qmd,3,Activity Diagram Elements,activity-diagram-elements,356,112
3,chapters/03-systems-modeling.qmd,3,Control Flow vs. Object Flow,control-flow-vs-object-flow,420,113
3,chapters/03-systems-modeling.qmd,3,Complete Activity Diagram Example,complete-activity-diagram-example,440,114
3,chapters/03-systems-modeling.qmd,3,Activity Diagram for Algorithm Logic,activity-diagram-for-algorithm-logic,446,115
3,chapters/03-systems-modeling.qmd,3,Best Practices for Activity Diagrams,best-practices-for-activity-diagrams,450,116
3,chapters/03-systems-modeling.qmd,2,Sequence Diagrams,sequence-diagrams,492,117
3,chapters/03-systems-modeling.qmd,3,Sequence Diagram Elements,sequence-diagram-elements,496,118
3,chapters/03-systems-modeling.qmd,3,Combined Fragments,combined-fragments,557,119
3,chapters/03-systems-modeling.qmd,3,Complete Sequence Diagram Example,complete-sequence-diagram-example,609,120
3,chapters/03-systems-modeling.qmd,3,Object Creation and Destruction,object-creation-and-destruction,615,121
3,chapters/03-systems-modeling.qmd,3,Best Practices for Sequence Diagrams,best-practices-for-sequence-diagrams,641,122
3,chapters/03-systems-modeling.qmd,2,Class Diagrams,class-diagrams,676,123
3,chapters/03-systems-modeling.qmd,3,Class Notation,class-notation,680,124
3,chapters/03-systems-modeling.qmd,3,Relationships Between Classes,relationships-between-classes,736,125
3,chapters/03-systems-modeling.qmd,3,Association Classes,association-classes,836,126
3,chapters/03-systems-modeling.qmd,3,Complete Class Diagram Example,complete-class-diagram-example,857,127
3,chapters/03-systems-modeling.qmd,3,Domain Models vs. Design Class Diagrams,domain-models-vs-design-class-diagrams,863,128
3,chapters/03-systems-modeling.qmd,3,Best Practices for Class Diagrams,best-practices-for-class-diagrams,893,129
3,chapters/03-systems-modeling.qmd,2,Choosing the Right Diagram,choosing-the-right-diagram,931,130
3,chapters/03-systems-modeling.qmd,3,Matching Diagrams to Questions,matching-diagrams-to-questions,935,131
3,chapters/03-systems-modeling.qmd,3,Diagrams Through the Development Lifecycle,diagrams-through-the-development-lifecycle,947,132
3,chapters/03-systems-modeling.qmd,3,Diagram Selection Guide,diagram-selection-guide,973,133
3,chapters/03-systems-modeling.qmd,2,Modeling Tools,modeling-tools,979,134
3,chapters/03-systems-modeling.qmd,3,Categories of Tools,categories-of-tools,983,135
3,chapters/03-systems-modeling.qmd,3,PlantUML Example,plantuml-example,1011,136
3,chapters/03-systems-modeling.qmd,3,Mermaid Example,mermaid-example,1083,137
3,chapters/03-systems-modeling.qmd,3,Tool Selection Considerations,tool-selection-considerations,1127,138
3,chapters/03-systems-modeling.qmd,2,Chapter Summary,chapter-summary,1142,139
3,chapters/03-systems-modeling.qmd,2,Key Terms,key-terms,1164,140
3,chapters/03-systems-modeling.qmd,2,Review Questions,review-questions,1185,141
3,chapters/03-systems-modeling.qmd,2,Hands-On Exercises,hands-on-exercises,1209,142
3,chapters/03-systems-modeling.qmd,3,Exercise 3.1: Use Case Diagram,exercise-3-1-use-case-diagram,1211,143
3,chapters/03-systems-modeling.qmd,3,Exercise 3.2: Activity Diagram,exercise-3-2-activity-diagram,1223,144
3,chapters/03-systems-modeling.qmd,3,Exercise 3.3: Sequence Diagram,exercise-3-3-sequence-diagram,1236,145
3,chapters/03-systems-modeling.qmd,3,Exercise 3.4: Class Diagram,exercise-3-4-class-diagram,1249,146
3,chapters/03-systems-modeling.qmd,3,Exercise 3.5: Project UML Package,exercise-3-5-project-uml-package,1260,147
3,chapters/03-systems-modeling.qmd,3,Exercise 3.6: Tool Exploration,exercise-3-6-tool-exploration,1271,148
3,chapters/03-systems-modeling.qmd,2,Further Reading,further-reading,1283,149
3,chapters/03-systems-modeling.qmd,2,References,references,1306,150
4,chapters/04-software-architecture.qmd,1,Software Architecture and Design Patterns,software-architecture-and-design-patterns,1,151
4,chapters/04-software-architecture.qmd,2,Learning Objectives,learning-objectives,3,152
4,chapters/04-software-architecture.qmd,2,What Is Software Architecture?,what-is-software-architecture,17,153
4,chapters/04-software-architecture.qmd,3,Why Architecture Matters,why-architecture-matters,25,154
4,chapters/04-software-architecture.qmd,3,Architecture vs. Design,architecture-vs-design,37,155
4,chapters/04-software-architecture.qmd,3,The Role of the Software Architect,the-role-of-the-software-architect,61,156
4,chapters/04-software-architecture.qmd,2,Architectural Styles and Patterns,architectural-styles-and-patterns,75,157
4,chapters/04-software-architecture.qmd,3,Layered Architecture,layered-architecture,81,158
4,chapters/04-software-architecture.qmd,3,Model-View-Controller (MVC),model-view-controller-mvc,158,159
4,chapters/04-software-architecture.qmd,3,Microservices Architecture,microservices-architecture,213,160
4,chapters/04-software-architecture.qmd,3,Event-Driven Architecture,event-driven-architecture,285,161
4,chapters/04-software-architecture.qmd,3,Monolithic Architecture,monolithic-architecture,363,162
4,chapters/04-software-architecture.qmd,3,Comparing Architectural Styles,comparing-architectural-styles,402,163
4,chapters/04-software-architecture.qmd,2,The SOLID Principles,the-solid-principles,408,164
4,chapters/04-software-architecture.qmd,3,Single Responsibility Principle (SRP),single-responsibility-principle-srp,414,165
4,chapters/04-software-architecture.qmd,3,Open/Closed Principle (OCP),open-closed-principle-ocp,492,166
4,chapters/04-software-architecture.qmd,3,Liskov Substitution Principle (LSP),liskov-substitution-principle-lsp,572,167
4,chapters/04-software-architecture.qmd,3,Interface Segregation Principle (ISP),interface-segregation-principle-isp,670,168
4,chapters/04-software-architecture.qmd,3,Dependency Inversion Principle (DIP),dependency-inversion-principle-dip,755,169
4,chapters/04-software-architecture.qmd,3,SOLID Summary,solid-summary,845,170
4,chapters/04-software-architecture.qmd,2,Design Patterns,design-patterns,857,171
4,chapters/04-software-architecture.qmd,3,Creational Patterns,creational-patterns,865,172
4,chapters/04-software-architecture.qmd,4,Singleton Pattern,singleton-pattern,869,173
4,chapters/04-software-architecture.qmd,4,Factory Method Pattern,factory-method-pattern,924,174
4,chapters/04-software-architecture.qmd,4,Builder Pattern,builder-pattern,993,175
4,chapters/04-software-architecture.qmd,3,Structural Patterns,structural-patterns,1072,176
4,chapters/04-software-architecture.qmd,4,Adapter Pattern,adapter-pattern,1076,177
4,chapters/04-software-architecture.qmd,4,Decorator Pattern,decorator-pattern,1135,178
4,chapters/04-software-architecture.qmd,4,Facade Pattern,facade-pattern,1234,179
4,chapters/04-software-architecture.qmd,3,Behavioral Patterns,behavioral-patterns,1303,180
4,chapters/04-software-architecture.qmd,4,Strategy Pattern,strategy-pattern,1307,181
4,chapters/04-software-architecture.qmd,4,Observer Pattern,observer-pattern,1407,182
4,chapters/04-software-architecture.qmd,4,Template Method Pattern,template-method-pattern,1508,183
4,chapters/04-software-architecture.qmd,3,Design Patterns Summary,design-patterns-summary,1600,184
4,chapters/04-software-architecture.qmd,2,The Software Architecture Document (SAD),the-software-architecture-document-sad,1616,185
4,chapters/04-software-architecture.qmd,3,Purpose of the SAD,purpose-of-the-sad,1620,186
4,chapters/04-software-architecture.qmd,3,SAD Structure,sad-structure,1634,187
4,chapters/04-software-architecture.qmd,3,The 4+1 View Model,the-4-1-view-model,1686,188
4,chapters/04-software-architecture.qmd,3,Architecture Decision Records (ADRs),architecture-decision-records-adrs,1703,189
4,chapters/04-software-architecture.qmd,2,Making Architectural Decisions,making-architectural-decisions,1777,190
4,chapters/04-software-architecture.qmd,3,Factors in Architectural Decisions,factors-in-architectural-decisions,1781,191
4,chapters/04-software-architecture.qmd,3,Common Trade-offs,common-trade-offs,1793,192
4,chapters/04-software-architecture.qmd,3,Evaluating Architectures,evaluating-architectures,1807,193
4,chapters/04-software-architecture.qmd,2,Chapter Summary,chapter-summary,1823,194
4,chapters/04-software-architecture.qmd,2,Key Terms,key-terms,1845,195
4,chapters/04-software-architecture.qmd,2,Review Questions,review-questions,1866,196
4,chapters/04-software-architecture.qmd,2,Hands-On Exercises,hands-on-exercises,1890,197
4,chapters/04-software-architecture.qmd,3,Exercise 4.1: Identifying Architectural Styles,exercise-4-1-identifying-architectural-styles,1892,198
4,chapters/04-software-architecture.qmd,3,Exercise 4.2: SOLID Refactoring,exercise-4-2-solid-refactoring,1902,199
4,chapters/04-software-architecture.qmd,3,Exercise 4.3: Implementing Design Patterns,exercise-4-3-implementing-design-patterns,1933,200
4,chapters/04-software-architecture.qmd,3,Exercise 4.4: Architecture Analysis,exercise-4-4-architecture-analysis,1943,201
4,chapters/04-software-architecture.qmd,3,Exercise 4.5: Software Architecture Document,exercise-4-5-software-architecture-document,1952,202
4,chapters/04-software-architecture.qmd,3,Exercise 4.6: Pattern Recognition,exercise-4-6-pattern-recognition,1963,203
4,chapters/04-software-architecture.qmd,2,Further Reading,further-reading,2033,204
4,chapters/04-software-architecture.qmd,2,References,references,2052,205
5,chapters/05-ui-ux.qmd,1,UI/UX Design and Prototyping,ui-ux-design-and-prototyping,1,206
5,chapters/05-ui-ux.qmd,2,Learning Objectives,learning-objectives,3,207
5,chapters/05-ui-ux.qmd,2,Understanding UI and UX,understanding-ui-and-ux,18,208
5,chapters/05-ui-ux.qmd,3,What Is User Experience (UX)?,what-is-user-experience-ux,24,209
5,chapters/05-ui-ux.qmd,3,What Is User Interface (UI)?,what-is-user-interface-ui,55,210
5,chapters/05-ui-ux.qmd,3,The Relationship Between UX and UI,the-relationship-between-ux-and-ui,83,211
5,chapters/05-ui-ux.qmd,3,Why Software Engineers Need Design Skills,why-software-engineers-need-design-skills,119,212
5,chapters/05-ui-ux.qmd,2,Human-Centered Design,human-centered-design,135,213
5,chapters/05-ui-ux.qmd,3,Principles of Human-Centered Design,principles-of-human-centered-design,139,214
5,chapters/05-ui-ux.qmd,3,Understanding Users,understanding-users,209,215
5,chapters/05-ui-ux.qmd,3,Defining the Problem,defining-the-problem,297,216
5,chapters/05-ui-ux.qmd,2,UX Design Heuristics,ux-design-heuristics,321,217
5,chapters/05-ui-ux.qmd,3,Nielsen's 10 Usability Heuristics,nielsen-s-10-usability-heuristics,325,218
5,chapters/05-ui-ux.qmd,3,Applying Heuristics: Heuristic Evaluation,applying-heuristics-heuristic-evaluation,593,219
5,chapters/05-ui-ux.qmd,2,Wireframing and Prototyping,wireframing-and-prototyping,625,220
5,chapters/05-ui-ux.qmd,3,The Prototyping Spectrum,the-prototyping-spectrum,629,221
5,chapters/05-ui-ux.qmd,3,Sketching,sketching,657,222
5,chapters/05-ui-ux.qmd,3,Wireframes,wireframes,715,223
5,chapters/05-ui-ux.qmd,3,Interactive Prototypes,interactive-prototypes,816,224
5,chapters/05-ui-ux.qmd,3,Prototyping Tools,prototyping-tools,836,225
5,chapters/05-ui-ux.qmd,2,Visual Design Fundamentals,visual-design-fundamentals,875,226
5,chapters/05-ui-ux.qmd,3,Visual Hierarchy,visual-hierarchy,879,227
5,chapters/05-ui-ux.qmd,3,Typography,typography,922,228
5,chapters/05-ui-ux.qmd,3,Color,color,954,229
5,chapters/05-ui-ux.qmd,3,Layout and Spacing,layout-and-spacing,1004,230
5,chapters/05-ui-ux.qmd,2,Responsive Design,responsive-design,1062,231
5,chapters/05-ui-ux.qmd,3,Why Responsive Design Matters,why-responsive-design-matters,1066,232
5,chapters/05-ui-ux.qmd,3,Responsive Design Principles,responsive-design-principles,1079,233
5,chapters/05-ui-ux.qmd,3,Breakpoints,breakpoints,1135,234
5,chapters/05-ui-ux.qmd,3,Responsive Patterns,responsive-patterns,1181,235
5,chapters/05-ui-ux.qmd,3,Touch Considerations,touch-considerations,1230,236
5,chapters/05-ui-ux.qmd,2,Accessibility,accessibility,1256,237
5,chapters/05-ui-ux.qmd,3,Why Accessibility Matters,why-accessibility-matters,1260,238
5,chapters/05-ui-ux.qmd,3,WCAG Guidelines,wcag-guidelines,1270,239
5,chapters/05-ui-ux.qmd,3,Common Accessibility Requirements,common-accessibility-requirements,1307,240
5,chapters/05-ui-ux.qmd,3,Accessibility Testing,accessibility-testing,1482,241
5,chapters/05-ui-ux.qmd,2,Design Systems and Style Guides,design-systems-and-style-guides,1514,242
5,chapters/05-ui-ux.qmd,3,Why Design Systems Matter,why-design-systems-matter,1520,243
5,chapters/05-ui-ux.qmd,3,Components of a Design System,components-of-a-design-system,1532,244
5,chapters/05-ui-ux.qmd,3,Creating a Style Guide,creating-a-style-guide,1696,245
5,chapters/05-ui-ux.qmd,3,Style Guide Example,style-guide-example,1740,246
5,chapters/05-ui-ux.qmd,2,Prototyping in Practice: Using Figma,prototyping-in-practice-using-figma,1828,247
5,chapters/05-ui-ux.qmd,3,Figma Basics,figma-basics,1832,248
5,chapters/05-ui-ux.qmd,3,Creating a Simple Wireframe in Figma,creating-a-simple-wireframe-in-figma,1858,249
5,chapters/05-ui-ux.qmd,3,Figma Tips for Beginners,figma-tips-for-beginners,1897,250
5,chapters/05-ui-ux.qmd,2,Chapter Summary,chapter-summary,1922,251
5,chapters/05-ui-ux.qmd,2,Key Terms,key-terms,1948,252
5,chapters/05-ui-ux.qmd,2,Review Questions,review-questions,1970,253
5,chapters/05-ui-ux.qmd,2,Hands-On Exercises,hands-on-exercises,1994,254
5,chapters/05-ui-ux.qmd,3,Exercise 5.1: Heuristic Evaluation,exercise-5-1-heuristic-evaluation,1996,255
5,chapters/05-ui-ux.qmd,3,Exercise 5.2: User Persona Creation,exercise-5-2-user-persona-creation,2006,256
5,chapters/05-ui-ux.qmd,3,Exercise 5.3: Paper Prototyping,exercise-5-3-paper-prototyping,2019,257
5,chapters/05-ui-ux.qmd,3,Exercise 5.4: Digital Wireframes,exercise-5-4-digital-wireframes,2031,258
5,chapters/05-ui-ux.qmd,3,Exercise 5.5: Style Guide Creation,exercise-5-5-style-guide-creation,2044,259
5,chapters/05-ui-ux.qmd,3,Exercise 5.6: Accessibility Audit,exercise-5-6-accessibility-audit,2073,260
5,chapters/05-ui-ux.qmd,3,Exercise 5.7: Responsive Design,exercise-5-7-responsive-design,2085,261
5,chapters/05-ui-ux.qmd,2,Further Reading,further-reading,2097,262
5,chapters/05-ui-ux.qmd,2,References,references,2124,263
6,chapters/06-agile-methodologies.qmd,1,Agile Methodologies and Project Management,agile-methodologies-and-project-management,1,264
6,chapters/06-agile-methodologies.qmd,2,Learning Objectives,learning-objectives,3,265
6,chapters/06-agile-methodologies.qmd,2,The Agile Revolution,the-agile-revolution,19,266
6,chapters/06-agile-methodologies.qmd,3,The Agile Manifesto,the-agile-manifesto,25,267
6,chapters/06-agile-methodologies.qmd,3,The Twelve Principles,the-twelve-principles,53,268
6,chapters/06-agile-methodologies.qmd,3,"Agile Is a Mindset, Not a Methodology",agile-is-a-mindset-not-a-methodology,81,269
6,chapters/06-agile-methodologies.qmd,3,Why Agile Works,why-agile-works,105,270
6,chapters/06-agile-methodologies.qmd,2,Scrum: A Framework for Agile Development,scrum-a-framework-for-agile-development,119,271
6,chapters/06-agile-methodologies.qmd,3,The Scrum Framework Overview,the-scrum-framework-overview,125,272
6,chapters/06-agile-methodologies.qmd,3,Scrum Roles,scrum-roles,173,273
6,chapters/06-agile-methodologies.qmd,3,Scrum Artifacts,scrum-artifacts,241,274
6,chapters/06-agile-methodologies.qmd,3,Scrum Events,scrum-events,366,275
6,chapters/06-agile-methodologies.qmd,3,Sprint Metrics,sprint-metrics,659,276
6,chapters/06-agile-methodologies.qmd,2,Kanban: Continuous Flow,kanban-continuous-flow,725,277
6,chapters/06-agile-methodologies.qmd,3,Kanban Principles,kanban-principles,729,278
6,chapters/06-agile-methodologies.qmd,3,Kanban Practices,kanban-practices,749,279
6,chapters/06-agile-methodologies.qmd,3,Kanban Board Design,kanban-board-design,839,280
6,chapters/06-agile-methodologies.qmd,3,Kanban Metrics,kanban-metrics,877,281
6,chapters/06-agile-methodologies.qmd,3,Scrum vs. Kanban,scrum-vs-kanban,938,282
6,chapters/06-agile-methodologies.qmd,2,Extreme Programming (XP),extreme-programming-xp,961,283
6,chapters/06-agile-methodologies.qmd,3,XP Values,xp-values,965,284
6,chapters/06-agile-methodologies.qmd,3,XP Practices,xp-practices,977,285
6,chapters/06-agile-methodologies.qmd,3,The TDD Cycle,the-tdd-cycle,1013,286
6,chapters/06-agile-methodologies.qmd,3,When to Use XP Practices,when-to-use-xp-practices,1090,287
6,chapters/06-agile-methodologies.qmd,2,Estimation: Story Points and Planning,estimation-story-points-and-planning,1104,288
6,chapters/06-agile-methodologies.qmd,3,Why Traditional Estimation Fails,why-traditional-estimation-fails,1108,289
6,chapters/06-agile-methodologies.qmd,3,Story Points,story-points,1122,290
6,chapters/06-agile-methodologies.qmd,3,Planning Poker,planning-poker,1157,291
6,chapters/06-agile-methodologies.qmd,3,Velocity and Capacity Planning,velocity-and-capacity-planning,1203,292
6,chapters/06-agile-methodologies.qmd,3,Estimation Alternatives,estimation-alternatives,1240,293
6,chapters/06-agile-methodologies.qmd,2,Project Management Tools,project-management-tools,1272,294
6,chapters/06-agile-methodologies.qmd,3,GitHub Projects,github-projects,1276,295
6,chapters/06-agile-methodologies.qmd,3,Jira,jira,1354,296
6,chapters/06-agile-methodologies.qmd,3,Other Tools,other-tools,1407,297
6,chapters/06-agile-methodologies.qmd,2,"Breaking Down Work: Epics, Stories, and Tasks",breaking-down-work-epics-stories-and-tasks,1434,298
6,chapters/06-agile-methodologies.qmd,3,The Work Hierarchy,the-work-hierarchy,1438,299
6,chapters/06-agile-methodologies.qmd,3,Epics,epics,1466,300
6,chapters/06-agile-methodologies.qmd,3,User Stories (Review),user-stories-review,1500,301
6,chapters/06-agile-methodologies.qmd,3,Tasks,tasks,1580,302
6,chapters/06-agile-methodologies.qmd,3,Definition of Ready and Definition of Done,definition-of-ready-and-definition-of-done,1615,303
