block_id,chapter,section,source_file,source_line,language_or_class,first_meaningful_line,last_meaningful_line,line_count,sha256,semantic_candidate
block-0011,1,Writing Good Commit Messages,chapters/01-introduction.qmd,512,(untyped),Add password strength indicator to registration form,Closes #456,7,3b67271dc6632e88834953cd8eaf6676280eee1aa0ea2023768049bbf9dd41af,PLAIN_VERBATIM
block-0012,1,Writing Good Commit Messages,chapters/01-introduction.qmd,522,(untyped),Fix memory leak in image processing module,Added explicit cleanup in the finally block.,5,d66298906dd7f48beea77dd21d90650f8d72fb3bd937d2ff3b620ce0fd9f5fa7,PLAIN_VERBATIM
block-0013,1,Writing Good Commit Messages,chapters/01-introduction.qmd,532,(untyped),fix bug,fix bug,1,52f2d71111e2a177e5bee87d6537b321398731c0b0ccefa908d2b84e5a00d29f,PLAIN_VERBATIM
block-0014,1,Writing Good Commit Messages,chapters/01-introduction.qmd,536,(untyped),Updates,Updates,1,22e2bada8f1c65cd83f4ba976f0027c5dd7cb81d5d2199cd1b0130792841eef4,PLAIN_VERBATIM
block-0015,1,Writing Good Commit Messages,chapters/01-introduction.qmd,540,(untyped),WIP,WIP,1,a9e0ba49b003e1cc40b7f9a9b55f0c87992858aeb7bf4136da63a3c2dddb98a0,PLAIN_VERBATIM
block-0016,1,Writing Good Commit Messages,chapters/01-introduction.qmd,544,(untyped),asdfasdf,asdfasdf,1,2413fb3709b05939f04cf2e92f7d0897fc2596f9ad0b8a9ea855c7bfebaae892,PLAIN_VERBATIM
block-0017,1,Repository Structure and Documentation,chapters/01-introduction.qmd,577,(untyped),# Dependencies,*.log,19,d3c18545c6622af88694bda25e6000ebdb899265eef5bcc7a812cda1d88f5ffe,PLAIN_VERBATIM
block-0018,1,This Week's Deliverables,chapters/01-introduction.qmd,727,(untyped),-   Initialize with a README,-   Set up initial folder structure,3,6bde47f9e68948ec4b305a00c40312b82ed26ebb99ed90a62d6c9763e1b8aab8,PLAIN_VERBATIM
block-0019,1,This Week's Deliverables,chapters/01-introduction.qmd,733,(untyped),-   Problem statement: What problem does your system solve?,-   Success criteria: How will you know if the project succeeds?,5,df19dd600ec68fb0decfca280af2ebdc20746b9a3a440de975cb2559bc887108,PLAIN_VERBATIM
block-0020,1,Exercise 1.1: Git Basics,chapters/01-introduction.qmd,818,bash,# Create a new directory and initialize a repository,git log --oneline,17,1d3182e297580a8f69f8643f720e79d7fac04af362a923994b577f34d2ccbcc9,TERMINAL_SESSION
block-0021,1,Exercise 1.2: Branching Practice,chapters/01-introduction.qmd,842,bash,# Create and switch to a new branch,git branch -d feature/add-gitignore,15,d2300d3701200afb0f97f6e4fcb32b8d8fc8fe56f3b849b32967a415e3f79611,TERMINAL_SESSION
block-0022,2,Acceptance Criteria,chapters/02-requirements-engineering.qmd,499,(untyped),Given [precondition/context],Then [expected outcome],3,435d509bc6144afe85e81c40fc702f125f9d3bffadc824a8f57468611c3eb23d,PLAIN_VERBATIM
block-0023,2,Acceptance Criteria,chapters/02-requirements-engineering.qmd,507,(untyped),"Story: As a customer, I want to reset my password so that I can",And contain at least one special character,28,0ea8e66ce5460b8b8aec1fa06e3ab73f4550874f60f272d4f326432b72add6ef,PLAIN_VERBATIM
block-0024,2,Acceptance Criteria,chapters/02-requirements-engineering.qmd,540,(untyped),"Story: As a customer, I want to filter search results so that I can",□ Filter state is preserved when navigating back to results,12,eb3593650bbeb760fcdb15b524c57f29b2a06fe9ccd88024d9ea776c86a0ded1,PLAIN_VERBATIM
block-0025,2,"Epics, Stories, and Tasks",chapters/02-requirements-engineering.qmd,569,(untyped),EPIC: Shopping Cart,...,20,3d0c764755690571b91cfad3e59aa548cb5d1ccad30897484f2611e98c8f7048,PLAIN_VERBATIM
block-0026,2,SRS Structure (IEEE 830),chapters/02-requirements-engineering.qmd,646,(untyped),1. Introduction,4.3 To Be Determined List,33,2092398c4eede804736b641e75c462ad3ec28c2b841220bb8d0b35cf2809d108,PLAIN_VERBATIM
block-0027,2,Writing an SRS: Section by Section,chapters/02-requirements-engineering.qmd,800,(untyped),3.1.1 User Management,pre-populate tasks and settings.,36,c16b05f51bf19047ae9a504968b396bc6ab8126cc5993ddd7410463022e977d5,PLAIN_VERBATIM
block-0028,2,Traceability in Agile Projects,chapters/02-requirements-engineering.qmd,1021,(untyped),Epic: E-001 User Authentication,│   └── ...,8,b1ac450fff611f668ecc18ef15bfce496df3578bc4558d5110b65b80b6788d77,ASCII_DIAGRAM
block-0029,2,Using GitHub for Requirements,chapters/02-requirements-engineering.qmd,1188,(untyped),"Title: As a customer, I want to reset my password",**Sprint:** Sprint 2,15,726898069f91a2c969978951aa539af5b192f302371f711fab81af84909aaac4,PLAIN_VERBATIM
block-0030,3,Use Case Diagram Elements,chapters/03-systems-modeling.qmd,162,(untyped),O,/ \,3,2af158c6e77ee4bf25d521aff149db0afe284db138884b229ea75885d54bb10f,PLAIN_VERBATIM
block-0031,3,Use Case Diagram Elements,chapters/03-systems-modeling.qmd,170,(untyped),╭─────────────────────╮,╰─────────────────────╯,3,705bd51709467d89e2c8b6d79699bef2e1c50d108f51e30c221c2d462511705e,ASCII_DIAGRAM
block-0032,3,Use Case Diagram Elements,chapters/03-systems-modeling.qmd,178,(untyped),┌─────────────────────────────────────────┐,└─────────────────────────────────────────┘,12,ba972ea7c653433a836bc7c1f1dadffb37c6f7a764f051e116dd6e780117ac6c,ASCII_DIAGRAM
block-0033,3,Use Case Diagram Elements,chapters/03-systems-modeling.qmd,195,(untyped),O,Customer          ╰───────────────╯,4,d82adc5943e697051a2aba53fb110e43f82956a77241e82b5df39ab68f810497,ASCII_DIAGRAM
block-0034,3,Use Case Relationships,chapters/03-systems-modeling.qmd,210,(untyped),╭─────────────────╮         ╭─────────────────╮,╰─────────────────╯«include»╰─────────────────╯,7,b9fcf1733cd2fb19094216dc6675a36b80f77e15540fa167475358a719e9b169,ASCII_DIAGRAM
block-0035,3,Use Case Relationships,chapters/03-systems-modeling.qmd,226,(untyped),╭─────────────────╮         ╭─────────────────╮,╰─────────────────╯«extend» ╰─────────────────╯,3,e96a33966776b0786674eb71d29868939e8a179d31079df8140d4e758ea2d095,ASCII_DIAGRAM
block-0036,3,Use Case Relationships,chapters/03-systems-modeling.qmd,238,(untyped),O,Customer Customer,12,79e3d4c01a21ccff0de297fbe98b6ca0cc0092d89b413f2a1345004d45561c71,PLAIN_VERBATIM
block-0037,3,Use Case Descriptions,chapters/03-systems-modeling.qmd,267,(untyped),USE CASE: Borrow Book,Frequency: ~200 times per day,45,bfda58dcec2908cabb170eeb2fb769222d5b06250876e9857cfbd461e510108d,PLAIN_VERBATIM
block-0038,3,Activity Diagram Elements,chapters/03-systems-modeling.qmd,360,(untyped),●,●,1,e324c26ee41e01756563ec09ff78c7f8892b7b1dbf9d9c024db9c1b9e8c22c54,PLAIN_VERBATIM
block-0039,3,Activity Diagram Elements,chapters/03-systems-modeling.qmd,366,(untyped),◉,◉,1,c4fe99f3124b9e7bcfffcf609fc1c1c7f3dbf0abc2cb9e8747f8544fec9a1fda,PLAIN_VERBATIM
block-0040,3,Activity Diagram Elements,chapters/03-systems-modeling.qmd,372,(untyped),╭─────────────────────╮,╰─────────────────────╯,3,45663811f672a5f2f73a24d3b4f76402d26b6b59e8ae06e436a363ad754751a9,ASCII_DIAGRAM
block-0041,3,Activity Diagram Elements,chapters/03-systems-modeling.qmd,380,(untyped),│,▼       ▼,7,c68f5d9990d81f06acaad7346e14cf299fffec6c33d9a24c0f201389525b5d6d,ASCII_DIAGRAM
block-0042,3,Activity Diagram Elements,chapters/03-systems-modeling.qmd,392,(untyped),╲     ╱,▼,5,905b98466741509b22953396722878d6dfd4778176d4ebb3c496c8b3548ffdcb,ASCII_DIAGRAM
block-0043,3,Activity Diagram Elements,chapters/03-systems-modeling.qmd,402,(untyped),│,▼    ▼    ▼,4,1326683a2c018c0a8960c10ded07bb0729f4938517ed953122a95898857f4abb,ASCII_DIAGRAM
block-0044,3,Activity Diagram Elements,chapters/03-systems-modeling.qmd,411,(untyped),│    │    │,▼,4,103177b99aa51f467dcb20fb833f63ae742e4aa13944b23798ce3e318bf8d8b1,ASCII_DIAGRAM
block-0045,3,Control Flow vs. Object Flow,chapters/03-systems-modeling.qmd,424,(untyped),╭─────────────╮     ╭─────────────╮,╰─────────────╯     ╰─────────────╯,3,da088a52949a0b8cdda4fc8868e5781e1b9d8cefcb0b23d34dd7c9a41b082675,ASCII_DIAGRAM
block-0046,3,Control Flow vs. Object Flow,chapters/03-systems-modeling.qmd,432,(untyped),╭─────────────╮     ┌─────────┐     ╭─────────────╮,╰─────────────╯     └─────────┘     ╰─────────────╯,3,cf5b294a6163c17297bbe1ce98437e9072dc4e0fced03e4d69d91c311674424c,ASCII_DIAGRAM
block-0047,3,Sequence Diagram Elements,chapters/03-systems-modeling.qmd,500,(untyped),┌────────────────┐,│,7,34dcd6a6236fb17394137b85f2abd6d9c5e67414288b05217f15dc3ce5a8cd5a,ASCII_DIAGRAM
block-0048,3,Sequence Diagram Elements,chapters/03-systems-modeling.qmd,514,(untyped),────────────────────►,────────────────────►,1,ac1f4eba7e8522b04a5186cbbff2907d245a087611259e2c4cb8f70daaad43ff,ASCII_DIAGRAM
block-0049,3,Sequence Diagram Elements,chapters/03-systems-modeling.qmd,520,(untyped),────────────────────▷,────────────────────▷,1,df0c02f8b7d0c1285864a38ab608ca1e71918b4d1c50c09a477627dec76df08f,ASCII_DIAGRAM
block-0050,3,Sequence Diagram Elements,chapters/03-systems-modeling.qmd,526,(untyped),- - - - - - - - - - ►,- - - - - - - - - - ►,1,e562a136cda4fed568713b12d62d91a9b24ecfcf4f016ead44f6a22675dd4254,PLAIN_VERBATIM
block-0051,3,Sequence Diagram Elements,chapters/03-systems-modeling.qmd,532,(untyped),┌───┐,│,5,14e72a2ee6847156ec07e046ba54a8ece4e27b050666490bddc7c1aef4b7b3a5,ASCII_DIAGRAM
block-0052,3,Sequence Diagram Elements,chapters/03-systems-modeling.qmd,542,(untyped),┌────────────┐                    ┌────────────┐,│                                  │,12,a4e8f28658b8758547dda22e4dd55b5b7d655cf1e9173ae170446b900078cb08,ASCII_DIAGRAM
block-0053,3,Combined Fragments,chapters/03-systems-modeling.qmd,563,(untyped),┌──────────────────────────────────────┐,└──────────────────────────────────────┘,8,04abe80a28faeecf3ab91b69f73c6023f6d8c9f8f1c778da402ee1e0e30e488d,ASCII_DIAGRAM
block-0054,3,Combined Fragments,chapters/03-systems-modeling.qmd,576,(untyped),┌──────────────────────────────────────┐,└──────────────────────────────────────┘,6,d4bc1a176cc182dcdd127c40a657e34a1ee115bdd042f0a0d6e0a70d3a37159b,ASCII_DIAGRAM
block-0055,3,Combined Fragments,chapters/03-systems-modeling.qmd,587,(untyped),┌──────────────────────────────────────┐,└──────────────────────────────────────┘,6,ac288a5b3527647eb438c526c8a3b657e08255e095a79c8b7e8bf94bc4a16577,ASCII_DIAGRAM
block-0056,3,Combined Fragments,chapters/03-systems-modeling.qmd,598,(untyped),┌──────────────────────────────────────┐,└──────────────────────────────────────┘,6,9556753557a4d0af2cd8c7abbfdf4e104dfe135df2eeccf64a369eabbabaa940,ASCII_DIAGRAM
block-0057,3,Object Creation and Destruction,chapters/03-systems-modeling.qmd,619,(untyped),┌──────────┐,│                                           │,9,bad5f8357d1bf038eea04cd478967b24e4b64d6e9758d0167202836d24a9ca09,ASCII_DIAGRAM
block-0058,3,Object Creation and Destruction,chapters/03-systems-modeling.qmd,633,(untyped),│                                           │,│,5,0d6f706559f3f0301ace38703cbca085a232f7f9cb48d0fb6e8872e07e0739e6,ASCII_DIAGRAM
block-0059,3,Class Notation,chapters/03-systems-modeling.qmd,684,(untyped),┌─────────────────────────────────┐,└─────────────────────────────────┘,11,f5e29c07cc16d9c0daba7a750fa86c1c40d48188fe82367200ad756dfed85f42,ASCII_DIAGRAM
block-0060,3,Class Notation,chapters/03-systems-modeling.qmd,707,(untyped),visibility name: type [multiplicity] = defaultValue,visibility name: type [multiplicity] = defaultValue,1,475ad28c538b217592271174a87586763ebec43b4bbf7588ed6d2112f31d5204,PLAIN_VERBATIM
block-0061,3,Class Notation,chapters/03-systems-modeling.qmd,713,(untyped),- id: int,+ status: OrderStatus = PENDING,4,f6474698abc2ad9010ac21d2cb80031aa6f8d4b23afdaecf80175445c4b6f445,PLAIN_VERBATIM
block-0062,3,Class Notation,chapters/03-systems-modeling.qmd,722,(untyped),visibility name(parameters): returnType,visibility name(parameters): returnType,1,279fcf5b3afcfd4ff5b5dd165e5b1bc11fdc6bbd33030ac8d09434cc29bfccf2,PLAIN_VERBATIM
block-0063,3,Class Notation,chapters/03-systems-modeling.qmd,728,(untyped),+ calculateTotal(): Decimal,"+ addItem(product: Product, quantity: int): void",3,a236bbcd8ac457ed0538288b175df6d0bdb48727982d6821c3e26f3cc494a7fa,PLAIN_VERBATIM
block-0064,3,Relationships Between Classes,chapters/03-systems-modeling.qmd,740,(untyped),┌─────────────┐                    ┌─────────────┐,└─────────────┘                    └─────────────┘,3,503195b906cb8e8abe0b16ae0c4530f43d87680af0a9fc5a4acfb74da765f10d,ASCII_DIAGRAM
block-0065,3,Relationships Between Classes,chapters/03-systems-modeling.qmd,748,(untyped),┌─────────────┐     enrolledIn     ┌─────────────┐,└─────────────┘  1..*        0..*  └─────────────┘,3,79a0e0e85ac95834a3e53cf837ef630b7f1a12f591751fb0dda5b1e2d27134c1,ASCII_DIAGRAM
block-0066,3,Relationships Between Classes,chapters/03-systems-modeling.qmd,758,(untyped),┌─────────────┐                    ┌─────────────┐,└─────────────┘                    └─────────────┘,3,516cc447c3a2351179c95f8e781ab7cc7b66148805d75bb654bbc84f1100b82e,ASCII_DIAGRAM
block-0067,3,Relationships Between Classes,chapters/03-systems-modeling.qmd,768,(untyped),┌─────────────┐                    ┌─────────────┐,└─────────────┘                    └─────────────┘,3,1208fd129d86d6e7611dc578920276d2a2fa7dbdf37a6b920ac086dfaaff7822,ASCII_DIAGRAM
block-0068,3,Relationships Between Classes,chapters/03-systems-modeling.qmd,778,(untyped),┌─────────────┐                    ┌─────────────┐,└─────────────┘                    └─────────────┘,3,840328ddc3e3c34c9a345363ea2147e020f1cac2ffa5ed4b64b135b6e848df14,ASCII_DIAGRAM
block-0069,3,Relationships Between Classes,chapters/03-systems-modeling.qmd,788,(untyped),┌─────────────┐,└─────────────┘,12,d855de1c5076fc1ba3a2e993d24d3bf21b40d6992f2975dacf7972446d19dae8,ASCII_DIAGRAM
block-0070,3,Relationships Between Classes,chapters/03-systems-modeling.qmd,805,(untyped),┌─────────────────────┐,└─────────────────────┘,18,9bd22f1362103d0f6a111cad2583e4c9507e0f0fc9b4fd6d596f933e313e8ba1,ASCII_DIAGRAM
block-0071,3,Relationships Between Classes,chapters/03-systems-modeling.qmd,828,(untyped),┌─────────────┐                    ┌─────────────┐,└─────────────┘                    └─────────────┘,3,7ff32733336fef06e48649d7c17b1e3e8ae0d094c68acb54097e6640cbb6efb9,ASCII_DIAGRAM
block-0072,3,Association Classes,chapters/03-systems-modeling.qmd,840,(untyped),┌─────────────┐                    ┌─────────────┐,└─────────┘,10,60b377336152b83a53ab0343d207455ed26d3b530fc4e5f9fbe45c5b1eb50a90,ASCII_DIAGRAM
block-0073,3,PlantUML Example,chapters/03-systems-modeling.qmd,1017,plantuml,@startuml,@enduml,14,3a2e7058abbf76822c1dafe13f4b3148f915ebe10d25ee40592c9005cc3f63ba,PLAIN_VERBATIM
block-0074,3,PlantUML Example,chapters/03-systems-modeling.qmd,1036,plantuml,@startuml,@enduml,14,5f19dc20ed417c80d6e7afcfb705529ae5d34571b4bbd0b51c7e220bcd6566dd,PLAIN_VERBATIM
block-0075,3,PlantUML Example,chapters/03-systems-modeling.qmd,1055,plantuml,@startuml,@enduml,25,4f41d7d6faa867ae313f9234ab6a04f99d62eca7b63cc6bf2c229c00700a9562,PLAIN_VERBATIM
block-0076,3,Mermaid Example,chapters/03-systems-modeling.qmd,1089,mermaid,sequenceDiagram,L-->>U: loginSuccess(token),13,abe4d7a7e66c346500619f0e6db89b803bf1b7d27dc2349b4fd8d07b3b4036ce,PLAIN_VERBATIM
block-0077,3,Mermaid Example,chapters/03-systems-modeling.qmd,1107,mermaid,classDiagram,"Customer ""1"" --> ""0..*"" Order : places",17,9f3f5d5c64f60a4772b2ad9c87b568da8930e0dd96891dbc1da0699aae6e01ff,PLAIN_VERBATIM
block-0078,4,Layered Architecture,chapters/04-software-architecture.qmd,133,(untyped),src/,└── ...,22,33a6b9ca5253b2e993b71051e8e3e094881a7d9057f0ff20f46181c0a92aae9d,ASCII_DIAGRAM
block-0079,4,Event-Driven Architecture,chapters/04-software-architecture.qmd,305,(untyped),"Event: { type: ""OrderPlaced"", orderId: ""12345"", timestamp: ""..."" }","Event: { type: ""OrderPlaced"", orderId: ""12345"", timestamp: ""..."" }",1,3081b924991031db2490bb67b3646b959e7152ef70db47724f99dbc3c065e0e8,PLAIN_VERBATIM
block-0080,4,Event-Driven Architecture,chapters/04-software-architecture.qmd,311,(untyped),Event: {,},7,38e91b4c86be8582728f146e825cc717f01253077f5b5b95dc82f8a81855ef79,PLAIN_VERBATIM
block-0081,4,Event-Driven Architecture,chapters/04-software-architecture.qmd,323,(untyped),Events for Account #123:,Current balance: 0 + 100 - 30 + 50 = 120,7,ffd5056cc526030d2f0bd4cb220b17533e288eaeb5c4549628474633148e03de,PLAIN_VERBATIM
block-0082,4,Single Responsibility Principle (SRP),chapters/04-software-architecture.qmd,422,java,public class Employee {,},22,866ebc6c5ec5bb0bf8a219a3a0a6533eb1af9249481754862c8f6eff828f26e4,PROGRAM_CODE
block-0083,4,Single Responsibility Principle (SRP),chapters/04-software-architecture.qmd,451,java,// Handles employee data and business rules,},29,519f8334f9c9f8cf186191f230b2070e6191d659db351121ccdc30ca6798184d,PROGRAM_CODE
block-0084,4,Open/Closed Principle (OCP),chapters/04-software-architecture.qmd,500,java,public class AreaCalculator {,},13,1e49fa887e44aa7636dc87dec69899c3b1c9331407b3a1370e20a87c93d5d85b,PROGRAM_CODE
block-0085,4,Open/Closed Principle (OCP),chapters/04-software-architecture.qmd,520,java,public interface Shape {,},40,f6c43f17d36c022895792b9cc472847408dd741422d916b7a3d2749fe873b1f8,PROGRAM_CODE
block-0086,4,Liskov Substitution Principle (LSP),chapters/04-software-architecture.qmd,580,java,public class Rectangle {,},30,2e7c69e42fc78d842b96624fd65b5fa6dc25e26ebec9732c53d13ee18b1ec295,PROGRAM_CODE
block-0087,4,Liskov Substitution Principle (LSP),chapters/04-software-architecture.qmd,615,java,public void testRectangle(Rectangle r) {,},5,8664af16ed018ab0686d82ced676dbeb99ca9739be3b7449f26be5fa31a6498d,PROGRAM_CODE
block-0088,4,Liskov Substitution Principle (LSP),chapters/04-software-architecture.qmd,627,java,public interface Shape {,},31,687c2482fc67aa2a3ef9ca409f336cc670ef261b87d41810fa27f34f6e409725,PROGRAM_CODE
block-0089,4,Interface Segregation Principle (ISP),chapters/04-software-architecture.qmd,678,java,public interface Worker {,},31,a99a3127b0e25afaaf17a54a8024c1acd881332169a3b6601b89cf75da3f3073,PROGRAM_CODE
block-0090,4,Interface Segregation Principle (ISP),chapters/04-software-architecture.qmd,716,java,public interface Workable {,},27,58e79fc88b10bb17e04e953dde71ee7077ceafc8dd9fca94b97f66fa83c6271e,PROGRAM_CODE
block-0091,4,Dependency Inversion Principle (DIP),chapters/04-software-architecture.qmd,763,java,public class MySQLDatabase {,},18,a7f3d08eaef31ae2069927991f32efb0a9587f7b2e9d027c4c9d759d21293deb,PROGRAM_CODE
block-0092,4,Dependency Inversion Principle (DIP),chapters/04-software-architecture.qmd,788,java,// Abstraction,},33,dd80aad09b53f53a9c8ae99820525c6b13e46d7b7f5e74cef88f5613dba921ca,PROGRAM_CODE
block-0093,4,Dependency Inversion Principle (DIP),chapters/04-software-architecture.qmd,830,java,// Constructor injection,UserService testService = new UserService(new MockDatabase());,5,56e6f656b4976851e0673689cac332fdaedb8b6c1dc5ae7ff5c6345e99a60974,PROGRAM_CODE
block-0094,4,Singleton Pattern,chapters/04-software-architecture.qmd,885,java,public class DatabaseConnection {,"db.query(""SELECT * FROM users"");",30,9ddf479a22d6fe8e7100e647f8ae69f8e8b260503ea2e1f99f7fb2be87902a34,PROGRAM_CODE
block-0095,4,Factory Method Pattern,chapters/04-software-architecture.qmd,943,java,// Product interface,"notification.send(""Hello, World!"");",47,b85406196ffd2c7e1c7d91ccb67ab0898ba7aa2253dc665ab20921c5b2fa4a8a,PROGRAM_CODE
block-0096,4,Builder Pattern,chapters/04-software-architecture.qmd,1010,java,public class User {,.build();,59,a9da4a1851dcf33663707aec273d5a4b9514e1982eff8d62e919b692d281a114,PROGRAM_CODE
block-0097,4,Adapter Pattern,chapters/04-software-architecture.qmd,1093,java,// Existing interface our code uses,"player.play(""movie.mp4"");  // Works through adapter",39,b81e8a00531dc33b96cb208871a305017c42e7d3760ad31f67a69409133b1730,PROGRAM_CODE
block-0098,4,Decorator Pattern,chapters/04-software-architecture.qmd,1153,java,// Component interface,System.out.println(coffee.getCost());         // 2.75,78,f0353a9147da406f773e7b31ac40008faf8e3e8c90e85952b6ad039badd9c317,PROGRAM_CODE
block-0099,4,Facade Pattern,chapters/04-software-architecture.qmd,1250,java,// Complex subsystem classes,computer.start();,50,4a4bb7d6a9ca93feecd619a704e736852c675878527c3460a5e3e812caf3f9a8,PROGRAM_CODE
block-0100,4,Strategy Pattern,chapters/04-software-architecture.qmd,1324,java,// Strategy interface,cart.checkout();  // Paid $34.98 via PayPal (user@email.com),80,696a45c914bf94e10e9e53d4eeebc7f5716299d3721d2f44bf84f87a26a3b22b,PROGRAM_CODE
block-0101,4,Observer Pattern,chapters/04-software-architecture.qmd,1423,java,// Observer interface,// Mobile notification: Update: Weather forecast changed,82,432b69465a730b26fb7a4a5e52320ea0935f1e52d7ec2648dd56553780ca4c72,PROGRAM_CODE
block-0102,4,Template Method Pattern,chapters/04-software-architecture.qmd,1524,java,// Abstract class with template method,// Closing JSON streams and freeing memory...,73,e49b0ee72360e05d6f923bb5685be60a275e5dd63eb21af977f6cf54ca8534c5,PROGRAM_CODE
block-0103,4,SAD Structure,chapters/04-software-architecture.qmd,1638,(untyped),1. Introduction,B. Architecture Decision Records (ADRs),45,39903382d8be931f8d2f8b32e43145fea64b84bff9d9223d20c5e26c34509446,PLAIN_VERBATIM
block-0104,4,Architecture Decision Records (ADRs),chapters/04-software-architecture.qmd,1709,markdown,# ADR-001: Use PostgreSQL as Primary Database,- John Architect,55,155f3981c9392c8c293580a0cb51e7292471c6244acd4a563dd806fa815598a8,PLAIN_VERBATIM
block-0105,4,Exercise 4.2: SOLID Refactoring,chapters/04-software-architecture.qmd,1906,java,public class Report {,},24,165294a895b5cb34411c91bd6dad735df357f886fde0eb85195777173aef8f73,PROGRAM_CODE
block-0106,4,Exercise 4.6: Pattern Recognition,chapters/04-software-architecture.qmd,1969,java,public class Logger {,},12,772ab53d1b15b6f3f3a4c2a520a45b153afd24c45a081a43480a47440bc3b907,PROGRAM_CODE
block-0107,4,Exercise 4.6: Pattern Recognition,chapters/04-software-architecture.qmd,1986,java,public interface SortStrategy {,},18,6ad161db471f43528b9a82ff633e16716f36b0db40d2ed4e6173f8bc1ffed11e,PROGRAM_CODE
block-0108,4,Exercise 4.6: Pattern Recognition,chapters/04-software-architecture.qmd,2009,java,public interface Beverage {,},19,b48e482d2bbba168498df2f76f948a97ef33def96ba71a18e7613db87357ce79,PROGRAM_CODE
block-0109,5,The Relationship Between UX and UI,chapters/05-ui-ux.qmd,89,(untyped),┌─────────────────────────────────────────────────────────────────────────┐,└─────────────────────────────────────────────────────────────────────────┘,19,8b5cb4ef5bf8ab3a02d97d65fea11cd1aff04586cdfddee010738e40947c48fb,ASCII_DIAGRAM
block-0110,5,Principles of Human-Centered Design,chapters/05-ui-ux.qmd,166,(untyped),┌──────────────┐,(Iterate),36,969c4bfd65cba86e9cfab84888b79705853868af223d6c57a0e415e562c50cd7,ASCII_DIAGRAM
block-0111,5,Understanding Users,chapters/05-ui-ux.qmd,230,(untyped),┌─────────────────────────────────────────────────────────────────────────┐,└─────────────────────────────────────────────────────────────────────────┘,31,9e490d0ed0f1894397f7dd4eb4288b0b09e7a81629610acaaf1359ef97894750,ASCII_DIAGRAM
block-0112,5,Understanding Users,chapters/05-ui-ux.qmd,268,(untyped),USER JOURNEY: New Customer Making First Purchase,comparison,26,2b223e8bee7e737a6d83f45499e2704f6e05611deebaceaccb9f6b93b3a5cb6c,ASCII_DIAGRAM
block-0113,5,Nielsen's 10 Usability Heuristics,chapters/05-ui-ux.qmd,346,(untyped),┌─────────────────────────────────────────┐,└─────────────────────────────────────────┘,10,932ea1a02f79702466644423733afedecad2e64433cb57986b4ac03cd5dbe26f,ASCII_DIAGRAM
block-0114,5,Nielsen's 10 Usability Heuristics,chapters/05-ui-ux.qmd,433,(untyped),┌─────────────────────────────────────────┐,└─────────────────────────────────────────┘,17,ebba16299c38b36e3fe657228d9c9ce774839a7833105ffd880ad27bf8ce74b7,ASCII_DIAGRAM
