pdf_page,book_page_label,chapter,category,severity,finding,recommendation
15,xv,,TOC,MEDIUM,Table of contents occupies 19 PDF pages and includes very deep section detail.,Reduce print TOC depth; target chapter + major section hierarchy and fix number/title spacing for 10.x+ entries.
16,xvi,,TOC,MEDIUM,Table of contents occupies 19 PDF pages and includes very deep section detail.,Reduce print TOC depth; target chapter + major section hierarchy and fix number/title spacing for 10.x+ entries.
17,xvii,,TOC,MEDIUM,Table of contents occupies 19 PDF pages and includes very deep section detail.,Reduce print TOC depth; target chapter + major section hierarchy and fix number/title spacing for 10.x+ entries.
18,xviii,,TOC,MEDIUM,Table of contents occupies 19 PDF pages and includes very deep section detail.,Reduce print TOC depth; target chapter + major section hierarchy and fix number/title spacing for 10.x+ entries.
19,xix,,TOC,MEDIUM,Table of contents occupies 19 PDF pages and includes very deep section detail.,Reduce print TOC depth; target chapter + major section hierarchy and fix number/title spacing for 10.x+ entries.
20,xx,,TOC,MEDIUM,Table of contents occupies 19 PDF pages and includes very deep section detail.,Reduce print TOC depth; target chapter + major section hierarchy and fix number/title spacing for 10.x+ entries.
21,1,,Print/Web separation,CRITICAL,"The web landing page is being printed, including Read/Download actions and web-oriented marketing copy.",Exclude index.qmd web landing content from print and use dedicated print front matter.
22,2,,Print/Web separation,HIGH,The digital cover is printed as a numbered figure inside the interior.,Remove the web cover figure from the print manuscript/front matter.
23,3,,Print/Web separation,HIGH,Web landing-page continuation is printed; 'Inside the Book' is duplicated visually.,Replace with dedicated print preface/front matter; do not print homepage sections.
26,6,1.0,Standalone-textbook editorial residue,MEDIUM,Course/semester-specific wording remains in the complete-edition print text.,Decide deliberately whether the complete edition is a course text or standalone textbook; generalize administrative/course language where it limits independent use.
42,22,1.0,Standalone-textbook editorial residue,MEDIUM,Course/semester-specific wording remains in the complete-edition print text.,Decide deliberately whether the complete edition is a course text or standalone textbook; generalize administrative/course language where it limits independent use.
43,23,1.0,Standalone-textbook editorial residue,MEDIUM,Course/semester-specific wording remains in the complete-edition print text.,Decide deliberately whether the complete edition is a course text or standalone textbook; generalize administrative/course language where it limits independent use.
46,26,1.0,Standalone-textbook editorial residue,MEDIUM,Course/semester-specific wording remains in the complete-edition print text.,Decide deliberately whether the complete edition is a course text or standalone textbook; generalize administrative/course language where it limits independent use.
81,61,2.0,Standalone-textbook editorial residue,MEDIUM,Course/semester-specific wording remains in the complete-edition print text.,Decide deliberately whether the complete edition is a course text or standalone textbook; generalize administrative/course language where it limits independent use.
88,68,3.0,UML / ASCII rendering,HIGH,UML notation or ASCII diagram content contains missing/weak box-drawing or symbol rendering.,Replace symbol-heavy ASCII with purpose-built vector UML diagrams; preserve native PlantUML/Mermaid examples as code where pedagogically needed.
89,69,3.0,UML / ASCII rendering,HIGH,UML notation or ASCII diagram content contains missing/weak box-drawing or symbol rendering.,Replace symbol-heavy ASCII with purpose-built vector UML diagrams; preserve native PlantUML/Mermaid examples as code where pedagogically needed.
90,70,3.0,UML / ASCII rendering,HIGH,UML notation or ASCII diagram content contains missing/weak box-drawing or symbol rendering.,Replace symbol-heavy ASCII with purpose-built vector UML diagrams; preserve native PlantUML/Mermaid examples as code where pedagogically needed.
91,71,3.0,Figure sizing,MEDIUM,A UML instructional figure consumes most of the page with limited surrounding explanation.,Resize by complexity; keep simple/medium diagrams with their explanatory prose when legible.
93,73,3.0,Missing glyph,CRITICAL,Book page 73 shows the Activity Diagram final-node symbol as a missing square glyph.,Replace the symbol with a proper vector/native UML node or supported glyph.
93,73,3.0,UML / ASCII rendering,HIGH,UML notation or ASCII diagram content contains missing/weak box-drawing or symbol rendering.,Replace symbol-heavy ASCII with purpose-built vector UML diagrams; preserve native PlantUML/Mermaid examples as code where pedagogically needed.
94,74,3.0,UML / ASCII rendering,HIGH,UML notation or ASCII diagram content contains missing/weak box-drawing or symbol rendering.,Replace symbol-heavy ASCII with purpose-built vector UML diagrams; preserve native PlantUML/Mermaid examples as code where pedagogically needed.
95,75,3.0,UML / ASCII rendering,HIGH,UML notation or ASCII diagram content contains missing/weak box-drawing or symbol rendering.,Replace symbol-heavy ASCII with purpose-built vector UML diagrams; preserve native PlantUML/Mermaid examples as code where pedagogically needed.
96,76,3.0,Figure sizing,MEDIUM,A UML instructional figure consumes most of the page with limited surrounding explanation.,Resize by complexity; keep simple/medium diagrams with their explanatory prose when legible.
97,77,3.0,Figure overflow,CRITICAL,Activity Diagram: Login Algorithm is visibly clipped off the right side of the page.,Rebuild the diagram with a correct viewBox/bounds and constrain it to the text area; verify odd/even pages.
99,79,3.0,UML / ASCII rendering,HIGH,UML notation or ASCII diagram content contains missing/weak box-drawing or symbol rendering.,Replace symbol-heavy ASCII with purpose-built vector UML diagrams; preserve native PlantUML/Mermaid examples as code where pedagogically needed.
100,80,3.0,UML / ASCII rendering,HIGH,UML notation or ASCII diagram content contains missing/weak box-drawing or symbol rendering.,Replace symbol-heavy ASCII with purpose-built vector UML diagrams; preserve native PlantUML/Mermaid examples as code where pedagogically needed.
101,81,3.0,Figure sizing,MEDIUM,A UML instructional figure consumes most of the page with limited surrounding explanation.,Resize by complexity; keep simple/medium diagrams with their explanatory prose when legible.
102,82,3.0,Figure sizing,MEDIUM,A UML instructional figure consumes most of the page with limited surrounding explanation.,Resize by complexity; keep simple/medium diagrams with their explanatory prose when legible.
103,83,3.0,UML / ASCII rendering,HIGH,UML notation or ASCII diagram content contains missing/weak box-drawing or symbol rendering.,Replace symbol-heavy ASCII with purpose-built vector UML diagrams; preserve native PlantUML/Mermaid examples as code where pedagogically needed.
104,84,3.0,UML / ASCII rendering,HIGH,UML notation or ASCII diagram content contains missing/weak box-drawing or symbol rendering.,Replace symbol-heavy ASCII with purpose-built vector UML diagrams; preserve native PlantUML/Mermaid examples as code where pedagogically needed.
105,85,3.0,UML / ASCII rendering,HIGH,UML notation or ASCII diagram content contains missing/weak box-drawing or symbol rendering.,Replace symbol-heavy ASCII with purpose-built vector UML diagrams; preserve native PlantUML/Mermaid examples as code where pedagogically needed.
106,86,3.0,UML / ASCII rendering,HIGH,UML notation or ASCII diagram content contains missing/weak box-drawing or symbol rendering.,Replace symbol-heavy ASCII with purpose-built vector UML diagrams; preserve native PlantUML/Mermaid examples as code where pedagogically needed.
107,87,3.0,UML / ASCII rendering,HIGH,UML notation or ASCII diagram content contains missing/weak box-drawing or symbol rendering.,Replace symbol-heavy ASCII with purpose-built vector UML diagrams; preserve native PlantUML/Mermaid examples as code where pedagogically needed.
108,88,3.0,Figure sizing,MEDIUM,A UML instructional figure consumes most of the page with limited surrounding explanation.,Resize by complexity; keep simple/medium diagrams with their explanatory prose when legible.
109,89,3.0,Figure sizing,MEDIUM,A UML instructional figure consumes most of the page with limited surrounding explanation.,Resize by complexity; keep simple/medium diagrams with their explanatory prose when legible.
113,93,3.0,Figure sizing,MEDIUM,A UML instructional figure consumes most of the page with limited surrounding explanation.,Resize by complexity; keep simple/medium diagrams with their explanatory prose when legible.
120,100,3.0,Standalone-textbook editorial residue,MEDIUM,Course/semester-specific wording remains in the complete-edition print text.,Decide deliberately whether the complete edition is a course text or standalone textbook; generalize administrative/course language where it limits independent use.
125,105,4.0,Figure numbering,HIGH,Figure 4.1 is duplicated: one descriptive caption and one 'Technical diagram' caption.,"Keep exactly one figure object, one number, and one descriptive caption."
125,105,4.0,Caption quality,MEDIUM,Figure caption uses the generic label 'Technical diagram'.,Replace with a descriptive instructional caption or make the illustration unnumbered when the title already carries the meaning.
127,107,4.0,Caption quality,MEDIUM,Figure caption uses the generic label 'Technical diagram'.,Replace with a descriptive instructional caption or make the illustration unnumbered when the title already carries the meaning.
128,108,4.0,Caption quality,MEDIUM,Figure caption uses the generic label 'Technical diagram'.,Replace with a descriptive instructional caption or make the illustration unnumbered when the title already carries the meaning.
130,110,4.0,Caption quality,MEDIUM,Figure caption uses the generic label 'Technical diagram'.,Replace with a descriptive instructional caption or make the illustration unnumbered when the title already carries the meaning.
131,111,4.0,Caption quality,MEDIUM,Figure caption uses the generic label 'Technical diagram'.,Replace with a descriptive instructional caption or make the illustration unnumbered when the title already carries the meaning.
133,113,4.0,Caption quality,MEDIUM,Figure caption uses the generic label 'Technical diagram'.,Replace with a descriptive instructional caption or make the illustration unnumbered when the title already carries the meaning.
134,114,4.0,Caption quality,MEDIUM,Figure caption uses the generic label 'Technical diagram'.,Replace with a descriptive instructional caption or make the illustration unnumbered when the title already carries the meaning.
135,115,4.0,Caption quality,MEDIUM,Figure caption uses the generic label 'Technical diagram'.,Replace with a descriptive instructional caption or make the illustration unnumbered when the title already carries the meaning.
136,116,4.0,Caption quality,MEDIUM,Figure caption uses the generic label 'Technical diagram'.,Replace with a descriptive instructional caption or make the illustration unnumbered when the title already carries the meaning.
137,117,4.0,Caption quality,MEDIUM,Figure caption uses the generic label 'Technical diagram'.,Replace with a descriptive instructional caption or make the illustration unnumbered when the title already carries the meaning.
138,118,4.0,Caption quality,MEDIUM,Figure caption uses the generic label 'Technical diagram'.,Replace with a descriptive instructional caption or make the illustration unnumbered when the title already carries the meaning.
148,128,4.0,Caption quality,MEDIUM,Figure caption uses the generic label 'Technical diagram'.,Replace with a descriptive instructional caption or make the illustration unnumbered when the title already carries the meaning.
149,129,4.0,Page utilization,HIGH,"A relatively simple design-pattern diagram occupies an almost standalone page, creating large unused space.",Use 50-65% text width for simple pattern diagrams and keep structure/intent/implementation text on the same page where possible.
149,129,4.0,Caption quality,MEDIUM,Figure caption uses the generic label 'Technical diagram'.,Replace with a descriptive instructional caption or make the illustration unnumbered when the title already carries the meaning.
151,131,4.0,Page utilization,HIGH,"A relatively simple design-pattern diagram occupies an almost standalone page, creating large unused space.",Use 50-65% text width for simple pattern diagrams and keep structure/intent/implementation text on the same page where possible.
151,131,4.0,Caption quality,MEDIUM,Figure caption uses the generic label 'Technical diagram'.,Replace with a descriptive instructional caption or make the illustration unnumbered when the title already carries the meaning.
152,132,4.0,Page utilization,HIGH,"A relatively simple design-pattern diagram occupies an almost standalone page, creating large unused space.",Use 50-65% text width for simple pattern diagrams and keep structure/intent/implementation text on the same page where possible.
152,132,4.0,Caption quality,MEDIUM,Figure caption uses the generic label 'Technical diagram'.,Replace with a descriptive instructional caption or make the illustration unnumbered when the title already carries the meaning.
154,134,4.0,Caption quality,MEDIUM,Figure caption uses the generic label 'Technical diagram'.,Replace with a descriptive instructional caption or make the illustration unnumbered when the title already carries the meaning.
154,134,4.0,Figure sizing,MEDIUM,Pattern/architecture figure is larger than needed relative to its complexity.,Use content-driven widths rather than near-page-size placement; inspect adjacent page flow after resizing.
156,136,4.0,Caption quality,MEDIUM,Figure caption uses the generic label 'Technical diagram'.,Replace with a descriptive instructional caption or make the illustration unnumbered when the title already carries the meaning.
156,136,4.0,Figure sizing,MEDIUM,Pattern/architecture figure is larger than needed relative to its complexity.,Use content-driven widths rather than near-page-size placement; inspect adjacent page flow after resizing.
158,138,4.0,Page utilization,HIGH,"A relatively simple design-pattern diagram occupies an almost standalone page, creating large unused space.",Use 50-65% text width for simple pattern diagrams and keep structure/intent/implementation text on the same page where possible.
158,138,4.0,Caption quality,MEDIUM,Figure caption uses the generic label 'Technical diagram'.,Replace with a descriptive instructional caption or make the illustration unnumbered when the title already carries the meaning.
161,141,4.0,Page utilization,HIGH,"A relatively simple design-pattern diagram occupies an almost standalone page, creating large unused space.",Use 50-65% text width for simple pattern diagrams and keep structure/intent/implementation text on the same page where possible.
161,141,4.0,Caption quality,MEDIUM,Figure caption uses the generic label 'Technical diagram'.,Replace with a descriptive instructional caption or make the illustration unnumbered when the title already carries the meaning.
163,143,4.0,Caption quality,MEDIUM,Figure caption uses the generic label 'Technical diagram'.,Replace with a descriptive instructional caption or make the illustration unnumbered when the title already carries the meaning.
163,143,4.0,Figure sizing,MEDIUM,Pattern/architecture figure is larger than needed relative to its complexity.,Use content-driven widths rather than near-page-size placement; inspect adjacent page flow after resizing.
166,146,4.0,Page utilization,HIGH,"A relatively simple design-pattern diagram occupies an almost standalone page, creating large unused space.",Use 50-65% text width for simple pattern diagrams and keep structure/intent/implementation text on the same page where possible.
166,146,4.0,Caption quality,MEDIUM,Figure caption uses the generic label 'Technical diagram'.,Replace with a descriptive instructional caption or make the illustration unnumbered when the title already carries the meaning.
169,149,4.0,Page utilization,HIGH,"A relatively simple design-pattern diagram occupies an almost standalone page, creating large unused space.",Use 50-65% text width for simple pattern diagrams and keep structure/intent/implementation text on the same page where possible.
169,149,4.0,Caption quality,MEDIUM,Figure caption uses the generic label 'Technical diagram'.,Replace with a descriptive instructional caption or make the illustration unnumbered when the title already carries the meaning.
173,153,4.0,Caption quality,MEDIUM,Figure caption uses the generic label 'Technical diagram'.,Replace with a descriptive instructional caption or make the illustration unnumbered when the title already carries the meaning.
173,153,4.0,Figure sizing,MEDIUM,Pattern/architecture figure is larger than needed relative to its complexity.,Use content-driven widths rather than near-page-size placement; inspect adjacent page flow after resizing.
179,159,4.0,Standalone-textbook editorial residue,MEDIUM,Course/semester-specific wording remains in the complete-edition print text.,Decide deliberately whether the complete edition is a course text or standalone textbook; generalize administrative/course language where it limits independent use.
180,160,4.0,Standalone-textbook editorial residue,MEDIUM,Course/semester-specific wording remains in the complete-edition print text.,Decide deliberately whether the complete edition is a course text or standalone textbook; generalize administrative/course language where it limits independent use.
185,165,5.0,Caption quality,MEDIUM,Figure caption uses the generic label 'Technical diagram'.,Replace with a descriptive instructional caption or make the illustration unnumbered when the title already carries the meaning.
190,170,5.0,Missing glyph / symbol,HIGH,Emoji/emotion icons in the journey-map content render as missing boxes.,Replace decorative emoji/check/cross symbols with supported vector/native symbols or textual labels; convert dense ASCII matrices/diagrams to semantic tables or SVG.
197,177,5.0,Caption quality,MEDIUM,Figure caption uses the generic label 'Technical diagram'.,Replace with a descriptive instructional caption or make the illustration unnumbered when the title already carries the meaning.
202,182,5.0,Standalone-textbook editorial residue,MEDIUM,Course/semester-specific wording remains in the complete-edition print text.,Decide deliberately whether the complete edition is a course text or standalone textbook; generalize administrative/course language where it limits independent use.
203,183,5.0,Caption quality,MEDIUM,Figure caption uses the generic label 'Technical diagram'.,Replace with a descriptive instructional caption or make the illustration unnumbered when the title already carries the meaning.
205,185,5.0,Caption quality,MEDIUM,Figure caption uses the generic label 'Technical diagram'.,Replace with a descriptive instructional caption or make the illustration unnumbered when the title already carries the meaning.
206,186,5.0,Caption quality,MEDIUM,Figure caption uses the generic label 'Technical diagram'.,Replace with a descriptive instructional caption or make the illustration unnumbered when the title already carries the meaning.
210,190,5.0,Caption quality,MEDIUM,Figure caption uses the generic label 'Technical diagram'.,Replace with a descriptive instructional caption or make the illustration unnumbered when the title already carries the meaning.
213,193,5.0,Caption quality,MEDIUM,Figure caption uses the generic label 'Technical diagram'.,Replace with a descriptive instructional caption or make the illustration unnumbered when the title already carries the meaning.
219,199,5.0,Caption quality,MEDIUM,Figure caption uses the generic label 'Technical diagram'.,Replace with a descriptive instructional caption or make the illustration unnumbered when the title already carries the meaning.
234,214,6.0,Caption quality,MEDIUM,Figure caption uses the generic label 'Technical diagram'.,Replace with a descriptive instructional caption or make the illustration unnumbered when the title already carries the meaning.
237,217,6.0,Caption quality,MEDIUM,Figure caption uses the generic label 'Technical diagram'.,Replace with a descriptive instructional caption or make the illustration unnumbered when the title already carries the meaning.
246,226,6.0,Missing glyph / symbol,HIGH,Sailboat retrospective icons render as missing boxes.,Replace decorative emoji/check/cross symbols with supported vector/native symbols or textual labels; convert dense ASCII matrices/diagrams to semantic tables or SVG.
302,282,7.0,Missing glyph / symbol,HIGH,Code-review checklist checkboxes render as missing box glyphs.,Replace decorative emoji/check/cross symbols with supported vector/native symbols or textual labels; convert dense ASCII matrices/diagrams to semantic tables or SVG.
314,294,7.0,Source markup leakage,CRITICAL,Markdown/fence/heading/bold markup is visibly printed as literal source instead of being rendered or consistently boxed as an intentional example.,Audit nested Markdown examples and fence boundaries; render intentional Markdown samples inside a clearly labeled code/example block and eliminate accidental raw source leakage.
392,372,9.0,Missing glyph / symbol,HIGH,CI/CD comparison contains missing checkbox/cross glyphs.,Replace decorative emoji/check/cross symbols with supported vector/native symbols or textual labels; convert dense ASCII matrices/diagrams to semantic tables or SVG.
449,429,10.0,Standalone-textbook editorial residue,MEDIUM,Course/semester-specific wording remains in the complete-edition print text.,Decide deliberately whether the complete edition is a course text or standalone textbook; generalize administrative/course language where it limits independent use.
473,453,10.0,Missing glyph / symbol,HIGH,REST resource naming comparison uses broken checkbox/cross glyphs.,Replace decorative emoji/check/cross symbols with supported vector/native symbols or textual labels; convert dense ASCII matrices/diagrams to semantic tables or SVG.
544,524,11.0,Missing glyph / symbol,HIGH,Serverless decision framework contains repeated missing checkbox/cross glyphs.,Replace decorative emoji/check/cross symbols with supported vector/native symbols or textual labels; convert dense ASCII matrices/diagrams to semantic tables or SVG.
637,617,13.0,Source markup leakage,CRITICAL,Markdown/fence/heading/bold markup is visibly printed as literal source instead of being rendered or consistently boxed as an intentional example.,Audit nested Markdown examples and fence boundaries; render intentional Markdown samples inside a clearly labeled code/example block and eliminate accidental raw source leakage.
638,618,13.0,Source markup leakage,CRITICAL,Markdown/fence/heading/bold markup is visibly printed as literal source instead of being rendered or consistently boxed as an intentional example.,Audit nested Markdown examples and fence boundaries; render intentional Markdown samples inside a clearly labeled code/example block and eliminate accidental raw source leakage.
639,619,13.0,Source markup leakage,CRITICAL,Markdown/fence/heading/bold markup is visibly printed as literal source instead of being rendered or consistently boxed as an intentional example.,Audit nested Markdown examples and fence boundaries; render intentional Markdown samples inside a clearly labeled code/example block and eliminate accidental raw source leakage.
640,620,13.0,Source markup leakage,CRITICAL,Markdown/fence/heading/bold markup is visibly printed as literal source instead of being rendered or consistently boxed as an intentional example.,Audit nested Markdown examples and fence boundaries; render intentional Markdown samples inside a clearly labeled code/example block and eliminate accidental raw source leakage.
644,624,13.0,Missing glyph / symbol,HIGH,ASCII testing pyramid contains multiple broken box glyphs.,Replace decorative emoji/check/cross symbols with supported vector/native symbols or textual labels; convert dense ASCII matrices/diagrams to semantic tables or SVG.
657,637,14.0,Missing glyph / symbol,HIGH,License compatibility table contains unreadable/missing compatibility symbols.,Replace decorative emoji/check/cross symbols with supported vector/native symbols or textual labels; convert dense ASCII matrices/diagrams to semantic tables or SVG.
675,655,15.0,Standalone-textbook editorial residue,MEDIUM,Course/semester-specific wording remains in the complete-edition print text.,Decide deliberately whether the complete edition is a course text or standalone textbook; generalize administrative/course language where it limits independent use.
689,669,15.0,Source markup leakage,CRITICAL,Markdown/fence/heading/bold markup is visibly printed as literal source instead of being rendered or consistently boxed as an intentional example.,Audit nested Markdown examples and fence boundaries; render intentional Markdown samples inside a clearly labeled code/example block and eliminate accidental raw source leakage.
690,670,15.0,Source markup leakage,CRITICAL,Markdown/fence/heading/bold markup is visibly printed as literal source instead of being rendered or consistently boxed as an intentional example.,Audit nested Markdown examples and fence boundaries; render intentional Markdown samples inside a clearly labeled code/example block and eliminate accidental raw source leakage.
691,671,15.0,Source markup leakage,CRITICAL,Markdown/fence/heading/bold markup is visibly printed as literal source instead of being rendered or consistently boxed as an intentional example.,Audit nested Markdown examples and fence boundaries; render intentional Markdown samples inside a clearly labeled code/example block and eliminate accidental raw source leakage.
692,672,15.0,Source markup leakage,CRITICAL,Markdown/fence/heading/bold markup is visibly printed as literal source instead of being rendered or consistently boxed as an intentional example.,Audit nested Markdown examples and fence boundaries; render intentional Markdown samples inside a clearly labeled code/example block and eliminate accidental raw source leakage.
693,673,15.0,Source markup leakage,CRITICAL,Markdown/fence/heading/bold markup is visibly printed as literal source instead of being rendered or consistently boxed as an intentional example.,Audit nested Markdown examples and fence boundaries; render intentional Markdown samples inside a clearly labeled code/example block and eliminate accidental raw source leakage.
693,673,15.0,Standalone-textbook editorial residue,MEDIUM,Course/semester-specific wording remains in the complete-edition print text.,Decide deliberately whether the complete edition is a course text or standalone textbook; generalize administrative/course language where it limits independent use.
695,675,15.0,Standalone-textbook editorial residue,MEDIUM,Course/semester-specific wording remains in the complete-edition print text.,Decide deliberately whether the complete edition is a course text or standalone textbook; generalize administrative/course language where it limits independent use.
696,676,15.0,Standalone-textbook editorial residue,MEDIUM,Course/semester-specific wording remains in the complete-edition print text.,Decide deliberately whether the complete edition is a course text or standalone textbook; generalize administrative/course language where it limits independent use.
697,677,15.0,Standalone-textbook editorial residue,MEDIUM,Course/semester-specific wording remains in the complete-edition print text.,Decide deliberately whether the complete edition is a course text or standalone textbook; generalize administrative/course language where it limits independent use.
698,678,15.0,Standalone-textbook editorial residue,MEDIUM,Course/semester-specific wording remains in the complete-edition print text.,Decide deliberately whether the complete edition is a course text or standalone textbook; generalize administrative/course language where it limits independent use.
702,682,15.0,Standalone-textbook editorial residue,MEDIUM,Course/semester-specific wording remains in the complete-edition print text.,Decide deliberately whether the complete edition is a course text or standalone textbook; generalize administrative/course language where it limits independent use.
