pdf_page,book_page_label,chapter,category,severity,finding,recommendation,source_file,source_anchor,resolution,resolution_status,new_pdf_page,verification_notes
11,xi,,TOC,MEDIUM,Table of contents occupies 19 PDF pages and includes very deep section detail.,Reduce print TOC depth; target chapter + major section hierarchy and fix number/title spacing for 10.x+ entries.,_quarto-print-reconstruction.yml / index.qmd,front-matter,Corrected in R1 source/profile; verified by rebuild and targeted review.,FIXED,1-16,"Content verified by source anchor, automated parity, and R1 regression/contact sheets."
12,xii,,TOC,MEDIUM,Table of contents occupies 19 PDF pages and includes very deep section detail.,Reduce print TOC depth; target chapter + major section hierarchy and fix number/title spacing for 10.x+ entries.,_quarto-print-reconstruction.yml / index.qmd,front-matter,Corrected in R1 source/profile; verified by rebuild and targeted review.,FIXED,1-16,"Content verified by source anchor, automated parity, and R1 regression/contact sheets."
13,xiii,,TOC,MEDIUM,Table of contents occupies 19 PDF pages and includes very deep section detail.,Reduce print TOC depth; target chapter + major section hierarchy and fix number/title spacing for 10.x+ entries.,_quarto-print-reconstruction.yml / index.qmd,front-matter,Corrected in R1 source/profile; verified by rebuild and targeted review.,FIXED,1-16,"Content verified by source anchor, automated parity, and R1 regression/contact sheets."
14,xiv,,TOC,MEDIUM,Table of contents occupies 19 PDF pages and includes very deep section detail.,Reduce print TOC depth; target chapter + major section hierarchy and fix number/title spacing for 10.x+ entries.,_quarto-print-reconstruction.yml / index.qmd,front-matter,Corrected in R1 source/profile; verified by rebuild and targeted review.,FIXED,1-16,"Content verified by source anchor, automated parity, and R1 regression/contact sheets."
15,xv,,TOC,MEDIUM,Table of contents occupies 19 PDF pages and includes very deep section detail.,Reduce print TOC depth; target chapter + major section hierarchy and fix number/title spacing for 10.x+ entries.,_quarto-print-reconstruction.yml / index.qmd,front-matter,Corrected in R1 source/profile; verified by rebuild and targeted review.,FIXED,1-16,"Content verified by source anchor, automated parity, and R1 regression/contact sheets."
16,xvi,,TOC,MEDIUM,Table of contents occupies 19 PDF pages and includes very deep section detail.,Reduce print TOC depth; target chapter + major section hierarchy and fix number/title spacing for 10.x+ entries.,_quarto-print-reconstruction.yml / index.qmd,front-matter,Corrected in R1 source/profile; verified by rebuild and targeted review.,FIXED,1-16,"Content verified by source anchor, automated parity, and R1 regression/contact sheets."
17,xvii,,TOC,MEDIUM,Table of contents occupies 19 PDF pages and includes very deep section detail.,Reduce print TOC depth; target chapter + major section hierarchy and fix number/title spacing for 10.x+ entries.,_quarto-print-reconstruction.yml / index.qmd,front-matter,Corrected in R1 source/profile; verified by rebuild and targeted review.,FIXED,1-16,"Content verified by source anchor, automated parity, and R1 regression/contact sheets."
18,xviii,,TOC,MEDIUM,Table of contents occupies 19 PDF pages and includes very deep section detail.,Reduce print TOC depth; target chapter + major section hierarchy and fix number/title spacing for 10.x+ entries.,_quarto-print-reconstruction.yml / index.qmd,front-matter,Corrected in R1 source/profile; verified by rebuild and targeted review.,FIXED,1-16,"Content verified by source anchor, automated parity, and R1 regression/contact sheets."
19,xix,,TOC,MEDIUM,Table of contents occupies 19 PDF pages and includes very deep section detail.,Reduce print TOC depth; target chapter + major section hierarchy and fix number/title spacing for 10.x+ entries.,_quarto-print-reconstruction.yml / index.qmd,front-matter,Corrected in R1 source/profile; verified by rebuild and targeted review.,FIXED,1-16,"Content verified by source anchor, automated parity, and R1 regression/contact sheets."
20,xx,,TOC,MEDIUM,Table of contents occupies 19 PDF pages and includes very deep section detail.,Reduce print TOC depth; target chapter + major section hierarchy and fix number/title spacing for 10.x+ entries.,_quarto-print-reconstruction.yml / index.qmd,front-matter,Corrected in R1 source/profile; verified by rebuild and targeted review.,FIXED,1-16,"Content verified by source anchor, automated parity, and R1 regression/contact sheets."
21,1,,Print/Web separation,CRITICAL,"The web landing page is being printed, including Read/Download actions and web-oriented marketing copy.",Exclude index.qmd web landing content from print and use dedicated print front matter.,_quarto-print-reconstruction.yml / index.qmd,front-matter,Corrected in R1 source/profile; verified by rebuild and targeted review.,FIXED,1-16,"Content verified by source anchor, automated parity, and R1 regression/contact sheets."
22,2,,Print/Web separation,HIGH,The digital cover is printed as a numbered figure inside the interior.,Remove the web cover figure from the print manuscript/front matter.,_quarto-print-reconstruction.yml / index.qmd,front-matter,Corrected in R1 source/profile; verified by rebuild and targeted review.,FIXED,1-16,"Content verified by source anchor, automated parity, and R1 regression/contact sheets."
23,3,,Print/Web separation,HIGH,Web landing-page continuation is printed; 'Inside the Book' is duplicated visually.,Replace with dedicated print preface/front matter; do not print homepage sections.,_quarto-print-reconstruction.yml / index.qmd,front-matter,Corrected in R1 source/profile; verified by rebuild and targeted review.,FIXED,1-16,"Content verified by source anchor, automated parity, and R1 regression/contact sheets."
26,6,1.0,Standalone-textbook editorial residue,MEDIUM,Course/semester-specific wording remains in the complete-edition print text.,Decide deliberately whether the complete edition is a course text or standalone textbook; generalize administrative/course language where it limits independent use.,chapters/01-introduction.qmd,chapter-01,Cataloged in course-language audit; no broad canonical rewrite.,NEEDS_AUTHOR_REVIEW,2,"Content verified by source anchor, automated parity, and R1 regression/contact sheets."
42,22,1.0,Standalone-textbook editorial residue,MEDIUM,Course/semester-specific wording remains in the complete-edition print text.,Decide deliberately whether the complete edition is a course text or standalone textbook; generalize administrative/course language where it limits independent use.,chapters/01-introduction.qmd,chapter-01,Cataloged in course-language audit; no broad canonical rewrite.,NEEDS_AUTHOR_REVIEW,2,"Content verified by source anchor, automated parity, and R1 regression/contact sheets."
43,23,1.0,Standalone-textbook editorial residue,MEDIUM,Course/semester-specific wording remains in the complete-edition print text.,Decide deliberately whether the complete edition is a course text or standalone textbook; generalize administrative/course language where it limits independent use.,chapters/01-introduction.qmd,chapter-01,Cataloged in course-language audit; no broad canonical rewrite.,NEEDS_AUTHOR_REVIEW,2,"Content verified by source anchor, automated parity, and R1 regression/contact sheets."
46,26,1.0,Standalone-textbook editorial residue,MEDIUM,Course/semester-specific wording remains in the complete-edition print text.,Decide deliberately whether the complete edition is a course text or standalone textbook; generalize administrative/course language where it limits independent use.,chapters/01-introduction.qmd,chapter-01,Cataloged in course-language audit; no broad canonical rewrite.,NEEDS_AUTHOR_REVIEW,2,"Content verified by source anchor, automated parity, and R1 regression/contact sheets."
81,61,2.0,Standalone-textbook editorial residue,MEDIUM,Course/semester-specific wording remains in the complete-edition print text.,Decide deliberately whether the complete edition is a course text or standalone textbook; generalize administrative/course language where it limits independent use.,chapters/02-requirements-engineering.qmd,chapter-02,Cataloged in course-language audit; no broad canonical rewrite.,NEEDS_AUTHOR_REVIEW,37,"Content verified by source anchor, automated parity, and R1 regression/contact sheets."
88,68,3.0,UML / ASCII rendering,HIGH,UML notation or ASCII diagram content contains missing/weak box-drawing or symbol rendering.,Replace symbol-heavy ASCII with purpose-built vector UML diagrams; preserve native PlantUML/Mermaid examples as code where pedagogically needed.,chapters/03-systems-modeling.qmd,chapter-03,Corrected in R1 source/profile; verified by rebuild and targeted review.,FIXED,72,"Content verified by source anchor, automated parity, and R1 regression/contact sheets."
89,69,3.0,UML / ASCII rendering,HIGH,UML notation or ASCII diagram content contains missing/weak box-drawing or symbol rendering.,Replace symbol-heavy ASCII with purpose-built vector UML diagrams; preserve native PlantUML/Mermaid examples as code where pedagogically needed.,chapters/03-systems-modeling.qmd,chapter-03,Corrected in R1 source/profile; verified by rebuild and targeted review.,FIXED,72,"Content verified by source anchor, automated parity, and R1 regression/contact sheets."
90,70,3.0,UML / ASCII rendering,HIGH,UML notation or ASCII diagram content contains missing/weak box-drawing or symbol rendering.,Replace symbol-heavy ASCII with purpose-built vector UML diagrams; preserve native PlantUML/Mermaid examples as code where pedagogically needed.,chapters/03-systems-modeling.qmd,chapter-03,Corrected in R1 source/profile; verified by rebuild and targeted review.,FIXED,72,"Content verified by source anchor, automated parity, and R1 regression/contact sheets."
91,71,3.0,Figure sizing,MEDIUM,A UML instructional figure consumes most of the page with limited surrounding explanation.,Resize by complexity; keep simple/medium diagrams with their explanatory prose when legible.,chapters/03-systems-modeling.qmd,chapter-03,Corrected in R1 source/profile; verified by rebuild and targeted review.,FIXED,72,"Content verified by source anchor, automated parity, and R1 regression/contact sheets."
93,73,3.0,Missing glyph,CRITICAL,Book page 73 shows the Activity Diagram final-node symbol as a missing square glyph.,Replace the symbol with a proper vector/native UML node or supported glyph.,chapters/03-systems-modeling.qmd,chapter-03,Corrected in R1 source/profile; verified by rebuild and targeted review.,FIXED,72,"Content verified by source anchor, automated parity, and R1 regression/contact sheets."
93,73,3.0,UML / ASCII rendering,HIGH,UML notation or ASCII diagram content contains missing/weak box-drawing or symbol rendering.,Replace symbol-heavy ASCII with purpose-built vector UML diagrams; preserve native PlantUML/Mermaid examples as code where pedagogically needed.,chapters/03-systems-modeling.qmd,chapter-03,Corrected in R1 source/profile; verified by rebuild and targeted review.,FIXED,72,"Content verified by source anchor, automated parity, and R1 regression/contact sheets."
94,74,3.0,UML / ASCII rendering,HIGH,UML notation or ASCII diagram content contains missing/weak box-drawing or symbol rendering.,Replace symbol-heavy ASCII with purpose-built vector UML diagrams; preserve native PlantUML/Mermaid examples as code where pedagogically needed.,chapters/03-systems-modeling.qmd,chapter-03,Corrected in R1 source/profile; verified by rebuild and targeted review.,FIXED,72,"Content verified by source anchor, automated parity, and R1 regression/contact sheets."
95,75,3.0,UML / ASCII rendering,HIGH,UML notation or ASCII diagram content contains missing/weak box-drawing or symbol rendering.,Replace symbol-heavy ASCII with purpose-built vector UML diagrams; preserve native PlantUML/Mermaid examples as code where pedagogically needed.,chapters/03-systems-modeling.qmd,chapter-03,Corrected in R1 source/profile; verified by rebuild and targeted review.,FIXED,72,"Content verified by source anchor, automated parity, and R1 regression/contact sheets."
96,76,3.0,Figure sizing,MEDIUM,A UML instructional figure consumes most of the page with limited surrounding explanation.,Resize by complexity; keep simple/medium diagrams with their explanatory prose when legible.,chapters/03-systems-modeling.qmd,chapter-03,Corrected in R1 source/profile; verified by rebuild and targeted review.,FIXED,72,"Content verified by source anchor, automated parity, and R1 regression/contact sheets."
97,77,3.0,Figure overflow,CRITICAL,Activity Diagram: Login Algorithm is visibly clipped off the right side of the page.,Rebuild the diagram with a correct viewBox/bounds and constrain it to the text area; verify odd/even pages.,chapters/03-systems-modeling.qmd,chapter-03,Corrected in R1 source/profile; verified by rebuild and targeted review.,FIXED,72,"Content verified by source anchor, automated parity, and R1 regression/contact sheets."
99,79,3.0,UML / ASCII rendering,HIGH,UML notation or ASCII diagram content contains missing/weak box-drawing or symbol rendering.,Replace symbol-heavy ASCII with purpose-built vector UML diagrams; preserve native PlantUML/Mermaid examples as code where pedagogically needed.,chapters/03-systems-modeling.qmd,chapter-03,Corrected in R1 source/profile; verified by rebuild and targeted review.,FIXED,72,"Content verified by source anchor, automated parity, and R1 regression/contact sheets."
100,80,3.0,UML / ASCII rendering,HIGH,UML notation or ASCII diagram content contains missing/weak box-drawing or symbol rendering.,Replace symbol-heavy ASCII with purpose-built vector UML diagrams; preserve native PlantUML/Mermaid examples as code where pedagogically needed.,chapters/03-systems-modeling.qmd,chapter-03,Corrected in R1 source/profile; verified by rebuild and targeted review.,FIXED,72,"Content verified by source anchor, automated parity, and R1 regression/contact sheets."
101,81,3.0,Figure sizing,MEDIUM,A UML instructional figure consumes most of the page with limited surrounding explanation.,Resize by complexity; keep simple/medium diagrams with their explanatory prose when legible.,chapters/03-systems-modeling.qmd,chapter-03,Corrected in R1 source/profile; verified by rebuild and targeted review.,FIXED,72,"Content verified by source anchor, automated parity, and R1 regression/contact sheets."
102,82,3.0,Figure sizing,MEDIUM,A UML instructional figure consumes most of the page with limited surrounding explanation.,Resize by complexity; keep simple/medium diagrams with their explanatory prose when legible.,chapters/03-systems-modeling.qmd,chapter-03,Corrected in R1 source/profile; verified by rebuild and targeted review.,FIXED,72,"Content verified by source anchor, automated parity, and R1 regression/contact sheets."
103,83,3.0,UML / ASCII rendering,HIGH,UML notation or ASCII diagram content contains missing/weak box-drawing or symbol rendering.,Replace symbol-heavy ASCII with purpose-built vector UML diagrams; preserve native PlantUML/Mermaid examples as code where pedagogically needed.,chapters/03-systems-modeling.qmd,chapter-03,Corrected in R1 source/profile; verified by rebuild and targeted review.,FIXED,72,"Content verified by source anchor, automated parity, and R1 regression/contact sheets."
104,84,3.0,UML / ASCII rendering,HIGH,UML notation or ASCII diagram content contains missing/weak box-drawing or symbol rendering.,Replace symbol-heavy ASCII with purpose-built vector UML diagrams; preserve native PlantUML/Mermaid examples as code where pedagogically needed.,chapters/03-systems-modeling.qmd,chapter-03,Corrected in R1 source/profile; verified by rebuild and targeted review.,FIXED,72,"Content verified by source anchor, automated parity, and R1 regression/contact sheets."
105,85,3.0,UML / ASCII rendering,HIGH,UML notation or ASCII diagram content contains missing/weak box-drawing or symbol rendering.,Replace symbol-heavy ASCII with purpose-built vector UML diagrams; preserve native PlantUML/Mermaid examples as code where pedagogically needed.,chapters/03-systems-modeling.qmd,chapter-03,Corrected in R1 source/profile; verified by rebuild and targeted review.,FIXED,72,"Content verified by source anchor, automated parity, and R1 regression/contact sheets."
106,86,3.0,UML / ASCII rendering,HIGH,UML notation or ASCII diagram content contains missing/weak box-drawing or symbol rendering.,Replace symbol-heavy ASCII with purpose-built vector UML diagrams; preserve native PlantUML/Mermaid examples as code where pedagogically needed.,chapters/03-systems-modeling.qmd,chapter-03,Corrected in R1 source/profile; verified by rebuild and targeted review.,FIXED,72,"Content verified by source anchor, automated parity, and R1 regression/contact sheets."
107,87,3.0,UML / ASCII rendering,HIGH,UML notation or ASCII diagram content contains missing/weak box-drawing or symbol rendering.,Replace symbol-heavy ASCII with purpose-built vector UML diagrams; preserve native PlantUML/Mermaid examples as code where pedagogically needed.,chapters/03-systems-modeling.qmd,chapter-03,Corrected in R1 source/profile; verified by rebuild and targeted review.,FIXED,72,"Content verified by source anchor, automated parity, and R1 regression/contact sheets."
108,88,3.0,Figure sizing,MEDIUM,A UML instructional figure consumes most of the page with limited surrounding explanation.,Resize by complexity; keep simple/medium diagrams with their explanatory prose when legible.,chapters/03-systems-modeling.qmd,chapter-03,Corrected in R1 source/profile; verified by rebuild and targeted review.,FIXED,72,"Content verified by source anchor, automated parity, and R1 regression/contact sheets."
109,89,3.0,Figure sizing,MEDIUM,A UML instructional figure consumes most of the page with limited surrounding explanation.,Resize by complexity; keep simple/medium diagrams with their explanatory prose when legible.,chapters/03-systems-modeling.qmd,chapter-03,Corrected in R1 source/profile; verified by rebuild and targeted review.,FIXED,72,"Content verified by source anchor, automated parity, and R1 regression/contact sheets."
113,93,3.0,Figure sizing,MEDIUM,A UML instructional figure consumes most of the page with limited surrounding explanation.,Resize by complexity; keep simple/medium diagrams with their explanatory prose when legible.,chapters/03-systems-modeling.qmd,chapter-03,Corrected in R1 source/profile; verified by rebuild and targeted review.,FIXED,72,"Content verified by source anchor, automated parity, and R1 regression/contact sheets."
120,100,3.0,Standalone-textbook editorial residue,MEDIUM,Course/semester-specific wording remains in the complete-edition print text.,Decide deliberately whether the complete edition is a course text or standalone textbook; generalize administrative/course language where it limits independent use.,chapters/03-systems-modeling.qmd,chapter-03,Cataloged in course-language audit; no broad canonical rewrite.,NEEDS_AUTHOR_REVIEW,72,"Content verified by source anchor, automated parity, and R1 regression/contact sheets."
125,105,4.0,Figure numbering,HIGH,Figure 4.1 is duplicated: one descriptive caption and one 'Technical diagram' caption.,"Keep exactly one figure object, one number, and one descriptive caption.",chapters/04-software-architecture.qmd,chapter-04,Corrected in R1 source/profile; verified by rebuild and targeted review.,FIXED,108,"Content verified by source anchor, automated parity, and R1 regression/contact sheets."
125,105,4.0,Caption quality,MEDIUM,Figure caption uses the generic label 'Technical diagram'.,Replace with a descriptive instructional caption or make the illustration unnumbered when the title already carries the meaning.,chapters/04-software-architecture.qmd,chapter-04,Corrected in R1 source/profile; verified by rebuild and targeted review.,FIXED,108,"Content verified by source anchor, automated parity, and R1 regression/contact sheets."
127,107,4.0,Caption quality,MEDIUM,Figure caption uses the generic label 'Technical diagram'.,Replace with a descriptive instructional caption or make the illustration unnumbered when the title already carries the meaning.,chapters/04-software-architecture.qmd,chapter-04,Corrected in R1 source/profile; verified by rebuild and targeted review.,FIXED,108,"Content verified by source anchor, automated parity, and R1 regression/contact sheets."
128,108,4.0,Caption quality,MEDIUM,Figure caption uses the generic label 'Technical diagram'.,Replace with a descriptive instructional caption or make the illustration unnumbered when the title already carries the meaning.,chapters/04-software-architecture.qmd,chapter-04,Corrected in R1 source/profile; verified by rebuild and targeted review.,FIXED,108,"Content verified by source anchor, automated parity, and R1 regression/contact sheets."
130,110,4.0,Caption quality,MEDIUM,Figure caption uses the generic label 'Technical diagram'.,Replace with a descriptive instructional caption or make the illustration unnumbered when the title already carries the meaning.,chapters/04-software-architecture.qmd,chapter-04,Corrected in R1 source/profile; verified by rebuild and targeted review.,FIXED,108,"Content verified by source anchor, automated parity, and R1 regression/contact sheets."
131,111,4.0,Caption quality,MEDIUM,Figure caption uses the generic label 'Technical diagram'.,Replace with a descriptive instructional caption or make the illustration unnumbered when the title already carries the meaning.,chapters/04-software-architecture.qmd,chapter-04,Corrected in R1 source/profile; verified by rebuild and targeted review.,FIXED,108,"Content verified by source anchor, automated parity, and R1 regression/contact sheets."
133,113,4.0,Caption quality,MEDIUM,Figure caption uses the generic label 'Technical diagram'.,Replace with a descriptive instructional caption or make the illustration unnumbered when the title already carries the meaning.,chapters/04-software-architecture.qmd,chapter-04,Corrected in R1 source/profile; verified by rebuild and targeted review.,FIXED,108,"Content verified by source anchor, automated parity, and R1 regression/contact sheets."
134,114,4.0,Caption quality,MEDIUM,Figure caption uses the generic label 'Technical diagram'.,Replace with a descriptive instructional caption or make the illustration unnumbered when the title already carries the meaning.,chapters/04-software-architecture.qmd,chapter-04,Corrected in R1 source/profile; verified by rebuild and targeted review.,FIXED,108,"Content verified by source anchor, automated parity, and R1 regression/contact sheets."
135,115,4.0,Caption quality,MEDIUM,Figure caption uses the generic label 'Technical diagram'.,Replace with a descriptive instructional caption or make the illustration unnumbered when the title already carries the meaning.,chapters/04-software-architecture.qmd,chapter-04,Corrected in R1 source/profile; verified by rebuild and targeted review.,FIXED,108,"Content verified by source anchor, automated parity, and R1 regression/contact sheets."
136,116,4.0,Caption quality,MEDIUM,Figure caption uses the generic label 'Technical diagram'.,Replace with a descriptive instructional caption or make the illustration unnumbered when the title already carries the meaning.,chapters/04-software-architecture.qmd,chapter-04,Corrected in R1 source/profile; verified by rebuild and targeted review.,FIXED,108,"Content verified by source anchor, automated parity, and R1 regression/contact sheets."
137,117,4.0,Caption quality,MEDIUM,Figure caption uses the generic label 'Technical diagram'.,Replace with a descriptive instructional caption or make the illustration unnumbered when the title already carries the meaning.,chapters/04-software-architecture.qmd,chapter-04,Corrected in R1 source/profile; verified by rebuild and targeted review.,FIXED,108,"Content verified by source anchor, automated parity, and R1 regression/contact sheets."
138,118,4.0,Caption quality,MEDIUM,Figure caption uses the generic label 'Technical diagram'.,Replace with a descriptive instructional caption or make the illustration unnumbered when the title already carries the meaning.,chapters/04-software-architecture.qmd,chapter-04,Corrected in R1 source/profile; verified by rebuild and targeted review.,FIXED,108,"Content verified by source anchor, automated parity, and R1 regression/contact sheets."
148,128,4.0,Caption quality,MEDIUM,Figure caption uses the generic label 'Technical diagram'.,Replace with a descriptive instructional caption or make the illustration unnumbered when the title already carries the meaning.,chapters/04-software-architecture.qmd,chapter-04,Corrected in R1 source/profile; verified by rebuild and targeted review.,FIXED,108,"Content verified by source anchor, automated parity, and R1 regression/contact sheets."
149,129,4.0,Page utilization,HIGH,"A relatively simple design-pattern diagram occupies an almost standalone page, creating large unused space.",Use 50-65% text width for simple pattern diagrams and keep structure/intent/implementation text on the same page where possible.,chapters/04-software-architecture.qmd,chapter-04,Corrected in R1 source/profile; verified by rebuild and targeted review.,FIXED,108,"Content verified by source anchor, automated parity, and R1 regression/contact sheets."
149,129,4.0,Caption quality,MEDIUM,Figure caption uses the generic label 'Technical diagram'.,Replace with a descriptive instructional caption or make the illustration unnumbered when the title already carries the meaning.,chapters/04-software-architecture.qmd,chapter-04,Corrected in R1 source/profile; verified by rebuild and targeted review.,FIXED,108,"Content verified by source anchor, automated parity, and R1 regression/contact sheets."
151,131,4.0,Page utilization,HIGH,"A relatively simple design-pattern diagram occupies an almost standalone page, creating large unused space.",Use 50-65% text width for simple pattern diagrams and keep structure/intent/implementation text on the same page where possible.,chapters/04-software-architecture.qmd,chapter-04,Corrected in R1 source/profile; verified by rebuild and targeted review.,FIXED,108,"Content verified by source anchor, automated parity, and R1 regression/contact sheets."
151,131,4.0,Caption quality,MEDIUM,Figure caption uses the generic label 'Technical diagram'.,Replace with a descriptive instructional caption or make the illustration unnumbered when the title already carries the meaning.,chapters/04-software-architecture.qmd,chapter-04,Corrected in R1 source/profile; verified by rebuild and targeted review.,FIXED,108,"Content verified by source anchor, automated parity, and R1 regression/contact sheets."
152,132,4.0,Page utilization,HIGH,"A relatively simple design-pattern diagram occupies an almost standalone page, creating large unused space.",Use 50-65% text width for simple pattern diagrams and keep structure/intent/implementation text on the same page where possible.,chapters/04-software-architecture.qmd,chapter-04,Corrected in R1 source/profile; verified by rebuild and targeted review.,FIXED,108,"Content verified by source anchor, automated parity, and R1 regression/contact sheets."
152,132,4.0,Caption quality,MEDIUM,Figure caption uses the generic label 'Technical diagram'.,Replace with a descriptive instructional caption or make the illustration unnumbered when the title already carries the meaning.,chapters/04-software-architecture.qmd,chapter-04,Corrected in R1 source/profile; verified by rebuild and targeted review.,FIXED,108,"Content verified by source anchor, automated parity, and R1 regression/contact sheets."
154,134,4.0,Caption quality,MEDIUM,Figure caption uses the generic label 'Technical diagram'.,Replace with a descriptive instructional caption or make the illustration unnumbered when the title already carries the meaning.,chapters/04-software-architecture.qmd,chapter-04,Corrected in R1 source/profile; verified by rebuild and targeted review.,FIXED,108,"Content verified by source anchor, automated parity, and R1 regression/contact sheets."
154,134,4.0,Figure sizing,MEDIUM,Pattern/architecture figure is larger than needed relative to its complexity.,Use content-driven widths rather than near-page-size placement; inspect adjacent page flow after resizing.,chapters/04-software-architecture.qmd,chapter-04,Corrected in R1 source/profile; verified by rebuild and targeted review.,FIXED,108,"Content verified by source anchor, automated parity, and R1 regression/contact sheets."
156,136,4.0,Caption quality,MEDIUM,Figure caption uses the generic label 'Technical diagram'.,Replace with a descriptive instructional caption or make the illustration unnumbered when the title already carries the meaning.,chapters/04-software-architecture.qmd,chapter-04,Corrected in R1 source/profile; verified by rebuild and targeted review.,FIXED,108,"Content verified by source anchor, automated parity, and R1 regression/contact sheets."
156,136,4.0,Figure sizing,MEDIUM,Pattern/architecture figure is larger than needed relative to its complexity.,Use content-driven widths rather than near-page-size placement; inspect adjacent page flow after resizing.,chapters/04-software-architecture.qmd,chapter-04,Corrected in R1 source/profile; verified by rebuild and targeted review.,FIXED,108,"Content verified by source anchor, automated parity, and R1 regression/contact sheets."
158,138,4.0,Page utilization,HIGH,"A relatively simple design-pattern diagram occupies an almost standalone page, creating large unused space.",Use 50-65% text width for simple pattern diagrams and keep structure/intent/implementation text on the same page where possible.,chapters/04-software-architecture.qmd,chapter-04,Corrected in R1 source/profile; verified by rebuild and targeted review.,FIXED,108,"Content verified by source anchor, automated parity, and R1 regression/contact sheets."
158,138,4.0,Caption quality,MEDIUM,Figure caption uses the generic label 'Technical diagram'.,Replace with a descriptive instructional caption or make the illustration unnumbered when the title already carries the meaning.,chapters/04-software-architecture.qmd,chapter-04,Corrected in R1 source/profile; verified by rebuild and targeted review.,FIXED,108,"Content verified by source anchor, automated parity, and R1 regression/contact sheets."
161,141,4.0,Page utilization,HIGH,"A relatively simple design-pattern diagram occupies an almost standalone page, creating large unused space.",Use 50-65% text width for simple pattern diagrams and keep structure/intent/implementation text on the same page where possible.,chapters/04-software-architecture.qmd,chapter-04,Corrected in R1 source/profile; verified by rebuild and targeted review.,FIXED,108,"Content verified by source anchor, automated parity, and R1 regression/contact sheets."
