chapter,source_line,section,claim,reason,status
1,233,You Are What You Eat,"A model's knowledge, and its blind spots, are a direct reflection of its training data. A model trained heavily on English-language, Western-centric internet text will be fluent about topics well-represented there and noticeably weaker on topics, languages, and perspectives that are underrepresented, not because the underlying architecture is biased toward English, but because the data was. This matters enormously for global deployment: a research assistant built for East African agricultural policy, for instance, will only be as good as its training and retrieval sources allow it to be on that specific domain, and generic internet-scale training is unlikely to have deep, accurate coverage of it.","Claim or teaching item needs primary-source review; candidate, not adjudicated missing citation",PENDING
1,241,Hallucination: Confident Fabrication,"A **hallucination** is a fluent, confident output that is simply wrong, a citation to a court case that was never decided, a biography detail that was never true, a function that doesn't exist in the library it claims to. Hallucination isn't a bug in the ordinary sense; it's a direct consequence of how these models work. A model doesn't have a database of facts it looks up, it has a learned probability distribution over plausible-sounding text, and ""plausible"" and ""true"" are not the same property. This single idea, more than any other in this chapter, should shape how you evaluate everything a generative AI system tells you, and it's a thread that runs through nearly every remaining chapter in this book.","Claim or teaching item needs primary-source review; candidate, not adjudicated missing citation",PENDING
1,249,1.7 Meeting the Major Model Families,"**OpenAI's GPT family** established much of the commercial template for LLM products: broad general capability, a large third-party ecosystem, and continual expansion into multimodal input and tool use.","Claim or teaching item needs primary-source review; candidate, not adjudicated missing citation",PENDING
1,253,1.7 Meeting the Major Model Families,"**Google's Gemini family** was built multimodal from the start rather than adding it later, and benefits from tight integration with Google's existing infrastructure and search capabilities.","Claim or teaching item needs primary-source review; candidate, not adjudicated missing citation",PENDING
1,280,1.8 Ethical Foundations,"**Who actually benefits?** Access to the most capable models requires money, reliable infrastructure, and often English fluency. A technology with this much leverage over research, writing, and problem-solving will not distribute its benefits evenly unless real effort is made to ensure it does.","Claim or teaching item needs primary-source review; candidate, not adjudicated missing citation",PENDING
1,282,1.8 Ethical Foundations,"**Who is responsible when something goes wrong?** When a generative AI system produces a harmful, biased, or simply false output, responsibility is genuinely distributed, and often contested, among the developer who built the model, the company that deployed it, and the person who used it. This book will not hand you a settled answer to that question, because there isn't one yet. It will, however, keep returning to it, because building responsibly requires holding the question open rather than assuming someone else has already answered it.","Claim or teaching item needs primary-source review; candidate, not adjudicated missing citation",PENDING
1,315,Case Study: The Associated Press and Automated News Generation,"Since 2014, the Associated Press has used automated generation to produce thousands of corporate earnings reports each quarter, stories that follow a predictable structure (revenue, comparison to the prior year, analyst expectations) but that no newsroom had the staff to cover at that volume by hand. The system doesn't replace AP's financial journalists; it handles the formulaic, high-volume layer of coverage so human reporters can focus on the stories that require judgment, investigation, and context a template cannot supply.","Claim or teaching item needs primary-source review; candidate, not adjudicated missing citation",PENDING
1,325,Chapter Summary,"Getting from raw text to a generated response requires tokenization (breaking text into manageable pieces), embeddings (turning those pieces into meaning-bearing numbers), and the Transformer architecture's attention mechanism (weighing which pieces matter to which other pieces). Training data shapes everything a model knows and everything it doesn't, including a hard cutoff date and a persistent tendency toward confident-sounding fabrication when it doesn't actually know an answer.","Claim or teaching item needs primary-source review; candidate, not adjudicated missing citation",PENDING
1,327,Chapter Summary,"No two major model families are interchangeable; the right choice depends on capability needs, context window, cost, latency, and how much control and openness a project actually requires. And none of this is ethically neutral: the data, the compute, the access, and the responsibility for what these systems produce are all live, contested questions that this book will keep returning to.","Claim or teaching item needs primary-source review; candidate, not adjudicated missing citation",PENDING
1,352,Key Takeaways,- Training data determines both what a model knows and where it is most likely to be wrong or biased.,"Claim or teaching item needs primary-source review; candidate, not adjudicated missing citation",PENDING
1,355,Key Takeaways,"- Every design decision in this space carries ethical weight worth naming explicitly, not treating as someone else's problem.","Claim or teaching item needs primary-source review; candidate, not adjudicated missing citation",PENDING
1,369,Project Milestone: The Project Charter,"3. **Why generative AI?**: In a substantive paragraph, justify why this problem calls for a generative approach rather than a simpler rule-based system, a search tool, or a traditional classifier. If you can't build this case convincingly, that's valuable information, reconsider the domain before moving on.","Claim or teaching item needs primary-source review; candidate, not adjudicated missing citation",PENDING
2,15,Introduction,"As she studied transformer architecture, attention mechanisms, and model training processes, everything clicked. The models weren't mysteriously different, they had fundamentally different designs, training approaches, and capabilities. More importantly, she realized she could build a system that automatically routed each query to the optimal model based on its complexity and requirements.","Claim or teaching item needs primary-source review; candidate, not adjudicated missing citation",PENDING
2,17,Introduction,"Monday morning, Sarah deployed her intelligent routing system. Simple queries hit the fast, cheap models. Complex diagnostics went to the powerful ones. Moderate questions found the sweet spot in between.","Claim or teaching item needs primary-source review; candidate, not adjudicated missing citation",PENDING
2,19,Introduction,"New monthly cost projection: \$8,200. Response times: 90% under 2 seconds. Diagnostic accuracy: actually improved.","Claim or teaching item needs primary-source review; candidate, not adjudicated missing citation",PENDING
2,31,Learning Objectives,1.  **Explain** the transformer architecture and understand why it revolutionized natural language processing,"Claim or teaching item needs primary-source review; candidate, not adjudicated missing citation",PENDING
2,32,Learning Objectives,"2.  **Distinguish** between pre-training, fine-tuning, and inference phases of LLM development","Claim or teaching item needs primary-source review; candidate, not adjudicated missing citation",PENDING
2,45,Key Terminologies and Concepts,"| **Transformer** | The neural network architecture that revolutionized AI, using attention mechanisms to process sequences in parallel rather than sequentially | The ""T"" in GPT; introduced in 2017's ""Attention Is All You Need"" paper |","Claim or teaching item needs primary-source review; candidate, not adjudicated missing citation",PENDING
2,49,Key Terminologies and Concepts,"| **Encoder** | The part of a transformer that processes and understands input, building rich representations | BERT is encoder-only; excels at understanding and classification tasks |","Claim or teaching item needs primary-source review; candidate, not adjudicated missing citation",PENDING
2,50,Key Terminologies and Concepts,| **Decoder** | The part of a transformer that generates output based on learned representations | GPT models are decoder-only; specialized for text generation |,"Claim or teaching item needs primary-source review; candidate, not adjudicated missing citation",PENDING
2,52,Key Terminologies and Concepts,| **Fine-tuning** | Additional training on specific tasks or domains after pre-training to specialize the model | Training a general model on medical data to create a healthcare AI assistant |,"Claim or teaching item needs primary-source review; candidate, not adjudicated missing citation",PENDING
2,53,Key Terminologies and Concepts,"| **RLHF (Reinforcement Learning from Human Feedback)** | Training technique where humans compare model outputs and the model learns to produce responses that align with human preferences | Used to make ChatGPT helpful, honest, and harmless by learning from human rankings |","Claim or teaching item needs primary-source review; candidate, not adjudicated missing citation",PENDING
2,62,Key Terminologies and Concepts,"| **Constitutional AI** | Anthropic's approach to AI safety where models are trained to follow a set of principles (constitution) for helpful, honest, harmless behavior | Claude models use Constitutional AI to refuse harmful requests while remaining helpful |","Claim or teaching item needs primary-source review; candidate, not adjudicated missing citation",PENDING
2,64,Key Terminologies and Concepts,| **LoRA (Low-Rank Adaptation)** | An efficient fine-tuning technique that updates only small adapter layers instead of all model weights | Fine-tuning a 7B model by updating only 0.1% of parameters |,"Claim or teaching item needs primary-source review; candidate, not adjudicated missing citation",PENDING
2,66,Key Terminologies and Concepts,"| **Scaling Laws** | Predictable relationships between model size, data size, compute, and performance | Doubling model size typically improves performance by a consistent amount |","Claim or teaching item needs primary-source review; candidate, not adjudicated missing citation",PENDING
2,75,Key Terminologies and Concepts,| **API (Application Programming Interface)** | A standardized way to access model capabilities programmatically | OpenAI's `/v1/chat/completions` endpoint for GPT models |,"Claim or teaching item needs primary-source review; candidate, not adjudicated missing citation",PENDING
2,76,Key Terminologies and Concepts,"| **Batch Processing** | Processing multiple requests together for efficiency, trading immediate response for lower cost | Running 1000 document summaries overnight at 50% cost reduction |","Claim or teaching item needs primary-source review; candidate, not adjudicated missing citation",PENDING
2,82,Key Terminologies and Concepts,"**Note:** Some terms like ""token"" and ""embedding"" were introduced in Chapter 1 but are reinforced here in the context of transformer architecture and model operation.","Claim or teaching item needs primary-source review; candidate, not adjudicated missing citation",PENDING
2,88,2.1 The Transformer Revolution: Why Everything Changed,"Then in 2017, a team at Google published a paper with an audacious title: ""Attention Is All You Need."" They introduced an architecture so elegant, so powerful, that it sparked the AI revolution we're experiencing today. That architecture was the **transformer**.","Claim or teaching item needs primary-source review; candidate, not adjudicated missing citation",PENDING
2,92,The Cocktail Party Problem,"To understand why transformers matter, imagine you're at a crowded cocktail party. Dozens of conversations swirl around you, but you're focused on one person explaining a complex idea:","Claim or teaching item needs primary-source review; candidate, not adjudicated missing citation",PENDING
2,98,The Cocktail Party Problem,"This is **exactly** what transformers do, and what earlier AI systems couldn't.","Claim or teaching item needs primary-source review; candidate, not adjudicated missing citation",PENDING
2,102,The Sequential Processing Bottleneck,"Before transformers, AI systems read text like a person reading a book one letter at a time through a tiny peephole. They processed words sequentially, from left to right, maintaining a ""memory"" of what came before. But this memory faded with distance, and the system couldn't look ahead or simultaneously consider relationships between distant words.","Claim or teaching item needs primary-source review; candidate, not adjudicated missing citation",PENDING
2,119,Enter the Attention Mechanism,The transformer's breakthrough was **self-attention**: every word simultaneously considers its relationship with every other word in the passage. Think of it as the difference between:,"Claim or teaching item needs primary-source review; candidate, not adjudicated missing citation",PENDING
2,124,Enter the Attention Mechanism,"When processing ""it"" in our trophy sentence, the transformer's attention mechanism:","Claim or teaching item needs primary-source review; candidate, not adjudicated missing citation",PENDING
2,134,Enter the Attention Mechanism,![Attention Mechanism Visualization - How transformers weigh word relationships\_](../assets/images/chapters/figure_2_1_attention_mechanism.svg) *Figure 2.1: Attention Mechanism Visualization - How transformers weigh word relationships*,"Claim or teaching item needs primary-source review; candidate, not adjudicated missing citation",PENDING
2,138,Multi-Head Attention: Multiple Specialists Working Together,"But here's where it gets fascinating. Transformers don't use just one attention mechanism; they use multiple ""attention heads"" that can focus on different types of relationships simultaneously.","Claim or teaching item needs primary-source review; candidate, not adjudicated missing citation",PENDING
2,162,The Complete Transformer Architecture,"The transformer isn't just attention mechanisms, it's a carefully orchestrated system of components that work together:","Claim or teaching item needs primary-source review; candidate, not adjudicated missing citation",PENDING
2,166,1. Token Embeddings: Words as Mathematical Positions,"Remember from Chapter 1 how we convert words into numbers? The transformer begins by converting each token into a high-dimensional vector (typically 768 or 1,024 dimensions) that captures its meaning in mathematical space.","Claim or teaching item needs primary-source review; candidate, not adjudicated missing citation",PENDING
2,172,2. Positional Encoding: Remembering Order,"Since attention looks at all words simultaneously, the transformer needs a way to know that ""Dog bites man"" is different from ""Man bites dog."" Positional encoding adds a unique mathematical signature to each position, ensuring the model knows word order matters.","Claim or teaching item needs primary-source review; candidate, not adjudicated missing citation",PENDING
2,176,3. The Processing Stack: Building Understanding Layer by Layer,"Modern transformers stack dozens of identical layers (GPT-3 has 96 layers!), each consisting of:","Claim or teaching item needs primary-source review; candidate, not adjudicated missing citation",PENDING
2,193,3. The Processing Stack: Building Understanding Layer by Layer,![Transformer Layer Stack - Progressive sophistication through depth](../assets/images/chapters/figure_2_3_layer_stack.svg) *Figure 2.3: Transformer Layer Stack - Progressive sophistication through depth*,"Claim or teaching item needs primary-source review; candidate, not adjudicated missing citation",PENDING
2,197,Why This Architecture Revolutionized AI,The transformer solved multiple problems that had plagued AI for decades:,"Claim or teaching item needs primary-source review; candidate, not adjudicated missing citation",PENDING
2,199,Why This Architecture Revolutionized AI,"**1. Parallel Processing**: Unlike sequential architectures that had to process words one at a time, transformers can process entire passages simultaneously. This makes training dramatically faster and more efficient.","Claim or teaching item needs primary-source review; candidate, not adjudicated missing citation",PENDING
2,203,Why This Architecture Revolutionized AI,"**3. Scalability**: The architecture scales beautifully with more data and computing power. Bigger transformers trained on more data consistently perform better, leading to the scaling laws we'll explore shortly.","Claim or teaching item needs primary-source review; candidate, not adjudicated missing citation",PENDING
2,205,Why This Architecture Revolutionized AI,**4. Transfer Learning**: A transformer pre-trained on general text develops broadly useful language understanding that can be fine-tuned for specific tasks with relatively little additional data.,"Claim or teaching item needs primary-source review; candidate, not adjudicated missing citation",PENDING
2,216,Connecting to Your Experience,The transformer-based models:,"Claim or teaching item needs primary-source review; candidate, not adjudicated missing citation",PENDING
2,223,Connecting to Your Experience,"This wasn't magic, it was the attention mechanism and transformer architecture doing exactly what they were designed to do.","Claim or teaching item needs primary-source review; candidate, not adjudicated missing citation",PENDING
2,227,The Implications for You as a Developer,"Understanding transformer architecture isn't academic knowledge, it directly informs practical decisions:","Claim or teaching item needs primary-source review; candidate, not adjudicated missing citation",PENDING
2,237,Looking Ahead,"The transformer architecture you've just learned about is the foundation for every modern LLM you'll work with. In the next section, we'll explore how these architectural components are actually trained to develop the remarkable language capabilities you experienced in Chapter 1.","Claim or teaching item needs primary-source review; candidate, not adjudicated missing citation",PENDING
2,307,The Emergence of Understanding,"This is **emergence**, capabilities that weren't explicitly programmed but arose from the interaction of the transformer architecture and massive training data.","Claim or teaching item needs primary-source review; candidate, not adjudicated missing citation",PENDING
2,311,Phase 2: Fine-Tuning - From Knowledge to Wisdom,"If pre-training creates a knowledgeable but unguided genius, fine-tuning transforms that raw intelligence into a helpful, safe, and capable assistant.","Claim or teaching item needs primary-source review; candidate, not adjudicated missing citation",PENDING
2,313,Phase 2: Fine-Tuning - From Knowledge to Wisdom,"Think of it this way: A brilliant student who has read everything but hasn't learned how to have conversations, answer questions helpfully, or apply their knowledge appropriately in different contexts. Fine-tuning is like providing mentorship, teaching them not just what they know, but how to share that knowledge effectively.","Claim or teaching item needs primary-source review; candidate, not adjudicated missing citation",PENDING
2,339,RLHF: Aligning with Human Values,Perhaps the most fascinating part of modern AI development is **Reinforcement Learning from Human Feedback (RLHF)**. Human evaluators compare different responses and indicate their preferences:,"Claim or teaching item needs primary-source review; candidate, not adjudicated missing citation",PENDING
2,358,RLHF: Aligning with Human Values,![](../assets/images/chapters/figure_2_5_rlhf.svg) *Figure 2.5: RLHF Process - Learning from human preferences*,"Claim or teaching item needs primary-source review; candidate, not adjudicated missing citation",PENDING
2,362,Domain Specialization,Some models undergo additional fine-tuning for specialized domains:,"Claim or teaching item needs primary-source review; candidate, not adjudicated missing citation",PENDING
2,365,Domain Specialization,-   **Legal AI**: Fine-tuned on legal documents and precedents,"Claim or teaching item needs primary-source review; candidate, not adjudicated missing citation",PENDING
2,392,Autoregressive Generation: One Word at a Time,-   Fine-tuning ensures responses are helpful and accurate,"Claim or teaching item needs primary-source review; candidate, not adjudicated missing citation",PENDING
2,428,Why Understanding These Phases Matters,"**Model Selection**: Newer models with better fine-tuning often outperform older models, even if the older models are larger. A well-fine-tuned 13B parameter model might produce better results than a poorly-fine-tuned 70B model.","Claim or teaching item needs primary-source review; candidate, not adjudicated missing citation",PENDING
2,434,Why Understanding These Phases Matters,**Customization Decisions**: Understanding fine-tuning helps you decide when to use existing models versus training custom variants (which we'll explore in Chapter 6).,"Claim or teaching item needs primary-source review; candidate, not adjudicated missing citation",PENDING
2,440,Connecting to Your Research Assistant,-   Why certain models excel at creative tasks (different fine-tuning approaches),"Claim or teaching item needs primary-source review; candidate, not adjudicated missing citation",PENDING
2,462,Small Models (1B-7B parameters): The Swift Specialists,"TechSupport Inc. handles 50,000 customer service inquiries daily. Initially, they routed everything through GPT-4, their ""smartest"" option. Monthly cost: \$42,000. Average response time: 6 seconds.","Claim or teaching item needs primary-source review; candidate, not adjudicated missing citation",PENDING
2,468,Small Models (1B-7B parameters): The Swift Specialists,-   Response time: 0.8 seconds (87% faster),"Claim or teaching item needs primary-source review; candidate, not adjudicated missing citation",PENDING
2,469,Small Models (1B-7B parameters): The Swift Specialists,-   Cost per query: \$0.0002 (99% cheaper),"Claim or teaching item needs primary-source review; candidate, not adjudicated missing citation",PENDING
2,472,Small Models (1B-7B parameters): The Swift Specialists,"Monthly cost for 70% of queries: \$2,800. Monthly savings: \$29,400.","Claim or teaching item needs primary-source review; candidate, not adjudicated missing citation",PENDING
2,512,Medium Models (13B-34B parameters): The Balanced Performers,"**The Sweet Spot:** Medium models often provide 80% of large model capability at 20% of the cost, making them the practical choice for most business applications.","Claim or teaching item needs primary-source review; candidate, not adjudicated missing citation",PENDING
2,522,Large Models (70B+ parameters): The Heavy Hitters,-   **Diagnostic accuracy**: Improved by 34%,"Claim or teaching item needs primary-source review; candidate, not adjudicated missing citation",PENDING
2,655,GPT-3.5 Turbo: The Reliable Workhorse,"**Real-World Example**: A customer service chatbot handling common inquiries would use GPT-3.5 Turbo for 80% of queries, reserving more expensive models for complex cases.","Claim or teaching item needs primary-source review; candidate, not adjudicated missing citation",PENDING
2,664,GPT-4: The Strategic Advisor,"-   **Multimodal capabilities**: Can analyze images, charts, and diagrams alongside text","Claim or teaching item needs primary-source review; candidate, not adjudicated missing citation",PENDING
2,670,GPT-4: The Strategic Advisor,"**Real-World Example**: An architecture firm uses GPT-4 to analyze building plans and regulations, justify design decisions, and generate detailed specifications, tasks where the superior reasoning and multimodal capabilities are essential.","Claim or teaching item needs primary-source review; candidate, not adjudicated missing citation",PENDING
2,674,Anthropic Claude Family: The Thoughtful Analysts,"Anthropic's Claude models are like the consulting firm known for their methodical approach, ethical considerations, and particularly strong analytical capabilities.","Claim or teaching item needs primary-source review; candidate, not adjudicated missing citation",PENDING
2,684,Claude 3 Haiku: The Swift Analyst,-   Cost-sensitive deployments with tight budget constraints,"Claim or teaching item needs primary-source review; candidate, not adjudicated missing citation",PENDING
2,748,Google PaLM/Gemini Family: The Multilingual Innovators,Google's models bring deep expertise in multiple languages and cutting-edge multimodal capabilities.,"Claim or teaching item needs primary-source review; candidate, not adjudicated missing citation",PENDING
2,764,Gemini: The Multimodal Future,-   **Integrated multimodal**: Native ability to process text and images together,"Claim or teaching item needs primary-source review; candidate, not adjudicated missing citation",PENDING
2,786,Making Strategic Selections,"    -   Multimodal → GPT-4, Gemini","Claim or teaching item needs primary-source review; candidate, not adjudicated missing citation",PENDING
2,799,The Evolving Landscape,"New models and capabilities emerge regularly, and the specific model names above will inevitably be outdated by the time you read this, some may already be retired. That's fine, and expected. Understanding these model *families* and the reasoning behind their tiers gives you a durable framework for evaluating whatever options exist when you're actually building something, which is the skill this chapter is really trying to teach.","Claim or teaching item needs primary-source review; candidate, not adjudicated missing citation",PENDING
2,809,2.5 Designing an Intelligent Model Router,"You now understand enough about transformer architecture, training, size trade-offs, and model families to make a genuinely informed decision, not ""which model is best,"" but ""which model is best *for this query, right now, under these constraints*."" That decision is worth designing carefully before you ever write a line of implementation code, because a bad routing design will happily and expensively run in production for months before anyone notices the bill.","Claim or teaching item needs primary-source review; candidate, not adjudicated missing citation",PENDING
2,813,What Intelligent Routing Actually Decides,"Return to Sarah's story from the opening of this chapter. Her fix wasn't a smarter model, it was a smarter *decision process* for choosing between models she already had access to. That decision process has three moving parts, and each one deserves its own paragraph of design thinking before any code exists:","Claim or teaching item needs primary-source review; candidate, not adjudicated missing citation",PENDING
2,819,What Intelligent Routing Actually Decides,"**Caching and monitoring as a safety net.** No complexity estimate is perfect. Caching catches the queries you'll see again (often 30–60% of real traffic in production systems), and monitoring catches the cases where your complexity estimate was simply wrong, so you can correct the design rather than silently overpaying or under-delivering forever.","Claim or teaching item needs primary-source review; candidate, not adjudicated missing citation",PENDING
2,855,Chapter Summary,"When you started this chapter, transformers, training phases, and model families were terms you could define but not yet reason with. Now you understand *why* the transformer architecture displaced everything before it, how pre-training, fine-tuning, and RLHF each shape a model's behavior differently, and why ""bigger"" and ""better"" are not the same question. That understanding is what let Sarah, in this chapter's opening story, replace a runaway API bill with a design she could actually defend to her CTO.","Claim or teaching item needs primary-source review; candidate, not adjudicated missing citation",PENDING
2,859,Key Takeaways,1.  **Architecture matters**: The transformer's attention mechanism enables capabilities that previous architectures couldn't achieve.,"Claim or teaching item needs primary-source review; candidate, not adjudicated missing citation",PENDING
2,860,Key Takeaways,"2.  **Training shapes capability**: Pre-training, fine-tuning, and RLHF work together to create helpful, capable AI systems, and each phase leaves a different kind of fingerprint on model behavior.","Claim or teaching item needs primary-source review; candidate, not adjudicated missing citation",PENDING
2,873,Discussion Questions,1. How does understanding transformer architecture change how you evaluate a vendor's claims about a new model?,"Claim or teaching item needs primary-source review; candidate, not adjudicated missing citation",PENDING
2,875,Discussion Questions,3. Bloomberg trained a custom model rather than fine-tuning a general one. What would have to be true about your own project's domain for that same trade-off to make sense?,"Claim or teaching item needs primary-source review; candidate, not adjudicated missing citation",PENDING
2,916,Practical Optimization,    -   Advanced techniques for production deployment.,"Claim or teaching item needs primary-source review; candidate, not adjudicated missing citation",PENDING
2,936,Practice,"- Explain RLHF to someone with no ML background in three sentences or fewer, without using the word ""reinforcement.""","Claim or teaching item needs primary-source review; candidate, not adjudicated missing citation",PENDING
3,9,Introduction,"In this chapter, you'll master the fundamental techniques that separate novice AI users from experts: few-shot learning, chain-of-thought prompting, prompt templates, and safety considerations. You'll enhance your research assistant with a sophisticated prompt management system that can automatically select and optimize prompts based on the type of research query being processed.","Claim or teaching item needs primary-source review; candidate, not adjudicated missing citation",PENDING
3,21,Learning Objectives,5.  **Identify** and prevent prompt injection and safety vulnerabilities,"Claim or teaching item needs primary-source review; candidate, not adjudicated missing citation",PENDING
3,22,Learning Objectives,6.  **Evaluate** prompt effectiveness using both qualitative and quantitative measures,"Claim or teaching item needs primary-source review; candidate, not adjudicated missing citation",PENDING
3,37,Key Terminologies and Concepts,"| **Chain-of-Thought (CoT)** | Prompting technique that encourages models to show step-by-step reasoning | Adding ""Let's think step by step"" dramatically improves math problem accuracy |","Claim or teaching item needs primary-source review; candidate, not adjudicated missing citation",PENDING
3,43,Key Terminologies and Concepts,| **Instruction Following** | The model's ability to follow specific directions in prompts | Modern models excel at this after instruction-tuning and RLHF |,"Claim or teaching item needs primary-source review; candidate, not adjudicated missing citation",PENDING
