chapter,source_line,section,claim,reason,status,phase_0_status,review_id,classification,verification_date,primary_source,source_keys,current_source_line,current_excerpt,correction,notes,resolution
1,143,The Transformer Revolution (2017–Present),"The generations since have added multimodal understanding (text and images together), stronger reasoning, open-weight alternatives that broadened who can build on this technology, and increasingly tight integration with real-world tools and data. We'll meet today's major model families in section 1.7.","Claim or teaching item needs primary-source review; candidate, not adjudicated missing citation",ADJUDICATED,PENDING,CITATION-013,REMOVE_OR_GENERALIZE,2026-09-18,https://arxiv.org/abs/2005.14165,gpt3,143,The GPT-3 report (2020) demonstrated task performance from prompt demonstrations without gradient updates at inference time. Its results vary across tasks; few-shot prompting does not mean that a model was never exposed to related material during pre-training. [@gpt3],The GPT-3 report (2020) demonstrated task performance from prompt demonstrations without gradient updates at inference time. Its results vary across tasks; few-shot prompting does not mean that a model was never exposed to related material during pre-training. [@gpt3],Original wording corrected or qualified in the manuscript; see the exact replacement and linked primary evidence. ,RESOLVED
1,147,The Transformer Revolution (2017–Present),*Figure 1.2: The Evolution of Text Generation — From Rule-Based Systems to Modern Transformers*,"Claim or teaching item needs primary-source review; candidate, not adjudicated missing citation",ADJUDICATED,PENDING,CITATION-014,ILLUSTRATIVE,2026-09-18,,,147,**Illustration unavailable.** The Evolution of Text Generation — source artwork was not supplied.,**Illustration unavailable.** The Evolution of Text Generation — source artwork was not supplied.,"Teaching objective, exercise, analogy, or explicitly fictional scenario; not evidence of measured model or company performance.",RESOLVED
1,183,The Attention Revolution: Focus on What Matters,"Transformers don't use a single attention mechanism; they run many ""heads"" (typically 8–16) in parallel, each free to specialize in a different kind of relationship: one might track subject-verb agreement, another pronoun reference, another cause-and-effect.","Claim or teaching item needs primary-source review; candidate, not adjudicated missing citation",ADJUDICATED,PENDING,CITATION-015,CITATION_HELPFUL,2026-09-18,https://arxiv.org/abs/1706.03762,transformer,187,"Transformers don't use a single attention mechanism; they run many ""heads"" (with counts depending on the architecture) in parallel, each free to specialize in a different kind of relationship: one might track subject-verb agreement, another pronoun reference, another cause-and-effect.",No substantive correction required; retained with the stated scope.,"Retained as a bounded conceptual, historical, or engineering claim. Primary source supports the mechanism or documented example, not universal performance or current product rankings.",RESOLVED
1,189,Core Architecture Components,"Because Transformers process all words simultaneously rather than reading left to right, they need **positional encoding** to preserve word order, a ""position signature"" attached to each token, since ""Dog bites man"" and ""Man bites dog"" share the same words but mean very different things.","Claim or teaching item needs primary-source review; candidate, not adjudicated missing citation",ADJUDICATED,PENDING,CITATION-016,CITATION_HELPFUL,2026-09-18,https://arxiv.org/abs/1706.03762,transformer,193,"Because Transformers process all words simultaneously rather than reading left to right, they need **positional encoding** to preserve word order, a ""position signature"" attached to each token, since ""Dog bites man"" and ""Man bites dog"" share the same words but mean very different things.",No substantive correction required; retained with the stated scope.,"Retained as a bounded conceptual, historical, or engineering claim. Primary source supports the mechanism or documented example, not universal performance or current product rankings.",RESOLVED
1,191,Core Architecture Components,"Finally, Transformers stack many layers, dozens in modern models, with each layer building more abstract understanding: early layers handle grammar and syntax, middle layers capture relationships and local context, and deeper layers support inference and generation that draws on broader world knowledge.","Claim or teaching item needs primary-source review; candidate, not adjudicated missing citation",ADJUDICATED,PENDING,CITATION-017,REMOVE_OR_GENERALIZE,2026-09-18,https://arxiv.org/abs/1706.03762,transformer,195,"Transformers stack attention and feed-forward layers with residual connections and normalization. Different layers can learn different representations, but there is no universal mapping from layer number to grammar, reasoning, or knowledge. Training can process sequence positions in parallel subject to an attention mask; ordinary autoregressive generation still advances token by token. [@vaswani2017attention]","Transformers stack attention and feed-forward layers with residual connections and normalization. Different layers can learn different representations, but there is no universal mapping from layer number to grammar, reasoning, or knowledge. Training can process sequence positions in parallel subject to an attention mask; ordinary autoregressive generation still advances token by token. [@vaswani2017attention]",Original wording corrected or qualified in the manuscript; see the exact replacement and linked primary evidence. Unsupported layer-function map,RESOLVED
1,193,Core Architecture Components,![Transformer Architecture - Core Components and Information Flow](../assets/images/chapters/ch01_img10.svg),"Claim or teaching item needs primary-source review; candidate, not adjudicated missing citation",ADJUDICATED,PENDING,CITATION-018,ILLUSTRATIVE,2026-09-18,,,197,**Illustration unavailable.** Transformer Architecture - Core Components and Information Flow — source artwork was not supplied.,**Illustration unavailable.** Transformer Architecture - Core Components and Information Flow — source artwork was not supplied.,"Teaching objective, exercise, analogy, or explicitly fictional scenario; not evidence of measured model or company performance.",RESOLVED
1,195,Core Architecture Components,*Figure 1.3: Transformer Architecture — Core Components and Information Flow*,"Claim or teaching item needs primary-source review; candidate, not adjudicated missing citation",ADJUDICATED,PENDING,CITATION-019,ILLUSTRATIVE,2026-09-18,,,199,*Proposed Figure 1.3: Transformer Architecture — Core Components and Information Flow*,No substantive correction required; retained with the stated scope.,"Teaching objective, exercise, analogy, or explicitly fictional scenario; not evidence of measured model or company performance.",RESOLVED
1,207,Training: Learning from an Enormous Corpus,"What separates modern LLMs from earlier attempts isn't a fundamentally new algorithm, it's scale, in both parameters and training data, by several orders of magnitude across just a few model generations. That scaling trend, and the debate over where it runs out of road, is a thread we'll pick up again in Chapter 2.","Claim or teaching item needs primary-source review; candidate, not adjudicated missing citation",ADJUDICATED,PENDING,CITATION-020,COMMON_KNOWLEDGE,2026-09-18,,,211,"What separates modern LLMs from earlier attempts isn't a fundamentally new algorithm, it's scale, in both parameters and training data, by several orders of magnitude across just a few model generations. That scaling trend, and the debate over where it runs out of road, is a thread we'll pick up again in Chapter 2.",No substantive correction required; retained with the stated scope.,"Author framing, ordinary definition, or design recommendation; no external empirical result asserted.",RESOLVED
1,211,Inference: Generating One Token at a Time,"When you send a prompt, six things happen in sequence: your text is tokenized; each token becomes an embedding vector; the transformer layers process those vectors; the model outputs a probability distribution over possible next tokens; one token is selected (influenced by the temperature setting); and the cycle repeats, feeding the growing sequence back in, until the response is complete.","Claim or teaching item needs primary-source review; candidate, not adjudicated missing citation",ADJUDICATED,PENDING,CITATION-021,COMMON_KNOWLEDGE,2026-09-18,,,215,"When you send a prompt, six things happen in sequence: your text is tokenized; each token becomes an embedding vector; the transformer layers process those vectors; the model outputs a probability distribution over possible next tokens; one token is selected (influenced by the temperature setting); and the cycle repeats, feeding the growing sequence back in, until the response is complete.",No substantive correction required; retained with the stated scope.,"Author framing, ordinary definition, or design recommendation; no external empirical result asserted.",RESOLVED
1,213,Inference: Generating One Token at a Time,"**Temperature** controls how that selection happens. At temperature 0, the model always picks the single most probable token, producing deterministic, sometimes repetitive output. At a moderate setting like 0.7, output balances coherence with variety, a common default. Push temperature past 1.0 and output grows more surprising, and more prone to incoherence. Given the prompt ""The best way to learn programming is..."", temperature 0 might complete it with ""...to practice regularly and work on projects,"" while a higher temperature could produce something far more exploratory in phrasing, without necessarily improving the underlying advice.","Claim or teaching item needs primary-source review; candidate, not adjudicated missing citation",ADJUDICATED,PENDING,CITATION-022,REMOVE_OR_GENERALIZE,2026-09-18,,,217,"**Temperature** rescales sampling logits. Lower settings concentrate probability on higher-scoring tokens; greedy decoding is a common interpretation of zero. This is not a factuality control or a guarantee of identical outputs across serving environments. Higher temperature increases sampling diversity, not necessarily creativity or quality. The examples here illustrate possible styles, not measured model outputs; supported settings depend on the model and API.","**Temperature** rescales sampling logits. Lower settings concentrate probability on higher-scoring tokens; greedy decoding is a common interpretation of zero. This is not a factuality control or a guarantee of identical outputs across serving environments. Higher temperature increases sampling diversity, not necessarily creativity or quality. The examples here illustrate possible styles, not measured model outputs; supported settings depend on the model and API.",Original wording corrected or qualified in the manuscript; see the exact replacement and linked primary evidence. Determinism and factuality overclaim,RESOLVED
1,219,Context Windows: The Model's Working Memory,"Understanding these mechanisms pays off immediately: tokenization awareness shapes how you write prompts, temperature choice depends on whether you want reliability or exploration, and context-window limits explain why a model can ""forget"" something you told it earlier in a long conversation, not because it's being careless, but because the information has literally scrolled out of view.","Claim or teaching item needs primary-source review; candidate, not adjudicated missing citation",ADJUDICATED,PENDING,CITATION-023,REMOVE_OR_GENERALIZE,2026-09-18,https://arxiv.org/abs/2307.03172,lostmiddle,223,"Tokenization determines input length and billing units; sampling settings affect output variability; context limits bound what is supplied to the model. A system can also fail to use information that remains inside its context, so a missed detail is not proof that it was truncated. [@lostmiddle]","Tokenization determines input length and billing units; sampling settings affect output variability; context limits bound what is supplied to the model. A system can also fail to use information that remains inside its context, so a missed detail is not proof that it was truncated. [@lostmiddle]",Original wording corrected or qualified in the manuscript; see the exact replacement and linked primary evidence. Separate context truncation from failure to use in-window evidence.,RESOLVED
1,233,You Are What You Eat,"A model's knowledge, and its blind spots, are a direct reflection of its training data. A model trained heavily on English-language, Western-centric internet text will be fluent about topics well-represented there and noticeably weaker on topics, languages, and perspectives that are underrepresented, not because the underlying architecture is biased toward English, but because the data was. This matters enormously for global deployment: a research assistant built for East African agricultural policy, for instance, will only be as good as its training and retrieval sources allow it to be on that specific domain, and generic internet-scale training is unlikely to have deep, accurate coverage of it.","Claim or teaching item needs primary-source review; candidate, not adjudicated missing citation",ADJUDICATED,PENDING,CITATION-024,COMMON_KNOWLEDGE,2026-09-18,,,237,"A model's knowledge, and its blind spots, are a direct reflection of its training data. A model trained heavily on English-language, Western-centric internet text will be fluent about topics well-represented there and noticeably weaker on topics, languages, and perspectives that are underrepresented, not because the underlying architecture is biased toward English, but because the data was. This matters enormously for global deployment: a research assistant built for East African agricultural policy, for instance, will only be as good as its training and retrieval sources allow it to be on that specific domain, and generic internet-scale training is unlikely to have deep, accurate coverage of it.",No substantive correction required; retained with the stated scope.,"Author framing, ordinary definition, or design recommendation; no external empirical result asserted.",RESOLVED
1,241,Hallucination: Confident Fabrication,"A **hallucination** is a fluent, confident output that is simply wrong, a citation to a court case that was never decided, a biography detail that was never true, a function that doesn't exist in the library it claims to. Hallucination isn't a bug in the ordinary sense; it's a direct consequence of how these models work. A model doesn't have a database of facts it looks up, it has a learned probability distribution over plausible-sounding text, and ""plausible"" and ""true"" are not the same property. This single idea, more than any other in this chapter, should shape how you evaluate everything a generative AI system tells you, and it's a thread that runs through nearly every remaining chapter in this book.","Claim or teaching item needs primary-source review; candidate, not adjudicated missing citation",ADJUDICATED,PENDING,CITATION-025,REMOVE_OR_GENERALIZE,2026-09-18,https://arxiv.org/abs/2303.08774,gpt4,245,"A **hallucination** is a fluent, confident output that is simply wrong, a citation to a court case that was never decided, a biography detail that was never true, a function that doesn't exist in the library it claims to. Hallucination isn't a bug in the ordinary sense; it's a direct consequence of how these models work. A model doesn't have a database of facts it looks up, it has a learned probability distribution over plausible-sounding text, and ""plausible"" and ""true"" are not the same property. This single idea, more than any other in this chapter, should shape how you evaluate everything a generative AI system tells you, and it's a thread that runs through nearly every remaining chapter in this book. [@gpt4]","A **hallucination** is a fluent, confident output that is simply wrong, a citation to a court case that was never decided, a biography detail that was never true, a function that doesn't exist in the library it claims to. Hallucination isn't a bug in the ordinary sense; it's a direct consequence of how these models work. A model doesn't have a database of facts it looks up, it has a learned probability distribution over plausible-sounding text, and ""plausible"" and ""true"" are not the same property. This single idea, more than any other in this chapter, should shape how you evaluate everything a generative AI system tells you, and it's a thread that runs through nearly every remaining chapter in this book. [@gpt4]",Original wording corrected or qualified in the manuscript; see the exact replacement and linked primary evidence. Attach primary evidence to the claim rather than relying only on Further Reading.,RESOLVED
1,249,1.7 Meeting the Major Model Families,"**OpenAI's GPT family** established much of the commercial template for LLM products: broad general capability, a large third-party ecosystem, and continual expansion into multimodal input and tool use.","Claim or teaching item needs primary-source review; candidate, not adjudicated missing citation",ADJUDICATED,PENDING,CITATION-026,REMOVE_OR_GENERALIZE,2026-09-18,https://arxiv.org/abs/2005.14165 ; https://arxiv.org/abs/2303.08774,gpt3;gpt4,253,"**OpenAI’s GPT family** provides historical examples of autoregressive pre-training and later instruction tuning; the 2023 GPT-4 report describes image-and-text inputs and text outputs. These dated reports are evidence about specific models, not specifications for every later product. [@gpt3; @gpt4]","**OpenAI’s GPT family** provides historical examples of autoregressive pre-training and later instruction tuning; the 2023 GPT-4 report describes image-and-text inputs and text outputs. These dated reports are evidence about specific models, not specifications for every later product. [@gpt3; @gpt4]",Original wording corrected or qualified in the manuscript; see the exact replacement and linked primary evidence. Date model-family examples.,RESOLVED
1,253,1.7 Meeting the Major Model Families,"**Google's Gemini family** was built multimodal from the start rather than adding it later, and benefits from tight integration with Google's existing infrastructure and search capabilities.","Claim or teaching item needs primary-source review; candidate, not adjudicated missing citation",ADJUDICATED,PENDING,CITATION-027,REMOVE_OR_GENERALIZE,2026-09-18,https://arxiv.org/abs/2312.11805,gemini,257,**Google’s Gemini family** illustrates integrated multimodal training in its 2023 technical report. Supported modalities and product integrations must be checked for the particular deployed version. [@gemini],**Google’s Gemini family** illustrates integrated multimodal training in its 2023 technical report. Supported modalities and product integrations must be checked for the particular deployed version. [@gemini],Original wording corrected or qualified in the manuscript; see the exact replacement and linked primary evidence. Date model-family examples.,RESOLVED
1,280,1.8 Ethical Foundations,"**Who actually benefits?** Access to the most capable models requires money, reliable infrastructure, and often English fluency. A technology with this much leverage over research, writing, and problem-solving will not distribute its benefits evenly unless real effort is made to ensure it does.","Claim or teaching item needs primary-source review; candidate, not adjudicated missing citation",ADJUDICATED,PENDING,CITATION-028,CITATION_HELPFUL,2026-09-18,https://doi.org/10.1145/3442188.3445922,stochastic,284,"**Who actually benefits?** Access to the most capable models requires money, reliable infrastructure, and often English fluency. A technology with this much leverage over research, writing, and problem-solving will not distribute its benefits evenly unless real effort is made to ensure it does.",No substantive correction required; retained with the stated scope.,"Retained as a bounded conceptual, historical, or engineering claim. Primary source supports the mechanism or documented example, not universal performance or current product rankings.",RESOLVED
1,282,1.8 Ethical Foundations,"**Who is responsible when something goes wrong?** When a generative AI system produces a harmful, biased, or simply false output, responsibility is genuinely distributed, and often contested, among the developer who built the model, the company that deployed it, and the person who used it. This book will not hand you a settled answer to that question, because there isn't one yet. It will, however, keep returning to it, because building responsibly requires holding the question open rather than assuming someone else has already answered it.","Claim or teaching item needs primary-source review; candidate, not adjudicated missing citation",ADJUDICATED,PENDING,CITATION-029,CITATION_HELPFUL,2026-09-18,https://doi.org/10.1145/3442188.3445922,stochastic,286,"**Who is responsible when something goes wrong?** When a generative AI system produces a harmful, biased, or simply false output, responsibility is genuinely distributed, and often contested, among the developer who built the model, the company that deployed it, and the person who used it. This book will not hand you a settled answer to that question, because there isn't one yet. It will, however, keep returning to it, because building responsibly requires holding the question open rather than assuming someone else has already answered it.",No substantive correction required; retained with the stated scope.,"Retained as a bounded conceptual, historical, or engineering claim. Primary source supports the mechanism or documented example, not universal performance or current product rankings.",RESOLVED
1,315,Case Study: The Associated Press and Automated News Generation,"Since 2014, the Associated Press has used automated generation to produce thousands of corporate earnings reports each quarter, stories that follow a predictable structure (revenue, comparison to the prior year, analyst expectations) but that no newsroom had the staff to cover at that volume by hand. The system doesn't replace AP's financial journalists; it handles the formulaic, high-volume layer of coverage so human reporters can focus on the stories that require judgment, investigation, and context a template cannot supply.","Claim or teaching item needs primary-source review; candidate, not adjudicated missing citation",ADJUDICATED,PENDING,CITATION-030,CITATION_REQUIRED,2026-09-18,https://www.ap.org/the-definitive-source/announcements/automated-earnings-stories-multiply/,apautomation,319,"In its June 2015 account, the Associated Press reported automatically producing more than 3,000 corporate earnings stories per quarter after starting the effort in 2014. AP described a system using Automated Insights and Zacks data, with reporting time freed for other work. This is a historical, firsthand organizational report about structured-data news automation, not evidence of modern LLM reliability. [@apautomation]","In its June 2015 account, the Associated Press reported automatically producing more than 3,000 corporate earnings stories per quarter after starting the effort in 2014. AP described a system using Automated Insights and Zacks data, with reporting time freed for other work. This is a historical, firsthand organizational report about structured-data news automation, not evidence of modern LLM reliability. [@apautomation]",Original wording corrected or qualified in the manuscript; see the exact replacement and linked primary evidence. Date AP case; distinguish templated NLG from LLMs,RESOLVED
1,325,Chapter Summary,"Getting from raw text to a generated response requires tokenization (breaking text into manageable pieces), embeddings (turning those pieces into meaning-bearing numbers), and the Transformer architecture's attention mechanism (weighing which pieces matter to which other pieces). Training data shapes everything a model knows and everything it doesn't, including a hard cutoff date and a persistent tendency toward confident-sounding fabrication when it doesn't actually know an answer.","Claim or teaching item needs primary-source review; candidate, not adjudicated missing citation",ADJUDICATED,PENDING,CITATION-031,CITATION_HELPFUL,2026-09-18,https://arxiv.org/abs/1706.03762,transformer,329,"Getting from raw text to a generated response requires tokenization (breaking text into manageable pieces), embeddings (turning those pieces into meaning-bearing numbers), and the Transformer architecture's attention mechanism (weighing which pieces matter to which other pieces). Training data shapes everything a model knows and everything it doesn't, including uneven temporal coverage and a persistent tendency toward confident-sounding fabrication when it doesn't actually know an answer. [@vaswani2017attention]",No substantive correction required; retained with the stated scope.,"Retained as a bounded conceptual, historical, or engineering claim. Primary source supports the mechanism or documented example, not universal performance or current product rankings.",RESOLVED
1,327,Chapter Summary,"No two major model families are interchangeable; the right choice depends on capability needs, context window, cost, latency, and how much control and openness a project actually requires. And none of this is ethically neutral: the data, the compute, the access, and the responsibility for what these systems produce are all live, contested questions that this book will keep returning to.","Claim or teaching item needs primary-source review; candidate, not adjudicated missing citation",ADJUDICATED,PENDING,CITATION-032,CITATION_HELPFUL,2026-09-18,https://arxiv.org/abs/2206.07682 ; https://arxiv.org/abs/2304.15004 ; https://arxiv.org/abs/1706.03762,emergence;mirage;transformer,331,"No two major model families are interchangeable; the right choice depends on capability needs, context window, cost, latency, and how much control and openness a project actually requires. And none of this is ethically neutral: the data, the compute, the access, and the responsibility for what these systems produce are all live, contested questions that this book will keep returning to.",No substantive correction required; retained with the stated scope.,"Retained as a bounded conceptual, historical, or engineering claim. Primary source supports the mechanism or documented example, not universal performance or current product rankings.",RESOLVED
1,352,Key Takeaways,- Training data determines both what a model knows and where it is most likely to be wrong or biased.,"Claim or teaching item needs primary-source review; candidate, not adjudicated missing citation",ADJUDICATED,PENDING,CITATION-033,CITATION_HELPFUL,2026-09-18,https://arxiv.org/abs/2206.07682 ; https://arxiv.org/abs/2304.15004,emergence;mirage,356,- Training data determines both what a model knows and where it is most likely to be wrong or biased.,No substantive correction required; retained with the stated scope.,"Retained as a bounded conceptual, historical, or engineering claim. Primary source supports the mechanism or documented example, not universal performance or current product rankings.",RESOLVED
1,355,Key Takeaways,"- Every design decision in this space carries ethical weight worth naming explicitly, not treating as someone else's problem.","Claim or teaching item needs primary-source review; candidate, not adjudicated missing citation",ADJUDICATED,PENDING,CITATION-034,CITATION_HELPFUL,2026-09-18,https://arxiv.org/abs/2206.07682 ; https://arxiv.org/abs/2304.15004,emergence;mirage,359,"- Every design decision in this space carries ethical weight worth naming explicitly, not treating as someone else's problem.",No substantive correction required; retained with the stated scope.,"Retained as a bounded conceptual, historical, or engineering claim. Primary source supports the mechanism or documented example, not universal performance or current product rankings.",RESOLVED
