id,chapter,section,source_line,classification,execution_status,verification_date,requires_API,security_review,notes
tech-03-003,3,4. **Format Specification: How Should It Look?** {.unnumbered},165,PROMPT,NOT_EXECUTED,2026-09-18,no,No credential or destructive command found; conceptual guards are not security guarantees.,Reviewed as literal teaching material; not executable code.
tech-03-004,3,5. **Constraints and Guidelines: What Are the Boundaries?** {.unnumbered},179,PROMPT,NOT_EXECUTED,2026-09-18,no,No credential or destructive command found; conceptual guards are not security guarantees.,Reviewed as literal teaching material; not executable code.
tech-03-005,3,The CLEAR Framework: A Systematic Approach,209,PROMPT,NOT_EXECUTED,2026-09-18,no,No credential or destructive command found; conceptual guards are not security guarantees.,Reviewed as literal teaching material; not executable code.
tech-03-006,3,Zero-Shot: Relying on Training Alone,269,PROMPT,NOT_EXECUTED,2026-09-18,no,No credential or destructive command found; conceptual guards are not security guarantees.,Reviewed as literal teaching material; not executable code.
tech-03-007,3,Zero-Shot: Relying on Training Alone,276,MODEL_RESPONSE,NOT_EXECUTED,2026-09-18,no,No credential or destructive command found; conceptual guards are not security guarantees.,"Illustrative response, not a recorded model execution or verified factual answer."
tech-03-008,3,Few-Shot: Establishing the Pattern,288,PROMPT,NOT_EXECUTED,2026-09-18,no,No credential or destructive command found; conceptual guards are not security guarantees.,Reviewed as literal teaching material; not executable code.
tech-03-009,3,Few-Shot: Establishing the Pattern,308,MODEL_RESPONSE,NOT_EXECUTED,2026-09-18,no,No credential or destructive command found; conceptual guards are not security guarantees.,"Illustrative response, not a recorded model execution or verified factual answer."
tech-03-010,3,The Art of Example Selection,340,PROMPT,NOT_EXECUTED,2026-09-18,no,No credential or destructive command found; conceptual guards are not security guarantees.,Reviewed as literal teaching material; not executable code.
tech-03-011,3,The Art of Example Selection,350,PROMPT,NOT_EXECUTED,2026-09-18,no,No credential or destructive command found; conceptual guards are not security guarantees.,Reviewed as literal teaching material; not executable code.
tech-03-012,3,The Art of Example Selection,378,PROMPT,NOT_EXECUTED,2026-09-18,no,No credential or destructive command found; conceptual guards are not security guarantees.,Reviewed as literal teaching material; not executable code.
tech-03-013,3,Few-Shot for Format Enforcement,392,PROMPT,NOT_EXECUTED,2026-09-18,no,No credential or destructive command found; conceptual guards are not security guarantees.,Reviewed as literal teaching material; not executable code.
tech-03-015,3,"The ""Let's Think Step by Step"" Miracle",480,PROMPT,NOT_EXECUTED,2026-09-18,no,No credential or destructive command found; conceptual guards are not security guarantees.,Reviewed as literal teaching material; not executable code.
tech-03-016,3,"The ""Let's Think Step by Step"" Miracle",489,PROMPT,NOT_EXECUTED,2026-09-18,no,No credential or destructive command found; conceptual guards are not security guarantees.,Reviewed as literal teaching material; not executable code.
tech-03-017,3,Basic CoT: The Simple Addition,527,PROMPT,NOT_EXECUTED,2026-09-18,no,No credential or destructive command found; conceptual guards are not security guarantees.,Reviewed as literal teaching material; not executable code.
tech-03-018,3,Explicit Step Enumeration,543,PROMPT,NOT_EXECUTED,2026-09-18,no,No credential or destructive command found; conceptual guards are not security guarantees.,Reviewed as literal teaching material; not executable code.
tech-03-019,3,Zero-Shot vs Few-Shot CoT,562,PROMPT,NOT_EXECUTED,2026-09-18,no,No credential or destructive command found; conceptual guards are not security guarantees.,Reviewed as literal teaching material; not executable code.
tech-03-020,3,Self-Consistency: Multiple Reasoning Paths,590,PROMPT,NOT_EXECUTED,2026-09-18,no,No credential or destructive command found; conceptual guards are not security guarantees.,Reviewed as literal teaching material; not executable code.
tech-03-021,3,Recursive CoT: Breaking Down Complexity,606,PROMPT,NOT_EXECUTED,2026-09-18,no,No credential or destructive command found; conceptual guards are not security guarantees.,Reviewed as literal teaching material; not executable code.
tech-03-022,3,Implementing CoT in Your Research Assistant,669,PROMPT,NOT_EXECUTED,2026-09-18,no,No credential or destructive command found; conceptual guards are not security guarantees.,Reviewed as literal teaching material; not executable code.
tech-03-023,3,Verification and Self-Correction,688,PROMPT,NOT_EXECUTED,2026-09-18,no,No credential or destructive command found; conceptual guards are not security guarantees.,Reviewed as literal teaching material; not executable code.
tech-03-024,3,Anatomy of a Robust Template,732,PROMPT,NOT_EXECUTED,2026-09-18,no,No credential or destructive command found; conceptual guards are not security guarantees.,Reviewed as literal teaching material; not executable code.
tech-03-025,3,Anatomy of a Robust Template,738,PROMPT,NOT_EXECUTED,2026-09-18,no,No credential or destructive command found; conceptual guards are not security guarantees.,Reviewed as literal teaching material; not executable code.
tech-03-026,3,Template Category 1: Factual Retrieval,820,PROMPT,NOT_EXECUTED,2026-09-18,no,No credential or destructive command found; conceptual guards are not security guarantees.,Reviewed as literal teaching material; not executable code.
tech-03-027,3,Template Category 2: Analysis & Synthesis,835,PROMPT,NOT_EXECUTED,2026-09-18,no,No credential or destructive command found; conceptual guards are not security guarantees.,Reviewed as literal teaching material; not executable code.
tech-03-028,3,Template Category 3: Creative Generation,857,PROMPT,NOT_EXECUTED,2026-09-18,no,No credential or destructive command found; conceptual guards are not security guarantees.,Reviewed as literal teaching material; not executable code.
tech-03-029,3,Template Category 4: Comparison,877,PROMPT,NOT_EXECUTED,2026-09-18,no,No credential or destructive command found; conceptual guards are not security guarantees.,Reviewed as literal teaching material; not executable code.
tech-03-030,3,Template Versioning: Evolution Through Testing,910,STRUCTURED_DATA,NOT_EXECUTED,2026-09-18,no,No credential or destructive command found; conceptual guards are not security guarantees.,Reviewed as literal teaching material; not executable code.
tech-03-031,3,Dynamic Template Selection,928,PSEUDOCODE,NOT_EXECUTED,2026-09-18,no,No credential or destructive command found; conceptual guards are not security guarantees.,"Incomplete or explicitly conceptual sketch; reviewed statically, not reported as tested Python."
tech-03-032,3,Template Composition: Building Blocks,960,PSEUDOCODE,NOT_EXECUTED,2026-09-18,no,No credential or destructive command found; conceptual guards are not security guarantees.,"Incomplete or explicitly conceptual sketch; reviewed statically, not reported as tested Python."
tech-03-033,3,Practical Example: Research Assistant Template Evolution,999,PROMPT,NOT_EXECUTED,2026-09-18,no,No credential or destructive command found; conceptual guards are not security guarantees.,Reviewed as literal teaching material; not executable code.
tech-03-034,3,Practical Example: Research Assistant Template Evolution,1005,PROMPT,NOT_EXECUTED,2026-09-18,no,No credential or destructive command found; conceptual guards are not security guarantees.,Reviewed as literal teaching material; not executable code.
tech-03-035,3,Practical Example: Research Assistant Template Evolution,1013,PROMPT,NOT_EXECUTED,2026-09-18,no,No credential or destructive command found; conceptual guards are not security guarantees.,Reviewed as literal teaching material; not executable code.
tech-03-036,3,Practical Example: Research Assistant Template Evolution,1026,PROMPT,NOT_EXECUTED,2026-09-18,no,No credential or destructive command found; conceptual guards are not security guarantees.,Reviewed as literal teaching material; not executable code.
tech-03-037,3,Safety and Security: Defending Your System {#sec-3-5},1075,PROMPT,NOT_EXECUTED,2026-09-18,no,No credential or destructive command found; conceptual guards are not security guarantees.,Reviewed as literal teaching material; not executable code.
tech-03-038,3,Understanding Prompt Injection Attacks,1097,PROMPT,NOT_EXECUTED,2026-09-18,no,No credential or destructive command found; conceptual guards are not security guarantees.,Reviewed as literal teaching material; not executable code.
tech-03-039,3,Why This Works,1110,PROMPT,NOT_EXECUTED,2026-09-18,no,No credential or destructive command found; conceptual guards are not security guarantees.,Reviewed as literal teaching material; not executable code.
tech-03-040,3,1. Direct Injection {.unnumbered},1123,PROMPT,NOT_EXECUTED,2026-09-18,no,No credential or destructive command found; conceptual guards are not security guarantees.,Reviewed as literal teaching material; not executable code.
tech-03-041,3,2. Indirect Injection {.unnumbered},1131,PROMPT,NOT_EXECUTED,2026-09-18,no,No credential or destructive command found; conceptual guards are not security guarantees.,Reviewed as literal teaching material; not executable code.
tech-03-042,3,3. Goal Hijacking {.unnumbered},1143,PROMPT,NOT_EXECUTED,2026-09-18,no,No credential or destructive command found; conceptual guards are not security guarantees.,Reviewed as literal teaching material; not executable code.
tech-03-043,3,4. Prompt Leaking {.unnumbered},1152,PROMPT,NOT_EXECUTED,2026-09-18,no,No credential or destructive command found; conceptual guards are not security guarantees.,Reviewed as literal teaching material; not executable code.
tech-03-044,3,Defense Strategy 1: Input Sanitization,1169,PSEUDOCODE,NOT_EXECUTED,2026-09-18,no,No credential or destructive command found; conceptual guards are not security guarantees.,"Incomplete or explicitly conceptual sketch; reviewed statically, not reported as tested Python."
tech-03-045,3,Defense Strategy 2: Delimiter Separation,1195,PROMPT,NOT_EXECUTED,2026-09-18,no,No credential or destructive command found; conceptual guards are not security guarantees.,Reviewed as literal teaching material; not executable code.
tech-03-046,3,Defense Strategy 2: Delimiter Separation,1213,PROMPT,NOT_EXECUTED,2026-09-18,no,No credential or destructive command found; conceptual guards are not security guarantees.,Reviewed as literal teaching material; not executable code.
tech-03-047,3,Defense Strategy 3: Instruction Reinforcement,1228,PROMPT,NOT_EXECUTED,2026-09-18,no,No credential or destructive command found; conceptual guards are not security guarantees.,Reviewed as literal teaching material; not executable code.
tech-03-048,3,Defense Strategy 4: Response Filtering,1249,PSEUDOCODE,NOT_EXECUTED,2026-09-18,no,No credential or destructive command found; conceptual guards are not security guarantees.,"Incomplete or explicitly conceptual sketch; reviewed statically, not reported as tested Python."
tech-03-049,3,Defense Strategy 5: Capability Scoping,1274,PROMPT,NOT_EXECUTED,2026-09-18,no,No credential or destructive command found; conceptual guards are not security guarantees.,Reviewed as literal teaching material; not executable code.
tech-03-050,3,Defense Strategy 5: Capability Scoping,1280,PROMPT,NOT_EXECUTED,2026-09-18,no,No credential or destructive command found; conceptual guards are not security guarantees.,Reviewed as literal teaching material; not executable code.
tech-03-051,3,Defense Strategy 6: User Education,1300,STATIC_EXAMPLE,NOT_EXECUTED,2026-09-18,no,No credential or destructive command found; conceptual guards are not security guarantees.,Reviewed as literal teaching material; not executable code.
tech-03-052,3,Harmful Content Generation,1323,PROMPT,NOT_EXECUTED,2026-09-18,no,No credential or destructive command found; conceptual guards are not security guarantees.,Reviewed as literal teaching material; not executable code.
tech-03-053,3,Bias and Fairness,1344,PROMPT,NOT_EXECUTED,2026-09-18,no,No credential or destructive command found; conceptual guards are not security guarantees.,Reviewed as literal teaching material; not executable code.
tech-03-054,3,Privacy Leakage,1356,PROMPT,NOT_EXECUTED,2026-09-18,no,No credential or destructive command found; conceptual guards are not security guarantees.,Reviewed as literal teaching material; not executable code.
tech-03-055,3,Testing Your Defenses,1378,STRUCTURED_DATA,NOT_EXECUTED,2026-09-18,no,No credential or destructive command found; conceptual guards are not security guarantees.,Reviewed as literal teaching material; not executable code.
tech-03-056,3,Metric 1: Task Success Rate,1484,PSEUDOCODE,NOT_EXECUTED,2026-09-18,no,No credential or destructive command found; conceptual guards are not security guarantees.,"Incomplete or explicitly conceptual sketch; reviewed statically, not reported as tested Python."
tech-03-057,3,Metric 2: Consistency,1518,PSEUDOCODE,NOT_EXECUTED,2026-09-18,indirect helper only,No credential or destructive command found; conceptual guards are not security guarantees.,"Incomplete or explicitly conceptual sketch; reviewed statically, not reported as tested Python."
tech-03-058,3,Metric 3: Efficiency (Quality per Token),1548,PSEUDOCODE,NOT_EXECUTED,2026-09-18,no,No credential or destructive command found; conceptual guards are not security guarantees.,"Incomplete or explicitly conceptual sketch; reviewed statically, not reported as tested Python."
tech-03-059,3,Metric 4: Latency,1562,PSEUDOCODE,NOT_EXECUTED,2026-09-18,indirect helper only,No credential or destructive command found; conceptual guards are not security guarantees.,"Incomplete or explicitly conceptual sketch; reviewed statically, not reported as tested Python."
tech-03-060,3,Assessment Dimension 1: Appropriateness,1590,MODEL_RESPONSE,NOT_EXECUTED,2026-09-18,no,No credential or destructive command found; conceptual guards are not security guarantees.,"Illustrative response, not a recorded model execution or verified factual answer."
tech-03-061,3,Assessment Dimension 3: Factual Accuracy,1639,PSEUDOCODE,NOT_EXECUTED,2026-09-18,no,No credential or destructive command found; conceptual guards are not security guarantees.,"Incomplete or explicitly conceptual sketch; reviewed statically, not reported as tested Python."
tech-03-062,3,Step 2: Variant Design,1676,PROMPT,NOT_EXECUTED,2026-09-18,no,No credential or destructive command found; conceptual guards are not security guarantees.,Reviewed as literal teaching material; not executable code.
tech-03-063,3,Step 2: Variant Design,1683,PROMPT,NOT_EXECUTED,2026-09-18,no,No credential or destructive command found; conceptual guards are not security guarantees.,Reviewed as literal teaching material; not executable code.
tech-03-064,3,Step 3: Test Design,1701,RUNNABLE_OFFLINE,PASS,2026-09-18,no,No credential or destructive command found; conceptual guards are not security guarantees.,"Executed offline: valid labels, both variants present across 1000 units, identical assignments in two separate Python processes. No API or credentials."
tech-03-065,3,Step 4: Metric Collection,1717,STRUCTURED_DATA,NOT_EXECUTED,2026-09-18,no,No credential or destructive command found; conceptual guards are not security guarantees.,Reviewed as literal teaching material; not executable code.
tech-03-066,3,Step 5: Statistical Analysis,1734,PSEUDOCODE,NOT_EXECUTED,2026-09-18,no,No credential or destructive command found; conceptual guards are not security guarantees.,"Incomplete or explicitly conceptual sketch; reviewed statically, not reported as tested Python."
tech-03-067,3,Connecting to Your Research Assistant,1805,STATIC_EXAMPLE,NOT_EXECUTED,2026-09-18,no,No credential or destructive command found; conceptual guards are not security guarantees.,Reviewed as literal teaching material; not executable code.
tech-03-068,3,Connecting to Your Research Assistant,1814,PROGRAM_OUTPUT,NOT_EXECUTED,2026-09-18,no,No credential or destructive command found; conceptual guards are not security guarantees.,"Illustrative dashboard output, not measured production results."
tech-03-069,3,A Worked Example,1878,PROMPT,NOT_EXECUTED,2026-09-18,no,No credential or destructive command found; conceptual guards are not security guarantees.,Reviewed as literal teaching material; not executable code.
tech-04-001,4,Integration Architecture Patterns {#sec-4-2},67,PSEUDOCODE,NOT_EXECUTED,2026-09-18,no,No credential or destructive command found; conceptual guards are not security guarantees.,"Incomplete or explicitly conceptual sketch; reviewed statically, not reported as tested Python."
tech-04-002,4,Error Handling and Resilience Patterns {#sec-4-3},94,PSEUDOCODE,NOT_EXECUTED,2026-09-18,no,No credential or destructive command found; conceptual guards are not security guarantees.,"Incomplete or explicitly conceptual sketch; reviewed statically, not reported as tested Python."
tech-04-003,4,Performance Optimization and Monitoring {#sec-4-5},122,PSEUDOCODE,NOT_EXECUTED,2026-09-18,no,No credential or destructive command found; conceptual guards are not security guarantees.,"Incomplete or explicitly conceptual sketch; reviewed statically, not reported as tested Python."
tech-05-001,5,The Basic Loop,84,STRUCTURED_DATA,NOT_EXECUTED,2026-09-18,no,No credential or destructive command found; conceptual guards are not security guarantees.,Reviewed as literal teaching material; not executable code.
tech-07-001,7,Data Preparation: The Critical Factor {#sec-7-3},67,STRUCTURED_DATA,NOT_EXECUTED,2026-09-18,no,No credential or destructive command found; conceptual guards are not security guarantees.,Reviewed as literal teaching material; not executable code. JSON parsed successfully; application schema remains illustrative.
tech-07-002,7,Data Preparation: The Critical Factor {#sec-7-3},73,STRUCTURED_DATA,NOT_EXECUTED,2026-09-18,no,No credential or destructive command found; conceptual guards are not security guarantees.,Reviewed as literal teaching material; not executable code. JSON parsed successfully; application schema remains illustrative.
tech-07-003,7,The Fine-Tuning Process {#sec-7-4},87,PSEUDOCODE,NOT_EXECUTED,2026-09-18,indirect helper only,No credential or destructive command found; conceptual guards are not security guarantees.,"Incomplete or explicitly conceptual sketch; reviewed statically, not reported as tested Python."
tech-11-001,11,Continuous Optimization {#sec-11-4},69,PSEUDOCODE,NOT_EXECUTED,2026-09-18,no,No credential or destructive command found; conceptual guards are not security guarantees.,"Incomplete or explicitly conceptual sketch; reviewed statically, not reported as tested Python."
tech-13-001,13,Bias Detection and Mitigation {#sec-13-2},55,PSEUDOCODE,NOT_EXECUTED,2026-09-18,no,No credential or destructive command found; conceptual guards are not security guarantees.,"Incomplete or explicitly conceptual sketch; reviewed statically, not reported as tested Python."
tech-13-002,13,Content Moderation and Safety {#sec-13-4},83,PSEUDOCODE,NOT_EXECUTED,2026-09-18,no,No credential or destructive command found; conceptual guards are not security guarantees.,"Incomplete or explicitly conceptual sketch; reviewed statically, not reported as tested Python."
tech-03-014,3,Worked calculation (native math),461,STATIC_EXAMPLE,NOT_EXECUTED,2026-09-18,no,Arithmetic only.,Reviewed: 15% of 240 = 36; 36 + 23 = 59. Phase 0 conversion to native math retained.
