chapter,section,source_line,language_class,semantic_type,line_count,runnable,requires_API,requires_external_dependency,contains_secret,expected_render,notes
3,Defense Strategy 1: Input Sanitization,1163,python,PSEUDOCODE,17,no,no,application helpers required,no detected,"labeled, wrapping, page-breakable block",Preserve literal payload; do not execute
3,Defense Strategy 2: Delimiter Separation,1189,untyped,PROMPT,11,no,no,none,no detected,"labeled, wrapping, page-breakable block",Preserve literal payload; do not execute
3,Defense Strategy 2: Delimiter Separation,1207,untyped,PROMPT,8,no,no,none,no detected,"labeled, wrapping, page-breakable block",Preserve literal payload; do not execute
3,Defense Strategy 3: Instruction Reinforcement,1222,untyped,PROMPT,12,no,no,none,no detected,"labeled, wrapping, page-breakable block",Preserve literal payload; do not execute
3,Defense Strategy 4: Response Filtering,1243,python,PROGRAM_CODE,14,fragment; not standalone,indirect,application helpers required,no detected,"labeled, wrapping, page-breakable block",Preserve literal payload; do not execute
3,Defense Strategy 5: Capability Scoping,1268,untyped,PROMPT,1,no,no,none,no detected,"labeled, wrapping, page-breakable block",Preserve literal payload; do not execute
3,Defense Strategy 5: Capability Scoping,1274,untyped,PROMPT,9,no,no,none,no detected,"labeled, wrapping, page-breakable block",Preserve literal payload; do not execute
3,Defense Strategy 6: User Education,1294,untyped,PLAIN_VERBATIM,4,no,no,none,no detected,"labeled, wrapping, page-breakable block",Preserve literal payload; do not execute
3,Harmful Content Generation,1317,untyped,PROMPT,8,no,indirect,none,no detected,"labeled, wrapping, page-breakable block",Preserve literal payload; do not execute
3,Bias and Fairness,1338,untyped,PROMPT,5,no,no,none,no detected,"labeled, wrapping, page-breakable block",Preserve literal payload; do not execute
3,Privacy Leakage,1350,untyped,PROMPT,4,no,no,none,no detected,"labeled, wrapping, page-breakable block",Preserve literal payload; do not execute
3,Testing Your Defenses,1372,untyped,DATA,17,no,no,none,no detected,"labeled, wrapping, page-breakable block",Preserve literal payload; do not execute
3,Metric 1: Task Success Rate,1478,python,PROGRAM_CODE,18,fragment; not standalone,no,application helpers required,no detected,"labeled, wrapping, page-breakable block",Preserve literal payload; do not execute
3,Metric 2: Consistency,1512,python,PROGRAM_CODE,15,fragment; not standalone,indirect,application helpers required,no detected,"labeled, wrapping, page-breakable block",Preserve literal payload; do not execute
3,Metric 3: Efficiency (Quality per Token),1542,python,PROGRAM_CODE,1,fragment; not standalone,no,application helpers required,no detected,"labeled, wrapping, page-breakable block",Preserve literal payload; do not execute
3,Metric 4: Latency,1556,python,PROGRAM_CODE,3,fragment; not standalone,indirect,application helpers required,no detected,"labeled, wrapping, page-breakable block",Preserve literal payload; do not execute
3,Assessment Dimension 1: Appropriateness,1584,untyped,MODEL_RESPONSE,12,no,no,none,no detected,"labeled, wrapping, page-breakable block",Preserve literal payload; do not execute
3,Assessment Dimension 3: Factual Accuracy,1631,python,PROGRAM_CODE,13,fragment; not standalone,no,application helpers required,no detected,"labeled, wrapping, page-breakable block",Preserve literal payload; do not execute
3,Step 2: Variant Design,1663,untyped,PROMPT,2,no,no,none,no detected,"labeled, wrapping, page-breakable block",Preserve literal payload; do not execute
3,Step 2: Variant Design,1670,untyped,PROMPT,7,no,no,none,no detected,"labeled, wrapping, page-breakable block",Preserve literal payload; do not execute
3,Step 3: Test Design,1692,python,PROGRAM_CODE,5,fragment; not standalone,no,application helpers required,no detected,"labeled, wrapping, page-breakable block",Preserve literal payload; do not execute
3,Step 4: Metric Collection,1706,python,DATA,10,no,no,application helpers required,no detected,"labeled, wrapping, page-breakable block",Preserve literal payload; do not execute
3,Step 5: Statistical Analysis,1723,python,PSEUDOCODE,16,no,no,scipy,no detected,"labeled, wrapping, page-breakable block",Preserve literal payload; do not execute
3,Connecting to Your Research Assistant,1798,untyped,PLAIN_VERBATIM,4,no,no,none,no detected,"labeled, wrapping, page-breakable block",Preserve literal payload; do not execute
3,Connecting to Your Research Assistant,1807,untyped,PROGRAM_OUTPUT,13,no,no,none,no detected,"labeled, wrapping, page-breakable block",Preserve literal payload; do not execute
3,A Worked Example,1871,untyped,PROMPT,7,no,no,none,no detected,"labeled, wrapping, page-breakable block",Preserve literal payload; do not execute
4,4.2 Integration Architecture Patterns,71,python,PSEUDOCODE,14,no,indirect,application helpers required,no detected,"labeled, wrapping, page-breakable block",Preserve literal payload; do not execute
4,4.3 Error Handling and Resilience Patterns,96,python,PSEUDOCODE,5,no,no,application helpers required,no detected,"labeled, wrapping, page-breakable block",Preserve literal payload; do not execute
4,4.5 Performance Optimization and Monitoring,122,python,PSEUDOCODE,2,no,no,application helpers required,no detected,"labeled, wrapping, page-breakable block",Preserve literal payload; do not execute
5,The Basic Loop,88,untyped,STRUCTURED_OUTPUT,1,no,no,none,no detected,"labeled, wrapping, page-breakable block",Preserve literal payload; do not execute
7,7.3 Data Preparation: The Critical Factor,71,json,DATA,3,no,no,none,no detected,"labeled, wrapping, page-breakable block",Preserve literal payload; do not execute
7,7.3 Data Preparation: The Critical Factor,77,json,DATA,5,no,no,none,no detected,"labeled, wrapping, page-breakable block",Preserve literal payload; do not execute
7,7.4 The Fine-Tuning Process,91,python,PSEUDOCODE,5,no,no,application helpers required,no detected,"labeled, wrapping, page-breakable block",Preserve literal payload; do not execute
11,11.4 Continuous Optimization,69,python,PSEUDOCODE,7,no,no,application helpers required,no detected,"labeled, wrapping, page-breakable block",Preserve literal payload; do not execute
13,13.2 Bias Detection and Mitigation,55,python,PSEUDOCODE,5,no,no,application helpers required,no detected,"labeled, wrapping, page-breakable block",Preserve literal payload; do not execute
13,13.4 Content Moderation and Safety,81,python,PSEUDOCODE,5,no,no,application helpers required,no detected,"labeled, wrapping, page-breakable block",Preserve literal payload; do not execute
