chapter,section,topic,earlier_or_canonical_claim,conflicting_or_overstated_claim,action,replacement,status,notes
5,Learning Objectives,Learning objectives merge,"3. **Compare** ReAct, plan-and-execute, and reflection-based agent architectures and justify when each fits a task","3. **Compare** ReAct, plan-and-execute, and reflection-based agent architectures",Replace wording; preserve instructional purpose,"3. **Compare** ReAct, plan-and-execute, and reflection-based agent architectures and justify when each fits a task",FIXED,Controlled Phase 1B editorial alignment; no new scholarly claim.
preface.qmd,Preface {.unnumbered},Reader-facing front matter,"Use the learning objectives to orient your reading, the terminology tables to revisit concepts, and the practice activities and discussion questions to test your understanding. Use the project milestones to connect those ideas to engineering decisions and an evaluation plan.","Use the learning objectives to orient your reading, the terminology tables to revisit concepts, and the practice activities and discussion questions to test your understanding.",Replace wording; preserve instructional purpose,"Use the learning objectives to orient your reading, the terminology tables to revisit concepts, and the practice activities and discussion questions to test your understanding. Use the project milestones to connect those ideas to engineering decisions and an evaluation plan.",FIXED,Controlled Phase 1B editorial alignment; no new scholarly claim.
preface.qmd,Preface {.unnumbered},Reader-facing front matter,Keep publication-process history in editorial records.,"This First Open Edition is a structural review baseline. The working subtitle awaits author approval. Missing illustrations are explicitly identified; existing figure descriptions are retained as proposals. Specific model capabilities, prices, and legal descriptions require dated primary-source verification before being relied on. Chapter reading lists are preserved, while the central bibliography begins with a small verified set.

",Replace wording; preserve instructional purpose,,FIXED,Controlled Phase 1B editorial alignment; no new scholarly claim.
index.qmd,An open educational resource,Reader-facing front matter,See the [Preface](preface.qmd) for the learning approach and [About the Author](about-author.qmd) for the author’s background.,"This is the first structural review edition. Some illustrations await source artwork, and model-specific and regulatory claims await technical review. See the [Preface](preface.qmd) and [About the Author](about-author.qmd).",Replace wording; preserve instructional purpose,See the [Preface](preface.qmd) for the learning approach and [About the Author](about-author.qmd) for the author’s background.,FIXED,Controlled Phase 1B editorial alignment; no new scholarly claim.
copyright.qmd,Copyright and Publication Information {.unnumbered},Reader-facing front matter,Third-party works cited in the text retain their respective rights.,"This is a review edition, not a final print production edition. Third-party works cited in the text retain their respective rights. No final publication identifiers have been assigned.",Replace wording; preserve instructional purpose,Third-party works cited in the text retain their respective rights.,FIXED,Controlled Phase 1B editorial alignment; no new scholarly claim.
13,Front matter,Chapter identity,Ethics and Responsible AI,"Safety, Ethics, and Responsible AI",Replace wording; preserve instructional purpose,Ethics and Responsible AI,FIXED,Controlled Phase 1B editorial alignment; no new scholarly claim.
1,What Is Generative AI? {#sec-1-1},Claim and terminology consistency,"responds with generated text, tells stories","responds with original thoughts, tells stories you've never heard",Replace wording; preserve instructional purpose,"responds with generated text, tells stories",FIXED,Controlled Phase 1B editorial alignment; no new scholarly claim.
1,What Is Generative AI? {#sec-1-1},Claim and terminology consistency,focused on generating content,"focused on creating new, original content",Replace wording; preserve instructional purpose,focused on generating content,FIXED,Controlled Phase 1B editorial alignment; no new scholarly claim.
1,Key Distinctions: The Analyst vs. The Creator,Claim and terminology consistency,"an autoregressive model samples a poem token by token, drawing on learned patterns of rhythm and diction. The result may include memorized material, and an application may also use retrieval.","it doesn't search a database for a matching poem, it generates an original one, word by word, that captures Shakespearean rhythm and diction while addressing a subject Shakespeare never wrote about.",Replace wording; preserve instructional purpose,"an autoregressive model samples a poem token by token, drawing on learned patterns of rhythm and diction. The result may include memorized material, and an application may also use retrieval.",FIXED,Controlled Phase 1B editorial alignment; no new scholarly claim.
1,Why It's Revolutionary,Claim and terminology consistency,recombine learned patterns into potentially new outputs,recombine learned concepts into genuinely novel outputs,Replace wording; preserve instructional purpose,recombine learned patterns into potentially new outputs,FIXED,Controlled Phase 1B editorial alignment; no new scholarly claim.
1,Why It's Revolutionary,Claim and terminology consistency,The output can reflect learned associations among these visual features; its originality needs separate assessment.,"It has learned the underlying concepts of ""cyberpunk aesthetics,"" ""cats,"" ""space helmets,"" and ""composition,"" then combines them into something new.",Replace wording; preserve instructional purpose,The output can reflect learned associations among these visual features; its originality needs separate assessment.,FIXED,Controlled Phase 1B editorial alignment; no new scholarly claim.
1,The Fundamental Mechanism,Claim and terminology consistency,Autoregressive text-generating models operate on a deceptively simple principle:,"At its core, most text-generating AI operates on a deceptively simple principle:",Replace wording; preserve instructional purpose,Autoregressive text-generating models operate on a deceptively simple principle:,FIXED,Controlled Phase 1B editorial alignment; no new scholarly claim.
1,Chapter Summary,Claim and terminology consistency,the mechanism behind autoregressive text generation,the mechanism behind most of today's text generation,Replace wording; preserve instructional purpose,the mechanism behind autoregressive text generation,FIXED,Controlled Phase 1B editorial alignment; no new scholarly claim.
1,Key Terminologies and Concepts,Claim and terminology consistency,"The token budget available to a request; input, output, and combined limits depend on the model/API","The maximum amount of text (measured in tokens) a model can consider at once, including both prompt and response",Replace wording; preserve instructional purpose,"The token budget available to a request; input, output, and combined limits depend on the model/API",FIXED,Controlled Phase 1B editorial alignment; no new scholarly claim.
1,Key Terminologies and Concepts,Claim and terminology consistency,A larger window permits more context but does not ensure every passage is used reliably,"A 128,000-token window can hold a lengthy document plus a long conversation",Replace wording; preserve instructional purpose,A larger window permits more context but does not ensure every passage is used reliably,FIXED,Controlled Phase 1B editorial alignment; no new scholarly claim.
1,Key Terminologies and Concepts,Claim and terminology consistency,Generated content that is factually incorrect or unsupported by the relevant evidence; fluency and confidence are separate properties,"A confident, fluent output that is factually wrong or unsupported by any real source",Replace wording; preserve instructional purpose,Generated content that is factually incorrect or unsupported by the relevant evidence; fluency and confidence are separate properties,FIXED,Controlled Phase 1B editorial alignment; no new scholarly claim.
2,Introduction,Claim and terminology consistency,"compared candidate routes against task-specific quality, latency, and cost requirements",automatically routed each query to the optimal model based on its complexity and requirements,Replace wording; preserve instructional purpose,"compared candidate routes against task-specific quality, latency, and cost requirements",FIXED,Controlled Phase 1B editorial alignment; no new scholarly claim.
2,Introduction,Claim and terminology consistency,Diagnostic accuracy: assumed to improve in this fictional scenario; no clinical validation is reported.,Diagnostic accuracy: actually improved.,Replace wording; preserve instructional purpose,Diagnostic accuracy: assumed to improve in this fictional scenario; no clinical validation is reported.,FIXED,Controlled Phase 1B editorial alignment; no new scholarly claim.
2,Key Terminologies and Concepts,Claim and terminology consistency,"lower generally concentrates sampling probability, higher generally increases sampling diversity","lower = more deterministic, higher = more creative",Replace wording; preserve instructional purpose,"lower generally concentrates sampling probability, higher generally increases sampling diversity",FIXED,Controlled Phase 1B editorial alignment; no new scholarly claim.
2,Autoregressive Generation: One Word at a Time,Claim and terminology consistency,The Temperature Dial: Adjusting Sampling Diversity,The Temperature Dial: Balancing Creativity and Consistency,Replace wording; preserve instructional purpose,The Temperature Dial: Adjusting Sampling Diversity,FIXED,Controlled Phase 1B editorial alignment; no new scholarly claim.
2,The Temperature Dial: Adjusting Sampling Diversity,Claim and terminology consistency,**Low Temperature (0.1-0.3)**: More concentrated sampling in this illustration,"**Low Temperature (0.1-0.3)**: Conservative, predictable",Replace wording; preserve instructional purpose,**Low Temperature (0.1-0.3)**: More concentrated sampling in this illustration,FIXED,Controlled Phase 1B editorial alignment; no new scholarly claim.
2,The Temperature Dial: Adjusting Sampling Diversity,Claim and terminology consistency,**Medium Temperature (0.7-0.9)**: Intermediate sampling diversity in this illustration,**Medium Temperature (0.7-0.9)**: Balanced creativity,Replace wording; preserve instructional purpose,**Medium Temperature (0.7-0.9)**: Intermediate sampling diversity in this illustration,FIXED,Controlled Phase 1B editorial alignment; no new scholarly claim.
2,The Temperature Dial: Adjusting Sampling Diversity,Claim and terminology consistency,**High Temperature (1.0+)**: More varied sampling in this illustration,**High Temperature (1.0+)**: Creative but potentially erratic,Replace wording; preserve instructional purpose,**High Temperature (1.0+)**: More varied sampling in this illustration,FIXED,Controlled Phase 1B editorial alignment; no new scholarly claim.
2,Key Terminologies and Concepts,Claim and terminology consistency,using objectives such as next-token prediction in autoregressive LLMs |,by predicting the next token |,Replace wording; preserve instructional purpose,using objectives such as next-token prediction in autoregressive LLMs |,FIXED,Controlled Phase 1B editorial alignment; no new scholarly claim.
2,Key Terminologies and Concepts,Claim and terminology consistency,BERT is encoder-only; it can be adapted and evaluated for classification tasks,BERT is encoder-only; excels at understanding and classification tasks,Replace wording; preserve instructional purpose,BERT is encoder-only; it can be adapted and evaluated for classification tasks,FIXED,Controlled Phase 1B editorial alignment; no new scholarly claim.
2,Large Models (70B+ parameters): The Heavy Hitters,Claim and terminology consistency,"**MedicalAI Research’s fictional scenario (invented outcomes, not clinical evidence):**",**MedicalAI Research's Story:**,Replace wording; preserve instructional purpose,"**MedicalAI Research’s fictional scenario (invented outcomes, not clinical evidence):**",FIXED,Controlled Phase 1B editorial alignment; no new scholarly claim.
2,Large Models (70B+ parameters): The Heavy Hitters,Claim and terminology consistency,The scenario assumes a switch to higher-cost candidate deployments with these invented outcomes; these are not verified comparisons or parameter-count disclosures:,Switching to GPT-4 and Claude 3 Opus changed everything:,Replace wording; preserve instructional purpose,The scenario assumes a switch to higher-cost candidate deployments with these invented outcomes; these are not verified comparisons or parameter-count disclosures:,FIXED,Controlled Phase 1B editorial alignment; no new scholarly claim.
2,Large Models (70B+ parameters): The Heavy Hitters,Claim and terminology consistency,"The fictional cost is 10x higher. In an actual high-stakes application, clinical validation, oversight, and measured benefit would be needed to justify deployment and cost.","The cost was 10x higher, but for this high-stakes application, the superior performance justified every penny.",Replace wording; preserve instructional purpose,"The fictional cost is 10x higher. In an actual high-stakes application, clinical validation, oversight, and measured benefit would be needed to justify deployment and cost.",FIXED,Controlled Phase 1B editorial alignment; no new scholarly claim.
2,Large Models (70B+ parameters): The Heavy Hitters,Claim and terminology consistency,**Tasks on which to compare higher-capacity candidates:**,**When Large Models Shine:**,Replace wording; preserve instructional purpose,**Tasks on which to compare higher-capacity candidates:**,FIXED,Controlled Phase 1B editorial alignment; no new scholarly claim.
2,Illustrative Scenario: Your Research Assistant,Claim and terminology consistency,**Illustrative candidate**:,**Best Choice**:,Replace wording; preserve instructional purpose,**Illustrative candidate**:,FIXED,Controlled Phase 1B editorial alignment; no new scholarly claim.
2,Illustrative Scenario: Your Research Assistant,Claim and terminology consistency,Simple factual query; test answer correctness and compare with direct lookup,"Simple factual query, any model knows this",Replace wording; preserve instructional purpose,Simple factual query; test answer correctness and compare with direct lookup,FIXED,Controlled Phase 1B editorial alignment; no new scholarly claim.
3,Learning Objectives,Claim and terminology consistency,**Evaluate** few-shot prompting against zero-shot baselines on specific tasks,**Apply** few-shot learning to dramatically improve performance on specific tasks,Replace wording; preserve instructional purpose,**Evaluate** few-shot prompting against zero-shot baselines on specific tasks,FIXED,Controlled Phase 1B editorial alignment; no new scholarly claim.
3,Learning Objectives,Claim and terminology consistency,**Compare** chain-of-thought prompting with direct-answer baselines and verify answer correctness,**Implement** chain-of-thought prompting to enhance reasoning capabilities,Replace wording; preserve instructional purpose,**Compare** chain-of-thought prompting with direct-answer baselines and verify answer correctness,FIXED,Controlled Phase 1B editorial alignment; no new scholarly claim.
3,Key Terminologies and Concepts,Claim and terminology consistency,Parameter adjusting sampling probabilities; effects vary by model/API,Parameter controlling response randomness; affects prompt reliability,Replace wording; preserve instructional purpose,Parameter adjusting sampling probabilities; effects vary by model/API,FIXED,Controlled Phase 1B editorial alignment; no new scholarly claim.
3,Key Terminologies and Concepts,Claim and terminology consistency,Test sampling diversity and task quality separately; low temperature does not verify facts,Use low temperature (0.1) for consistent prompt responses,Replace wording; preserve instructional purpose,Test sampling diversity and task quality separately; low temperature does not verify facts,FIXED,Controlled Phase 1B editorial alignment; no new scholarly claim.
3,1. **Role Assignment: Who Is Speaking?** {.unnumbered},Claim and terminology consistency,"Role framing changes the context conditioning generation and can influence output style, content, and behavior. Evaluate its effect for the specific model and task; it does not establish hidden expertise.",Role assignment activates the relevant patterns.,Replace wording; preserve instructional purpose,"Role framing changes the context conditioning generation and can influence output style, content, and behavior. Evaluate its effect for the specific model and task; it does not establish hidden expertise.",FIXED,Controlled Phase 1B editorial alignment; no new scholarly claim.
3,The Art of Example Selection,Claim and terminology consistency,This broadens the demonstrated cases; evaluate remaining blind spots on held-out inputs.,This prevents the model from developing blind spots.,Replace wording; preserve instructional purpose,This broadens the demonstrated cases; evaluate remaining blind spots on held-out inputs.,FIXED,Controlled Phase 1B editorial alignment; no new scholarly claim.
3,The Art of Example Selection,Claim and terminology consistency,"Example order can affect results. A simple-to-complex order is one candidate to test, not a universal learning rule; compare alternative orders on the same held-out cases.","List examples from simplest to most complex. Just as you'd teach a student basic concepts before advanced ones, the model learns better from progressively sophisticated examples.",Replace wording; preserve instructional purpose,"Example order can affect results. A simple-to-complex order is one candidate to test, not a universal learning rule; compare alternative orders on the same held-out cases.",FIXED,Controlled Phase 1B editorial alignment; no new scholarly claim.
3,The Art of Example Selection,Claim and terminology consistency,The diverse examples demonstrate a wider range of requested behavior; they do not establish generalization to unseen cases.,"The diverse examples teach the model to handle variety, not memorize one pattern.",Replace wording; preserve instructional purpose,The diverse examples demonstrate a wider range of requested behavior; they do not establish generalization to unseen cases.,FIXED,Controlled Phase 1B editorial alignment; no new scholarly claim.
3,Why Chain-of-Thought Works,Claim and terminology consistency,**With CoT**: The model generates intermediate steps that become additional context for the answer; their usefulness is model- and task-dependent,**With CoT**: The model generates intermediate steps that activate relevant knowledge and constrain the solution space,Replace wording; preserve instructional purpose,**With CoT**: The model generates intermediate steps that become additional context for the answer; their usefulness is model- and task-dependent,FIXED,Controlled Phase 1B editorial alignment; no new scholarly claim.
3,Why Chain-of-Thought Works,Claim and terminology consistency,"Written steps give a reader something to check, but can contain errors or provide an unfaithful account of how the answer was produced.",The act of writing out steps catches errors and clarifies thinking.,Replace wording; preserve instructional purpose,"Written steps give a reader something to check, but can contain errors or provide an unfaithful account of how the answer was produced.",FIXED,Controlled Phase 1B editorial alignment; no new scholarly claim.
3,Self-Consistency: Multiple Reasoning Paths,Claim and terminology consistency,"Comparing approaches can expose disagreements, but shared errors can produce agreement. Verify the conclusion against independent evidence or a checked calculation.","This catches errors through redundancy—if different approaches reach the same conclusion, confidence increases.",Replace wording; preserve instructional purpose,"Comparing approaches can expose disagreements, but shared errors can produce agreement. Verify the conclusion against independent evidence or a checked calculation.",FIXED,Controlled Phase 1B editorial alignment; no new scholarly claim.
3,The Template Philosophy,Claim and terminology consistency,"2.  **Supports consistent structure** across similar tasks, subject to testing",2.  **Ensures consistency** across similar tasks,Replace wording; preserve instructional purpose,"2.  **Supports consistent structure** across similar tasks, subject to testing",FIXED,Controlled Phase 1B editorial alignment; no new scholarly claim.
3,The Template Philosophy,Claim and terminology consistency,"reusable patterns for common problems, to be tested in each deployment",proven solutions to common problems,Replace wording; preserve instructional purpose,"reusable patterns for common problems, to be tested in each deployment",FIXED,Controlled Phase 1B editorial alignment; no new scholarly claim.
3,Connecting to Your Research Assistant,Claim and terminology consistency,"These measures reduce some attack opportunities; they do not establish security. Test the full system, enforce permissions outside prompts, and plan for residual failures.",This creates a research assistant that's both powerful and secure—critical for real-world deployment.,Replace wording; preserve instructional purpose,"These measures reduce some attack opportunities; they do not establish security. Test the full system, enforce permissions outside prompts, and plan for residual failures.",FIXED,Controlled Phase 1B editorial alignment; no new scholarly claim.
3,Connecting to Model Architecture,Claim and terminology consistency,Intermediate reasoning tokens provide additional context that may help on some tasks; they can also propagate errors. Judge the final answer independently of how persuasive its explanation sounds.,"The intermediate reasoning tokens become stepping stones that guide the model toward accurate conclusions, rather than forcing it to leap directly to an answer.",Replace wording; preserve instructional purpose,Intermediate reasoning tokens provide additional context that may help on some tasks; they can also propagate errors. Judge the final answer independently of how persuasive its explanation sounds.,FIXED,Controlled Phase 1B editorial alignment; no new scholarly claim.
3,Key Takeaways,Claim and terminology consistency,"**Examples demonstrate patterns**: compare their relevance, order, diversity, and count against a zero-shot baseline for the actual model and task.",**Examples teach patterns**: few-shot learning is one of the highest-leverage techniques in this entire book.,Replace wording; preserve instructional purpose,"**Examples demonstrate patterns**: compare their relevance, order, diversity, and count against a zero-shot baseline for the actual model and task.",FIXED,Controlled Phase 1B editorial alignment; no new scholarly claim.
3,Key Takeaways,Claim and terminology consistency,**Reasoning traces need verification**: historical chain-of-thought gains are model- and task-dependent; generated steps can be wrong or unfaithful.,"**Reasoning improves accuracy**: chain-of-thought prompting often meaningfully improves performance on complex, multi-step tasks.",Replace wording; preserve instructional purpose,**Reasoning traces need verification**: historical chain-of-thought gains are model- and task-dependent; generated steps can be wrong or unfaithful.,FIXED,Controlled Phase 1B editorial alignment; no new scholarly claim.
3,Connecting Few-Shot to Your System,Claim and terminology consistency,**Factual queries**: Compare zero-shot and relevant few-shot examples,**Factual queries**: Minimal examples (zero or one-shot),Replace wording; preserve instructional purpose,**Factual queries**: Compare zero-shot and relevant few-shot examples,FIXED,Controlled Phase 1B editorial alignment; no new scholarly claim.
3,Connecting Few-Shot to Your System,Claim and terminology consistency,**Analysis requests**: Test examples showing analytical structure,**Analysis requests**: 2-3 examples showing analytical structure,Replace wording; preserve instructional purpose,**Analysis requests**: Test examples showing analytical structure,FIXED,Controlled Phase 1B editorial alignment; no new scholarly claim.
3,Connecting Few-Shot to Your System,Claim and terminology consistency,**Creative tasks**: Test diverse examples demonstrating range,**Creative tasks**: 2-3 diverse examples demonstrating range,Replace wording; preserve instructional purpose,**Creative tasks**: Test diverse examples demonstrating range,FIXED,Controlled Phase 1B editorial alignment; no new scholarly claim.
6,The Two-Stage Architecture,Claim and terminology consistency,"the model is instructed to generate a response grounded in what was retrieved, with source attribution. Check that it follows those instructions.","the model generates a response explicitly grounded in what was retrieved, ideally with source attribution attached.",Replace wording; preserve instructional purpose,"the model is instructed to generate a response grounded in what was retrieved, with source attribution. Check that it follows those instructions.",FIXED,Controlled Phase 1B editorial alignment; no new scholarly claim.
6,Advanced Retrieval Strategies {#sec-6-4},Claim and terminology consistency,"combined using calibrated scores or rank fusion, then evaluated for relevance on the actual corpus.",weighted together for results that are both meaning-aware and precise where precision matters.,Replace wording; preserve instructional purpose,"combined using calibrated scores or rank fusion, then evaluated for relevance on the actual corpus.",FIXED,Controlled Phase 1B editorial alignment; no new scholarly claim.
6,Advanced Retrieval Strategies {#sec-6-4},Claim and terminology consistency,**Query enhancement** changes what gets searched for,**Query enhancement** improves what actually gets searched for,Replace wording; preserve instructional purpose,**Query enhancement** changes what gets searched for,FIXED,Controlled Phase 1B editorial alignment; no new scholarly claim.
6,Advanced Retrieval Strategies {#sec-6-4},Claim and terminology consistency,a second scoring pass that may improve relevance at additional computational cost,"a second, more computationally expensive but more accurate scoring pass",Replace wording; preserve instructional purpose,a second scoring pass that may improve relevance at additional computational cost,FIXED,Controlled Phase 1B editorial alignment; no new scholarly claim.
6,Context Assembly and Grounded Generation {#sec-6-5},Claim and terminology consistency,the hallucination risk RAG aims to reduce,the hallucination risk RAG was supposed to solve,Replace wording; preserve instructional purpose,the hallucination risk RAG aims to reduce,FIXED,Controlled Phase 1B editorial alignment; no new scholarly claim.
7,Key Terminologies and Concepts,Claim and terminology consistency,The trainable fraction depends on rank and targeted matrices,Fine-tuning a model by adjusting well under 1% of its parameters,Replace wording; preserve instructional purpose,The trainable fraction depends on rank and targeted matrices,FIXED,Controlled Phase 1B editorial alignment; no new scholarly claim.
7,Key Terminologies and Concepts,Claim and terminology consistency,reducing base-weight memory while other training memory costs remain,enabling fine-tuning of large models on modest hardware,Replace wording; preserve instructional purpose,reducing base-weight memory while other training memory costs remain,FIXED,Controlled Phase 1B editorial alignment; no new scholarly claim.
7,Key Terminologies and Concepts,Claim and terminology consistency,Tests generalization on separated data; does not prove absence of memorization,Confirms a model didn't just memorize its training examples,Replace wording; preserve instructional purpose,Tests generalization on separated data; does not prove absence of memorization,FIXED,Controlled Phase 1B editorial alignment; no new scholarly claim.
7,Key Takeaways,Claim and terminology consistency,"Data quality, coverage, quantity, and training settings interact; evaluate them with separated validation and test data.",Data quality and curation determine a fine-tuning project's outcome more reliably than any hyperparameter choice.,Replace wording; preserve instructional purpose,"Data quality, coverage, quantity, and training settings interact; evaluate them with separated validation and test data.",FIXED,Controlled Phase 1B editorial alignment; no new scholarly claim.
9,Key Takeaways,Claim and terminology consistency,"Vision-language models can support document understanding, visual question answering, and accessibility, but performance varies by task, input quality, and model; test counting and measurement separately.","Vision-language models excel at document understanding, visual question answering, and accessibility, and remain weak at precise counting and measurement.",Replace wording; preserve instructional purpose,"Vision-language models can support document understanding, visual question answering, and accessibility, but performance varies by task, input quality, and model; test counting and measurement separately.",FIXED,Controlled Phase 1B editorial alignment; no new scholarly claim.
10,Introduction,Claim and terminology consistency,"Both numbers are assumptions in this scenario. Both teams call them ""accuracy,"" although the second measures non-escalation.","Both numbers are real. Both numbers are called ""accuracy.""",Replace wording; preserve instructional purpose,"Both numbers are assumptions in this scenario. Both teams call them ""accuracy,"" although the second measures non-escalation.",FIXED,Controlled Phase 1B editorial alignment; no new scholarly claim.
10,RAG-Specific Evaluation {#sec-10-6},Claim and terminology consistency,"**Citation correctness** asks a third, related question","**Attribution accuracy** asks a third, related question",Replace wording; preserve instructional purpose,"**Citation correctness** asks a third, related question",FIXED,Controlled Phase 1B editorial alignment; no new scholarly claim.
10,Human Evaluation {#sec-10-4},Claim and terminology consistency,as a way to scale an imperfect measurement process with continued human calibration,as a way to extend human-level judgment further than human raters alone could reach,Replace wording; preserve instructional purpose,as a way to scale an imperfect measurement process with continued human calibration,FIXED,Controlled Phase 1B editorial alignment; no new scholarly claim.
10,LLM-as-Judge {#sec-10-5},Claim and terminology consistency,a specific rubric and graded examples make judgments easier to inspect and calibrate; test whether they improve agreement with independent expert ratings,"a specific rubric, and ideally a few graded examples showing what a good versus poor response looks like, produces far more reliable judgments than a vague ""is this good?""",Replace wording; preserve instructional purpose,a specific rubric and graded examples make judgments easier to inspect and calibrate; test whether they improve agreement with independent expert ratings,FIXED,Controlled Phase 1B editorial alignment; no new scholarly claim.
10,Connecting to Your Project: An Evaluation Plan,Claim and terminology consistency,the kind you can pilot with independent raters and revise after measuring disagreement,the kind specific enough that two raters would agree,Replace wording; preserve instructional purpose,the kind you can pilot with independent raters and revise after measuring disagreement,FIXED,Controlled Phase 1B editorial alignment; no new scholarly claim.
11,Key Terminologies and Concepts,Claim and terminology consistency,A router selects a subset of expert blocks per token; experts need not match human specialties,"Only the relevant ""expert"" runs for a given query, saving compute",Replace wording; preserve instructional purpose,A router selects a subset of expert blocks per token; experts need not match human specialties,FIXED,Controlled Phase 1B editorial alignment; no new scholarly claim.
11,Model Compression: Making Models Smaller and Faster {#sec-11-2},Claim and terminology consistency,"reduces weight memory; speed and quality effects depend on the method, model, hardware, and kernels","decreases memory use and increases speed, generally with real but often modest quality loss",Replace wording; preserve instructional purpose,"reduces weight memory; speed and quality effects depend on the method, model, hardware, and kernels",FIXED,Controlled Phase 1B editorial alignment; no new scholarly claim.
11,Model Compression: Making Models Smaller and Faster {#sec-11-2},Claim and terminology consistency,may retain more quality in some settings at the cost of a more involved training pipeline; compare both approaches on the intended workload,preserves quality better at the cost of a more involved training pipeline,Replace wording; preserve instructional purpose,may retain more quality in some settings at the cost of a more involved training pipeline; compare both approaches on the intended workload,FIXED,Controlled Phase 1B editorial alignment; no new scholarly claim.
12,Introduction,Claim and terminology consistency,an autoregressive language model is typically pre-trained to predict the next token,"a language model is, at its mechanical core, a system trained to predict the next token",Replace wording; preserve instructional purpose,an autoregressive language model is typically pre-trained to predict the next token,FIXED,Controlled Phase 1B editorial alignment; no new scholarly claim.
12,Learning Objectives,Claim and terminology consistency,"Explain, at a conceptual level, what interpretability research is trying to achieve","Understand, at a conceptual level, what interpretability research is trying to achieve",Replace wording; preserve instructional purpose,"Explain, at a conceptual level, what interpretability research is trying to achieve",FIXED,Controlled Phase 1B editorial alignment; no new scholarly claim.
