chapter,source_line,section,claim,verification,priority,source_needed
1,266,The Model Landscape: How to Think About Choices,"*Figure 1.5: Model family comparison across capability, context, cost, and openness*",PENDING,normal,"Dated primary paper, provider documentation/model card, or official legal text"
1,278,1.8 Ethical Foundations,"**What does this technology cost the planet?** Training a frontier model consumes enormous amounts of electricity and water for cooling, and every inference call, every prompt you send, carries a small additional cost. That cost is often invisible to the end user, which makes it easy to ignore and important to remember.",PENDING,normal,"Dated primary paper, provider documentation/model card, or official legal text"
1,290,1.9 Hands-On Exploration: Your First Comparative Study,**Set up access to two or three models.** Most major providers offer a free or low-cost chat interface; you don't need API access for this exercise.,PENDING,normal,"Dated primary paper, provider documentation/model card, or official legal text"
1,323,Chapter Summary,"Generative AI creates new content rather than merely classifying existing data, and the mechanism behind most of today's text generation is a deceptively simple one: predicting the next token, repeated at enormous scale. That simplicity is misleading; scale itself produces emergent capabilities that were never explicitly programmed.",PENDING,normal,"Dated primary paper, provider documentation/model card, or official legal text"
1,327,Chapter Summary,"No two major model families are interchangeable; the right choice depends on capability needs, context window, cost, latency, and how much control and openness a project actually requires. And none of this is ethically neutral: the data, the compute, the access, and the responsibility for what these systems produce are all live, contested questions that this book will keep returning to.",PENDING,normal,"Dated primary paper, provider documentation/model card, or official legal text"
1,354,Key Takeaways,"- Model choice is a multidimensional trade-off between capability, cost, context window, and control, not a search for a single ""best"" model.",PENDING,normal,"Dated primary paper, provider documentation/model card, or official legal text"
2,9,Introduction,"The monthly API bill projection: \$47,000. For 50,000 queries.",PENDING,high,"Dated primary paper, provider documentation/model card, or official legal text"
2,13,Introduction,"That weekend, Sarah dove into something she'd previously skipped: understanding how these AI models actually worked under the hood. Why were there so many different models? What made GPT-4 cost 20 times more than GPT-3.5 Turbo? How could she tell which model was right for which task?",PENDING,high,"Dated primary paper, provider documentation/model card, or official legal text"
2,19,Introduction,"New monthly cost projection: \$8,200. Response times: 90% under 2 seconds. Diagnostic accuracy: actually improved.",PENDING,high,"Dated primary paper, provider documentation/model card, or official legal text"
2,32,Learning Objectives,"2.  **Distinguish** between pre-training, fine-tuning, and inference phases of LLM development",PENDING,normal,"Dated primary paper, provider documentation/model card, or official legal text"
2,33,Learning Objectives,"3.  **Analyze** the relationship between model size, capability, cost, and performance",PENDING,normal,"Dated primary paper, provider documentation/model card, or official legal text"
2,34,Learning Objectives,"4.  **Compare** different LLM families (GPT, Claude, Llama) and their specific strengths",PENDING,high,"Dated primary paper, provider documentation/model card, or official legal text"
2,36,Learning Objectives,6.  **Reason about** cost-effectiveness and performance trade-offs in AI applications,PENDING,normal,"Dated primary paper, provider documentation/model card, or official legal text"
2,45,Key Terminologies and Concepts,"| **Transformer** | The neural network architecture that revolutionized AI, using attention mechanisms to process sequences in parallel rather than sequentially | The ""T"" in GPT; introduced in 2017's ""Attention Is All You Need"" paper |",PENDING,high,"Dated primary paper, provider documentation/model card, or official legal text"
2,48,Key Terminologies and Concepts,"| **Multi-Head Attention** | Running multiple attention mechanisms in parallel, each specializing in different types of relationships (syntax, semantics, references) | GPT-3 uses 96 attention heads per layer, each learning different linguistic patterns |",PENDING,high,"Dated primary paper, provider documentation/model card, or official legal text"
2,50,Key Terminologies and Concepts,| **Decoder** | The part of a transformer that generates output based on learned representations | GPT models are decoder-only; specialized for text generation |,PENDING,high,"Dated primary paper, provider documentation/model card, or official legal text"
2,51,Key Terminologies and Concepts,| **Pre-training** | The initial training phase where models learn language patterns from massive datasets by predicting the next token | GPT-3 trained on \~570GB of text over several months |,PENDING,high,"Dated primary paper, provider documentation/model card, or official legal text"
2,52,Key Terminologies and Concepts,| **Fine-tuning** | Additional training on specific tasks or domains after pre-training to specialize the model | Training a general model on medical data to create a healthcare AI assistant |,PENDING,normal,"Dated primary paper, provider documentation/model card, or official legal text"
2,53,Key Terminologies and Concepts,"| **RLHF (Reinforcement Learning from Human Feedback)** | Training technique where humans compare model outputs and the model learns to produce responses that align with human preferences | Used to make ChatGPT helpful, honest, and harmless by learning from human rankings |",PENDING,high,"Dated primary paper, provider documentation/model card, or official legal text"
2,54,Key Terminologies and Concepts,| **Inference** | The process of using a trained model to generate predictions or outputs | What happens when you send a prompt to ChatGPT and get a response |,PENDING,high,"Dated primary paper, provider documentation/model card, or official legal text"
2,57,Key Terminologies and Concepts,| **Parameters** | The learned weights in a neural network that determine its behavior; more parameters generally mean more capability | GPT-3: 175 billion parameters; GPT-4: \~1.7 trillion parameters |,PENDING,high,"Dated primary paper, provider documentation/model card, or official legal text"
2,58,Key Terminologies and Concepts,| **Context Window** | The maximum amount of text (in tokens) a model can process in a single interaction | GPT-3.5: 4K tokens (\~3K words); Claude 2: 100K tokens (\~75K words) |,PENDING,high,"Dated primary paper, provider documentation/model card, or official legal text"
2,61,Key Terminologies and Concepts,"| **Model Family** | A collection of related models from the same organization, often with different sizes and capabilities | OpenAI GPT family: GPT-3.5 Turbo, GPT-4, GPT-4 Turbo |",PENDING,high,"Dated primary paper, provider documentation/model card, or official legal text"
2,62,Key Terminologies and Concepts,"| **Constitutional AI** | Anthropic's approach to AI safety where models are trained to follow a set of principles (constitution) for helpful, honest, harmless behavior | Claude models use Constitutional AI to refuse harmful requests while remaining helpful |",PENDING,high,"Dated primary paper, provider documentation/model card, or official legal text"
2,63,Key Terminologies and Concepts,"| **Quantization** | Reducing model precision (e.g., from 32-bit to 8-bit) to decrease memory usage and increase speed, with minimal quality loss | Running Llama 2 70B in 4-bit quantization to fit on consumer GPUs |",PENDING,normal,"Dated primary paper, provider documentation/model card, or official legal text"
2,64,Key Terminologies and Concepts,| **LoRA (Low-Rank Adaptation)** | An efficient fine-tuning technique that updates only small adapter layers instead of all model weights | Fine-tuning a 7B model by updating only 0.1% of parameters |,PENDING,normal,"Dated primary paper, provider documentation/model card, or official legal text"
2,67,Key Terminologies and Concepts,| **Zero-shot** | Model performs a task without any task-specific training or examples | Asking GPT-4 to translate French without providing translation examples |,PENDING,high,"Dated primary paper, provider documentation/model card, or official legal text"
2,72,Key Terminologies and Concepts,"| **Model Routing** | Intelligently selecting which model to use based on query complexity, cost, and performance requirements | Using Haiku for simple queries, Sonnet for moderate tasks, Opus for complex research |",PENDING,normal,"Dated primary paper, provider documentation/model card, or official legal text"
2,73,Key Terminologies and Concepts,| **Caching** | Storing and reusing previous model outputs to reduce cost and latency for repeated or similar queries | Storing FAQ answers to avoid re-generating the same response |,PENDING,normal,"Dated primary paper, provider documentation/model card, or official legal text"
2,74,Key Terminologies and Concepts,"| **Fallback Strategy** | Having backup models available if the primary model fails or is unavailable | If GPT-4 is rate-limited, automatically switch to Claude Sonnet |",PENDING,high,"Dated primary paper, provider documentation/model card, or official legal text"
2,75,Key Terminologies and Concepts,| **API (Application Programming Interface)** | A standardized way to access model capabilities programmatically | OpenAI's `/v1/chat/completions` endpoint for GPT models |,PENDING,high,"Dated primary paper, provider documentation/model card, or official legal text"
2,76,Key Terminologies and Concepts,"| **Batch Processing** | Processing multiple requests together for efficiency, trading immediate response for lower cost | Running 1000 document summaries overnight at 50% cost reduction |",PENDING,normal,"Dated primary paper, provider documentation/model card, or official legal text"
2,77,Key Terminologies and Concepts,| **Streaming** | Receiving model output token-by-token as it's generated rather than waiting for completion | ChatGPT showing words appear gradually rather than all at once |,PENDING,high,"Dated primary paper, provider documentation/model card, or official legal text"
2,78,Key Terminologies and Concepts,"| **Rate Limiting** | Restrictions on how many requests can be made to an API in a given time period | OpenAI: 10,000 requests per minute for GPT-3.5; 500 for GPT-4 |",PENDING,high,"Dated primary paper, provider documentation/model card, or official legal text"
2,88,2.1 The Transformer Revolution: Why Everything Changed,"Then in 2017, a team at Google published a paper with an audacious title: ""Attention Is All You Need."" They introduced an architecture so elegant, so powerful, that it sparked the AI revolution we're experiencing today. That architecture was the **transformer**.",PENDING,normal,"Dated primary paper, provider documentation/model card, or official legal text"
2,156,Multi-Head Attention: Multiple Specialists Working Together,GPT-3 uses 96 attention heads per layer. Claude uses similar numbers. Each head specializes in different aspects of language understanding.,PENDING,high,"Dated primary paper, provider documentation/model card, or official legal text"
2,176,3. The Processing Stack: Building Understanding Layer by Layer,"Modern transformers stack dozens of identical layers (GPT-3 has 96 layers!), each consisting of:",PENDING,high,"Dated primary paper, provider documentation/model card, or official legal text"
2,205,Why This Architecture Revolutionized AI,**4. Transfer Learning**: A transformer pre-trained on general text develops broadly useful language understanding that can be fine-tuned for specific tasks with relatively little additional data.,PENDING,normal,"Dated primary paper, provider documentation/model card, or official legal text"
2,209,Connecting to Your Experience,"When you compared your Markov chain to GPT responses in Chapter 1, you witnessed the power of this architecture firsthand. Your Markov chain:",PENDING,high,"Dated primary paper, provider documentation/model card, or official legal text"
2,233,The Implications for You as a Developer,"**Performance Optimization**: Understanding that attention operates on all tokens simultaneously explains why context window size affects both capability and cost. Longer contexts mean more tokens for the attention mechanism to process, increasing both computation time and memory requirements.",PENDING,normal,"Dated primary paper, provider documentation/model card, or official legal text"
2,261,The Scale of Learning,-   **Cost**: Millions to hundreds of millions of dollars for the largest models,PENDING,normal,"Dated primary paper, provider documentation/model card, or official legal text"
2,311,Phase 2: Fine-Tuning - From Knowledge to Wisdom,"If pre-training creates a knowledgeable but unguided genius, fine-tuning transforms that raw intelligence into a helpful, safe, and capable assistant.",PENDING,normal,"Dated primary paper, provider documentation/model card, or official legal text"
2,313,Phase 2: Fine-Tuning - From Knowledge to Wisdom,"Think of it this way: A brilliant student who has read everything but hasn't learned how to have conversations, answer questions helpfully, or apply their knowledge appropriately in different contexts. Fine-tuning is like providing mentorship, teaching them not just what they know, but how to share that knowledge effectively.",PENDING,normal,"Dated primary paper, provider documentation/model card, or official legal text"
2,362,Domain Specialization,Some models undergo additional fine-tuning for specialized domains:,PENDING,normal,"Dated primary paper, provider documentation/model card, or official legal text"
2,365,Domain Specialization,-   **Legal AI**: Fine-tuned on legal documents and precedents,PENDING,normal,"Dated primary paper, provider documentation/model card, or official legal text"
2,392,Autoregressive Generation: One Word at a Time,-   Fine-tuning ensures responses are helpful and accurate,PENDING,normal,"Dated primary paper, provider documentation/model card, or official legal text"
2,428,Why Understanding These Phases Matters,"**Model Selection**: Newer models with better fine-tuning often outperform older models, even if the older models are larger. A well-fine-tuned 13B parameter model might produce better results than a poorly-fine-tuned 70B model.",PENDING,normal,"Dated primary paper, provider documentation/model card, or official legal text"
2,430,Why Understanding These Phases Matters,**Cost Optimization**: Understanding inference costs helps you choose between different model sizes for different tasks. Simple queries don't need the most expensive models.,PENDING,normal,"Dated primary paper, provider documentation/model card, or official legal text"
2,434,Why Understanding These Phases Matters,**Customization Decisions**: Understanding fine-tuning helps you decide when to use existing models versus training custom variants (which we'll explore in Chapter 6).,PENDING,normal,"Dated primary paper, provider documentation/model card, or official legal text"
2,440,Connecting to Your Research Assistant,-   Why certain models excel at creative tasks (different fine-tuning approaches),PENDING,normal,"Dated primary paper, provider documentation/model card, or official legal text"
2,442,Connecting to Your Research Assistant,-   How to balance capability with cost (understanding the relationship between model size and performance),PENDING,normal,"Dated primary paper, provider documentation/model card, or official legal text"
2,462,Small Models (1B-7B parameters): The Swift Specialists,"TechSupport Inc. handles 50,000 customer service inquiries daily. Initially, they routed everything through GPT-4, their ""smartest"" option. Monthly cost: \$42,000. Average response time: 6 seconds.",PENDING,high,"Dated primary paper, provider documentation/model card, or official legal text"
2,464,Small Models (1B-7B parameters): The Swift Specialists,"Then their engineer, Maria, had an insight: ""Why are we using our most powerful model to answer 'What's your return policy?' when a small, fast model could handle that perfectly?""",PENDING,normal,"Dated primary paper, provider documentation/model card, or official legal text"
2,466,Small Models (1B-7B parameters): The Swift Specialists,They implemented a small model (Llama 2 7B) for simple queries:,PENDING,normal,"Dated primary paper, provider documentation/model card, or official legal text"
2,469,Small Models (1B-7B parameters): The Swift Specialists,-   Cost per query: \$0.0002 (99% cheaper),PENDING,high,"Dated primary paper, provider documentation/model card, or official legal text"
2,472,Small Models (1B-7B parameters): The Swift Specialists,"Monthly cost for 70% of queries: \$2,800. Monthly savings: \$29,400.",PENDING,high,"Dated primary paper, provider documentation/model card, or official legal text"
2,476,Small Models (1B-7B parameters): The Swift Specialists,"-   **Customer service chatbots**: ""Hi! How can I help you today?""",PENDING,normal,"Dated primary paper, provider documentation/model card, or official legal text"
2,486,Small Models (1B-7B parameters): The Swift Specialists,-   Shorter context windows (often work with less text),PENDING,normal,"Dated primary paper, provider documentation/model card, or official legal text"
2,496,Medium Models (13B-34B parameters): The Balanced Performers,Claude 3 Sonnet provided the perfect balance:,PENDING,high,"Dated primary paper, provider documentation/model card, or official legal text"
2,500,Medium Models (13B-34B parameters): The Balanced Performers,"-   **Cost**: \$0.003 per query, sustainable at scale",PENDING,high,"Dated primary paper, provider documentation/model card, or official legal text"
2,512,Medium Models (13B-34B parameters): The Balanced Performers,"**The Sweet Spot:** Medium models often provide 80% of large model capability at 20% of the cost, making them the practical choice for most business applications.",PENDING,normal,"Dated primary paper, provider documentation/model card, or official legal text"
2,520,Large Models (70B+ parameters): The Heavy Hitters,Switching to GPT-4 and Claude 3 Opus changed everything:,PENDING,high,"Dated primary paper, provider documentation/model card, or official legal text"
2,527,Large Models (70B+ parameters): The Heavy Hitters,"The cost was 10x higher, but for this high-stakes application, the superior performance justified every penny.",PENDING,normal,"Dated primary paper, provider documentation/model card, or official legal text"
2,536,Large Models (70B+ parameters): The Heavy Hitters,"**The Premium Price Tag:** Large models cost 10-100x more than smaller alternatives, but for high-value tasks, their superior capabilities justify the expense.",PENDING,high,"Dated primary paper, provider documentation/model card, or official legal text"
2,569,Making the Right Choice: A Decision Framework,    -   Batch processing → Any model (optimize for cost),PENDING,normal,"Dated primary paper, provider documentation/model card, or official legal text"
2,573,Making the Right Choice: A Decision Framework,    -   Thousands per day → Prioritize cost (smaller models),PENDING,normal,"Dated primary paper, provider documentation/model card, or official legal text"
2,574,Making the Right Choice: A Decision Framework,    -   Hundreds per day → Balance capability and cost (medium models),PENDING,normal,"Dated primary paper, provider documentation/model card, or official legal text"
2,587,Real-World Example: Your Research Assistant,"**Query 1**: ""What is the capital of France?""",PENDING,normal,"Dated primary paper, provider documentation/model card, or official legal text"
2,589,Real-World Example: Your Research Assistant,-   **Best Choice**: Small model (Claude 3 Haiku or GPT-3.5 Turbo),PENDING,high,"Dated primary paper, provider documentation/model card, or official legal text"
2,591,Real-World Example: Your Research Assistant,-   **Estimated Cost**: \$0.0001,PENDING,high,"Dated primary paper, provider documentation/model card, or official legal text"
2,596,Real-World Example: Your Research Assistant,-   **Best Choice**: Medium model (Claude 3 Sonnet),PENDING,high,"Dated primary paper, provider documentation/model card, or official legal text"
2,598,Real-World Example: Your Research Assistant,-   **Estimated Cost**: \$0.003,PENDING,high,"Dated primary paper, provider documentation/model card, or official legal text"
2,603,Real-World Example: Your Research Assistant,-   **Best Choice**: Large model (GPT-4 or Claude 3 Opus),PENDING,high,"Dated primary paper, provider documentation/model card, or official legal text"
2,605,Real-World Example: Your Research Assistant,-   **Estimated Cost**: \$0.02,PENDING,high,"Dated primary paper, provider documentation/model card, or official legal text"
2,610,The Future of Model Selection,The landscape is rapidly evolving with exciting new approaches:,PENDING,normal,"Dated primary paper, provider documentation/model card, or official legal text"
2,622,Key Takeaways,**Measure Everything**: Track both quality and cost metrics to make data-driven decisions.,PENDING,normal,"Dated primary paper, provider documentation/model card, or official legal text"
2,624,Key Takeaways,"**Think Total Cost**: Include development time, infrastructure, and operational costs, not just per-query pricing.",PENDING,high,"Dated primary paper, provider documentation/model card, or official legal text"
2,640,OpenAI GPT Family: The Versatile Pioneers,OpenAI's GPT family represents the models that brought generative AI into mainstream consciousness. They're like the established consulting firm with a proven track record and broad expertise across many domains.,PENDING,high,"Dated primary paper, provider documentation/model card, or official legal text"
2,649,GPT-3.5 Turbo: The Reliable Workhorse,-   **Cost-effective**: Roughly 10x cheaper than GPT-4 for most tasks,PENDING,high,"Dated primary paper, provider documentation/model card, or official legal text"
2,653,GPT-3.5 Turbo: The Reliable Workhorse,"**When to Choose It**: When you need reliable, fast responses for straightforward tasks and cost efficiency matters. It's the default choice for many production applications.",PENDING,normal,"Dated primary paper, provider documentation/model card, or official legal text"
2,655,GPT-3.5 Turbo: The Reliable Workhorse,"**Real-World Example**: A customer service chatbot handling common inquiries would use GPT-3.5 Turbo for 80% of queries, reserving more expensive models for complex cases.",PENDING,high,"Dated primary paper, provider documentation/model card, or official legal text"
2,664,GPT-4: The Strategic Advisor,"-   **Multimodal capabilities**: Can analyze images, charts, and diagrams alongside text",PENDING,normal,"Dated primary paper, provider documentation/model card, or official legal text"
2,668,GPT-4: The Strategic Advisor,"**When to Choose It**: When the quality of output justifies the higher cost (typically 10-20x more expensive than GPT-3.5 Turbo), or when you need capabilities like vision that smaller models don't provide.",PENDING,high,"Dated primary paper, provider documentation/model card, or official legal text"
2,670,GPT-4: The Strategic Advisor,"**Real-World Example**: An architecture firm uses GPT-4 to analyze building plans and regulations, justify design decisions, and generate detailed specifications, tasks where the superior reasoning and multimodal capabilities are essential.",PENDING,high,"Dated primary paper, provider documentation/model card, or official legal text"
2,674,Anthropic Claude Family: The Thoughtful Analysts,"Anthropic's Claude models are like the consulting firm known for their methodical approach, ethical considerations, and particularly strong analytical capabilities.",PENDING,high,"Dated primary paper, provider documentation/model card, or official legal text"
2,684,Claude 3 Haiku: The Swift Analyst,-   Cost-sensitive deployments with tight budget constraints,PENDING,normal,"Dated primary paper, provider documentation/model card, or official legal text"
2,686,Claude 3 Haiku: The Swift Analyst,"**Notable Feature**: Often faster than GPT-3.5 Turbo while maintaining solid performance, making it ideal for applications where every millisecond counts.",PENDING,high,"Dated primary paper, provider documentation/model card, or official legal text"
2,690,Claude 3 Sonnet: The Balanced Professional,"**Personality**: The well-rounded consultant who provides the sweet spot between capability and cost, your go-to choice for most professional applications.",PENDING,normal,"Dated primary paper, provider documentation/model card, or official legal text"
2,707,Claude 3 Opus: The Senior Research Fellow,"-   **Complex research projects**: Academic research, policy analysis, strategic planning",PENDING,normal,"Dated primary paper, provider documentation/model card, or official legal text"
2,710,Claude 3 Opus: The Senior Research Fellow,"-   **Careful, thorough responses**: When quality matters more than speed or cost",PENDING,normal,"Dated primary paper, provider documentation/model card, or official legal text"
2,712,Claude 3 Opus: The Senior Research Fellow,"**Real-World Example**: A think tank uses Claude 3 Opus to analyze policy proposals, synthesizing research from hundreds of sources and identifying implications that less capable models miss.",PENDING,high,"Dated primary paper, provider documentation/model card, or official legal text"
2,716,Meta Llama Family: The Open-Source Specialists,"Meta's Llama models are like the boutique consulting firm that shares their methodologies openly, allowing you to customize and adapt their approaches to your specific needs.",PENDING,normal,"Dated primary paper, provider documentation/model card, or official legal text"
2,724,Llama 2: The Customizable Foundation,-   **Llama 2 7B**: For applications needing decent performance with minimal resources,PENDING,normal,"Dated primary paper, provider documentation/model card, or official legal text"
2,725,Llama 2: The Customizable Foundation,-   **Llama 2 13B**: The sweet spot for most custom applications,PENDING,normal,"Dated primary paper, provider documentation/model card, or official legal text"
2,726,Llama 2: The Customizable Foundation,-   **Llama 2 70B**: When you need large-model capabilities with full control,PENDING,normal,"Dated primary paper, provider documentation/model card, or official legal text"
2,744,Code Llama: The Programming Specialist,"**Perfect For**: Development tools, educational platforms, code review systems, and rapid prototyping.",PENDING,normal,"Dated primary paper, provider documentation/model card, or official legal text"
2,748,Google PaLM/Gemini Family: The Multilingual Innovators,Google's models bring deep expertise in multiple languages and cutting-edge multimodal capabilities.,PENDING,normal,"Dated primary paper, provider documentation/model card, or official legal text"
