chapter,source_line,section,claim,verification,priority,source_needed,phase_0_verification,review_id,classification,verification_date,primary_source,source_keys,current_source_line,current_excerpt,correction,notes,resolution
1,121,1.2 The Evolution of Text Generation,"Understanding where we are requires knowing where we've been. The path from early AI systems to today's large language models is a story of incremental breakthroughs, dead ends, and a handful of genuinely revolutionary insights.",ADJUDICATED,normal,"Dated primary paper, provider documentation/model card, or official legal text",PENDING,FRESHNESS-011,CURRENT_AND_DURABLE,2026-09-18,,,121,"Understanding where we are requires knowing where we've been. The path from early AI systems to today's large language models is a story of incremental breakthroughs, dead ends, and a handful of genuinely revolutionary insights.",No substantive correction required; retained with the stated scope.,"Author framing, ordinary definition, or design recommendation; no external empirical result asserted.",RESOLVED
1,127,The Early Dreamers (1950s–1960s),"**ELIZA (1966)** was the first program to convince people they were talking to something intelligent, and it was remarkably simple. Created by Joseph Weizenbaum at MIT, ELIZA used pattern matching and substitution rules to simulate a Rogerian psychotherapist. Type ""I am feeling sad today,"" and ELIZA might respond, ""Why do you say you are feeling sad today?"" ELIZA understood nothing; it recognized patterns and applied rules. Yet people grew emotionally attached to it, an early and durable lesson: humans readily anthropomorphize anything that responds in human-like ways.",ADJUDICATED,normal,"Dated primary paper, provider documentation/model card, or official legal text",PENDING,FRESHNESS-012,REMOVE_OR_GENERALIZE,2026-09-18,,,127,"**ELIZA (1966)** was an influential early conversational program, and it was remarkably simple. Created by Joseph Weizenbaum at MIT, ELIZA used pattern matching and substitution rules to simulate a Rogerian psychotherapist. Type ""I am feeling sad today,"" and ELIZA might respond, ""Why do you say you are feeling sad today?"" ELIZA understood nothing; it recognized patterns and applied rules. Yet people grew emotionally attached to it, an early and durable lesson: humans readily anthropomorphize anything that responds in human-like ways.","**ELIZA (1966)** was an influential early conversational program, and it was remarkably simple. Created by Joseph Weizenbaum at MIT, ELIZA used pattern matching and substitution rules to simulate a Rogerian psychotherapist. Type ""I am feeling sad today,"" and ELIZA might respond, ""Why do you say you are feeling sad today?"" ELIZA understood nothing; it recognized patterns and applied rules. Yet people grew emotionally attached to it, an early and durable lesson: humans readily anthropomorphize anything that responds in human-like ways.",Original wording corrected or qualified in the manuscript; see the exact replacement and linked primary evidence. Unsupported historical first,RESOLVED
1,135,The Neural Network Era (2000s–2010s),"Neural networks, invented decades earlier, became practical for language in the 2000s as computing power and training techniques improved. **Recurrent Neural Networks (RNNs)** introduced a form of memory, carrying information forward from earlier in a sequence rather than only looking at immediate neighbors. **Long Short-Term Memory (LSTM)** networks solved a critical weakness: plain RNNs tended to ""forget"" information over long sequences. LSTMs added gates that control what to remember, forget, and output. By the mid-2010s, LSTM-based systems powered genuinely useful products: predictive text, dramatically improved machine translation, and early conversational agents. But processing remained sequential, one word at a time, which made training slow and long documents difficult to handle well.",ADJUDICATED,normal,"Dated primary paper, provider documentation/model card, or official legal text",PENDING,FRESHNESS-013,REMOVE_OR_GENERALIZE,2026-09-18,https://arxiv.org/abs/1706.03762,transformer,135,"Recurrent networks process a sequence through a state passed between positions. Gated variants such as LSTMs address difficulties in carrying information across long sequences, but do not guarantee perfect long-range memory. The original Transformer paper contrasts attention-based processing with recurrent approaches and explains their computational trade-offs. [@vaswani2017attention]","Recurrent networks process a sequence through a state passed between positions. Gated variants such as LSTMs address difficulties in carrying information across long sequences, but do not guarantee perfect long-range memory. The original Transformer paper contrasts attention-based processing with recurrent approaches and explains their computational trade-offs. [@vaswani2017attention]",Original wording corrected or qualified in the manuscript; see the exact replacement and linked primary evidence. Qualify historical LSTM and product claims; avoid unsupported firsts.,RESOLVED
1,141,The Transformer Revolution (2017–Present),"GPT-1 (2018) showed that pre-training on a broad text corpus, then fine-tuning for specific tasks, beat purpose-built systems across multiple benchmarks. GPT-2 (2019) generated coherent multi-paragraph text at a scale that made OpenAI initially withhold the full model over misuse concerns, an early hint of the ethical questions this book returns to throughout. GPT-3 (2020) demonstrated striking few-shot learning: shown just a couple of examples in the prompt itself, it could perform tasks it was never explicitly trained on.",ADJUDICATED,high,"Dated primary paper, provider documentation/model card, or official legal text",PENDING,FRESHNESS-014,REMOVE_OR_GENERALIZE,2026-09-18,https://arxiv.org/abs/1706.03762 ; https://arxiv.org/abs/2005.14165,transformer;gpt3,141,The 2017 paper *Attention Is All You Need* introduced a Transformer encoder-decoder for sequence transduction. Attention allows parallel processing of available positions during training; a causal decoder masks future tokens and generates autoregressively. Parallel training does not mean every output token is generated simultaneously. [@vaswani2017attention],The 2017 paper *Attention Is All You Need* introduced a Transformer encoder-decoder for sequence transduction. Attention allows parallel processing of available positions during training; a causal decoder masks future tokens and generates autoregressively. Parallel training does not mean every output token is generated simultaneously. [@vaswani2017attention],Original wording corrected or qualified in the manuscript; see the exact replacement and linked primary evidence. Replace unsupported compressed release history with directly verified historical result.,RESOLVED
1,143,The Transformer Revolution (2017–Present),"The generations since have added multimodal understanding (text and images together), stronger reasoning, open-weight alternatives that broadened who can build on this technology, and increasingly tight integration with real-world tools and data. We'll meet today's major model families in section 1.7.",ADJUDICATED,normal,"Dated primary paper, provider documentation/model card, or official legal text",PENDING,FRESHNESS-015,REMOVE_OR_GENERALIZE,2026-09-18,https://arxiv.org/abs/2005.14165,gpt3,143,The GPT-3 report (2020) demonstrated task performance from prompt demonstrations without gradient updates at inference time. Its results vary across tasks; few-shot prompting does not mean that a model was never exposed to related material during pre-training. [@gpt3],The GPT-3 report (2020) demonstrated task performance from prompt demonstrations without gradient updates at inference time. Its results vary across tasks; few-shot prompting does not mean that a model was never exposed to related material during pre-training. [@gpt3],Original wording corrected or qualified in the manuscript; see the exact replacement and linked primary evidence. ,RESOLVED
1,149,The Transformer Revolution (2017–Present),The most remarkable part? We're still in the early days of this revolution. The architecture that powers today's most capable systems is less than a decade old.,ADJUDICATED,normal,"Dated primary paper, provider documentation/model card, or official legal text",PENDING,FRESHNESS-016,REMOVE_OR_GENERALIZE,2026-09-18,https://arxiv.org/abs/1706.03762,transformer,149,"The 2017 Transformer paper established an architecture that remains central to the examples in this book; later systems combine architectural, data, training, and deployment changes. [@vaswani2017attention]","The 2017 Transformer paper established an architecture that remains central to the examples in this book; later systems combine architectural, data, training, and deployment changes. [@vaswani2017attention]",Original wording corrected or qualified in the manuscript; see the exact replacement and linked primary evidence. Remove relative-age rhetoric.,RESOLVED
1,187,Core Architecture Components,Some models use an **encoder-decoder** structure: think of a translator who fully understands a sentence in one language (the encoder) before producing it in another (the decoder). GPT-family models are decoder-only; BERT-family models are encoder-only. Different structures suit different tasks.,ADJUDICATED,high,"Dated primary paper, provider documentation/model card, or official legal text",PENDING,FRESHNESS-017,CURRENT_AND_DURABLE,2026-09-18,https://arxiv.org/abs/1706.03762,transformer,191,Some models use an **encoder-decoder** structure: think of a translator who fully understands a sentence in one language (the encoder) before producing it in another (the decoder). GPT-family models are decoder-only; BERT-family models are encoder-only. Different structures suit different tasks.,No substantive correction required; retained with the stated scope.,"Retained as a bounded conceptual, historical, or engineering claim. Primary source supports the mechanism or documented example, not universal performance or current product rankings.",RESOLVED
1,217,Context Windows: The Model's Working Memory,"Every LLM has a **context window**, the maximum text it can consider at once, counting both your input and its output. Context windows have grown from a few thousand tokens in early models to hundreds of thousands in current ones, a change that has real consequences: a longer window lets a model reason over an entire contract or codebase at once, but it also costs more to process, and text that falls outside the window is, as far as the model is concerned, simply not there. We'll return to exactly how large this gap can get, and how retrieval systems work around it, in Chapter 6.",ADJUDICATED,normal,"Dated primary paper, provider documentation/model card, or official legal text",PENDING,FRESHNESS-018,REMOVE_OR_GENERALIZE,2026-09-18,https://arxiv.org/abs/2307.03172,lostmiddle,221,"A model’s **context window** bounds the tokens it can process in a request. Providers may impose separate input, output, and total limits. A larger window permits more supplied context but does not guarantee reliable use of every passage; retrieval and evaluation remain important. [@lostmiddle]","A model’s **context window** bounds the tokens it can process in a request. Providers may impose separate input, output, and total limits. A larger window permits more supplied context but does not guarantee reliable use of every passage; retrieval and evaluation remain important. [@lostmiddle]",Original wording corrected or qualified in the manuscript; see the exact replacement and linked primary evidence. Avoid universal current context-size claim.,RESOLVED
1,233,You Are What You Eat,"A model's knowledge, and its blind spots, are a direct reflection of its training data. A model trained heavily on English-language, Western-centric internet text will be fluent about topics well-represented there and noticeably weaker on topics, languages, and perspectives that are underrepresented, not because the underlying architecture is biased toward English, but because the data was. This matters enormously for global deployment: a research assistant built for East African agricultural policy, for instance, will only be as good as its training and retrieval sources allow it to be on that specific domain, and generic internet-scale training is unlikely to have deep, accurate coverage of it.",ADJUDICATED,normal,"Dated primary paper, provider documentation/model card, or official legal text",PENDING,FRESHNESS-019,CURRENT_AND_DURABLE,2026-09-18,,,237,"A model's knowledge, and its blind spots, are a direct reflection of its training data. A model trained heavily on English-language, Western-centric internet text will be fluent about topics well-represented there and noticeably weaker on topics, languages, and perspectives that are underrepresented, not because the underlying architecture is biased toward English, but because the data was. This matters enormously for global deployment: a research assistant built for East African agricultural policy, for instance, will only be as good as its training and retrieval sources allow it to be on that specific domain, and generic internet-scale training is unlikely to have deep, accurate coverage of it.",No substantive correction required; retained with the stated scope.,"Author framing, ordinary definition, or design recommendation; no external empirical result asserted.",RESOLVED
1,247,1.7 Meeting the Major Model Families,"You don't need to memorize a leaderboard, model rankings shift constantly, but you do need a durable mental map of how the major providers differ, because that map is what lets you make good decisions long after today's specific model names are obsolete.",ADJUDICATED,normal,"Dated primary paper, provider documentation/model card, or official legal text",PENDING,FRESHNESS-020,CURRENT_AND_DURABLE,2026-09-18,https://arxiv.org/abs/2005.14165 ; https://arxiv.org/abs/2303.08774 ; https://arxiv.org/abs/2212.08073 ; https://www.anthropic.com/news/claude-3-family ; https://arxiv.org/abs/2312.11805 ; https://arxiv.org/abs/2307.09288,gpt3;gpt4;constitutional;claude3;gemini;llama2,251,"You don't need to memorize a leaderboard, model rankings shift constantly, but you do need a durable mental map of how the major providers differ, because that map is what lets you make good decisions long after today's specific model names are obsolete.",No substantive correction required; retained with the stated scope.,"Retained as a bounded conceptual, historical, or engineering claim. Primary source supports the mechanism or documented example, not universal performance or current product rankings.",RESOLVED
1,249,1.7 Meeting the Major Model Families,"**OpenAI's GPT family** established much of the commercial template for LLM products: broad general capability, a large third-party ecosystem, and continual expansion into multimodal input and tool use.",ADJUDICATED,high,"Dated primary paper, provider documentation/model card, or official legal text",PENDING,FRESHNESS-021,REMOVE_OR_GENERALIZE,2026-09-18,https://arxiv.org/abs/2005.14165 ; https://arxiv.org/abs/2303.08774,gpt3;gpt4,253,"**OpenAI’s GPT family** provides historical examples of autoregressive pre-training and later instruction tuning; the 2023 GPT-4 report describes image-and-text inputs and text outputs. These dated reports are evidence about specific models, not specifications for every later product. [@gpt3; @gpt4]","**OpenAI’s GPT family** provides historical examples of autoregressive pre-training and later instruction tuning; the 2023 GPT-4 report describes image-and-text inputs and text outputs. These dated reports are evidence about specific models, not specifications for every later product. [@gpt3; @gpt4]",Original wording corrected or qualified in the manuscript; see the exact replacement and linked primary evidence. Date model-family examples.,RESOLVED
1,251,1.7 Meeting the Major Model Families,"**Anthropic's Claude family** places particular emphasis on being helpful, honest, and safe by design, an approach called Constitutional AI, which trains the model against a written set of principles rather than relying solely on human feedback after the fact. We'll unpack Constitutional AI properly in Chapter 12.",ADJUDICATED,high,"Dated primary paper, provider documentation/model card, or official legal text",PENDING,FRESHNESS-022,REMOVE_OR_GENERALIZE,2026-09-18,https://arxiv.org/abs/2212.08073 ; https://www.anthropic.com/news/claude-3-family,constitutional;claude3,255,**Anthropic’s Claude family** illustrates a provider using Constitutional AI research and reporting capability and safety evaluations. The 2022 research method and 2024 Claude 3 launch are historical examples; current product behavior requires separate evaluation. [@constitutional; @claude3],**Anthropic’s Claude family** illustrates a provider using Constitutional AI research and reporting capability and safety evaluations. The 2022 research method and 2024 Claude 3 launch are historical examples; current product behavior requires separate evaluation. [@constitutional; @claude3],Original wording corrected or qualified in the manuscript; see the exact replacement and linked primary evidence. Date model-family examples.,RESOLVED
1,253,1.7 Meeting the Major Model Families,"**Google's Gemini family** was built multimodal from the start rather than adding it later, and benefits from tight integration with Google's existing infrastructure and search capabilities.",ADJUDICATED,normal,"Dated primary paper, provider documentation/model card, or official legal text",PENDING,FRESHNESS-023,REMOVE_OR_GENERALIZE,2026-09-18,https://arxiv.org/abs/2312.11805,gemini,257,**Google’s Gemini family** illustrates integrated multimodal training in its 2023 technical report. Supported modalities and product integrations must be checked for the particular deployed version. [@gemini],**Google’s Gemini family** illustrates integrated multimodal training in its 2023 technical report. Supported modalities and product integrations must be checked for the particular deployed version. [@gemini],Original wording corrected or qualified in the manuscript; see the exact replacement and linked primary evidence. Date model-family examples.,RESOLVED
1,255,1.7 Meeting the Major Model Families,"**Meta's Llama family**, and the broader open-weight ecosystem it helped popularize, made it possible for researchers, startups, and hobbyists to download, inspect, modify, and self-host serious language models rather than only accessing them through an API. This openness carries real trade-offs, discussed further in Chapter 4, between control and convenience.",ADJUDICATED,normal,"Dated primary paper, provider documentation/model card, or official legal text",PENDING,FRESHNESS-024,REMOVE_OR_GENERALIZE,2026-09-18,https://arxiv.org/abs/2307.09288,llama2,259,"**Meta’s Llama family** illustrates downloadable model weights, including the 2023 Llama 2 release. Open weights permit forms of local deployment and adaptation, subject to the particular license; they do not imply that training data or every component is open source. [@llama2]","**Meta’s Llama family** illustrates downloadable model weights, including the 2023 Llama 2 release. Open weights permit forms of local deployment and adaptation, subject to the particular license; they do not imply that training data or every component is open source. [@llama2]",Original wording corrected or qualified in the manuscript; see the exact replacement and linked primary evidence. Distinguish open weights from open source.,RESOLVED
1,259,The Model Landscape: How to Think About Choices,"Rather than asking ""which model is best,"" a more useful question is ""best for what, at what cost, under what constraints?"" Four dimensions matter most in practice:",ADJUDICATED,normal,"Dated primary paper, provider documentation/model card, or official legal text",PENDING,FRESHNESS-025,CURRENT_AND_DURABLE,2026-09-18,,,263,"Rather than asking ""which model is best,"" a more useful question is ""best for what, at what cost, under what constraints?"" Four dimensions matter most in practice:",No substantive correction required; retained with the stated scope.,"Author framing, ordinary definition, or design recommendation; no external empirical result asserted.",RESOLVED
1,262,The Model Landscape: How to Think About Choices,- **Context window**: How much information does your task need the model to hold in view at once?,ADJUDICATED,normal,"Dated primary paper, provider documentation/model card, or official legal text",PENDING,FRESHNESS-026,CURRENT_AND_DURABLE,2026-09-18,,,266,- **Context window**: How much information does your task need the model to hold in view at once?,No substantive correction required; retained with the stated scope.,"Author framing, ordinary definition, or design recommendation; no external empirical result asserted.",RESOLVED
1,263,The Model Landscape: How to Think About Choices,"- **Cost and latency**: What does each request cost, and how fast does it need to respond?",ADJUDICATED,normal,"Dated primary paper, provider documentation/model card, or official legal text",PENDING,FRESHNESS-027,CURRENT_AND_DURABLE,2026-09-18,,,267,"- **Cost and latency**: What does each request cost, and how fast does it need to respond?",No substantive correction required; retained with the stated scope.,"Author framing, ordinary definition, or design recommendation; no external empirical result asserted.",RESOLVED
1,264,The Model Landscape: How to Think About Choices,"- **Openness and control**: Do you need to self-host for privacy or customization reasons, or is an API sufficient?",ADJUDICATED,normal,"Dated primary paper, provider documentation/model card, or official legal text",PENDING,FRESHNESS-028,CURRENT_AND_DURABLE,2026-09-18,,,268,"- **Openness and control**: Do you need to self-host for privacy or customization reasons, or is an API sufficient?",No substantive correction required; retained with the stated scope.,"Author framing, ordinary definition, or design recommendation; no external empirical result asserted.",RESOLVED
1,266,The Model Landscape: How to Think About Choices,"*Figure 1.5: Model family comparison across capability, context, cost, and openness*",ADJUDICATED,normal,"Dated primary paper, provider documentation/model card, or official legal text",PENDING,FRESHNESS-029,ILLUSTRATIVE_ONLY,2026-09-18,,,270,"*Proposed Figure 1.5: Model family comparison across capability, context, cost, and openness*",No substantive correction required; retained with the stated scope.,"Teaching objective, exercise, analogy, or explicitly fictional scenario; not evidence of measured model or company performance.",RESOLVED
1,278,1.8 Ethical Foundations,"**What does this technology cost the planet?** Training a frontier model consumes enormous amounts of electricity and water for cooling, and every inference call, every prompt you send, carries a small additional cost. That cost is often invisible to the end user, which makes it easy to ignore and important to remember.",ADJUDICATED,normal,"Dated primary paper, provider documentation/model card, or official legal text",PENDING,FRESHNESS-030,REMOVE_OR_GENERALIZE,2026-09-18,https://doi.org/10.1145/3442188.3445922,stochastic,282,"**What does this technology cost the planet?** Training and serving models consume energy; their environmental impact depends on hardware, utilization, electricity sources, and operating conditions. Assess the actual deployment rather than assigning a universal footprint to a prompt. [@stochastic]","**What does this technology cost the planet?** Training and serving models consume energy; their environmental impact depends on hardware, utilization, electricity sources, and operating conditions. Assess the actual deployment rather than assigning a universal footprint to a prompt. [@stochastic]",Original wording corrected or qualified in the manuscript; see the exact replacement and linked primary evidence. Replace unquantified environmental generalization with scoped assessment.,RESOLVED
1,290,1.9 Hands-On Exploration: Your First Comparative Study,**Set up access to two or three models.** Most major providers offer a free or low-cost chat interface; you don't need API access for this exercise.,ADJUDICATED,normal,"Dated primary paper, provider documentation/model card, or official legal text",PENDING,FRESHNESS-031,CURRENT_AND_DURABLE,2026-09-18,,,294,**Set up access to two or three models.** Most major providers offer a free or low-cost chat interface; you don't need API access for this exercise.,No substantive correction required; retained with the stated scope.,"Author framing, ordinary definition, or design recommendation; no external empirical result asserted.",RESOLVED
1,323,Chapter Summary,"Generative AI creates new content rather than merely classifying existing data, and the mechanism behind most of today's text generation is a deceptively simple one: predicting the next token, repeated at enormous scale. That simplicity is misleading; scale itself produces emergent capabilities that were never explicitly programmed.",ADJUDICATED,normal,"Dated primary paper, provider documentation/model card, or official legal text",PENDING,FRESHNESS-032,REMOVE_OR_GENERALIZE,2026-09-18,https://arxiv.org/abs/2206.07682 ; https://arxiv.org/abs/2304.15004,emergence;mirage,327,"Generative AI creates new content rather than merely classifying existing data, and the mechanism behind most of today's text generation is a deceptively simple one: predicting the next token, repeated at enormous scale. That simplicity is misleading; scale can improve performance, while claims of abrupt emergence depend on the task and metric. [@emergence; @mirage]","Generative AI creates new content rather than merely classifying existing data, and the mechanism behind most of today's text generation is a deceptively simple one: predicting the next token, repeated at enormous scale. That simplicity is misleading; scale can improve performance, while claims of abrupt emergence depend on the task and metric. [@emergence; @mirage]",Original wording corrected or qualified in the manuscript; see the exact replacement and linked primary evidence. Qualify an unsupported universal claim and align with the technical discussion.,RESOLVED
1,327,Chapter Summary,"No two major model families are interchangeable; the right choice depends on capability needs, context window, cost, latency, and how much control and openness a project actually requires. And none of this is ethically neutral: the data, the compute, the access, and the responsibility for what these systems produce are all live, contested questions that this book will keep returning to.",ADJUDICATED,normal,"Dated primary paper, provider documentation/model card, or official legal text",PENDING,FRESHNESS-033,CURRENT_AND_DURABLE,2026-09-18,https://arxiv.org/abs/2206.07682 ; https://arxiv.org/abs/2304.15004 ; https://arxiv.org/abs/1706.03762,emergence;mirage;transformer,331,"No two major model families are interchangeable; the right choice depends on capability needs, context window, cost, latency, and how much control and openness a project actually requires. And none of this is ethically neutral: the data, the compute, the access, and the responsibility for what these systems produce are all live, contested questions that this book will keep returning to.",No substantive correction required; retained with the stated scope.,"Retained as a bounded conceptual, historical, or engineering claim. Primary source supports the mechanism or documented example, not universal performance or current product rankings.",RESOLVED
1,354,Key Takeaways,"- Model choice is a multidimensional trade-off between capability, cost, context window, and control, not a search for a single ""best"" model.",ADJUDICATED,normal,"Dated primary paper, provider documentation/model card, or official legal text",PENDING,FRESHNESS-034,CURRENT_AND_DURABLE,2026-09-18,https://arxiv.org/abs/2206.07682 ; https://arxiv.org/abs/2304.15004,emergence;mirage,358,"- Model choice is a multidimensional trade-off between capability, cost, context window, and control, not a search for a single ""best"" model.",No substantive correction required; retained with the stated scope.,"Retained as a bounded conceptual, historical, or engineering claim. Primary source supports the mechanism or documented example, not universal performance or current product rankings.",RESOLVED
2,9,Introduction,"The monthly API bill projection: \$47,000. For 50,000 queries.",ADJUDICATED,high,"Dated primary paper, provider documentation/model card, or official legal text",PENDING,FRESHNESS-035,ILLUSTRATIVE_ONLY,2026-09-18,,,11,"The monthly API bill projection: \$47,000. For 50,000 queries.",No substantive correction required; retained with the stated scope.,"Teaching objective, exercise, analogy, or explicitly fictional scenario; not evidence of measured model or company performance.",RESOLVED
2,13,Introduction,"That weekend, Sarah dove into something she'd previously skipped: understanding how these AI models actually worked under the hood. Why were there so many different models? What made GPT-4 cost 20 times more than GPT-3.5 Turbo? How could she tell which model was right for which task?",ADJUDICATED,high,"Dated primary paper, provider documentation/model card, or official legal text",PENDING,FRESHNESS-036,ILLUSTRATIVE_ONLY,2026-09-18,,,15,"That weekend, Sarah dove into something she'd previously skipped: understanding how these AI models actually worked under the hood. Why were there so many different models? What could make one model deployment cost much more than another? How could she tell which model was right for which task?","That weekend, Sarah dove into something she'd previously skipped: understanding how these AI models actually worked under the hood. Why were there so many different models? What could make one model deployment cost much more than another? How could she tell which model was right for which task?","Teaching objective, exercise, analogy, or explicitly fictional scenario; not evidence of measured model or company performance.",RESOLVED
