source_line,jurisdiction,verification_date,statement,source,status,notes
47,EU / US (distinguished in statement),2026-09-18,"**Standards and governance, as of 2026-09-18.** NIST's US AI Risk Management Framework 1.0 is voluntary guidance, not a statute or certification of compliance. Standards can acquire significance through contracts or incorporation into a particular legal scheme. Under the EU AI Act, harmonized standards and conformity assessment have specified roles; a generic ISO, IEEE, or NIST reference does not establish that a system meets every applicable duty. Verify the particular instrument and edition. [@nistrmf; @aiact]",https://www.nist.gov/itl/ai-risk-management-framework ; https://eur-lex.europa.eu/eli/reg/2024/1689/oj/eng,REVIEWED,Read the explicit scope and application dates in context; research/governance recommendations are distinguished from mandatory duties.
51,US,2026-09-18,"**United States, as of 2026-09-18 — fact-specific and contested applications of existing law.** Fair use is not a universal training exemption. The Copyright Office's May 2025 Part 3 pre-publication report distinguishes uses, acquisition methods, and market effects; it is an agency report, not binding adjudication. The Office's summary of the Northern District of California's 23 June 2025 Bartz order describes fair use for the training use at issue but not for building a permanent library from pirated copies. This dated holding is not a statement that every model-training practice is lawful or a complete account of subsequent litigation. [@copyrighttraining; @bartz]",https://www.copyright.gov/ai/Copyright-and-Artificial-Intelligence-Part-3-Generative-AI-Training-Report-Pre-Publication-Version.pdf ; https://www.copyright.gov/fair-use/summaries/Bartz-v-Anthropic-PBC-787-F-Supp-3d-1007-ND-Cal-2025.pdf,REVIEWED,Read the explicit scope and application dates in context; research/governance recommendations are distinguished from mandatory duties.
53,EU,2026-09-18,"**European Union, as of 2026-09-18 — statutory exceptions with conditions.** Articles 3 and 4 of Directive (EU) 2019/790 address text and data mining, including lawful-access conditions and, for Article 4, rights reservation. They are not the US fair-use test. National implementation, the use at issue, and relevant AI Act obligations must be considered; do not assume that publicly accessible material is unlicensed or unrestricted. [@eucopyright]",https://eur-lex.europa.eu/eli/dir/2019/790/oj/eng,REVIEWED,Read the explicit scope and application dates in context; research/governance recommendations are distinguished from mandatory duties.
55,EU / US (distinguished in statement),2026-09-18,"For a US or EU project at this review date, document the source, license, access conditions, and intended use of training and retrieval material. Separate authorization to obtain a work, use it in training or retrieval, and distribute generated output. US copyrightability of outputs depends on human authorship; the Copyright Office's 2025 Part 2 report does not grant copyright merely for supplying prompts. Style resemblance alone is not a complete infringement analysis; protected expression and other jurisdiction-specific rights need separate review. [@copyrightoutput; @copyrighttraining; @eucopyright]",https://www.copyright.gov/ai/Copyright-and-Artificial-Intelligence-Part-2-Copyrightability-Report.pdf ; https://www.copyright.gov/ai/Copyright-and-Artificial-Intelligence-Part-3-Generative-AI-Training-Report-Pre-Publication-Version.pdf ; https://eur-lex.europa.eu/eli/dir/2019/790/oj/eng,REVIEWED,Read the explicit scope and application dates in context; research/governance recommendations are distinguished from mandatory duties.
59,EU / US (distinguished in statement),2026-09-18,"**United States and European Union, as of 2026-09-18 — jurisdiction-dependent liability.** An AI label does not itself identify who bears liability. Applicable contract, tort, product, consumer-protection, professional, and data-protection rules depend on facts and jurisdiction. For a concrete EU example, GDPR Article 82 addresses compensation for damage and controller/processor responsibility under its conditions; it is not a general rule for all AI harm. [@gdpr; @ftc]",https://eur-lex.europa.eu/eli/reg/2016/679/oj/eng ; https://www.ftc.gov/industry/technology/artificial-intelligence,REVIEWED,Read the explicit scope and application dates in context; research/governance recommendations are distinguished from mandatory duties.
61,EU,2026-09-18,"As an **illustrative responsibility-mapping exercise**, consider the model supplier, deploying organization, and user: who controlled the risk, what obligations applied, what caused the harm, and what remedies or contracts are relevant? This is a set of questions for legal analysis, not a finding that any of those parties automatically is or is not liable. Under EU GDPR Article 82, the applicable statutory conditions cannot be replaced by a product's own assignment of roles. [@gdpr]",https://eur-lex.europa.eu/eli/reg/2016/679/oj/eng,REVIEWED,Read the explicit scope and application dates in context; research/governance recommendations are distinguished from mandatory duties.
63,EU,2026-09-18,"Human review is a risk-control choice, not an automatic legal transfer of responsibility. Under the EU GDPR framework as of this review date, identify actual roles and whether human involvement is meaningful; merely adding an approval button does not resolve the legal analysis. Record operational ownership separately from any legal conclusion. [@gdpr; @cjeu]",https://eur-lex.europa.eu/eli/reg/2016/679/oj/eng ; https://curia.europa.eu/site/upload/docs/application/pdf/2025-02/cp250022en.pdf,REVIEWED,Read the explicit scope and application dates in context; research/governance recommendations are distinguished from mandatory duties.
69,EU / US (distinguished in statement),2026-09-18,"As **organizational recommendations**, use cross-functional review with documented decision rights, escalation paths, data provenance, validation records, and deployment monitoring. These practices are supported by voluntary NIST guidance; which records or assessments are legally mandatory depends on a particular jurisdiction and instrument. For EU high-risk AI, consult the applicable AI Act duties and dates rather than equating an internal ethics review with conformity assessment. [@nistrmf; @aiact; @aitimeline]",https://www.nist.gov/itl/ai-risk-management-framework ; https://eur-lex.europa.eu/eli/reg/2024/1689/oj/eng ; https://ai-act-service-desk.ec.europa.eu/en/ai-act/eu-ai-act-implementation-timeline,REVIEWED,Read the explicit scope and application dates in context; research/governance recommendations are distinguished from mandatory duties.
71,EU,2026-09-18,"**European Union, as of 2026-09-18 — transfers and localization are distinct.** GDPR Chapter V permits certain third-country transfers under specified mechanisms and conditions; GDPR is not a blanket requirement that all personal data stay in the EU. Other sectoral or national localization rules may differ. Record processing and storage locations, subprocessors, contracts, and the applicable transfer mechanism for the actual service. [@gdpr, Chapter V]",https://eur-lex.europa.eu/eli/reg/2016/679/oj/eng,REVIEWED,Read the explicit scope and application dates in context; research/governance recommendations are distinguished from mandatory duties.
77,EU / US (distinguished in statement),2026-09-18,"This is an educational issue-spotting exercise as of 2026-09-18, not a compliance certification. For each identified duty, record jurisdiction, actor, activity, exact provision, application date, exceptions, and whether qualified advice is needed. [@aiact; @gdpr; @nycaedt; @colorado]",https://eur-lex.europa.eu/eli/reg/2024/1689/oj/eng ; https://eur-lex.europa.eu/eli/reg/2016/679/oj/eng ; https://www.nyc.gov/site/dca/about/automated-employment-decision-tools.page ; https://coag.gov/ai/,REVIEWED,Read the explicit scope and application dates in context; research/governance recommendations are distinguished from mandatory duties.
95,EU / US (distinguished in statement),2026-09-18,"For this scenario, ask which professional and regulatory rules apply; whether the documents may be accessed, indexed, and reproduced; who verifies citations before use; and who can halt deployment. These are unresolved facts of the fictional project, not legal conclusions. For a US copyright starting point use the Copyright Office reports; for EU personal data and AI-system obligations consult GDPR and the AI Act under the dates above. [@copyrighttraining; @gdpr; @aiact]",https://www.copyright.gov/ai/Copyright-and-Artificial-Intelligence-Part-3-Generative-AI-Training-Report-Pre-Publication-Version.pdf ; https://eur-lex.europa.eu/eli/reg/2016/679/oj/eng ; https://eur-lex.europa.eu/eli/reg/2024/1689/oj/eng,REVIEWED,Read the explicit scope and application dates in context; research/governance recommendations are distinguished from mandatory duties.
116,EU / US (distinguished in statement),2026-09-18,"- ""Ethical"" and ""legally compliant"" are related but distinct; a responsible system still needs to be checked against both separately.
- AI regulation varies significantly by jurisdiction, and a global product needs to navigate multiple frameworks, not assume one standard applies everywhere.
- US and EU, 2026-09-18: training-data rights depend on the use and legal regime; case-specific holdings and statutory exceptions do not create a universal exemption. [@bartz; @eucopyright]
- EU, 2026-09-18: GDPR Article 82 is one concrete liability provision; other harms require analysis under the applicable jurisdiction and legal cause of action. [@gdpr]
- Human-in-the-loop controls do not automatically transfer legal liability; distinguish operational responsibility from legal obligations. [@gdpr]
- Real governance requires structures with actual authority to block a risky deployment, not a policy document nobody consults.",https://www.copyright.gov/fair-use/summaries/Bartz-v-Anthropic-PBC-787-F-Supp-3d-1007-ND-Cal-2025.pdf ; https://eur-lex.europa.eu/eli/dir/2019/790/oj/eng ; https://eur-lex.europa.eu/eli/reg/2016/679/oj/eng ; https://eur-lex.europa.eu/eli/reg/2016/679/oj/eng,REVIEWED,Read the explicit scope and application dates in context; research/governance recommendations are distinguished from mandatory duties.
