chapter,section,source_line,category,observation,severity,recommended_author_action
02-llms.qmd,Claude 3 Sonnet: The Balanced Professional,688,FRESHNESS,#### Claude 3 Sonnet: The Balanced Professional,REVIEW,"Author may wish to review the scope, date, and supporting source for this statement. No change has been applied."
02-llms.qmd,Claude 3 Opus: The Senior Research Fellow,701,FRESHNESS,#### Claude 3 Opus: The Senior Research Fellow,REVIEW,"Author may wish to review the scope, date, and supporting source for this statement. No change has been applied."
02-llms.qmd,Claude 3 Opus: The Senior Research Fellow,712,FRESHNESS,"**Real-World Example**: A think tank uses Claude 3 Opus to analyze policy proposals, synthesizing research from hundreds of sources and identifying implications that less capable models miss.",REVIEW,"Author may wish to review the scope, date, and supporting source for this statement. No change has been applied."
02-llms.qmd,Making Strategic Selections,782,FRESHNESS,"-   Complex → Opus, GPT-4, or Llama 2 70B",REVIEW,"Author may wish to review the scope, date, and supporting source for this statement. No change has been applied."
02-llms.qmd,Making Strategic Selections,786,FRESHNESS,"-   Multimodal → GPT-4, Gemini",REVIEW,"Author may wish to review the scope, date, and supporting source for this statement. No change has been applied."
02-llms.qmd,Making Strategic Selections,787,FRESHNESS,"-   Coding → Code Llama, GPT-4, Sonnet",REVIEW,"Author may wish to review the scope, date, and supporting source for this statement. No change has been applied."
02-llms.qmd,Making Strategic Selections,788,FRESHNESS,"-   Multilingual → PaLM 2, GPT-4, Gemini",REVIEW,"Author may wish to review the scope, date, and supporting source for this statement. No change has been applied."
02-llms.qmd,Making Strategic Selections,795,FRESHNESS,"-   Quality-first → Opus, GPT-4",REVIEW,"Author may wish to review the scope, date, and supporting source for this statement. No change has been applied."
02-llms.qmd,Industry Perspectives,905,FRESHNESS,"6.  **OpenAI's ""GPT-4 Technical Report""**",REVIEW,"Author may wish to review the scope, date, and supporting source for this statement. No change has been applied."
03-prompt-engineering.qmd,3.1 The Anatomy of Effective Prompts,76,FRESHNESS,"*The response? A Wikipedia-style overview that could have answered any of them—or none of them well. Same content, same structure, same utterly missing-the-point tone. His sophisticated model selection system from Chapter 2 had dutifully chosen Claude 3 Sonnet for the moderate complexity, but the results were indistinguishable from what a cheap model might produce.*",REVIEW,"Author may wish to review the scope, date, and supporting source for this statement. No change has been applied."
03-prompt-engineering.qmd,1. **Role Assignment: Who Is Speaking?**,142,TECHNICAL,"Why this works: Chapter 2 taught you that models learn from massive text datasets. Those datasets contain billions of examples of different voices—professors, journalists, technical writers, storytellers. Role assignment activates the relevant patterns.",REVIEW,"Author may wish to review the scope, date, and supporting source for this statement. No change has been applied."
03-prompt-engineering.qmd,The Context Window Trade-off,428,FRESHNESS,-   **Short contexts (4K tokens)**: Use 1-2 carefully chosen examples,REVIEW,"Author may wish to review the scope, date, and supporting source for this statement. No change has been applied."
03-prompt-engineering.qmd,The Context Window Trade-off,430,FRESHNESS,"-   **Long contexts (100K+ tokens)**: Can afford more examples, but still show diminishing returns after 5-6",REVIEW,"Author may wish to review the scope, date, and supporting source for this statement. No change has been applied."
03-prompt-engineering.qmd,Key Takeaways,1913,TECHNICAL,"4.  **Reasoning improves accuracy**: chain-of-thought prompting often meaningfully improves performance on complex, multi-step tasks.",REVIEW,"Author may wish to review the scope, date, and supporting source for this statement. No change has been applied."
05-agents.qmd,Chapter opening,,CONSISTENCY,"Multiple learning-goal sections: What You'll Learn, Learning Outcomes",REVIEW,Author may wish to review whether the repeated goal sections are intentional. Preserved unchanged.
15-deployment-frontier.qmd,Chapter title,2,CONSISTENCY,"YAML title: Chapter 15: Deployment and the Frontier; body heading: Chapter 15: Deployment, and the Road Ahead",REVIEW,Author may wish to review the differing titles. Both source strings are preserved; no heading is rewritten.
03-prompt-engineering.qmd,Image asset,62: assets/images/chapters/marcus.png,IMAGE,original/images/chapters/marcus.png has a .png filename but JPEG data.,REVIEW,Author may wish to review the filename in a future approved revision. Original bytes are unchanged; the build uses a byte-identical .jpg alias.
Unreferenced asset,Image asset,,IMAGE,original/images/cover.png has a .png filename but JPEG data.,REVIEW,Author may wish to review the filename in a future approved revision. Original bytes are unchanged; the build uses a byte-identical .jpg alias.
