chapter,organization,claim,source,verification_date,numerical_claims,status,evidence_status,action
6,Glean,Official search documentation describes respecting source permissions; this is not an independent security audit.,https://docs.glean.com/administration/search/faq,2026-09-18,None.,CORRECTED,VERIFIED_PRIMARY_ACCOUNT,"Retain as dated, attributed example; remove unsupported inference and universal outcome claims."
7,Harvey,"July 2024 Voyage partnership concerns custom legal embeddings, not evidence for the prior generative fine-tuning narrative.",https://www.harvey.ai/blog/harvey-partners-with-voyage-to-build-custom-legal-embeddings,2026-09-18,None retained.,CORRECTED,VERIFIED_PRIMARY_ACCOUNT,"Retain as dated, attributed example; remove unsupported inference and universal outcome claims."
8,Unnamed benchmark announcement,"Illustrative contamination/baseline problem, not accusation against a named lab.",Not applicable — illustrative scenario,2026-09-18,Invented teaching assumptions where present; not measured company results.,ILLUSTRATIVE,NOT_AN_EMPIRICAL_CASE,Label explicitly; retain pedagogical scenario without presenting it as verified company performance.
9,Be My Eyes,September 2023 launch describes image assistance and human fallback; not safe street-navigation evidence.,https://www.bemyeyes.com/news/announcing-be-my-ai-soon-available-for-hundreds-of-thousands-of-be-my-eyes-users/,2026-09-18,None retained.,CORRECTED,VERIFIED_PRIMARY_ACCOUNT,"Retain as dated, attributed example; remove unsupported inference and universal outcome claims."
9,Accessibility app opening,"Hypothetical food-label assistance, not street-crossing guidance.",Not applicable — illustrative scenario,2026-09-18,Invented teaching assumptions where present; not measured company results.,ILLUSTRATIVE,NOT_AN_EMPIRICAL_CASE,Label explicitly; retain pedagogical scenario without presenting it as verified company performance.
10,Anthropic,March 2024 Claude 3 account describes multi-dimensional evaluation; provider-reported results need task-specific validation.,https://www.anthropic.com/news/claude-3-family,2026-09-18,None retained.,CORRECTED,VERIFIED_PRIMARY_ACCOUNT,"Retain as dated, attributed example; remove unsupported inference and universal outcome claims."
10,Two evaluation teams,Illustrative 95% metrics with different denominators.,Not applicable — illustrative scenario,2026-09-18,Invented teaching assumptions where present; not measured company results.,ILLUSTRATIVE,NOT_AN_EMPIRICAL_CASE,Label explicitly; retain pedagogical scenario without presenting it as verified company performance.
11,Growing assistant deployment,Illustrative optimization scenario.,Not applicable — illustrative scenario,2026-09-18,Invented teaching assumptions where present; not measured company results.,ILLUSTRATIVE,NOT_AN_EMPIRICAL_CASE,Label explicitly; retain pedagogical scenario without presenting it as verified company performance.
12,Anthropic,2022 Constitutional AI research combines supervised critique/revision and AI-feedback preference training.,https://arxiv.org/abs/2212.08073,2026-09-18,No universal effectiveness percentage.,CORRECTED,VERIFIED_PRIMARY_ACCOUNT,"Retain as dated, attributed example; remove unsupported inference and universal outcome claims."
13,Microsoft,June 2022 Responsible AI Standard and retirement of general-purpose emotion inference; commitments are not independent compliance evidence.,https://blogs.microsoft.com/on-the-issues/2022/06/21/microsofts-framework-for-building-ai-systems-responsibly/,2026-09-18,None retained.,CORRECTED,VERIFIED_PRIMARY_ACCOUNT,"Retain as dated, attributed example; remove unsupported inference and universal outcome claims."
13,Healthcare system opening,Fictional bias scenario.,Not applicable — illustrative scenario,2026-09-18,Invented teaching assumptions where present; not measured company results.,ILLUSTRATIVE,NOT_AN_EMPIRICAL_CASE,Label explicitly; retain pedagogical scenario without presenting it as verified company performance.
14,Legal research firm,"Fictional 50,000-document issue-spotting exercise.",Not applicable — illustrative scenario,2026-09-18,Invented teaching assumptions where present; not measured company results.,ILLUSTRATIVE,NOT_AN_EMPIRICAL_CASE,Label explicitly; retain pedagogical scenario without presenting it as verified company performance.
15,Model deprecation,"Illustrative migration practice, not a named provider case or guaranteed notice policy.",Not applicable — illustrative scenario,2026-09-18,Invented teaching assumptions where present; not measured company results.,ILLUSTRATIVE,NOT_AN_EMPIRICAL_CASE,Label explicitly; retain pedagogical scenario without presenting it as verified company performance.
