chapter,section,source_line,severity,original_claim_or_example,issue,evidence,correction,status
1,The Neural Network Era (2000s–2010s),135,LOW,### The Transformer Revolution (2017–Present),Historical attribution,,"### The Transformer Revolution (2017–Present)

The transformer paper dates to 2017; GPT-3's 2020 report documents in-context task performance without updating weights. Such performance is evidence on evaluated tasks, not proof of human understanding. [@transformer; @gpt3]",RESOLVED
1,Why It's Revolutionary,109,MEDIUM,### The Fundamental Mechanism,Emergence presented as settled causal account,,"### The Fundamental Mechanism

The word *emergent* describes observed behavior, not a settled mechanism or universal scale threshold. Abrupt benchmark gains can depend on the scoring metric; inspect both the task and the measurement. [@emergence; @mirage]",RESOLVED
2,The Architecture of Understanding {#sec-ch02},3,HIGH,## Introduction,Invented numerical business/clinical evidence,,"## Introduction

**Illustrative scenario.** Sarah, the organizations in the size examples, and their costs, timings, and outcomes are fictional teaching assumptions, not clinical evidence, vendor quotations, or reported company results. Medical deployment requires domain-specific validation and professional oversight.",RESOLVED
2,Introduction,15,MEDIUM,What made GPT-4 cost 20 times more than GPT-3.5 Turbo?,Stale unsourced pricing ratio,,What could make one model deployment cost much more than another?,RESOLVED
2,Key Terminologies and Concepts,59,HIGH,GPT-3: 175 billion parameters; GPT-4: \~1.7 trillion parameters,Proprietary parameter speculation,,GPT-3: 175 billion parameters; GPT-4 parameter count was not disclosed in its technical report [@gpt3; @gpt4],RESOLVED
2,Key Terminologies and Concepts,60,MEDIUM,GPT-3.5: 4K tokens (\~3K words); Claude 2: 100K tokens (\~75K words),Obsolete model context comparison,,"Check the exact model/version and separate input, output, and total limits",RESOLVED
2,Key Terminologies and Concepts,61,MEDIUM,Small models: \<1 second; Large models: 5-8 seconds,Unsupported latency comparison,,Measure time to first token and total completion latency on the target workload,RESOLVED
2,Key Terminologies and Concepts,62,HIGH,Haiku processes \~1000 tokens/second; Opus \~200 tokens/second,Unsupported throughput figures,,"Report aggregate versus per-request throughput, hardware, load, and token lengths",RESOLVED
2,Key Terminologies and Concepts,80,MEDIUM,"OpenAI: 10,000 requests per minute for GPT-3.5; 500 for GPT-4",Rate limits are account-specific,,"Limits depend on model, account tier, and request/token budgets [@openairelimits]",RESOLVED
2,Key Terminologies and Concepts,53,MEDIUM,GPT-3 trained on \~570GB of text over several months,Unqualified dataset size/duration,,The GPT-3 report describes its data mixture and training setup [@gpt3],RESOLVED
2,Key Terminologies and Concepts,65,HIGH,Running Llama 2 70B in 4-bit quantization to fit on consumer GPUs,Memory omitted,,"A 70B model needs about 35 GB for 4-bit weights alone, plus runtime memory",RESOLVED
2,Key Terminologies and Concepts,68,MEDIUM,Doubling model size typically improves performance by a consistent amount,Scaling loss versus performance conflated,,"Empirical loss trends depend on data, compute, and model scale [@scaling; @chinchilla]",RESOLVED
2,Key Terminologies and Concepts,71,MEDIUM,"Adding ""Let's think step by step"" dramatically improves reasoning performance",Universal prompting benefit,,Step-by-step prompting improved selected historical benchmarks; evaluate it per model [@zerocot],RESOLVED
2,Key Terminologies and Concepts,58,MEDIUM,Temperature 0.0 for factual answers; 1.0+ for creative writing,Factuality misconception,,"Temperature changes sampling, not truthfulness; supported controls vary",RESOLVED
2,Key Terminologies and Concepts,78,MEDIUM,Running 1000 document summaries overnight at 50% cost reduction,Universal batch discount,,An asynchronous batch service may trade turnaround time for lower prices; check its terms,RESOLVED
2,The Cocktail Party Problem,100,MEDIUM,"This is **exactly** what transformers do, and what earlier AI systems couldn't.",Anthropomorphic equivalence,,"This is an analogy for combining context, not a claim that transformers reproduce human cognition or that earlier systems could never resolve references.",RESOLVED
2,Enter the Attention Mechanism,121,HIGH,The transformer's breakthrough was **self-attention**: every word simultaneously considers its relationship with every other word in the passage.,Causal mask omitted,,"The transformer uses **self-attention** to combine token representations at positions permitted by a mask. Encoder attention can be bidirectional; causal decoder attention cannot use later tokens. Attention predates the transformer, which made it central to an architecture without recurrence. [@transformer]",RESOLVED
2,Enter the Attention Mechanism,126,HIGH,"When processing ""it"" in our trophy sentence, the transformer's attention mechanism:",Attention scores misleading,,"For an **illustrative encoder attention row** at ""it"", suppose the permitted tokens receive normalized weights; these numbers are invented, not measured explanations:",RESOLVED
2,Enter the Attention Mechanism,130,MEDIUM,"""trophy"": 0.85",Weights must normalize,,"""trophy"": 0.60",RESOLVED
2,Enter the Attention Mechanism,131,MEDIUM,"""suitcase"": 0.12",Weights must normalize,,"""suitcase"": 0.10",RESOLVED
2,Enter the Attention Mechanism,132,MEDIUM,"""brown"": 0.01",Weights must normalize,,"""brown"": 0.05",RESOLVED
2,Enter the Attention Mechanism,133,MEDIUM,"""big"": 0.62",Weights must normalize,,"""big"": 0.15; remaining tokens together: 0.10",RESOLVED
2,Enter the Attention Mechanism,128,MEDIUM,**Examines all previous words** simultaneously,Encoder example distinct from decoder,,**Scores permitted token positions** simultaneously,RESOLVED
2,Enter the Attention Mechanism,134,HIGH,**Creates a weighted understanding** that correctly identifies the referent,Causal future leak,,"**Combines value vectors using these weights**; correct reference resolution is not guaranteed. A causal decoder at ""it"" cannot attend to the later token ""big""",RESOLVED
2,Multi-Head Attention: Multiple Specialists Working Together,158,HIGH,GPT-3 uses 96 attention heads per layer. Claude uses similar numbers. Each head specializes in different aspects of language understanding.,Undisclosed proprietary architecture,,"The largest GPT-3 configuration has 96 attention heads per layer. The named roles above are teaching analogies, not a fixed division of labor. Do not infer undocumented Claude architecture from GPT-3. [@gpt3]",RESOLVED
2,1. Token Embeddings: Words as Mathematical Positions {.unnumbered},168,MEDIUM,"(typically 768 or 1,024 dimensions)",Unsupported typical embedding widths,,(with width chosen by the architecture),RESOLVED
2,3. The Processing Stack: Building Understanding Layer by Layer {.unnumbered},188,HIGH,"As information flows through these layers, understanding becomes progressively more sophisticated:",Invented layer specialization,,"Representations change across layers, but the following stages are a **conceptual teaching analogy**, not an empirically established assignment of functions to GPT-3 layer ranges:",RESOLVED
2,3. The Processing Stack: Building Understanding Layer by Layer {.unnumbered},190,MEDIUM,**Layers 1-10**,Remove fabricated layer ranges,,**Local patterns**,RESOLVED
2,3. The Processing Stack: Building Understanding Layer by Layer {.unnumbered},191,MEDIUM,**Layers 11-40**,Remove fabricated layer ranges,,**Relationships**,RESOLVED
2,3. The Processing Stack: Building Understanding Layer by Layer {.unnumbered},192,MEDIUM,**Layers 41-70**,Remove fabricated layer ranges,,**Integration**,RESOLVED
2,3. The Processing Stack: Building Understanding Layer by Layer {.unnumbered},193,MEDIUM,**Layers 71-96**,Remove fabricated layer ranges,,**Output representations**,RESOLVED
2,Autoregressive Generation: One Word at a Time,394,HIGH,Fine-tuning ensures responses are helpful and accurate,Guarantee unjustified,,Fine-tuning can improve evaluated behavior but does not ensure accuracy or safety [@rlhf],RESOLVED
2,The Scale of Learning,262,MEDIUM,**Energy Consumption**: Equivalent to powering a small city for several months,Unsupported energy analogy,,"**Energy Consumption**: Depends on hardware, training duration, utilization, and energy supply; avoid city-equivalent comparisons without measured boundaries",RESOLVED
2,Supervised Fine-Tuning: Learning to Be Helpful,339,MEDIUM,#### RLHF: Aligning with Human Values,Incomplete post-training account,,"#### RLHF: Aligning with Human Values

In a common RLHF pipeline, preference comparisons train a reward model and a policy is optimized against that reward, often with a constraint limiting drift. Preferences are imperfect proxies for truth and safety. DPO instead optimizes a preference objective directly without a separate reward-model-and-RL loop; not every assistant follows one fixed training recipe. [@rlhf; @dpo]",RESOLVED
2,Medium Models (13B-34B parameters): The Balanced Performers,500,HIGH,Claude 3 Sonnet provided the perfect balance:,Proprietary model classified by unknown size,,A hypothetical mid-budget deployment provided a useful balance (a commercial product tier does not disclose its parameter count):,RESOLVED
2,Medium Models (13B-34B parameters): The Balanced Performers,516,MEDIUM,"**The Sweet Spot:** Medium models often provide 80% of large model capability at 20% of the cost, making them the practical choice for most business applications.",Unsupported quantitative generalization,,"**The Sweet Spot:** Determine the quality-cost frontier on your own workload. There is no universal 80/20 relationship between parameter count, capability, and price.",RESOLVED
2,Large Models (70B+ parameters): The Heavy Hitters,540,MEDIUM,"**The Premium Price Tag:** Large models cost 10-100x more than smaller alternatives, but for high-value tasks, their superior capabilities justify the expense.",Unsupported cost ratio,,"**The Premium Price Tag:** Prices are deployment-specific. A higher price or larger model does not itself establish better performance, clinical validity, or value.",RESOLVED
2,The Scaling Laws: What We've Learned About Size,548,HIGH,"**1. Predictable Improvement**: Model performance improves predictably with scale, double the parameters and training data, and performance improves by a consistent amount.",Misstated scaling laws,,"**1. Empirical loss trends**: Scaling studies model pre-training loss as a function of parameters, tokens, and compute within studied regimes. They do not promise constant improvements on every downstream task. [@scaling; @chinchilla]",RESOLVED
2,The Scaling Laws: What We've Learned About Size,550,HIGH,"**2. Emergent Abilities**: At certain scale thresholds, new capabilities suddenly appear. Models around 100B parameters start showing abilities that smaller models simply don't have:",Unsupported scale threshold,,"**2. Emergent Abilities**: Some evaluations show abrupt gains, but the appearance of a threshold depends partly on the metric and task. There is no universal 100B-parameter boundary for the following capabilities. [@emergence; @mirage]",RESOLVED
2,The Scaling Laws: What We've Learned About Size,557,MEDIUM,**3. Diminishing Returns**: Each doubling in size provides smaller improvement gains. Going from 7B to 70B parameters provides massive gains. Going from 175B to 350B provides more modest improvements.,Unsupported comparative gains,,"**3. Compute allocation**: Compare models at a specified training and inference budget. Data quality, token count, architecture, post-training, and evaluation all matter; parameter count alone does not determine returns. [@chinchilla]",RESOLVED
2,Making the Right Choice: A Decision Framework,587,MEDIUM,### Real-World Example: Your Research Assistant,Fiction presented as real,,### Illustrative Scenario: Your Research Assistant,RESOLVED
2,Making the Right Choice: A Decision Framework,587,MEDIUM,### Illustrative Scenario: Your Research Assistant,Dated pricing example caveat,,"### Illustrative Scenario: Your Research Assistant

The prices and timings below are independent hypothetical assumptions, not current provider rates or benchmarks. The labels small, medium, and large describe resource budgets; proprietary product tiers cannot establish parameter counts.",RESOLVED
2,Illustrative Scenario: Your Research Assistant,595,MEDIUM,(Claude 3 Haiku or GPT-3.5 Turbo),Dated routing recommendation,,(a tested low-cost deployment),RESOLVED
2,Illustrative Scenario: Your Research Assistant,602,MEDIUM,(Claude 3 Sonnet),Undisclosed size comparison,,(a tested intermediate deployment),RESOLVED
2,Illustrative Scenario: Your Research Assistant,609,MEDIUM,(GPT-4 or Claude 3 Opus),Undisclosed size comparison,,(a tested higher-capability deployment),RESOLVED
2,What Intelligent Routing Actually Decides,825,MEDIUM,Caching catches the queries you'll see again (often 30–60% of real traffic in production systems),Unsupported cache hit rate,,Caching can reuse eligible repeated queries (measure the hit rate on your own traffic),RESOLVED
2,Conceptual sketch of a routing decision — not a full implementation,844,MEDIUM,"# free, instant, but only ever a repeat query",Incorrect cache cost guarantee in sketch,,# eligible cached result; lookup and validation still have costs,RESOLVED
2,"A Decision Framework, Not a Build",835,MEDIUM,should never serve a cached answer,Absolute cache prohibition,,needs an explicit freshness policy before serving a cached answer,RESOLVED
3,The Art and Science of Prompting {#sec-ch03},3,MEDIUM,## Introduction,Unattributed numerical examples,,"## Introduction

**Example status.** Prompt/response pairs, confidence percentages, dashboard scores, and optimization gains in this chapter are illustrative unless explicitly attributed to a study. They are not API executions or measured company results.",RESOLVED
3,Few-Shot for Format Enforcement,417,HIGH,The examples guarantee the model will produce valid JSON in the exact structure you need—crucial when this output feeds into a database or other automated system.,JSON guarantee false,,"Examples can encourage a JSON shape but cannot guarantee it. Where available, use schema-constrained output, then parse and validate types and application rules; handle refusals, truncation, and invalid responses before passing data downstream.",RESOLVED
3,Chain-of-Thought: Thinking Out Loud {#sec-3-3},472,HIGH,"Chain-of-Thought (CoT) prompting makes AI models do exactly this—show their work. And remarkably, making them explain their reasoning doesn't just make answers more transparent; it makes answers more accurate.",Reasoning faithfulness and universal gains,,"Chain-of-thought (CoT) prompting elicits intermediate textual steps. Historical experiments found gains on selected tasks and models, but a plausible explanation can be wrong or unfaithful to the computation that produced the answer. Evaluate answer correctness independently. [@cot; @unfaithful]",RESOLVED
3,"The ""Let's Think Step by Step"" Miracle",476,MEDIUM,"In 2022, researchers discovered something almost too simple to believe. Adding one phrase to prompts—""Let's think step by step""—dramatically improved performance on reasoning tasks.",Historical prompting scope,,"In 2022, Kojima and colleagues evaluated the instruction ""Let's think step by step"" and found improvements on several reasoning benchmarks. This is a dated empirical finding, not a universal prompting rule. Some reasoning models do not benefit from explicit step-by-step instructions; follow the exact model's documentation and test against a simpler baseline. [@zerocot; @openaireasoning]",RESOLVED
3,"The ""Let's Think Step by Step"" Miracle",508,MEDIUM,-   More reliable (the reasoning process catches errors),Faithfulness overclaim,,"-   Potentially easier to check, but a fluent trace can also conceal errors",RESOLVED
3,Explicit Step Enumeration,554,MEDIUM,ensuring thorough analysis,Guarantee overclaim,,encouraging an explicit structure without ensuring correctness,RESOLVED
3,The Cost-Quality Trade-off,651,MEDIUM,-   But significantly better accuracy for reasoning tasks,Universal gain,,-   Possible accuracy gains on some tasks; measure them rather than assume them,RESOLVED
3,4. Prompt Leaking {.unnumbered},1161,HIGH,### Defense Strategy 1: Input Sanitization,Prompt defenses overstated,,"### Defense Strategy 1: Input Sanitization

These are **heuristic mitigations**, not security boundaries. Keyword checks miss paraphrases and can flag innocent text. Delimiters, repeated instructions, and model-based filters can fail. Enforce authorization, tool permissions, data access, and consequential-action confirmation in application code outside the model; treat retrieved documents and tool results as untrusted data. [@indirectinjection]",RESOLVED
3,Pseudocode for basic detection,1186,HIGH,"return ""CLEAN""",Misleading detector return label,,"return ""NO_PATTERN_MATCH""  # not a safety verdict",RESOLVED
3,RESPONSE INSTRUCTIONS ###,1209,HIGH,The delimiters help the model maintain the distinction between instruction levels.,Text markers not authority boundary,,"Delimiters make intended structure legible but do not enforce an instruction hierarchy or prevent an attacker from imitating it. Use the provider's actual message roles, and keep secrets out of prompts. [@indirectinjection]",RESOLVED
3,Defense Strategy 3: Instruction Reinforcement,1243,MEDIUM,The repetition makes it harder for injection attempts to override core behavior.,Unsupported defense effectiveness,,Instruction reinforcement is a testable heuristic; repetition provides no security guarantee and can distract from the task.,RESOLVED
3,Why This Works,1108,MEDIUM,Remember from Chapter 1 how LLMs see all text as tokens with no inherent hierarchy?,Role hierarchy misconception,,"A model consumes token sequences, but trained message roles and control tokens can encode an instruction hierarchy. This learned behavior is not a hard authorization boundary.",RESOLVED
3,Track across many queries,1505,MEDIUM,**Target**: \> 85% for production prompts,Arbitrary quality threshold,,"**Illustrative target only**: 85% is not a general production acceptance threshold. Choose thresholds from task risk, failure severity, and uncertainty.",RESOLVED
3,Metric 2: Consistency,1538,MEDIUM,"-   95%+ similarity → Very consistent (good for factual tasks)
-   60-80% similarity → Balanced (good for creative tasks)
-   \<50% similarity → Too variable (investigate cause)",Unsupported similarity thresholds,,"-   High similarity on a specified metric → similar outputs, possibly consistently wrong
-   Intermediate similarity → inspect whether variation helps the task
-   Low similarity → investigate content changes; no universal percentage bands apply",RESOLVED
3,Step 3: Test Design,1690,HIGH,"**Sample size**: Enough for statistical significance

-   Minimum: 20-30 queries per variant
-   Better: 50+ per variant
-   High-stakes decisions: 100+ per variant",Invalid sample-size guidance,,"**Sample size**: Plan around baseline performance, the smallest meaningful effect, desired power, and the randomization unit. There is no universal minimum of 20, 50, or 100 queries. Account for repeated observations from the same user and predefine the stopping rule.",RESOLVED
3,Step 3: Test Design,1695,HIGH,"def assign_variant(query_id):
    # Deterministic randomization
    # Same query always gets same variant (for consistency)
    hash_value = hash(query_id)
    return ""A"" if hash_value % 2 == 0 else ""B""",Python string hash randomized between processes,,"import hashlib

def assign_variant(unit_id, experiment_id=""prompt-v1""):
    # Stable assignment across Python processes; not a security mechanism.
    payload = f""{experiment_id}:{unit_id}"".encode(""utf-8"")
    bucket = hashlib.sha256(payload).digest()[0] % 2
    return ""A"" if bucket == 0 else ""B""",RESOLVED
3,Step 5: Statistical Analysis,1728,HIGH,"from scipy import stats

# Compare success rates
variant_a_successes = [1, 1, 0, 1, 1, ...]  # 1=success, 0=failure
variant_b_successes = [1, 1, 1, 1, 0, ...]

# Chi-square test for categorical outcomes
chi2, p_value = stats.chi2_contingency([[sum(variant_a_successes), 
                                          sum(variant_b_successes)],
                                         [len(variant_a_successes), 
                                          len(variant_b_successes)]])

if p_value < 0.05:
    print(""Statistically significant difference!"")
else:
    print(""No significant difference detected"")",Success/total table invalid; SciPy result unpacked incorrectly,,"# Conceptual analysis: replace observations with independently sampled data.
from scipy import stats

success_a, total_a = 60, 100  # illustrative counts
success_b, total_b = 75, 100
observed = [[success_a, total_a - success_a],
            [success_b, total_b - success_b]]
result = stats.chi2_contingency(observed)
p_value = result.pvalue
# Check independence and expected counts before interpreting the test.
# Use an appropriate exact or resampling method when counts are sparse.
print(p_value)",RESOLVED
3,Use an appropriate exact or resampling method when counts are sparse.,1742,MEDIUM,**Look for**: p-value \< 0.05 and meaningful effect size (\>5-10% improvement),P-value misuse and arbitrary effect cutoff,,Report the effect size and confidence interval alongside the prespecified test. A p-value is not the probability that the hypothesis is true; statistical significance alone does not establish practical value or safety. Paired test cases require a paired analysis. [@scipychi2],RESOLVED
3,Assessment Dimension 3: Factual Accuracy,1649,HIGH,"accuracy_score = (verified / len(claims)) - (hallucinations * 0.2)
    return accuracy_score",Zero divide; ad hoc accuracy formula,,"if not claims:
        return None  # no factual claims to score
    # Report distinct measures rather than an unvalidated weighted score.
    return {""verified_fraction"": verified / len(claims),
            ""fabrication_count"": hallucinations}",RESOLVED
3,Metric 4: Latency,1563,LOW,start_time = time.time(),Wall clock can move during duration measurement,,start_time = time.perf_counter(),RESOLVED
3,Metric 4: Latency,1565,LOW,latency = time.time() - start_time,Use monotonic performance counter,,latency = time.perf_counter() - start_time,RESOLVED
3,Template Composition: Building Blocks,960,LOW,```{#tech-03-032 .technical-block .program-code},Undefined helpers/inputs; conceptual sketch is not standalone Python,,```{#tech-03-032 .technical-block .pseudocode},RESOLVED
3,Defense Strategy 4: Response Filtering,1249,LOW,```{#tech-03-048 .python .technical-block .program-code},Undefined helpers/inputs; conceptual sketch is not standalone Python,,```{#tech-03-048 .technical-block .pseudocode},RESOLVED
3,Metric 1: Task Success Rate,1484,LOW,```{#tech-03-056 .python .technical-block .program-code},Undefined helpers/inputs; conceptual sketch is not standalone Python,,```{#tech-03-056 .technical-block .pseudocode},RESOLVED
3,Metric 2: Consistency,1518,LOW,```{#tech-03-057 .python .technical-block .program-code},Undefined helpers/inputs; conceptual sketch is not standalone Python,,```{#tech-03-057 .technical-block .pseudocode},RESOLVED
3,Metric 3: Efficiency (Quality per Token),1548,LOW,```{#tech-03-058 .python .technical-block .program-code},Undefined helpers/inputs; conceptual sketch is not standalone Python,,```{#tech-03-058 .technical-block .pseudocode},RESOLVED
3,Metric 4: Latency,1562,LOW,```{#tech-03-059 .python .technical-block .program-code},Undefined helpers/inputs; conceptual sketch is not standalone Python,,```{#tech-03-059 .technical-block .pseudocode},RESOLVED
3,Assessment Dimension 3: Factual Accuracy,1637,LOW,```{#tech-03-061 .python .technical-block .program-code},Undefined helpers/inputs; conceptual sketch is not standalone Python,,```{#tech-03-061 .technical-block .pseudocode},RESOLVED
3,Assessment Dimension 3: Factual Accuracy,1656,MEDIUM,### A/B Testing Framework: Scientific Prompt Improvement,Experimental unit and privacy missing,,"### A/B Testing Framework: Scientific Prompt Improvement

Use a stable user or session identifier if repeated queries would otherwise contaminate treatment groups. Never use the assignment hash to anonymize personal data. The snippets below demonstrate mechanics; a production experiment also needs exposure logging, guardrail metrics, and a prespecified analysis. [@pythonhash]",RESOLVED
4,"the rest of your system only ever talks to ""an LLMProvider.""",86,HIGH,## Error Handling and Resilience Patterns {#sec-4-3},Retry semantics incomplete,,"## Error Handling and Resilience Patterns {#sec-4-3}

Retry only eligible transient failures, with a bounded attempt count and deadline. Honor provider retry headers, account for SDK retries, distinguish rate limits from exhausted credits, and do not retry authentication or malformed requests unchanged. A timeout can occur after a request was processed: retries may duplicate cost or actions unless idempotency is actually supported. [@openairelimits; @nygard]",RESOLVED
4,Conceptual sketch of backoff timing — not a full retry implementation,99,MEDIUM,return delay + jitter,Backoff cap exceeded by added jitter,,"return min(max_delay, delay + jitter)",RESOLVED
4,Conceptual sketch of backoff timing — not a full retry implementation,106,HIGH,## Cost Optimization Strategies {#sec-4-4},Cache isolation and provider assumptions,,"## Cost Optimization Strategies {#sec-4-4}

Response caching is distinct from provider prompt-prefix caching. Include model/version, instructions, generation settings, retrieval version, and authorization context in cache eligibility; expire or invalidate stale entries and isolate tenants. Semantic similarity alone cannot authorize reuse. A batch API may be asynchronous and impose separate limits; streaming yields partial output and can fail after output has begun. [@nygard; @openairelimits]",RESOLVED
4,Conceptual sketch — reusing connections instead of opening one per request,131,HIGH,## Security and Best Practices {#sec-4-6},Security controls and abstraction limits,,"## Security and Best Practices {#sec-4-6}

Environment variables are a delivery mechanism, not a complete secret-management system: redact logs, restrict credentials, and revoke exposed keys. Input validation does not solve prompt injection. Verify retention, training use, regional processing, and contractual terms for the selected endpoint; the provider abstraction must reject unsupported capabilities rather than silently change their meaning. [@indirectinjection; @nistrmf]",RESOLVED
4,Connecting to Your Project: The Integration Architecture,153,LOW,"## Case Study: A Provider Outage, Worked Through",Fictional case label,,"## Case Study: A Provider Outage, Worked Through

**Illustrative scenario.** The volume and maintenance window below are invented planning assumptions.",RESOLVED
5,Key Terminologies and Concepts,45,HIGH,where mistakes can't cause real-world harm,Sandbox guarantee,,to reduce access and potential harm; isolation can fail or be misconfigured,RESOLVED
5,Agent Architectures {#sec-5-3},104,MEDIUM,### ReAct: Reasoning and Acting Together,Research scope and weight updates,,"### ReAct: Reasoning and Acting Together

ReAct is a research pattern with task-specific results, not a universal reliability guarantee. Its textual reasoning trace is generated text. Reflexion uses feedback and verbal memory rather than necessarily changing model weights; passing one test is not proof of correctness. [@react; @reflexion; @unfaithful]",RESOLVED
5,Reflexion: Learning From the Last Attempt,124,MEDIUM,"In practice, most production agent systems combine elements of these patterns",Unverified prevalence,,A practical design can combine elements of these patterns,RESOLVED
