chapter,entry,original_entry,status,source,verification_date,corrected_entry,notes
2,8,"8.  **vLLM and LLM Inference Optimization Guides**
    -   Advanced techniques for production deployment.",REPLACED,https://arxiv.org/abs/2309.06180,2026-09-18,- *Efficient Memory Management for Large Language Model Serving with PagedAttention* (2023). The original PagedAttention serving study; results are configuration-specific. [@vllm],The original PagedAttention serving study; results are configuration-specific.
2,9,"9.  **Bender, E. M., et al. (2021). ""On the Dangers of Stochastic Parrots""**

    -   Critical perspective on environmental and social costs of large models.",CORRECTED,https://doi.org/10.1145/3442188.3445922,2026-09-18,"- *On the Dangers of Stochastic Parrots: Can Language Models Be Too Big?* (2021). Read the original source for its methods, assumptions, and limits; the bibliography identifies the verified version. [@stochastic]","Read the original source for its methods, assumptions, and limits; the bibliography identifies the verified version."
2,10,"10. **Anthropic's Constitutional AI Paper**

    -   Approaches to aligning AI systems with human values.",CORRECTED,https://arxiv.org/abs/2212.08073,2026-09-18,"- *Constitutional AI: Harmlessness from AI Feedback* (2022). Read the original source for its methods, assumptions, and limits; the bibliography identifies the verified version. [@constitutional]","Read the original source for its methods, assumptions, and limits; the bibliography identifies the verified version."
3,1,"1.  **Wei, J., et al. (2022). ""Chain-of-Thought Prompting Elicits Reasoning in Large Language Models""**

    -   The paper that introduced CoT and demonstrated its dramatic impact on reasoning tasks.",CORRECTED,https://arxiv.org/abs/2201.11903,2026-09-18,"- *Chain-of-Thought Prompting Elicits Reasoning in Large Language Models* (2022). Read the original source for its methods, assumptions, and limits; the bibliography identifies the verified version. [@cot]","Read the original source for its methods, assumptions, and limits; the bibliography identifies the verified version."
3,2,"2.  **Brown, T., et al. (2020). ""Language Models are Few-Shot Learners"" (GPT-3 Paper)**

    -   Introduced few-shot learning and demonstrated the power of in-context learning.",CORRECTED,https://arxiv.org/abs/2005.14165,2026-09-18,- *Language Models are Few-Shot Learners* (2020). The 2020 report evaluates in-context learning; prompt examples do not update model weights. [@gpt3],The 2020 report evaluates in-context learning; prompt examples do not update model weights.
3,3,"3.  **Kojima, T., et al. (2022). ""Large Language Models are Zero-Shot Reasoners""**

    -   Discovered the ""Let's think step by step"" phenomenon.",CORRECTED,https://arxiv.org/abs/2205.11916,2026-09-18,"- *Large Language Models are Zero-Shot Reasoners* (2022). Read the original source for its methods, assumptions, and limits; the bibliography identifies the verified version. [@zerocot]","Read the original source for its methods, assumptions, and limits; the bibliography identifies the verified version."
3,4,"4.  **Perez, E., et al. (2022). ""Red Teaming Language Models with Language Models""**

    -   Comprehensive exploration of prompt injection and other vulnerabilities.",CORRECTED,https://arxiv.org/abs/2202.03286,2026-09-18,"- *Red Teaming Language Models with Language Models* (2022). Studies model-assisted red teaming, not a comprehensive prompt-injection defense. [@redteam]","Studies model-assisted red teaming, not a comprehensive prompt-injection defense."
3,5,"5.  **Greshake, K., et al. (2023). ""Not What You've Signed Up For: Compromising Real-World LLM-Integrated Applications with Indirect Prompt Injection""**

    -   Real-world examples of prompt injection attacks and defenses.",CORRECTED,https://arxiv.org/abs/2302.12173,2026-09-18,"- *Not what you've signed up for: Compromising Real-World LLM-Integrated Applications with Indirect Prompt Injection* (2023). Read the original source for its methods, assumptions, and limits; the bibliography identifies the verified version. [@indirectinjection]","Read the original source for its methods, assumptions, and limits; the bibliography identifies the verified version."
3,6,"6.  **OpenAI Prompt Engineering Guide**

    -   Official best practices from OpenAI, regularly updated.
    -   [platform.openai.com/docs/guides/prompt-engineering](https://platform.openai.com/docs/guides/prompt-engineering)",CORRECTED,https://developers.openai.com/api/docs/guides/prompt-engineering,2026-09-18,"- *Prompt engineering* (n.d.). Read the original source for its methods, assumptions, and limits; the bibliography identifies the verified version. [@openaiprompt]","Read the original source for its methods, assumptions, and limits; the bibliography identifies the verified version."
3,7,"7.  **Anthropic Prompt Engineering Guide**

    -   Claude-specific techniques and best practices.
    -   [docs.anthropic.com/claude/docs/prompt-engineering](https://docs.anthropic.com/claude/docs/prompt-engineering)",CORRECTED,https://docs.anthropic.com/en/docs/build-with-claude/prompt-engineering/overview,2026-09-18,"- *Prompt engineering overview* (n.d.). Read the original source for its methods, assumptions, and limits; the bibliography identifies the verified version. [@anthropicprompt]","Read the original source for its methods, assumptions, and limits; the bibliography identifies the verified version."
3,8,"8.  **White, J., et al. (2023). ""A Prompt Pattern Catalog to Enhance Prompt Engineering""**

    -   Comprehensive catalog of reusable prompt patterns.",CORRECTED,https://arxiv.org/abs/2302.11382,2026-09-18,"- *A Prompt Pattern Catalog to Enhance Prompt Engineering with ChatGPT* (2023). Read the original source for its methods, assumptions, and limits; the bibliography identifies the verified version. [@promptpatterns]","Read the original source for its methods, assumptions, and limits; the bibliography identifies the verified version."
3,9,"9.  **Zhou, Y., et al. (2023). ""Large Language Models Are Human-Level Prompt Engineers""**

    -   Automated prompt optimization techniques.",CORRECTED,https://arxiv.org/abs/2211.01910,2026-09-18,- *Large Language Models Are Human-Level Prompt Engineers* (2022). The verified 2022 arXiv version of the automated prompt-engineering paper. [@ape],The verified 2022 arXiv version of the automated prompt-engineering paper.
3,10,"10. **Prompt Engineering Tools and Resources**
    -   PromptBase: Community prompt library
    -   LangChain: Framework for prompt chaining and templates
    -   Guardrails AI: Framework for output validation",REPLACED,https://arxiv.org/abs/2203.11171,2026-09-18,- *Self-Consistency Improves Chain of Thought Reasoning in Language Models* (2022). A concrete research study replaces the unverified tools directory; gains depend on task and sampling. [@selfconsistency],A concrete research study replaces the unverified tools directory; gains depend on task and sampling.
4,1,"- Nygard, M. (2018). *Release It!* — The standard reference for resilience patterns (circuit breakers, bulkheads, timeouts) that this chapter applies to AI APIs specifically.",VERIFIED,https://store.pragprog.com/titles/mnee2/release-it-second-edition/,2026-09-18,"- *Release It! Second Edition* (2018). Read the original source for its methods, assumptions, and limits; the bibliography identifies the verified version. [@nygard]","Read the original source for its methods, assumptions, and limits; the bibliography identifies the verified version."
4,2,"- Kleppmann, M. (2017). *Designing Data-Intensive Applications* — Broader systems-design grounding for the caching and reliability trade-offs in @sec-4-3 through @sec-4-5.",VERIFIED,https://martin.kleppmann.com/2017/03/27/designing-data-intensive-applications.html,2026-09-18,"- *Designing Data-Intensive Applications* (2017). Read the original source for its methods, assumptions, and limits; the bibliography identifies the verified version. [@ddia]","Read the original source for its methods, assumptions, and limits; the bibliography identifies the verified version."
4,3,"- Provider documentation for whichever models you selected in Chapter 2, rate limits, pricing, and SLAs change often enough that primary sources beat secondhand summaries, including this one.",REPLACED,https://developers.openai.com/api/docs/guides/rate-limits,2026-09-18,"- *Rate limits* (n.d.). Living provider documentation checked 2026-09-18; recheck model, account tier, and limits before deployment. [@openairelimits]","Living provider documentation checked 2026-09-18; recheck model, account tier, and limits before deployment."
5,1,"- Yao, S., et al. (2022). ""ReAct: Synergizing Reasoning and Acting in Language Models"" — The paper that introduced the ReAct pattern covered in @sec-5-3.",VERIFIED,https://arxiv.org/abs/2210.03629,2026-09-18,"- *ReAct: Synergizing Reasoning and Acting in Language Models* (2022). Read the original source for its methods, assumptions, and limits; the bibliography identifies the verified version. [@react]","Read the original source for its methods, assumptions, and limits; the bibliography identifies the verified version."
5,2,"- Park, J. S., et al. (2023). ""Generative Agents: Interactive Simulacra of Human Behavior"" — A widely cited exploration of what emerges when multiple agents interact over time, relevant background for @sec-5-5.",VERIFIED,https://arxiv.org/abs/2304.03442,2026-09-18,"- *Generative Agents: Interactive Simulacra of Human Behavior* (2023). Read the original source for its methods, assumptions, and limits; the bibliography identifies the verified version. [@generativeagents]","Read the original source for its methods, assumptions, and limits; the bibliography identifies the verified version."
5,3,"- Shinn, N., et al. (2023). ""Reflexion: Language Agents with Verbal Reinforcement Learning"" — The paper behind the self-correction pattern in @sec-5-3.",VERIFIED,https://arxiv.org/abs/2303.11366,2026-09-18,"- *Reflexion: Language Agents with Verbal Reinforcement Learning* (2023). Read the original source for its methods, assumptions, and limits; the bibliography identifies the verified version. [@reflexion]","Read the original source for its methods, assumptions, and limits; the bibliography identifies the verified version."
6,1,"- Lewis, P., et al. (2020). ""Retrieval-Augmented Generation for Knowledge-Intensive NLP Tasks"" — The paper that introduced the RAG approach this chapter is built around.",VERIFIED,https://arxiv.org/abs/2005.11401,2026-09-18,"- *Retrieval-Augmented Generation for Knowledge-Intensive NLP Tasks* (2020). Read the original source for its methods, assumptions, and limits; the bibliography identifies the verified version. [@lewis2020rag]","Read the original source for its methods, assumptions, and limits; the bibliography identifies the verified version."
6,2,"- Gao, Y., et al. (2023). ""Retrieval-Augmented Generation for Large Language Models: A Survey"" — A comprehensive map of the RAG design space, useful once you're ready to go deeper than this chapter.",VERIFIED,https://arxiv.org/abs/2312.10997,2026-09-18,"- *Retrieval-Augmented Generation for Large Language Models: A Survey* (2023). Read the original source for its methods, assumptions, and limits; the bibliography identifies the verified version. [@ragsurvey]","Read the original source for its methods, assumptions, and limits; the bibliography identifies the verified version."
7,1,"- Hu, E., et al. (2021). ""LoRA: Low-Rank Adaptation of Large Language Models"" — The paper behind the technique covered in @sec-7-2.",VERIFIED,https://arxiv.org/abs/2106.09685,2026-09-18,"- *LoRA: Low-Rank Adaptation of Large Language Models* (2021). Read the original source for its methods, assumptions, and limits; the bibliography identifies the verified version. [@lora]","Read the original source for its methods, assumptions, and limits; the bibliography identifies the verified version."
7,2,"- Zhou, C., et al. (2023). ""LIMA: Less Is More for Alignment"" — A striking demonstration of how far a small, carefully curated dataset can go, directly relevant to @sec-7-3's quality-over-quantity argument.",VERIFIED,https://arxiv.org/abs/2305.11206,2026-09-18,"- *LIMA: Less Is More for Alignment* (2023). A study using a small curated dataset, not a general minimum-data rule. [@lima]","A study using a small curated dataset, not a general minimum-data rule."
8,1,"- Liang, P., et al. (2022). ""Holistic Evaluation of Language Models (HELM)"" — A model for how a rigorous, multi-dimensional benchmark effort is actually structured, worth reading as much for its methodology as its results.",VERIFIED,https://arxiv.org/abs/2211.09110,2026-09-18,"- *Holistic Evaluation of Language Models* (2022). Read the original source for its methods, assumptions, and limits; the bibliography identifies the verified version. [@helm]","Read the original source for its methods, assumptions, and limits; the bibliography identifies the verified version."
8,2,"- Any recent systematic review or survey paper in your own project's domain, found through the citation-chaining technique in @sec-8-2, is more valuable to you specifically than any fixed list this chapter could offer.",REPLACED,https://arxiv.org/abs/2312.10997,2026-09-18,"- *Retrieval-Augmented Generation for Large Language Models: A Survey* (2023). Read the original source for its methods, assumptions, and limits; the bibliography identifies the verified version. [@ragsurvey]","Read the original source for its methods, assumptions, and limits; the bibliography identifies the verified version."
9,1,"- Ramesh, A., et al. (2022). ""Hierarchical Text-Conditional Image Generation with CLIP Latents"" — A foundational paper behind modern text-to-image systems, referenced in @sec-9-5.",VERIFIED,https://arxiv.org/abs/2204.06125,2026-09-18,"- *Hierarchical Text-Conditional Image Generation with CLIP Latents* (2022). Read the original source for its methods, assumptions, and limits; the bibliography identifies the verified version. [@dalle2]","Read the original source for its methods, assumptions, and limits; the bibliography identifies the verified version."
9,2,- A current model provider's vision system card (search for the most recent one from whichever provider you selected in Chapter 2) — these documents are updated often enough that a specific citation here would be outdated quickly; finding and reading the current one is itself the Chapter 8 research-literacy skill applied.,REPLACED,https://developers.openai.com/api/docs/guides/images-vision,2026-09-18,"- *Images and vision* (n.d.). Living provider documentation checked 2026-09-18, including image limitations; this is documentation, not a system card. [@visiondocs]","Living provider documentation checked 2026-09-18, including image limitations; this is documentation, not a system card."
10,1,"- Liang, P., et al. (2022). ""Holistic Evaluation of Language Models (HELM)"" — A model for evaluating language models across many dimensions at once, rather than a single leaderboard score.",VERIFIED,https://arxiv.org/abs/2211.09110,2026-09-18,"- *Holistic Evaluation of Language Models* (2022). Read the original source for its methods, assumptions, and limits; the bibliography identifies the verified version. [@helm]","Read the original source for its methods, assumptions, and limits; the bibliography identifies the verified version."
10,2,"- Zheng, L., et al. (2023). ""Judging LLM-as-a-Judge with MT-Bench and Chatbot Arena"" — The paper most directly behind the LLM-as-judge approach in @sec-10-5, including its documented biases.",VERIFIED,https://arxiv.org/abs/2306.05685,2026-09-18,"- *Judging LLM-as-a-Judge with MT-Bench and Chatbot Arena* (2023). Read the original source for its methods, assumptions, and limits; the bibliography identifies the verified version. [@judge]","Read the original source for its methods, assumptions, and limits; the bibliography identifies the verified version."
11,1,"- Any current vLLM or TGI (Text Generation Inference) documentation on continuous batching and KV-caching, these projects are the practical, widely used implementations of @sec-11-3's concepts.",REPLACED,https://huggingface.co/docs/text-generation-inference/main/index,2026-09-18,- *Text Generation Inference documentation* (n.d.). Official documentation checked 2026-09-18 identifies TGI as in maintenance mode; see the chapter’s vLLM paper for serving research. [@tgi],Official documentation checked 2026-09-18 identifies TGI as in maintenance mode; see the chapter’s vLLM paper for serving research.
11,2,"- Hinton, G., et al. (2015). ""Distilling the Knowledge in a Neural Network"" — The foundational paper behind the knowledge distillation technique in @sec-11-2.",VERIFIED,https://arxiv.org/abs/1503.02531,2026-09-18,"- *Distilling the Knowledge in a Neural Network* (2015). Read the original source for its methods, assumptions, and limits; the bibliography identifies the verified version. [@distillation]","Read the original source for its methods, assumptions, and limits; the bibliography identifies the verified version."
12,1,"- Bai, Y., et al. (2022). ""Constitutional AI: Harmlessness from AI Feedback"" — The paper behind the approach covered in @sec-12-2 and this chapter's case study.",VERIFIED,https://arxiv.org/abs/2212.08073,2026-09-18,"- *Constitutional AI: Harmlessness from AI Feedback* (2022). Read the original source for its methods, assumptions, and limits; the bibliography identifies the verified version. [@constitutional]","Read the original source for its methods, assumptions, and limits; the bibliography identifies the verified version."
12,2,"- Ouyang, L., et al. (2022). ""Training Language Models to Follow Instructions with Human Feedback"" — The paper most directly behind modern RLHF, referenced in @sec-12-2.",VERIFIED,https://arxiv.org/abs/2203.02155,2026-09-18,"- *Training language models to follow instructions with human feedback* (2022). Read the original source for its methods, assumptions, and limits; the bibliography identifies the verified version. [@rlhf]","Read the original source for its methods, assumptions, and limits; the bibliography identifies the verified version."
12,3,"- Olah, C., et al., Anthropic's interpretability research (search for the most current work, this is one of the fastest-moving areas in the field) — a good entry point into the mechanistic interpretability research described in @sec-12-3.",REPLACED,https://distill.pub/2020/circuits/zoom-in/,2026-09-18,- *Zoom In: An Introduction to Circuits* (2020). A specific 2020 circuits article replaces the unspecified current-research recommendation. [@interpretability],A specific 2020 circuits article replaces the unspecified current-research recommendation.
13,1,"- Jobin, A., et al. (2019). ""The Global Landscape of AI Ethics Guidelines"" — A systematic review of AI ethics frameworks worldwide, useful for seeing how much, and how little, consensus actually exists.",CORRECTED,https://arxiv.org/abs/1906.11668,2026-09-18,"- *Artificial Intelligence: the global landscape of ethics guidelines* (2019). Read the original source for its methods, assumptions, and limits; the bibliography identifies the verified version. [@ethicsguidelines]","Read the original source for its methods, assumptions, and limits; the bibliography identifies the verified version."
13,2,"- Weidinger, L., et al. (2022). ""Taxonomy of Risks Posed by Language Models"" — A detailed, structured taxonomy that expands considerably on @sec-13-1's risk categories.",REPLACED,https://arxiv.org/abs/2112.04359,2026-09-18,- *Ethical and social risks of harm from Language Models* (2021). A verified 2021 risk paper replaces the unverified 2022 taxonomy entry; these are distinct works. [@risks],A verified 2021 risk paper replaces the unverified 2022 taxonomy entry; these are distinct works.
14,1,"- The current text of the EU AI Act (search for the official European Commission source, this is exactly the kind of regulation worth reading directly rather than through a secondary summary, given how consequential its risk-tier definitions are).",REPLACED,https://eur-lex.europa.eu/eli/reg/2024/1689/oj/eng,2026-09-18,- *Regulation (EU) 2024/1689: Artificial Intelligence Act* (2024). Read the original regulation with the amendments and implementation timeline cited in this chapter; status checked 2026-09-18. [@aiact],Read the original regulation with the amendments and implementation timeline cited in this chapter; status checked 2026-09-18.
14,2,"- Any current tracking resource for major AI copyright litigation (several are actively maintained and updated as cases progress; search for the most current one, given how quickly this area is developing).",REPLACED,https://www.copyright.gov/fair-use/summaries/Bartz-v-Anthropic-PBC-787-F-Supp-3d-1007-ND-Cal-2025.pdf,2026-09-18,"- *Bartz v. Anthropic PBC: Fair Use Index case summary* (2025). Official US Copyright Office summary of the June 2025 district-court decision; a specific ruling, not a universal rule or complete litigation tracker. [@bartz]","Official US Copyright Office summary of the June 2025 district-court decision; a specific ruling, not a universal rule or complete litigation tracker."
15,1,"- Any current state-of-the-industry report from a major AI research organization (search for the most recent one, these are typically published annually and are a good single-source snapshot of where the field's frontier actually sits).",REPLACED,https://arxiv.org/abs/2501.12948,2026-09-18,- *DeepSeek-R1: Incentivizing Reasoning Capability in LLMs via Reinforcement Learning* (2025). A dated 2025 reasoning-model report; evaluate benchmark scope and reproduction details. [@deepseekr1],A dated 2025 reasoning-model report; evaluate benchmark scope and reproduction details.
15,2,"- Return to your Chapter 8 research methods, and to the specific sources your Chapter 8 literature review surfaced, they're a better guide to this book's own ""frontier"" section than any fixed reading list could be by the time you're reading this.",REPLACED,https://arxiv.org/abs/2305.17493,2026-09-18,"- *The Curse of Recursion: Training on Generated Data Makes Models Forget* (2023). A research result about recursive synthetic training under studied conditions, not proof that all synthetic data is harmful. [@synthetic]","A research result about recursive synthetic training under studied conditions, not proof that all synthetic data is harmful."
