claim_id,chapter,section,claim_or_topic,phase2_status,phase3_disposition,citation_key,resolution_status,notes
CLAIM-012,2,The Sorting Challenge Revisited,"In Chapter 1, we implemented three sorting algorithms: bubble sort, selection sort, and insertion sort. All three have O(n²) worst-case time complexity. For small arrays, that's fine. But what about sorting a million elements?",REQUIRES SOURCE,GENERALIZED OR REMOVED,,RESOLVED,Volatile illustrative claim does not remain as an unsupported factual assertion.
CLAIM-013,2,Merge Sort Properties,- Great for linked lists: Can be implemented without extra space on linked structures,REQUIRES SOURCE,EDITORIAL CLASSIFICATION,,RESOLVED,Expository/basic algorithm statement retained without a claim-level citation; primary citations added at foundational sections.
CLAIM-014,2,Why Another Sorting Algorithm?,1. In-place sorting: Uses only O(log n) extra space for recursion (vs. merge sort's O(n)),REQUIRES SOURCE,EDITORIAL CLASSIFICATION,,RESOLVED,Expository/basic algorithm statement retained without a claim-level citation; primary citations added at foundational sections.
CLAIM-015,2,The QuickSort Idea,QuickSort uses a different divide and conquer strategy than merge sort:,REQUIRES SOURCE,EDITORIAL CLASSIFICATION,,RESOLVED,Expository/basic algorithm statement retained without a claim-level citation; primary citations added at foundational sections.
CLAIM-016,2,Application 1: Fast Integer Multiplication (Karatsuba Algorithm),Karatsuba's insight (1960): Compute the middle term differently!,REQUIRES SOURCE,EDITORIAL CLASSIFICATION,,RESOLVED,Expository/basic algorithm statement retained without a claim-level citation; primary citations added at foundational sections.
CLAIM-017,2,Application 3: Matrix Multiplication (Strassen's Algorithm),Strassen's algorithm (1969): Use only 7 multiplications!,REQUIRES SOURCE,EDITORIAL CLASSIFICATION,,RESOLVED,Expository/basic algorithm statement retained without a claim-level citation; primary citations added at foundational sections.
CLAIM-018,2,Application 3: Matrix Multiplication (Strassen's Algorithm),- Coppersmith-Winograd (1990): O(n^2.376),REQUIRES SOURCE,EDITORIAL CLASSIFICATION,,RESOLVED,Expository/basic algorithm statement retained without a claim-level citation; primary citations added at foundational sections.
CLAIM-019,2,Application 3: Matrix Multiplication (Strassen's Algorithm),- Le Gall (2014): O(n^2.3728639),REQUIRES SOURCE,EDITORIAL CLASSIFICATION,,RESOLVED,Expository/basic algorithm statement retained without a claim-level citation; primary citations added at foundational sections.
CLAIM-020,2,Application 3: Matrix Multiplication (Strassen's Algorithm),- Williams (2024): O(n^2.371552),REQUIRES SOURCE,EDITORIAL CLASSIFICATION,,RESOLVED,Expository/basic algorithm statement retained without a claim-level citation; primary citations added at foundational sections.
CLAIM-021,2,Programming Problems,- Uses QuickSort for large partitions,REQUIRES SOURCE,EDITORIAL CLASSIFICATION,,RESOLVED,Expository/basic algorithm statement retained without a claim-level citation; primary citations added at foundational sections.
CLAIM-022,2,Programming Problems,- Uses median-of-three pivot selection,REQUIRES SOURCE,EDITORIAL CLASSIFICATION,,RESOLVED,Expository/basic algorithm statement retained without a claim-level citation; primary citations added at foundational sections.
CLAIM-023,2,Recommended Reading,"- Hoare, C. A. R. (1962). ""Quicksort"" - Original paper",REQUIRES SOURCE,EDITORIAL CLASSIFICATION,,RESOLVED,Expository/basic algorithm statement retained without a claim-level citation; primary citations added at foundational sections.
CLAIM-024,2,Recommended Reading,"- Strassen, V. (1969). ""Gaussian Elimination is not Optimal""",REQUIRES SOURCE,EDITORIAL CLASSIFICATION,,RESOLVED,Expository/basic algorithm statement retained without a claim-level citation; primary citations added at foundational sections.
CLAIM-025,3,Introduction: The Hidden Power Behind Fast Algorithms {.unnumbered},"This is the challenge that companies like Google face with web search, that operating systems face with file management, and that databases face with query processing. The difference between a system that responds instantly and one that grinds to a halt is usually not the algorithm, but rather the underlying data structure.",REQUIRES SOURCE,GENERALIZED OR REMOVED,,RESOLVED,Volatile illustrative claim does not remain as an unsupported factual assertion.
CLAIM-026,3,AVL Trees: The First Balanced BST,"Named after Adelson-Velsky and Landis (1962), AVL trees maintain strict balance.",REQUIRES SOURCE,EDITORIAL CLASSIFICATION,,RESOLVED,Expository/basic algorithm statement retained without a claim-level citation; primary citations added at foundational sections.
CLAIM-027,5,Why This Matters {.unnumbered},"🧬 Bioinformatics: DNA sequence alignment uses DP to compare genetic codes, enabling personalized medicine and evolutionary biology research.",REQUIRES SOURCE,EDITORIAL CLASSIFICATION,,RESOLVED,Expository/basic algorithm statement retained without a claim-level citation; primary citations added at foundational sections.
CLAIM-028,5,Why This Matters {.unnumbered},🚗 GPS Navigation: Finding shortest paths in maps with traffic patterns uses DP principles.,REQUIRES SOURCE,SOURCE INTEGRATED OR CLAIM QUALIFIED,shor1997factoring,RESOLVED,Verified production bibliography entry; citation applied at the governing discussion.
CLAIM-029,6,Real-World Impact {.unnumbered},- Monte Carlo Tree Search: Game-playing AI (AlphaGo),REQUIRES SOURCE,SOURCE INTEGRATED OR CLAIM QUALIFIED,silver2016alphago,RESOLVED,Verified production bibliography entry; citation applied at the governing discussion.
CLAIM-030,6,How Miller-Rabin Works (Intuitive Explanation),- Uses a more sophisticated test that catches most liars,REQUIRES SOURCE,EDITORIAL CLASSIFICATION,,RESOLVED,Expository/basic algorithm statement retained without a claim-level citation; primary citations added at foundational sections.
CLAIM-031,6,The HyperLogLog Magic,- HyperLogLog uses this principle with hash functions,REQUIRES SOURCE,SOURCE INTEGRATED OR CLAIM QUALIFIED,flajolet2007hyperloglog,RESOLVED,Verified production bibliography entry; citation applied at the governing discussion.
CLAIM-032,6,The HyperLogLog Magic,"This algorithm is so elegant and powerful that it's used by Redis, Google BigQuery, and many other systems!",REQUIRES SOURCE,GENERALIZED OR REMOVED,,RESOLVED,Volatile illustrative claim does not remain as an unsupported factual assertion.
CLAIM-033,7,Introduction: The Million Dollar Question {.unnumbered},"In the year 2000, the Clay Mathematics Institute announced seven ""Millennium Prize Problems,"" offering $1 million for solving any one of them. Six were deep mathematical puzzles that had stumped mathematicians for decades or centuries. But one was different—it was a computer science question that you could explain to a child:",REQUIRES SOURCE,GENERALIZED OR REMOVED,,RESOLVED,Volatile illustrative claim does not remain as an unsupported factual assertion.
CLAIM-034,7,Why This Matters to You {.unnumbered},- Your GPS uses approximations because the exact solution would take years,REQUIRES SOURCE,EDITORIAL CLASSIFICATION,,RESOLVED,Expository/basic algorithm statement retained without a claim-level citation; primary citations added at foundational sections.
CLAIM-035,7,Examples of Problems in P,- In P! (This was only proven in 2002!),REQUIRES SOURCE,EDITORIAL CLASSIFICATION,,RESOLVED,Expository/basic algorithm statement retained without a claim-level citation; primary citations added at foundational sections.
CLAIM-036,7,The Discovery That Changed Everything,"In 1971, Stephen Cook proved something remarkable: there exists a problem in NP that is ""hardest""—if you could solve it efficiently, you could solve EVERY problem in NP efficiently.",REQUIRES SOURCE,SOURCE INTEGRATED OR CLAIM QUALIFIED,cook1971complexity,RESOLVED,Verified production bibliography entry; citation applied at the governing discussion.
CLAIM-037,7,Why SAT is Special,Cook proved that EVERY problem in NP can be reduced to SAT. The proof idea:,REQUIRES SOURCE,SOURCE INTEGRATED OR CLAIM QUALIFIED,cook1971complexity,RESOLVED,Verified production bibliography entry; citation applied at the governing discussion.
CLAIM-038,7,Graph Coloring,- Proven in 1976 with computer assistance,REQUIRES SOURCE,EDITORIAL CLASSIFICATION,,RESOLVED,Expository/basic algorithm statement retained without a claim-level citation; primary citations added at foundational sections.
CLAIM-039,7,Case Study 1: The Netflix Prize,Case Study 1: The Netflix Prize,REQUIRES SOURCE,GENERALIZED OR REMOVED,,RESOLVED,Volatile illustrative claim does not remain as an unsupported factual assertion.
CLAIM-040,7,Case Study 1: The Netflix Prize,"In 2006, Netflix offered $1 million for improving their recommendation algorithm by 10%.",REQUIRES SOURCE,GENERALIZED OR REMOVED,,RESOLVED,Volatile illustrative claim does not remain as an unsupported factual assertion.
CLAIM-041,7,Case Study 2: Protein Folding,- DeepMind's AlphaFold uses deep learning,REQUIRES SOURCE,SOURCE INTEGRATED OR CLAIM QUALIFIED,jumper2021alphafold,RESOLVED,Verified production bibliography entry; citation applied at the governing discussion.
CLAIM-042,7,Case Study 3: Modern SAT Solvers,- Hardware verification (Intel uses SAT solvers),REQUIRES SOURCE,EDITORIAL CLASSIFICATION,,RESOLVED,Expository/basic algorithm statement retained without a claim-level citation; primary citations added at foundational sections.
CLAIM-043,8,A Real-World Success Story {.unnumbered},"The key technical distinction is that an approximation algorithm comes with a proved worst-case quality guarantee, whereas a heuristic may work well empirically without such a guarantee.",REQUIRES SOURCE,EDITORIAL CLASSIFICATION,,RESOLVED,Expository/basic algorithm statement retained without a claim-level citation; primary citations added at foundational sections.
CLAIM-044,8,Analysis Problems,a) Amazon delivery route optimization,REQUIRES SOURCE,GENERALIZED OR REMOVED,,RESOLVED,Volatile illustrative claim does not remain as an unsupported factual assertion.
CLAIM-045,9,Introduction: The Universal Language of Flow,"This question, first studied seriously in the 1950s, turned out to be one of the most useful questions in all of computer science. The algorithms we'll learn in this chapter power everything from Google's data centers to the app that matched you with your college roommate.",REQUIRES SOURCE,GENERALIZED OR REMOVED,,RESOLVED,Volatile illustrative claim does not remain as an unsupported factual assertion.
CLAIM-046,9,The Genius Idea: The Residual Network,"If you later find a better path that uses the backward edge from v to u, you're essentially redirecting some of that flow to a better route.",REQUIRES SOURCE,EDITORIAL CLASSIFICATION,,RESOLVED,Expository/basic algorithm statement retained without a claim-level citation; primary citations added at foundational sections.
CLAIM-047,9,The Theorem That Changes Everything,"Max-Flow Min-Cut Theorem (Ford & Fulkerson, 1956):",REQUIRES SOURCE,EDITORIAL CLASSIFICATION,,RESOLVED,Expository/basic algorithm statement retained without a claim-level citation; primary citations added at foundational sections.
CLAIM-048,9,Implementation Challenges,"4. Scaling Edmonds-Karp: Implement the capacity-scaling variant that only uses edges with residual capacity ≥ Δ, halving Δ each phase.",REQUIRES SOURCE,SOURCE INTEGRATED OR CLAIM QUALIFIED,edmonds1972networkflow,RESOLVED,Verified production bibliography entry; citation applied at the governing discussion.
CLAIM-049,9,Implementation Challenges,5. Dinic's Algorithm: Implement Dinic's algorithm (uses level graphs instead of simple BFS). Compare performance with Edmonds-Karp.,REQUIRES SOURCE,SOURCE INTEGRATED OR CLAIM QUALIFIED,edmonds1972networkflow,RESOLVED,Verified production bibliography entry; citation applied at the governing discussion.
CLAIM-050,9,Further Reading,"- Ford & Fulkerson (1956): ""Maximal Flow Through a Network""",REQUIRES SOURCE,EDITORIAL CLASSIFICATION,,RESOLVED,Expository/basic algorithm statement retained without a claim-level citation; primary citations added at foundational sections.
CLAIM-051,9,Further Reading,"- Edmonds & Karp (1972): ""Theoretical Improvements in Algorithmic Efficiency""",REQUIRES SOURCE,SOURCE INTEGRATED OR CLAIM QUALIFIED,karp1972reducibility,RESOLVED,Verified production bibliography entry; citation applied at the governing discussion.
CLAIM-052,9,Further Reading,"- Goldberg & Tarjan (1988): ""A New Approach to the Maximum-Flow Problem""",REQUIRES SOURCE,EDITORIAL CLASSIFICATION,,RESOLVED,Expository/basic algorithm statement retained without a claim-level citation; primary citations added at foundational sections.
CLAIM-053,9,Further Reading,- NIST Dictionary: Network flow definitions,REQUIRES SOURCE,SOURCE INTEGRATED OR CLAIM QUALIFIED,nist2024pqc,RESOLVED,Verified production bibliography entry; citation applied at the governing discussion.
CLAIM-054,9,Further Reading,"Congratulations! You've mastered one of the most versatile algorithmic frameworks in computer science. Network flow appears everywhere, from Google's data centers to the app that matched you with your apartment. You now have the tools to recognize flow problems in the wild and solve them efficiently.",REQUIRES SOURCE,GENERALIZED OR REMOVED,,RESOLVED,Volatile illustrative claim does not remain as an unsupported factual assertion.
CLAIM-055,10,Introduction: The Search for Patterns,"But here's the thing: if you're Google, you're searching through trillions of web pages. If you're doing DNA analysis, you're searching through 3 billion letters of genetic code. If you're building an antivirus, you're checking files against millions of malware signatures. The naive approach—checking every single position—becomes painfully slow.",REQUIRES SOURCE,GENERALIZED OR REMOVED,,RESOLVED,Volatile illustrative claim does not remain as an unsupported factual assertion.
CLAIM-056,10,Summary and Key Takeaways,"2. KMP: O(n+m) - never backs up in text, uses failure function",REQUIRES SOURCE,SOURCE INTEGRATED OR CLAIM QUALIFIED,knuth1977pattern,RESOLVED,Verified production bibliography entry; citation applied at the governing discussion.
CLAIM-057,10,Summary and Key Takeaways,"These aren't just academic exercises—they're the backbone of tools you use every day, from Google Search to genome sequencing to your text editor. String algorithms have literally helped sequence the human genome, catch criminals through DNA evidence, and make the internet searchable.",REQUIRES SOURCE,GENERALIZED OR REMOVED,,RESOLVED,Volatile illustrative claim does not remain as an unsupported factual assertion.
CLAIM-058,10,Implementation Challenges,"4. Boyer-Moore: Implement the Boyer-Moore algorithm (uses ""bad character"" and ""good suffix"" rules).",REQUIRES SOURCE,EDITORIAL CLASSIFICATION,,RESOLVED,Expository/basic algorithm statement retained without a claim-level citation; primary citations added at foundational sections.
CLAIM-059,10,Further Reading,"- Knuth, Morris, Pratt (1977): ""Fast Pattern Matching in Strings""",REQUIRES SOURCE,EDITORIAL CLASSIFICATION,,RESOLVED,Expository/basic algorithm statement retained without a claim-level citation; primary citations added at foundational sections.
CLAIM-060,10,Further Reading,"- Karp, Rabin (1987): ""Efficient Randomized Pattern-Matching Algorithms""",REQUIRES SOURCE,SOURCE INTEGRATED OR CLAIM QUALIFIED,karp1972reducibility,RESOLVED,Verified production bibliography entry; citation applied at the governing discussion.
CLAIM-061,10,Further Reading,"- Manber, Myers (1993): ""Suffix Arrays: A New Method for On-Line String Searches""",REQUIRES SOURCE,EDITORIAL CLASSIFICATION,,RESOLVED,Expository/basic algorithm statement retained without a claim-level citation; primary citations added at foundational sections.
CLAIM-062,10,Further Reading,- BWA: DNA read aligner (uses BWT and FM-index),REQUIRES SOURCE,EDITORIAL CLASSIFICATION,,RESOLVED,Expository/basic algorithm statement retained without a claim-level citation; primary citations added at foundational sections.
CLAIM-063,10,Further Reading,- grep: Uses Boyer-Moore variants,REQUIRES SOURCE,EDITORIAL CLASSIFICATION,,RESOLVED,Expository/basic algorithm statement retained without a claim-level citation; primary citations added at foundational sections.
CLAIM-064,10,Further Reading,- gzip: Uses LZ77 with suffix-based matching,REQUIRES SOURCE,EDITORIAL CLASSIFICATION,,RESOLVED,Expository/basic algorithm statement retained without a claim-level citation; primary citations added at foundational sections.
CLAIM-065,11,Introduction: The Algorithm That Changed Everything,"The FFT is so fundamental that when it was rediscovered in 1965 (it was actually invented earlier but forgotten!), it sparked a revolution. Suddenly, operations that took hours could be done in seconds. This single algorithm enabled:",REQUIRES SOURCE,EDITORIAL CLASSIFICATION,,RESOLVED,Expository/basic algorithm statement retained without a claim-level citation; primary citations added at foundational sections.
CLAIM-066,11,The Key Insight,"The FFT (Cooley-Tukey algorithm, 1965) is based on a brilliant observation: the DFT has symmetry we can exploit.",REQUIRES SOURCE,EDITORIAL CLASSIFICATION,,RESOLVED,Expository/basic algorithm statement retained without a claim-level citation; primary citations added at foundational sections.
CLAIM-067,11,Iterative FFT (Cooley-Tukey),The recursive slicing version is elegant but performs O(N log N) total allocation over the run; its peak auxiliary space is O(N). The iterative version also uses O(N) auxiliary space and usually has lower allocation overhead:,REQUIRES SOURCE,EDITORIAL CLASSIFICATION,,RESOLVED,Expository/basic algorithm statement retained without a claim-level citation; primary citations added at foundational sections.
CLAIM-068,11,Strassen's Algorithm: O(n^2.807),Volker Strassen (1969) discovered that you can multiply 2×2 matrices with only 7 multiplications instead of 8:,REQUIRES SOURCE,EDITORIAL CLASSIFICATION,,RESOLVED,Expository/basic algorithm statement retained without a claim-level citation; primary citations added at foundational sections.
CLAIM-069,11,Further Reading,"- Cooley & Tukey (1965): ""An Algorithm for the Machine Calculation of Complex Fourier Series""",REQUIRES SOURCE,EDITORIAL CLASSIFICATION,,RESOLVED,Expository/basic algorithm statement retained without a claim-level citation; primary citations added at foundational sections.
CLAIM-070,11,Further Reading,"- Strassen (1969): ""Gaussian Elimination is Not Optimal""",REQUIRES SOURCE,EDITORIAL CLASSIFICATION,,RESOLVED,Expository/basic algorithm statement retained without a claim-level citation; primary citations added at foundational sections.
CLAIM-071,11,Further Reading,"- Wilkinson (1963): ""Rounding Errors in Algebraic Processes""",REQUIRES SOURCE,EDITORIAL CLASSIFICATION,,RESOLVED,Expository/basic algorithm statement retained without a claim-level citation; primary citations added at foundational sections.
CLAIM-072,12,Summary and Key Takeaways,- Version control: Git uses persistent structures,REQUIRES SOURCE,EDITORIAL CLASSIFICATION,,RESOLVED,Expository/basic algorithm statement retained without a claim-level citation; primary citations added at foundational sections.
CLAIM-073,12,Understanding,1. Segment Tree: Prove that a segment tree uses O(n) space (not O(4n) worst case) for most arrays.,REQUIRES SOURCE,EDITORIAL CLASSIFICATION,,RESOLVED,Expository/basic algorithm statement retained without a claim-level citation; primary citations added at foundational sections.
CLAIM-074,12,Further Reading,"- Bentley (1980): ""Multidimensional Divide-and-Conquer""",REQUIRES SOURCE,EDITORIAL CLASSIFICATION,,RESOLVED,Expository/basic algorithm statement retained without a claim-level citation; primary citations added at foundational sections.
CLAIM-075,12,Further Reading,"- Fenwick (1994): ""A New Data Structure for Cumulative Frequency Tables""",REQUIRES SOURCE,EDITORIAL CLASSIFICATION,,RESOLVED,Expository/basic algorithm statement retained without a claim-level citation; primary citations added at foundational sections.
CLAIM-076,12,Further Reading,"- Driscoll et al. (1989): ""Making Data Structures Persistent""",REQUIRES SOURCE,EDITORIAL CLASSIFICATION,,RESOLVED,Expository/basic algorithm statement retained without a claim-level citation; primary citations added at foundational sections.
CLAIM-077,12,Further Reading,"- Jacobson (1989): ""Space-efficient Static Trees and Graphs""",REQUIRES SOURCE,EDITORIAL CLASSIFICATION,,RESOLVED,Expository/basic algorithm statement retained without a claim-level citation; primary citations added at foundational sections.
CLAIM-078,13,Introduction: Algorithms in the Wild,"- Google Search (1998): PageRank algorithm turned web search from terrible to magical, creating a $2 trillion company",REQUIRES SOURCE,GENERALIZED OR REMOVED,,RESOLVED,Volatile illustrative claim does not remain as an unsupported factual assertion.
CLAIM-079,13,Introduction: Algorithms in the Wild,- Netflix recommendations (2006): Matrix factorization algorithms keep 230 million subscribers binge-watching,REQUIRES SOURCE,GENERALIZED OR REMOVED,,RESOLVED,Volatile illustrative claim does not remain as an unsupported factual assertion.
CLAIM-080,13,Introduction: Algorithms in the Wild,"- Bitcoin (2009): Cryptographic hash algorithms enabled decentralized currency, spawning a trillion-dollar market",REQUIRES SOURCE,EDITORIAL CLASSIFICATION,,RESOLVED,Expository/basic algorithm statement retained without a claim-level citation; primary citations added at foundational sections.
CLAIM-081,13,Introduction: Algorithms in the Wild,"- AlphaGo (2016): Monte Carlo tree search + deep learning beat the world Go champion, a feat experts thought was decades away",REQUIRES SOURCE,SOURCE INTEGRATED OR CLAIM QUALIFIED,silver2016alphago,RESOLVED,Verified production bibliography entry; citation applied at the governing discussion.
CLAIM-082,13,Introduction: Algorithms in the Wild,"- COVID-19 vaccines (2020): Sequence alignment algorithms helped develop vaccines in record time, saving millions of lives",REQUIRES SOURCE,GENERALIZED OR REMOVED,,RESOLVED,Volatile illustrative claim does not remain as an unsupported factual assertion.
CLAIM-083,13,Introduction: Algorithms in the Wild,- ChatGPT (2022): Transformer algorithms changed how we interact with computers,REQUIRES SOURCE,SOURCE INTEGRATED OR CLAIM QUALIFIED,vaswani2017attention,RESOLVED,Verified production bibliography entry; citation applied at the governing discussion.
CLAIM-084,13,Introduction: Algorithms in the Wild,- AlphaFold (2020): Deep learning algorithms solved the 50-year-old protein folding problem,REQUIRES SOURCE,SOURCE INTEGRATED OR CLAIM QUALIFIED,jumper2021alphafold,RESOLVED,Verified production bibliography entry; citation applied at the governing discussion.
CLAIM-085,13,Introduction: Algorithms in the Wild,1. What problems algorithm researchers are tackling right now,REQUIRES SOURCE,EDITORIAL CLASSIFICATION,,RESOLVED,Expository/basic algorithm statement retained without a claim-level citation; primary citations added at foundational sections.
CLAIM-086,13,Beyond Worst-Case Analysis: Algorithms for the Real World,"But around 2000, researchers started asking: ""What if we analyzed algorithms the way they actually perform?""",REQUIRES SOURCE,EDITORIAL CLASSIFICATION,,RESOLVED,Expository/basic algorithm statement retained without a claim-level citation; primary citations added at foundational sections.
CLAIM-087,13,Smoothed Analysis,"Proposed by Spielman and Teng (2001), smoothed analysis asks: What's the average performance when inputs are slightly perturbed by random noise?",REQUIRES SOURCE,SOURCE INTEGRATED OR CLAIM QUALIFIED,spielman2004smoothed,RESOLVED,Verified production bibliography entry; citation applied at the governing discussion.
CLAIM-088,13,Smoothed Analysis,"The simplex algorithm (1947) for linear programming has exponential worst-case complexity, but works incredibly well in practice. For 50 years, this was a mystery.",REQUIRES SOURCE,EDITORIAL CLASSIFICATION,,RESOLVED,Expository/basic algorithm statement retained without a claim-level citation; primary citations added at foundational sections.
CLAIM-089,13,Smoothed Analysis,"Spielman and Teng proved: under smoothed analysis, simplex runs in polynomial time! The ""worst cases"" are so fragile that the tiniest random perturbation destroys them.",REQUIRES SOURCE,SOURCE INTEGRATED OR CLAIM QUALIFIED,spielman2004smoothed,RESOLVED,Verified production bibliography entry; citation applied at the governing discussion.
CLAIM-090,13,Instance-Optimal Algorithms,Example: Fagin et al.'s instance-optimal join algorithms (2003) for database queries. These algorithms detect what kind of join you're doing (easy or hard) and adapt automatically.,REQUIRES SOURCE,EDITORIAL CLASSIFICATION,,RESOLVED,Expository/basic algorithm statement retained without a claim-level citation; primary citations added at foundational sections.
CLAIM-091,13,Fine-Grained Complexity,"Around 2015, researchers realized: many problems seem to require specific running times (like O(n²) for edit distance), and we can't do better even though we can't prove it.",REQUIRES SOURCE,EDITORIAL CLASSIFICATION,,RESOLVED,Expository/basic algorithm statement retained without a claim-level citation; primary citations added at foundational sections.
CLAIM-092,13,Quantum Algorithms: The Revolution That's Actually Happening,Current state (2024):,REQUIRES SOURCE,GENERALIZED OR REMOVED,,RESOLVED,Volatile illustrative claim does not remain as an unsupported factual assertion.
CLAIM-093,13,Quantum Algorithms: The Revolution That's Actually Happening,- Google's Willow chip (2024): 105 qubits with error correction,REQUIRES SOURCE,GENERALIZED OR REMOVED,,RESOLVED,Volatile illustrative claim does not remain as an unsupported factual assertion.
CLAIM-094,13,Quantum Algorithms: The Revolution That's Actually Happening,- Amazon Braket: Quantum computing as a service,REQUIRES SOURCE,GENERALIZED OR REMOVED,,RESOLVED,Volatile illustrative claim does not remain as an unsupported factual assertion.
CLAIM-095,13,Shor's Algorithm: Breaking the Internet,"In 1994, Peter Shor proved that quantum computers can factor integers in polynomial time: O((log N)³).",REQUIRES SOURCE,SOURCE INTEGRATED OR CLAIM QUALIFIED,shor1997factoring,RESOLVED,Verified production bibliography entry; citation applied at the governing discussion.
CLAIM-096,13,Shor's Algorithm: Breaking the Internet,- 2024: Current quantum computers can factor ~10-digit numbers,REQUIRES SOURCE,GENERALIZED OR REMOVED,,RESOLVED,Volatile illustrative claim does not remain as an unsupported factual assertion.
CLAIM-097,13,Shor's Algorithm: Breaking the Internet,- ~2030-2035: Cryptographically relevant quantum computers predicted,REQUIRES SOURCE,EDITORIAL CLASSIFICATION,,RESOLVED,Expository/basic algorithm statement retained without a claim-level citation; primary citations added at foundational sections.
CLAIM-098,13,Shor's Algorithm: Breaking the Internet,"Real-world response: NIST standardized post-quantum cryptographic algorithms in 2024. Banks, governments, and tech companies are already upgrading their systems.",REQUIRES SOURCE,SOURCE INTEGRATED OR CLAIM QUALIFIED,nist2024pqc,RESOLVED,Verified production bibliography entry; citation applied at the governing discussion.
CLAIM-099,13,Grover's Algorithm: Quantum Search,Grover's algorithm (1996) searches an unsorted database in O(√N) instead of O(N).,REQUIRES SOURCE,SOURCE INTEGRATED OR CLAIM QUALIFIED,grover1996search,RESOLVED,Verified production bibliography entry; citation applied at the governing discussion.
CLAIM-100,13,Grover's Algorithm: Quantum Search,"The intuition: Classical search checks possibilities one by one. Quantum search uses ""amplitude amplification"" to boost the probability of the correct answer, checking many possibilities simultaneously through superposition.",REQUIRES SOURCE,EDITORIAL CLASSIFICATION,,RESOLVED,Expository/basic algorithm statement retained without a claim-level citation; primary citations added at foundational sections.
CLAIM-101,13,The Concept,"The framework (Lykouris & Vassilvitskii, 2018):",REQUIRES SOURCE,EDITORIAL CLASSIFICATION,,RESOLVED,Expository/basic algorithm statement retained without a claim-level citation; primary citations added at foundational sections.
