equation_id,source,PDF,HTML,EPUB,status,notes
MATH-0188,chapters/02-Divide-and-Conquer.qmd:96,PASS,PASS,PASS,PASS,short inline/text notation visually verified
MATH-0189,chapters/02-Divide-and-Conquer.qmd:99,PASS,PASS,PASS,PASS,native semantic math
MATH-0190,chapters/02-Divide-and-Conquer.qmd:99,PASS,PASS,PASS,PASS,native semantic math
MATH-0191,chapters/02-Divide-and-Conquer.qmd:155,PASS,PASS,PASS,PASS,native semantic math
MATH-0192,chapters/02-Divide-and-Conquer.qmd:155,PASS,PASS,PASS,PASS,short inline/text notation visually verified
MATH-0193,chapters/02-Divide-and-Conquer.qmd:156,PASS,PASS,PASS,PASS,short inline/text notation visually verified
MATH-0194,chapters/02-Divide-and-Conquer.qmd:157,PASS,PASS,PASS,PASS,native semantic math
MATH-0195,chapters/02-Divide-and-Conquer.qmd:157,PASS,PASS,PASS,PASS,short inline/text notation visually verified
MATH-0196,chapters/02-Divide-and-Conquer.qmd:159,PASS,PASS,PASS,PASS,native semantic math
MATH-0197,chapters/02-Divide-and-Conquer.qmd:159,PASS,PASS,PASS,PASS,native semantic math
MATH-0198,chapters/02-Divide-and-Conquer.qmd:159,PASS,PASS,PASS,PASS,short inline/text notation visually verified
MATH-0199,chapters/02-Divide-and-Conquer.qmd:175,PASS,PASS,PASS,PASS,native semantic math
MATH-0200,chapters/02-Divide-and-Conquer.qmd:179,PASS,PASS,PASS,PASS,native semantic math
MATH-0201,chapters/02-Divide-and-Conquer.qmd:179,PASS,PASS,PASS,PASS,native semantic math
MATH-0202,chapters/02-Divide-and-Conquer.qmd:179,PASS,PASS,PASS,PASS,short inline/text notation visually verified
MATH-0203,chapters/02-Divide-and-Conquer.qmd:180,PASS,PASS,PASS,PASS,native semantic math
MATH-0204,chapters/02-Divide-and-Conquer.qmd:180,PASS,PASS,PASS,PASS,native semantic math
MATH-0205,chapters/02-Divide-and-Conquer.qmd:180,PASS,PASS,PASS,PASS,short inline/text notation visually verified
MATH-0206,chapters/02-Divide-and-Conquer.qmd:181,PASS,PASS,PASS,PASS,native semantic math
MATH-0207,chapters/02-Divide-and-Conquer.qmd:181,PASS,PASS,PASS,PASS,native semantic math
MATH-0208,chapters/02-Divide-and-Conquer.qmd:181,PASS,PASS,PASS,PASS,short inline/text notation visually verified
MATH-0209,chapters/02-Divide-and-Conquer.qmd:182,PASS,PASS,PASS,PASS,native semantic math
MATH-0210,chapters/02-Divide-and-Conquer.qmd:182,PASS,PASS,PASS,PASS,native semantic math
MATH-0211,chapters/02-Divide-and-Conquer.qmd:182,PASS,PASS,PASS,PASS,short inline/text notation visually verified
MATH-0212,chapters/02-Divide-and-Conquer.qmd:198,PASS,PASS,PASS,PASS,short inline/text notation visually verified
MATH-0213,chapters/02-Divide-and-Conquer.qmd:199,PASS,PASS,PASS,PASS,native semantic math
MATH-0214,chapters/02-Divide-and-Conquer.qmd:199,PASS,PASS,PASS,PASS,short inline/text notation visually verified
MATH-0215,chapters/02-Divide-and-Conquer.qmd:200,PASS,PASS,PASS,PASS,native semantic math
MATH-0216,chapters/02-Divide-and-Conquer.qmd:200,PASS,PASS,PASS,PASS,native semantic math
MATH-0217,chapters/02-Divide-and-Conquer.qmd:200,PASS,PASS,PASS,PASS,short inline/text notation visually verified
MATH-0218,chapters/02-Divide-and-Conquer.qmd:209,PASS,PASS,PASS,PASS,native semantic math
MATH-0219,chapters/02-Divide-and-Conquer.qmd:209,PASS,PASS,PASS,PASS,native semantic math
MATH-0220,chapters/02-Divide-and-Conquer.qmd:209,PASS,PASS,PASS,PASS,short inline/text notation visually verified
MATH-0221,chapters/02-Divide-and-Conquer.qmd:239,PASS,PASS,PASS,PASS,native semantic math
MATH-0222,chapters/02-Divide-and-Conquer.qmd:251,PASS,PASS,PASS,PASS,native semantic math
MATH-0223,chapters/02-Divide-and-Conquer.qmd:255,PASS,PASS,PASS,PASS,native semantic math
MATH-0224,chapters/02-Divide-and-Conquer.qmd:257,PASS,PASS,PASS,PASS,native semantic math
MATH-0225,chapters/02-Divide-and-Conquer.qmd:257,PASS,PASS,PASS,PASS,native semantic math
MATH-0226,chapters/02-Divide-and-Conquer.qmd:257,PASS,PASS,PASS,PASS,short inline/text notation visually verified
MATH-0227,chapters/02-Divide-and-Conquer.qmd:261,PASS,PASS,PASS,PASS,native semantic math
MATH-0228,chapters/02-Divide-and-Conquer.qmd:327,PASS,PASS,PASS,PASS,short inline/text notation visually verified
MATH-0229,chapters/02-Divide-and-Conquer.qmd:361,PASS,PASS,PASS,PASS,short inline/text notation visually verified
MATH-0230,chapters/02-Divide-and-Conquer.qmd:362,PASS,PASS,PASS,PASS,native semantic math
MATH-0231,chapters/02-Divide-and-Conquer.qmd:363,PASS,PASS,PASS,PASS,native semantic math
MATH-0232,chapters/02-Divide-and-Conquer.qmd:431,PASS,PASS,PASS,PASS,short inline/text notation visually verified
MATH-0233,chapters/02-Divide-and-Conquer.qmd:463,PASS,PASS,PASS,PASS,short inline/text notation visually verified
MATH-0234,chapters/02-Divide-and-Conquer.qmd:476,PASS,PASS,PASS,PASS,short inline/text notation visually verified
MATH-0235,chapters/02-Divide-and-Conquer.qmd:497,PASS,PASS,PASS,PASS,native semantic math
MATH-0236,chapters/02-Divide-and-Conquer.qmd:501,PASS,PASS,PASS,PASS,native semantic math
MATH-0237,chapters/02-Divide-and-Conquer.qmd:505,PASS,PASS,PASS,PASS,native semantic math
MATH-0238,chapters/02-Divide-and-Conquer.qmd:512,PASS,PASS,PASS,PASS,short inline/text notation visually verified
MATH-0239,chapters/02-Divide-and-Conquer.qmd:525,PASS,PASS,PASS,PASS,native semantic math
MATH-0240,chapters/02-Divide-and-Conquer.qmd:525,PASS,PASS,PASS,PASS,native semantic math
MATH-0241,chapters/02-Divide-and-Conquer.qmd:529,PASS,PASS,PASS,PASS,short inline/text notation visually verified
MATH-0242,chapters/02-Divide-and-Conquer.qmd:531,PASS,PASS,PASS,PASS,short inline/text notation visually verified
MATH-0243,chapters/02-Divide-and-Conquer.qmd:533,PASS,PASS,PASS,PASS,short inline/text notation visually verified
MATH-0244,chapters/02-Divide-and-Conquer.qmd:547,PASS,PASS,PASS,PASS,native semantic math
MATH-0245,chapters/02-Divide-and-Conquer.qmd:547,PASS,PASS,PASS,PASS,short inline/text notation visually verified
MATH-0246,chapters/02-Divide-and-Conquer.qmd:549,PASS,PASS,PASS,PASS,native semantic math
MATH-0247,chapters/02-Divide-and-Conquer.qmd:549,PASS,PASS,PASS,PASS,native semantic math
MATH-0248,chapters/02-Divide-and-Conquer.qmd:551,PASS,PASS,PASS,PASS,native semantic math
MATH-0249,chapters/02-Divide-and-Conquer.qmd:551,PASS,PASS,PASS,PASS,native semantic math
MATH-0250,chapters/02-Divide-and-Conquer.qmd:563,PASS,PASS,PASS,PASS,native semantic math
MATH-0251,chapters/02-Divide-and-Conquer.qmd:575,PASS,PASS,PASS,PASS,native semantic math
MATH-0252,chapters/02-Divide-and-Conquer.qmd:584,PASS,PASS,PASS,PASS,native semantic math
MATH-0253,chapters/02-Divide-and-Conquer.qmd:584,PASS,PASS,PASS,PASS,native semantic math
MATH-0254,chapters/02-Divide-and-Conquer.qmd:594,PASS,PASS,PASS,PASS,native semantic math
MATH-0255,chapters/02-Divide-and-Conquer.qmd:603,PASS,PASS,PASS,PASS,native semantic math
MATH-0256,chapters/02-Divide-and-Conquer.qmd:634,PASS,PASS,PASS,PASS,native semantic math
MATH-0257,chapters/02-Divide-and-Conquer.qmd:634,PASS,PASS,PASS,PASS,native semantic math
MATH-0258,chapters/02-Divide-and-Conquer.qmd:634,PASS,PASS,PASS,PASS,short inline/text notation visually verified
MATH-0259,chapters/02-Divide-and-Conquer.qmd:687,PASS,PASS,PASS,PASS,native semantic math
MATH-0260,chapters/02-Divide-and-Conquer.qmd:691,PASS,PASS,PASS,PASS,native semantic math
MATH-0261,chapters/02-Divide-and-Conquer.qmd:691,PASS,PASS,PASS,PASS,native semantic math
MATH-0262,chapters/02-Divide-and-Conquer.qmd:696,PASS,PASS,PASS,PASS,native semantic math
MATH-0263,chapters/02-Divide-and-Conquer.qmd:715,PASS,PASS,PASS,PASS,short inline/text notation visually verified
MATH-0264,chapters/02-Divide-and-Conquer.qmd:726,PASS,PASS,PASS,PASS,short inline/text notation visually verified
MATH-0265,chapters/02-Divide-and-Conquer.qmd:759,PASS,PASS,PASS,PASS,short inline/text notation visually verified
MATH-0266,chapters/02-Divide-and-Conquer.qmd:810,PASS,PASS,PASS,PASS,short inline/text notation visually verified
MATH-0267,chapters/02-Divide-and-Conquer.qmd:852,PASS,PASS,PASS,PASS,short inline/text notation visually verified
MATH-0268,chapters/02-Divide-and-Conquer.qmd:921,PASS,PASS,PASS,PASS,short inline/text notation visually verified
MATH-0269,chapters/02-Divide-and-Conquer.qmd:960,PASS,PASS,PASS,PASS,native semantic math
MATH-0270,chapters/02-Divide-and-Conquer.qmd:964,PASS,PASS,PASS,PASS,native semantic math
MATH-0271,chapters/02-Divide-and-Conquer.qmd:972,PASS,PASS,PASS,PASS,native semantic math
MATH-0272,chapters/02-Divide-and-Conquer.qmd:972,PASS,PASS,PASS,PASS,native semantic math
MATH-0273,chapters/02-Divide-and-Conquer.qmd:974,PASS,PASS,PASS,PASS,native semantic math
MATH-0274,chapters/02-Divide-and-Conquer.qmd:980,PASS,PASS,PASS,PASS,short inline/text notation visually verified
MATH-0275,chapters/02-Divide-and-Conquer.qmd:990,PASS,PASS,PASS,PASS,native semantic math
MATH-0276,chapters/02-Divide-and-Conquer.qmd:1003,PASS,PASS,PASS,PASS,native semantic math
MATH-0277,chapters/02-Divide-and-Conquer.qmd:1007,PASS,PASS,PASS,PASS,native semantic math
MATH-0278,chapters/02-Divide-and-Conquer.qmd:1009,PASS,PASS,PASS,PASS,native semantic math
MATH-0279,chapters/02-Divide-and-Conquer.qmd:1016,PASS,PASS,PASS,PASS,native semantic math
