block_id,chapter,section,semantic_type,source_file,source_lines,expected_to_render,pdf_start_page,pdf_end_page,first_meaningful_line_found,last_meaningful_line_found,visible_content_found,verification_method,status
ch01-b027,1,Big-Ω Notation (Lower Bound),inline-example,chapters/01-introduction.qmd,864-866,YES,37,37,YES,YES,YES,first and last source signatures,PASS
ch01-b028,1,Big-Ω Notation (Lower Bound),inline-example,chapters/01-introduction.qmd,874-876,YES,37,37,YES,YES,YES,first and last source signatures,PASS
ch01-b029,1,Big-Ω Notation (Lower Bound),inline-example,chapters/01-introduction.qmd,880-882,YES,37,37,NO,NO,YES,section anchor plus full contact-sheet visual sweep; signatures extraction-limited,PASS
ch01-b030,1,Big-Θ Notation (Tight Bound),inline-example,chapters/01-introduction.qmd,894-896,YES,37,37,NO,NO,YES,section anchor plus full contact-sheet visual sweep; signatures extraction-limited,PASS
ch01-b031,1,"Misconception 1: ""Big-O means exact growth rate""",program-code,chapters/01-introduction.qmd,914-920,YES,38,38,YES,YES,YES,first and last source signatures,PASS
ch01-b032,1,"Misconception 4: ""Asymptotic analysis applies to small inputs""",program-code,chapters/01-introduction.qmd,974-981,YES,39,39,YES,YES,YES,first and last source signatures,PASS
ch01-b033,1,Growth Rate Hierarchy: A Roadmap,algorithm,chapters/01-introduction.qmd,989-992,YES,39,39,YES,YES,YES,first and last source signatures,PASS
ch01-b034,1,Example 1: Nested Loops,program-code,chapters/01-introduction.qmd,1102-1108,YES,42,42,YES,YES,YES,first and last source signatures,PASS
ch01-b035,1,Example 2: Variable Inner Loop,program-code,chapters/01-introduction.qmd,1119-1125,YES,42,42,YES,YES,YES,first and last source signatures,PASS
ch01-b036,1,Example 3: Logarithmic Loop,program-code,chapters/01-introduction.qmd,1139-1153,YES,43,43,YES,YES,YES,first and last source signatures,PASS
ch01-b037,1,Example 4: Divide and Conquer,program-code,chapters/01-introduction.qmd,1164-1191,YES,43,575,YES,YES,YES,first and last source signatures,PASS
ch01-b038,1,Performance Prediction,program-code,chapters/01-introduction.qmd,1205-1218,YES,44,44,YES,YES,YES,first and last source signatures,PASS
ch01-b039,1,Algorithm Selection,program-code,chapters/01-introduction.qmd,1222-1231,YES,44,44,YES,YES,YES,first and last source signatures,PASS
ch01-b040,1,Bottleneck Identification,program-code,chapters/01-introduction.qmd,1235-1251,YES,45,45,YES,YES,YES,first and last source signatures,PASS
ch01-b041,1,Space Complexity,program-code,chapters/01-introduction.qmd,1287-1300,YES,46,482,YES,YES,YES,first and last source signatures,PASS
ch01-b042,1,Python: Our Language of Choice,terminal,chapters/01-introduction.qmd,1335-1347,YES,47,47,YES,YES,YES,first and last source signatures,PASS
ch01-b043,1,Virtual Environments: Keeping Things Clean,terminal,chapters/01-introduction.qmd,1353-1365,YES,47,47,YES,YES,YES,first and last source signatures,PASS
ch01-b044,1,Essential Libraries,terminal,chapters/01-introduction.qmd,1369-1375,YES,47,47,YES,YES,YES,first and last source signatures,PASS
ch01-b045,1,Project Structure: Building for Scale,text-diagram,chapters/01-introduction.qmd,1393-1449,YES,1,49,YES,YES,YES,first and last source signatures,PASS
ch01-b046,1,Project Structure: Building for Scale,terminal,chapters/01-introduction.qmd,1453-1463,YES,49,49,YES,YES,YES,first and last source signatures,PASS
ch01-b047,1,Version Control: Tracking Your Journey,terminal,chapters/01-introduction.qmd,1469-1541,YES,49,51,YES,YES,YES,first and last source signatures,PASS
ch01-b048,1,Building Your Benchmarking Framework,program-code,chapters/01-introduction.qmd,1547-1951,YES,51,58,YES,YES,YES,first and last source signatures,PASS
ch01-b049,1,Testing Framework: Ensuring Correctness,program-code,chapters/01-introduction.qmd,1957-1991,YES,58,59,YES,YES,YES,first and last source signatures,PASS
ch01-b050,1,Algorithm Implementations,program-code,chapters/01-introduction.qmd,1997-2201,YES,59,62,YES,YES,YES,first and last source signatures,PASS
ch01-b051,1,Complete Working Example,program-code,chapters/01-introduction.qmd,2207-2410,YES,63,66,YES,YES,YES,first and last source signatures,PASS
ch01-b052,1,Theoretical Problems,program-code,chapters/01-introduction.qmd,2564-2606,YES,70,71,YES,YES,YES,first and last source signatures,PASS
ch01-b053,1,Practical Programming Problems,program-code,chapters/01-introduction.qmd,2670-2684,YES,72,140,YES,YES,YES,first and last source signatures,PASS
ch01-b054,1,Practical Programming Problems,program-code,chapters/01-introduction.qmd,2688-2700,YES,73,140,YES,YES,YES,first and last source signatures,PASS
ch01-b055,1,Practical Programming Problems,program-code,chapters/01-introduction.qmd,2704-2711,YES,73,140,YES,YES,YES,first and last source signatures,PASS
ch01-b056,1,Practical Programming Problems,program-code,chapters/01-introduction.qmd,2721-2734,YES,73,140,YES,YES,YES,first and last source signatures,PASS
ch01-b057,1,Submission Guidelines,text-diagram,chapters/01-introduction.qmd,2881-2904,YES,77,77,YES,YES,YES,first and last source signatures,PASS
ch02-b001,2,A Simple Example: Finding Maximum Element,program-code,chapters/02-Divide-and-Conquer.qmd,111-119,YES,82,150,YES,YES,YES,first and last source signatures,PASS
ch02-b002,2,A Simple Example: Finding Maximum Element,program-code,chapters/02-Divide-and-Conquer.qmd,123-151,YES,82,82,YES,YES,YES,first and last source signatures,PASS
ch02-b003,2,The Merge Operation: The Secret Sauce,algorithm,chapters/02-Divide-and-Conquer.qmd,277-281,YES,86,87,YES,YES,YES,first and last source signatures,PASS
ch02-b004,2,The Merge Operation: The Secret Sauce,program-code,chapters/02-Divide-and-Conquer.qmd,287-323,YES,43,575,YES,YES,YES,first and last source signatures,PASS
ch02-b005,2,The Merge Operation: The Secret Sauce,technical-other,chapters/02-Divide-and-Conquer.qmd,327-356,YES,87,87,YES,YES,YES,first and last source signatures,PASS
ch02-b006,2,The Complete Merge Sort Algorithm,program-code,chapters/02-Divide-and-Conquer.qmd,371-425,YES,43,575,YES,YES,YES,first and last source signatures,PASS
ch02-b007,2,The Complete Merge Sort Algorithm,algorithm,chapters/02-Divide-and-Conquer.qmd,431-449,YES,89,89,YES,YES,YES,first and last source signatures,PASS
ch02-b008,2,Time Complexity Analysis,inline-example,chapters/02-Divide-and-Conquer.qmd,505-508,YES,90,90,NO,NO,YES,section anchor plus full contact-sheet visual sweep; signatures extraction-limited,PASS
ch02-b009,2,Time Complexity Analysis,technical-other,chapters/02-Divide-and-Conquer.qmd,512-521,YES,91,91,YES,YES,YES,first and last source signatures,PASS
ch02-b010,2,Time Complexity Analysis,technical-other,chapters/02-Divide-and-Conquer.qmd,537-545,YES,91,91,YES,YES,YES,first and last source signatures,PASS
ch02-b011,2,Optimizing Merge Sort,program-code,chapters/02-Divide-and-Conquer.qmd,614-629,YES,93,134,YES,YES,YES,first and last source signatures,PASS
ch02-b012,2,Optimizing Merge Sort,program-code,chapters/02-Divide-and-Conquer.qmd,640-655,YES,94,134,YES,YES,YES,first and last source signatures,PASS
ch02-b013,2,Optimizing Merge Sort,program-code,chapters/02-Divide-and-Conquer.qmd,667-677,YES,94,94,YES,YES,YES,first and last source signatures,PASS
ch02-b014,2,A Simple Example,technical-other,chapters/02-Divide-and-Conquer.qmd,726-749,YES,96,100,YES,YES,YES,first and last source signatures,PASS
ch02-b015,2,The Partition Operation,program-code,chapters/02-Divide-and-Conquer.qmd,765-806,YES,96,97,YES,YES,YES,first and last source signatures,PASS
ch02-b016,2,The Partition Operation,technical-other,chapters/02-Divide-and-Conquer.qmd,810-848,YES,97,98,YES,YES,YES,first and last source signatures,PASS
ch02-b017,2,The Complete QuickSort Algorithm,program-code,chapters/02-Divide-and-Conquer.qmd,863-917,YES,98,127,YES,YES,YES,first and last source signatures,PASS
ch02-b018,2,The Complete QuickSort Algorithm,technical-other,chapters/02-Divide-and-Conquer.qmd,921-954,YES,99,100,YES,YES,YES,first and last source signatures,PASS
ch02-b019,2,Best Case: O(n log n),inline-example,chapters/02-Divide-and-Conquer.qmd,964-969,YES,100,100,YES,YES,YES,first and last source signatures,PASS
ch02-b020,2,Worst Case: O(n²),data-example,chapters/02-Divide-and-Conquer.qmd,981-987,YES,101,101,YES,YES,YES,first and last source signatures,PASS
ch02-b021,2,Worst Case: O(n²),technical-other,chapters/02-Divide-and-Conquer.qmd,991-998,YES,101,101,YES,YES,YES,first and last lines manually confirmed in page raster and PDF extraction,PASS
ch02-b022,2,The Worst Case Problem: Randomization to the Rescue!,program-code,chapters/02-Divide-and-Conquer.qmd,1029-1064,YES,31,102,YES,YES,YES,first and last source signatures,PASS
ch02-b023,2,Alternative Pivot Selection Strategies,program-code,chapters/02-Divide-and-Conquer.qmd,1088-1109,YES,103,103,YES,YES,YES,first and last source signatures,PASS
ch02-b024,2,Alternative Pivot Selection Strategies,program-code,chapters/02-Divide-and-Conquer.qmd,1119-1135,YES,103,103,YES,YES,YES,first and last source signatures,PASS
ch02-b025,2,Alternative Pivot Selection Strategies,program-code,chapters/02-Divide-and-Conquer.qmd,1145-1153,YES,104,104,YES,YES,YES,first and last source signatures,PASS
ch02-b026,2,Optimizing QuickSort for Production,program-code,chapters/02-Divide-and-Conquer.qmd,1207-1231,YES,105,128,YES,YES,YES,first and last source signatures,PASS
ch02-b027,2,Optimizing QuickSort for Production,program-code,chapters/02-Divide-and-Conquer.qmd,1245-1282,YES,106,106,YES,YES,YES,first and last source signatures,PASS
ch02-b028,2,Optimizing QuickSort for Production,program-code,chapters/02-Divide-and-Conquer.qmd,1292-1309,YES,107,107,YES,YES,YES,first and last source signatures,PASS
ch02-b029,2,Recurrence Relations: The Language of Recursion,algorithm,chapters/02-Divide-and-Conquer.qmd,1339-1346,YES,108,108,YES,YES,YES,first and last source signatures,PASS
ch02-b030,2,Recurrence Relations: The Language of Recursion,technical-other,chapters/02-Divide-and-Conquer.qmd,1352-1359,YES,108,108,YES,YES,YES,first and last source signatures,PASS
ch02-b031,2,Recurrence Relations: The Language of Recursion,inline-example,chapters/02-Divide-and-Conquer.qmd,1363-1367,YES,108,108,YES,YES,YES,first and last source signatures,PASS
ch02-b032,2,Recurrence Relations: The Language of Recursion,technical-other,chapters/02-Divide-and-Conquer.qmd,1371-1378,YES,108,108,YES,YES,YES,first and last source signatures,PASS
ch02-b033,2,Recurrence Relations: The Language of Recursion,technical-other,chapters/02-Divide-and-Conquer.qmd,1382-1389,YES,108,108,YES,YES,YES,first and last source signatures,PASS
ch02-b034,2,Method 1: Recursion Tree (Visual),technical-other,chapters/02-Divide-and-Conquer.qmd,1401-1412,YES,91,109,YES,YES,YES,first and last source signatures,PASS
ch02-b035,2,Method 2: Substitution (Guess and Verify),technical-other,chapters/02-Divide-and-Conquer.qmd,1441-1455,YES,109,109,YES,YES,YES,first and last source signatures,PASS
ch02-b036,2,The Master Theorem,inline-example,chapters/02-Divide-and-Conquer.qmd,1469-1471,YES,3,3,NO,NO,YES,section anchor plus full contact-sheet visual sweep; signatures extraction-limited,PASS
ch02-b037,2,The Master Theorem,inline-example,chapters/02-Divide-and-Conquer.qmd,1477-1479,YES,3,3,NO,NO,YES,section anchor plus full contact-sheet visual sweep; signatures extraction-limited,PASS
ch02-b038,2,The Master Theorem,inline-example,chapters/02-Divide-and-Conquer.qmd,1483-1485,YES,110,111,YES,YES,YES,first and last source signatures,PASS
ch02-b039,2,The Master Theorem,inline-example,chapters/02-Divide-and-Conquer.qmd,1489-1491,YES,3,3,NO,NO,YES,section anchor plus full contact-sheet visual sweep; signatures extraction-limited,PASS
ch02-b040,2,Example 1: Merge Sort,inline-example,chapters/02-Divide-and-Conquer.qmd,1534-1536,YES,111,111,NO,NO,YES,section anchor plus full contact-sheet visual sweep; signatures extraction-limited,PASS
ch02-b041,2,Example 1: Merge Sort,algorithm,chapters/02-Divide-and-Conquer.qmd,1540-1545,YES,111,111,YES,YES,YES,first and last source signatures,PASS
ch02-b042,2,Example 1: Merge Sort,inline-example,chapters/02-Divide-and-Conquer.qmd,1551-1555,YES,110,111,YES,YES,YES,first and last source signatures,PASS
ch02-b043,2,Example 2: Binary Search,inline-example,chapters/02-Divide-and-Conquer.qmd,1571-1573,YES,111,111,NO,NO,YES,section anchor plus full contact-sheet visual sweep; signatures extraction-limited,PASS
ch02-b044,2,Example 2: Binary Search,algorithm,chapters/02-Divide-and-Conquer.qmd,1577-1582,YES,112,112,YES,YES,YES,first and last source signatures,PASS
ch02-b045,2,Example 2: Binary Search,inline-example,chapters/02-Divide-and-Conquer.qmd,1588-1590,YES,111,111,NO,NO,YES,section anchor plus full contact-sheet visual sweep; signatures extraction-limited,PASS
ch02-b046,2,Example 3: Finding Maximum (Divide & Conquer),inline-example,chapters/02-Divide-and-Conquer.qmd,1606-1608,YES,112,112,NO,NO,YES,section anchor plus full contact-sheet visual sweep; signatures extraction-limited,PASS
ch02-b047,2,Example 3: Finding Maximum (Divide & Conquer),algorithm,chapters/02-Divide-and-Conquer.qmd,1612-1617,YES,112,112,YES,YES,YES,first and last source signatures,PASS
ch02-b048,2,Example 3: Finding Maximum (Divide & Conquer),inline-example,chapters/02-Divide-and-Conquer.qmd,1623-1627,YES,112,112,NO,NO,YES,section anchor plus full contact-sheet visual sweep; signatures extraction-limited,PASS
ch02-b049,2,Example 4: Strassen's Matrix Multiplication (Preview),inline-example,chapters/02-Divide-and-Conquer.qmd,1643-1645,YES,113,113,YES,YES,YES,first and last source signatures,PASS
ch02-b050,2,Example 4: Strassen's Matrix Multiplication (Preview),algorithm,chapters/02-Divide-and-Conquer.qmd,1649-1654,YES,113,113,YES,YES,YES,first and last source signatures,PASS
ch02-b051,2,Example 4: Strassen's Matrix Multiplication (Preview),inline-example,chapters/02-Divide-and-Conquer.qmd,1660-1663,YES,112,112,NO,NO,YES,section anchor plus full contact-sheet visual sweep; signatures extraction-limited,PASS
ch02-b052,2,Example 5: A Contrived Case 3 Example,inline-example,chapters/02-Divide-and-Conquer.qmd,1679-1681,YES,113,113,NO,NO,YES,section anchor plus full contact-sheet visual sweep; signatures extraction-limited,PASS
ch02-b053,2,Example 5: A Contrived Case 3 Example,algorithm,chapters/02-Divide-and-Conquer.qmd,1685-1690,YES,113,113,YES,YES,YES,first and last source signatures,PASS
ch02-b054,2,Example 5: A Contrived Case 3 Example,technical-other,chapters/02-Divide-and-Conquer.qmd,1694-1700,YES,114,114,YES,YES,YES,first and last source signatures,PASS
ch02-b055,2,Example 5: A Contrived Case 3 Example,inline-example,chapters/02-Divide-and-Conquer.qmd,1706-1709,YES,113,113,NO,NO,YES,section anchor plus full contact-sheet visual sweep; signatures extraction-limited,PASS
ch02-b056,2,When Master Theorem Doesn't Apply,technical-other,chapters/02-Divide-and-Conquer.qmd,1721-1732,YES,114,114,YES,YES,YES,first and last source signatures,PASS
ch02-b057,2,When Master Theorem Doesn't Apply,inline-example,chapters/02-Divide-and-Conquer.qmd,1738-1741,YES,114,138,YES,YES,YES,first and last source signatures,PASS
ch02-b058,2,When Master Theorem Doesn't Apply,inline-example,chapters/02-Divide-and-Conquer.qmd,1747-1751,YES,114,138,YES,YES,YES,first and last source signatures,PASS
ch02-b059,2,When Master Theorem Doesn't Apply,technical-other,chapters/02-Divide-and-Conquer.qmd,1757-1766,YES,115,115,YES,YES,YES,first and last source signatures,PASS
ch02-b060,2,Master Theorem Cheat Sheet,inline-example,chapters/02-Divide-and-Conquer.qmd,1776-1778,YES,115,115,NO,NO,YES,section anchor plus full contact-sheet visual sweep; signatures extraction-limited,PASS
ch02-b061,2,Akra-Bazzi Method (Generalized Master Theorem),inline-example,chapters/02-Divide-and-Conquer.qmd,1865-1869,YES,117,117,YES,YES,YES,first and last source signatures,PASS
ch02-b062,2,Generating Functions,inline-example,chapters/02-Divide-and-Conquer.qmd,1875-1879,YES,117,117,YES,YES,YES,first and last source signatures,PASS
ch02-b063,2,Application 1: Fast Integer Multiplication (Karatsuba Algorithm),algorithm,chapters/02-Divide-and-Conquer.qmd,1899-1904,YES,117,117,YES,YES,YES,first and last source signatures,PASS
ch02-b064,2,Application 1: Fast Integer Multiplication (Karatsuba Algorithm),inline-example,chapters/02-Divide-and-Conquer.qmd,1910-1915,YES,118,118,YES,YES,YES,first and last source signatures,PASS
ch02-b065,2,Application 1: Fast Integer Multiplication (Karatsuba Algorithm),technical-other,chapters/02-Divide-and-Conquer.qmd,1919-1931,YES,118,118,YES,YES,YES,first and last source signatures,PASS
ch02-b066,2,Application 1: Fast Integer Multiplication (Karatsuba Algorithm),technical-other,chapters/02-Divide-and-Conquer.qmd,1935-1944,YES,118,118,YES,YES,YES,first and last source signatures,PASS
ch02-b067,2,Application 1: Fast Integer Multiplication (Karatsuba Algorithm),program-code,chapters/02-Divide-and-Conquer.qmd,1948-1982,YES,118,119,YES,YES,YES,first and last source signatures,PASS
ch02-b068,2,Application 1: Fast Integer Multiplication (Karatsuba Algorithm),technical-other,chapters/02-Divide-and-Conquer.qmd,1986-1996,YES,101,119,YES,YES,YES,first and last source signatures,PASS
ch02-b069,2,Application 2: Closest Pair of Points,program-code,chapters/02-Divide-and-Conquer.qmd,2012-2024,YES,119,121,YES,YES,YES,first and last source signatures,PASS
ch02-b070,2,Application 2: Closest Pair of Points,program-code,chapters/02-Divide-and-Conquer.qmd,2028-2123,YES,120,121,YES,YES,YES,first and last source signatures,PASS
ch02-b071,2,Application 2: Closest Pair of Points,technical-other,chapters/02-Divide-and-Conquer.qmd,2137-2143,YES,101,478,YES,YES,YES,first and last source signatures,PASS
ch02-b072,2,Application 3: Matrix Multiplication (Strassen's Algorithm),program-code,chapters/02-Divide-and-Conquer.qmd,2151-2163,YES,122,453,YES,YES,YES,first and last source signatures,PASS
ch02-b073,2,Application 3: Matrix Multiplication (Strassen's Algorithm),data-example,chapters/02-Divide-and-Conquer.qmd,2169-2176,YES,122,122,YES,YES,YES,first and last source signatures,PASS
ch02-b074,2,Application 3: Matrix Multiplication (Strassen's Algorithm),algorithm,chapters/02-Divide-and-Conquer.qmd,2180-2196,YES,123,123,YES,YES,YES,first and last source signatures,PASS
ch02-b075,2,Application 4: Fast Fourier Transform (FFT),program-code,chapters/02-Divide-and-Conquer.qmd,2223-2261,YES,51,124,YES,YES,YES,first and last source signatures,PASS
ch02-b076,2,Application 4: Fast Fourier Transform (FFT),inline-example,chapters/02-Divide-and-Conquer.qmd,2265-2268,YES,123,123,NO,NO,YES,section anchor plus full contact-sheet visual sweep; signatures extraction-limited,PASS
ch02-b077,2,Building a Production-Quality Sorting Library,program-code,chapters/02-Divide-and-Conquer.qmd,2280-2483,YES,125,128,YES,YES,YES,first and last source signatures,PASS
ch02-b078,2,Performance Benchmarking,program-code,chapters/02-Divide-and-Conquer.qmd,2489-2635,YES,128,131,YES,YES,YES,first and last source signatures,PASS
ch02-b079,2,Common Implementation Pitfalls,program-code,chapters/02-Divide-and-Conquer.qmd,2677-2687,YES,132,132,YES,YES,YES,first and last source signatures,PASS
ch02-b080,2,Common Implementation Pitfalls,program-code,chapters/02-Divide-and-Conquer.qmd,2693-2701,YES,132,132,YES,YES,YES,first and last source signatures,PASS
ch02-b081,2,Common Implementation Pitfalls,program-code,chapters/02-Divide-and-Conquer.qmd,2707-2717,YES,132,132,YES,YES,YES,first and last source signatures,PASS
ch02-b082,2,Common Implementation Pitfalls,program-code,chapters/02-Divide-and-Conquer.qmd,2723-2731,YES,133,133,YES,YES,YES,first and last source signatures,PASS
ch02-b083,2,Parallel Divide and Conquer,program-code,chapters/02-Divide-and-Conquer.qmd,2743-2784,YES,133,134,YES,YES,YES,first and last source signatures,PASS
ch02-b084,2,Cache-Oblivious Algorithms,program-code,chapters/02-Divide-and-Conquer.qmd,2803-2822,YES,134,134,YES,YES,YES,first and last source signatures,PASS
ch02-b085,2,When to Use Each Algorithm,algorithm,chapters/02-Divide-and-Conquer.qmd,2912-2927,YES,137,137,YES,YES,YES,first and last source signatures,PASS
ch02-b086,2,Programming Problems,program-code,chapters/02-Divide-and-Conquer.qmd,3043-3050,YES,140,140,YES,YES,YES,first and last source signatures,PASS
ch02-b087,2,Programming Problems,program-code,chapters/02-Divide-and-Conquer.qmd,3066-3082,YES,140,140,YES,YES,YES,first and last source signatures,PASS
ch02-b088,2,Programming Problems,program-code,chapters/02-Divide-and-Conquer.qmd,3092-3107,YES,141,273,YES,YES,YES,first and last source signatures,PASS
ch02-b089,2,Programming Problems,program-code,chapters/02-Divide-and-Conquer.qmd,3117-3127,YES,141,141,YES,YES,YES,first and last source signatures,PASS
ch02-b090,2,Challenge Problems,program-code,chapters/02-Divide-and-Conquer.qmd,3145-3160,YES,142,142,YES,YES,YES,first and last source signatures,PASS
ch02-b091,2,Challenge Problems,program-code,chapters/02-Divide-and-Conquer.qmd,3174-3190,YES,142,142,YES,YES,YES,first and last source signatures,PASS
ch03-b001,3,Core Heap Operations,program-code,chapters/03-Data-Structures-for-Efficiency.qmd,120-231,YES,148,152,YES,YES,YES,first and last source signatures,PASS
ch03-b002,3,The Magic of O(n) Heap Construction,technical-other,chapters/03-Data-Structures-for-Efficiency.qmd,248-255,YES,150,150,YES,YES,YES,first and last source signatures,PASS
ch03-b003,3,Advanced Heap Operations,program-code,chapters/03-Data-Structures-for-Efficiency.qmd,259-323,YES,151,152,YES,YES,YES,first and last source signatures,PASS
ch03-b004,3,Application 1: K Largest Elements,program-code,chapters/03-Data-Structures-for-Efficiency.qmd,329-371,YES,152,153,YES,YES,YES,first and last source signatures,PASS
ch03-b005,3,Application 2: Median Maintenance,program-code,chapters/03-Data-Structures-for-Efficiency.qmd,375-414,YES,153,153,YES,YES,YES,first and last source signatures,PASS
ch03-b006,3,The Balance Problem,technical-other,chapters/03-Data-Structures-for-Efficiency.qmd,426-441,YES,154,174,YES,YES,YES,first and last source signatures,PASS
ch03-b007,3,The Balance Problem,text-diagram,chapters/03-Data-Structures-for-Efficiency.qmd,445-454,YES,154,174,YES,YES,YES,first and last source signatures,PASS
ch03-b008,3,AVL Tree Implementation,program-code,chapters/03-Data-Structures-for-Efficiency.qmd,466-661,YES,155,511,YES,YES,YES,first and last source signatures,PASS
ch03-b009,3,Red-Black Trees: A Different Balance,program-code,chapters/03-Data-Structures-for-Efficiency.qmd,682-827,YES,158,161,YES,YES,YES,first and last source signatures,PASS
ch03-b010,3,The Dream of Constant Time,inline-example,chapters/03-Data-Structures-for-Efficiency.qmd,839-841,YES,161,161,YES,YES,YES,first and last source signatures,PASS
ch03-b011,3,Hash Function Design,program-code,chapters/03-Data-Structures-for-Efficiency.qmd,851-978,YES,162,277,YES,YES,YES,first and last source signatures,PASS
ch03-b012,3,Strategy 2: Open Addressing,program-code,chapters/03-Data-Structures-for-Efficiency.qmd,1001-1083,YES,164,276,YES,YES,YES,first and last source signatures,PASS
ch03-b013,3,Cuckoo Hashing - Worst-Case O(1) Lookup,program-code,chapters/03-Data-Structures-for-Efficiency.qmd,1089-1166,YES,166,167,YES,YES,YES,first and last source signatures,PASS
ch03-b014,3,Consistent Hashing - Distributed Systems,program-code,chapters/03-Data-Structures-for-Efficiency.qmd,1170-1230,YES,167,168,YES,YES,YES,first and last source signatures,PASS
ch03-b015,3,Method 1: Aggregate Analysis,program-code,chapters/03-Data-Structures-for-Efficiency.qmd,1252-1290,YES,169,170,YES,YES,YES,first and last source signatures,PASS
ch03-b016,3,Method 2: Accounting Method,program-code,chapters/03-Data-Structures-for-Efficiency.qmd,1296-1310,YES,170,170,YES,YES,YES,first and last source signatures,PASS
ch03-b017,3,Method 3: Potential Method,program-code,chapters/03-Data-Structures-for-Efficiency.qmd,1316-1335,YES,170,170,YES,YES,YES,first and last source signatures,PASS
ch03-b018,3,Union-Find: Amortization in Action,program-code,chapters/03-Data-Structures-for-Efficiency.qmd,1339-1392,YES,171,172,YES,YES,YES,first and last source signatures,PASS
