equation_id,chapter,section,source_file,source_line_or_anchor,content_type,current_representation,recommended_representation,inline_or_display,numbered,cross_referenced,variables_defined,assumptions_defined,render_pdf,render_html,render_epub,visual_status,notes
MATH-0029,1,The Intuition Behind Big-O,chapters/01-introduction.qmd,811,OTHER,text_or_ascii,native_math,inline,NO,UNKNOWN,REVIEW,REVIEW,PASS,PASS,PASS,PASS,"|100|10,000 μs|10,000 μs|Tie!|"
MATH-0030,1,The Intuition Behind Big-O,chapters/01-introduction.qmd,812,OTHER,text_or_ascii,native_math,inline,NO,UNKNOWN,REVIEW,REVIEW,PASS,PASS,PASS,PASS,"|1,000|100,000 μs|1,000,000 μs|A is 10x faster|"
MATH-0031,1,The Intuition Behind Big-O,chapters/01-introduction.qmd,813,OTHER,text_or_ascii,native_math,inline,NO,UNKNOWN,REVIEW,REVIEW,PASS,PASS,PASS,PASS,"|10,000|1,000,000 μs|100,000,000 μs|A is 100x faster|"
MATH-0032,1,The Intuition Behind Big-O,chapters/01-introduction.qmd,817,ASYMPTOTIC_BOUND,native_math,native_math,inline,NO,UNKNOWN,REVIEW,REVIEW,PASS,PASS,PASS,PASS,O(n)
MATH-0033,1,The Intuition Behind Big-O,chapters/01-introduction.qmd,817,ASYMPTOTIC_BOUND,native_math,native_math,inline,NO,UNKNOWN,REVIEW,REVIEW,PASS,PASS,PASS,PASS,O(n^2)
MATH-0034,1,The Intuition Behind Big-O,chapters/01-introduction.qmd,817,ALGORITHM_FORMULA,text_or_ascii,native_math,inline,NO,UNKNOWN,REVIEW,REVIEW,PASS,PASS,PASS,PASS,"**The Big-O Insight:** For sufficiently large inputs, Algorithm A (which is ) will always be faster than Algorithm B (which is ), regardless of the constant factors."
MATH-0035,1,The Intuition Behind Big-O,chapters/01-introduction.qmd,819,ASYMPTOTIC_BOUND,native_math,native_math,inline,NO,UNKNOWN,REVIEW,REVIEW,PASS,PASS,PASS,PASS,O(n)
MATH-0036,1,The Intuition Behind Big-O,chapters/01-introduction.qmd,819,ASYMPTOTIC_BOUND,native_math,native_math,inline,NO,UNKNOWN,REVIEW,REVIEW,PASS,PASS,PASS,PASS,O(n^2)
MATH-0037,1,Big-O Notation (Upper Bound),chapters/01-introduction.qmd,825,OTHER,text_or_ascii,native_math,inline,NO,UNKNOWN,REVIEW,REVIEW,PASS,PASS,PASS,PASS,#### Big-O Notation (Upper Bound)
MATH-0038,1,Big-O Notation (Upper Bound),chapters/01-introduction.qmd,827,ASYMPTOTIC_BOUND,native_math,native_math,inline,NO,UNKNOWN,REVIEW,REVIEW,PASS,PASS,PASS,PASS,f(n)=O(g(n))
MATH-0039,1,Big-O Notation (Upper Bound),chapters/01-introduction.qmd,827,OTHER,native_math,native_math,inline,NO,UNKNOWN,REVIEW,REVIEW,PASS,PASS,PASS,PASS,c
MATH-0040,1,Big-O Notation (Upper Bound),chapters/01-introduction.qmd,827,OTHER,native_math,native_math,inline,NO,UNKNOWN,REVIEW,REVIEW,PASS,PASS,PASS,PASS,n_0
MATH-0041,1,Big-O Notation (Upper Bound),chapters/01-introduction.qmd,829,INEQUALITY,native_math,native_math,display,YES,UNKNOWN,PASS,PASS,PASS,PASS,PASS,PASS,"0 \le f(n) \le c\,g(n) \qquad \text{for all } n \ge n_0. $$ {#eq-bigo-definition}"
MATH-0042,1,Big-O Notation (Upper Bound),chapters/01-introduction.qmd,834,OTHER,native_math,native_math,inline,NO,UNKNOWN,REVIEW,REVIEW,PASS,PASS,PASS,PASS,f(n)
MATH-0043,1,Big-O Notation (Upper Bound),chapters/01-introduction.qmd,834,OTHER,native_math,native_math,inline,NO,UNKNOWN,REVIEW,REVIEW,PASS,PASS,PASS,PASS,g(n)
MATH-0044,1,Big-O Notation (Upper Bound),chapters/01-introduction.qmd,834,OTHER,native_math,native_math,inline,NO,UNKNOWN,REVIEW,REVIEW,PASS,PASS,PASS,PASS,c
MATH-0045,1,Big-O Notation (Upper Bound),chapters/01-introduction.qmd,834,OTHER,native_math,native_math,inline,NO,UNKNOWN,REVIEW,REVIEW,PASS,PASS,PASS,PASS,n_0
MATH-0046,1,Big-O Notation (Upper Bound),chapters/01-introduction.qmd,834,OTHER,native_math,native_math,inline,NO,UNKNOWN,REVIEW,REVIEW,PASS,PASS,PASS,PASS,n
MATH-0047,1,Big-O Notation (Upper Bound),chapters/01-introduction.qmd,836,OTHER,native_math,native_math,inline,NO,UNKNOWN,REVIEW,REVIEW,PASS,PASS,PASS,PASS,f(n)
MATH-0048,1,Big-O Notation (Upper Bound),chapters/01-introduction.qmd,836,OTHER,native_math,native_math,inline,NO,UNKNOWN,REVIEW,REVIEW,PASS,PASS,PASS,PASS,g(n)
MATH-0049,1,Big-O Notation (Upper Bound),chapters/01-introduction.qmd,836,OTHER,native_math,native_math,inline,NO,UNKNOWN,REVIEW,REVIEW,PASS,PASS,PASS,PASS,n
MATH-0050,1,Big-O Notation (Upper Bound),chapters/01-introduction.qmd,838,OTHER,native_math,native_math,inline,NO,UNKNOWN,REVIEW,REVIEW,PASS,PASS,PASS,PASS,f(n)
MATH-0051,1,Big-O Notation (Upper Bound),chapters/01-introduction.qmd,838,OTHER,native_math,native_math,inline,NO,UNKNOWN,REVIEW,REVIEW,PASS,PASS,PASS,PASS,"c\,g(n)"
MATH-0052,1,Big-O Notation (Upper Bound),chapters/01-introduction.qmd,838,OTHER,native_math,native_math,inline,NO,UNKNOWN,REVIEW,REVIEW,PASS,PASS,PASS,PASS,n_0
MATH-0053,1,Big-O Notation (Upper Bound),chapters/01-introduction.qmd,842,OTHER,native_math,native_math,inline,NO,UNKNOWN,REVIEW,REVIEW,PASS,PASS,PASS,PASS,c
MATH-0054,1,Big-O Notation (Upper Bound),chapters/01-introduction.qmd,842,OTHER,native_math,native_math,inline,NO,UNKNOWN,REVIEW,REVIEW,PASS,PASS,PASS,PASS,n_0
MATH-0055,1,Big-O Notation (Upper Bound),chapters/01-introduction.qmd,844,INEQUALITY,native_math,native_math,display,NO,UNKNOWN,PASS,PASS,PASS,PASS,PASS,PASS,"3n^2+5n+2 \le c\,n^2 \qquad \text{for all } n \ge n_0."
MATH-0056,1,Big-O Notation (Upper Bound),chapters/01-introduction.qmd,849,OTHER,native_math,native_math,inline,NO,UNKNOWN,REVIEW,REVIEW,PASS,PASS,PASS,PASS,n
MATH-0057,1,Big-O Notation (Upper Bound),chapters/01-introduction.qmd,849,OTHER,native_math,native_math,inline,NO,UNKNOWN,REVIEW,REVIEW,PASS,PASS,PASS,PASS,". More precisely, for "
MATH-0058,1,Big-O Notation (Upper Bound),chapters/01-introduction.qmd,851,OTHER,native_math,native_math,inline,NO,UNKNOWN,REVIEW,REVIEW,PASS,PASS,PASS,PASS,", since "
MATH-0059,1,Big-O Notation (Upper Bound),chapters/01-introduction.qmd,851,INEQUALITY,text_or_ascii,native_math,inline,NO,UNKNOWN,REVIEW,REVIEW,PASS,PASS,PASS,PASS,- $5n\le5n^2n\le n^2$.
MATH-0060,1,Big-O Notation (Upper Bound),chapters/01-introduction.qmd,852,OTHER,native_math,native_math,inline,NO,UNKNOWN,REVIEW,REVIEW,PASS,PASS,PASS,PASS,", since "
MATH-0061,1,Big-O Notation (Upper Bound),chapters/01-introduction.qmd,852,INEQUALITY,text_or_ascii,native_math,inline,NO,UNKNOWN,REVIEW,REVIEW,PASS,PASS,PASS,PASS,- $2\le2n^21\le n^2$.
MATH-0062,1,Big-O Notation (Upper Bound),chapters/01-introduction.qmd,856,INEQUALITY,native_math,native_math,display,NO,UNKNOWN,PASS,PASS,PASS,PASS,PASS,PASS,3n^2+5n+2 \le 3n^2+5n^2+2n^2=10n^2.
MATH-0063,1,Big-O Notation (Upper Bound),chapters/01-introduction.qmd,860,ALGORITHM_FORMULA,native_math,native_math,inline,NO,UNKNOWN,REVIEW,REVIEW,PASS,PASS,PASS,PASS,c=10
MATH-0064,1,Big-O Notation (Upper Bound),chapters/01-introduction.qmd,860,ALGORITHM_FORMULA,native_math,native_math,inline,NO,UNKNOWN,REVIEW,REVIEW,PASS,PASS,PASS,PASS,n_0=1
MATH-0065,1,Big-Ω Notation (Lower Bound),chapters/01-introduction.qmd,862,ASYMPTOTIC_BOUND,text_or_ascii,native_math,inline,NO,UNKNOWN,REVIEW,REVIEW,PASS,PASS,PASS,PASS,#### Big-Ω Notation (Lower Bound)
MATH-0066,1,Big-Ω Notation (Lower Bound),chapters/01-introduction.qmd,864,ASYMPTOTIC_BOUND,native_math,native_math,inline,NO,UNKNOWN,REVIEW,REVIEW,PASS,PASS,PASS,PASS,f(n)=\Omega(g(n))
MATH-0067,1,Big-Ω Notation (Lower Bound),chapters/01-introduction.qmd,864,OTHER,native_math,native_math,inline,NO,UNKNOWN,REVIEW,REVIEW,PASS,PASS,PASS,PASS,c
MATH-0068,1,Big-Ω Notation (Lower Bound),chapters/01-introduction.qmd,864,OTHER,native_math,native_math,inline,NO,UNKNOWN,REVIEW,REVIEW,PASS,PASS,PASS,PASS,n_0
MATH-0069,1,Big-Ω Notation (Lower Bound),chapters/01-introduction.qmd,866,INEQUALITY,native_math,native_math,display,YES,UNKNOWN,PASS,PASS,PASS,PASS,PASS,PASS,"0 \le c\,g(n) \le f(n) \qquad \text{for all } n \ge n_0. $$ {#eq-bigomega-definition}"
MATH-0070,1,Big-Ω Notation (Lower Bound),chapters/01-introduction.qmd,871,OTHER,native_math,native_math,inline,NO,UNKNOWN,REVIEW,REVIEW,PASS,PASS,PASS,PASS,f(n)
MATH-0071,1,Big-Ω Notation (Lower Bound),chapters/01-introduction.qmd,871,OTHER,native_math,native_math,inline,NO,UNKNOWN,REVIEW,REVIEW,PASS,PASS,PASS,PASS,g(n)
MATH-0072,1,Big-Ω Notation (Lower Bound),chapters/01-introduction.qmd,873,ASYMPTOTIC_BOUND,text_or_ascii,native_math,inline,NO,UNKNOWN,REVIEW,REVIEW,PASS,PASS,PASS,PASS,**Example:** Let's prove that $3n^2+5n+2=\Omega(n^2)$.
MATH-0073,1,Big-Ω Notation (Lower Bound),chapters/01-introduction.qmd,877,INEQUALITY,native_math,native_math,display,NO,UNKNOWN,PASS,PASS,PASS,PASS,PASS,PASS,"c\,n^2 \le 3n^2+5n+2 \qquad \text{for all } n \ge n_0."
MATH-0074,1,Big-Ω Notation (Lower Bound),chapters/01-introduction.qmd,882,OTHER,native_math,native_math,inline,NO,UNKNOWN,REVIEW,REVIEW,PASS,PASS,PASS,PASS,n\ge1
MATH-0075,1,Big-Ω Notation (Lower Bound),chapters/01-introduction.qmd,884,INEQUALITY,native_math,native_math,display,NO,UNKNOWN,PASS,PASS,PASS,PASS,PASS,PASS,3n^2 \le 3n^2+5n+2.
MATH-0076,1,Big-Ω Notation (Lower Bound),chapters/01-introduction.qmd,888,ALGORITHM_FORMULA,native_math,native_math,inline,NO,UNKNOWN,REVIEW,REVIEW,PASS,PASS,PASS,PASS,c=3
MATH-0077,1,Big-Ω Notation (Lower Bound),chapters/01-introduction.qmd,888,ALGORITHM_FORMULA,native_math,native_math,inline,NO,UNKNOWN,REVIEW,REVIEW,PASS,PASS,PASS,PASS,n_0=1
MATH-0078,1,Big-Θ Notation (Tight Bound),chapters/01-introduction.qmd,890,ASYMPTOTIC_BOUND,text_or_ascii,native_math,inline,NO,UNKNOWN,REVIEW,REVIEW,PASS,PASS,PASS,PASS,#### Big-Θ Notation (Tight Bound)
MATH-0079,1,Big-Θ Notation (Tight Bound),chapters/01-introduction.qmd,892,ASYMPTOTIC_BOUND,native_math,native_math,inline,NO,UNKNOWN,REVIEW,REVIEW,PASS,PASS,PASS,PASS,f(n)=\Theta(g(n))
MATH-0080,1,Big-Θ Notation (Tight Bound),chapters/01-introduction.qmd,892,ASYMPTOTIC_BOUND,native_math,native_math,inline,NO,UNKNOWN,REVIEW,REVIEW,PASS,PASS,PASS,PASS,f(n)=O(g(n))
MATH-0081,1,Big-Θ Notation (Tight Bound),chapters/01-introduction.qmd,892,ASYMPTOTIC_BOUND,native_math,native_math,inline,NO,UNKNOWN,REVIEW,REVIEW,PASS,PASS,PASS,PASS,f(n)=\Omega(g(n))
MATH-0082,1,Big-Θ Notation (Tight Bound),chapters/01-introduction.qmd,894,OTHER,native_math,native_math,inline,NO,UNKNOWN,REVIEW,REVIEW,PASS,PASS,PASS,PASS,f(n)
MATH-0083,1,Big-Θ Notation (Tight Bound),chapters/01-introduction.qmd,894,OTHER,native_math,native_math,inline,NO,UNKNOWN,REVIEW,REVIEW,PASS,PASS,PASS,PASS,g(n)
MATH-0084,1,Big-Θ Notation (Tight Bound),chapters/01-introduction.qmd,898,ASYMPTOTIC_BOUND,native_math,native_math,display,NO,UNKNOWN,PASS,PASS,PASS,PASS,PASS,PASS,3n^2+5n+2=\Theta(n^2).
MATH-0085,1,Big-Θ Notation (Tight Bound),chapters/01-introduction.qmd,902,OTHER,native_math,native_math,inline,NO,UNKNOWN,REVIEW,REVIEW,PASS,PASS,PASS,PASS,n
MATH-0086,1,"Misconception 1: ""Big-O means exact growth rate""",chapters/01-introduction.qmd,908,OTHER,text_or_ascii,native_math,inline,NO,UNKNOWN,REVIEW,REVIEW,PASS,PASS,PASS,PASS,"#### Misconception 1: ""Big-O means exact growth rate"""
MATH-0087,1,"Misconception 1: ""Big-O means exact growth rate""",chapters/01-introduction.qmd,910,ASYMPTOTIC_BOUND,native_math,native_math,inline,NO,UNKNOWN,REVIEW,REVIEW,PASS,PASS,PASS,PASS,O(n^2)
MATH-0088,1,"Misconception 1: ""Big-O means exact growth rate""",chapters/01-introduction.qmd,910,ASYMPTOTIC_BOUND,native_math,native_math,inline,NO,UNKNOWN,REVIEW,REVIEW,PASS,PASS,PASS,PASS,O(n^3)
MATH-0089,1,"Misconception 1: ""Big-O means exact growth rate""",chapters/01-introduction.qmd,912,ASYMPTOTIC_BOUND,native_math,native_math,inline,NO,UNKNOWN,REVIEW,REVIEW,PASS,PASS,PASS,PASS,O(n^2)
MATH-0090,1,"Misconception 1: ""Big-O means exact growth rate""",chapters/01-introduction.qmd,912,ASYMPTOTIC_BOUND,native_math,native_math,inline,NO,UNKNOWN,REVIEW,REVIEW,PASS,PASS,PASS,PASS,O(n^3)
MATH-0091,1,"Misconception 1: ""Big-O means exact growth rate""",chapters/01-introduction.qmd,912,ASYMPTOTIC_BOUND,native_math,native_math,inline,NO,UNKNOWN,REVIEW,REVIEW,PASS,PASS,PASS,PASS,O(n⁴)
MATH-0092,1,"Misconception 1: ""Big-O means exact growth rate""",chapters/01-introduction.qmd,912,ALGORITHM_FORMULA,text_or_ascii,native_math,inline,NO,UNKNOWN,REVIEW,REVIEW,PASS,PASS,PASS,PASS,"✅ **Correct thinking:** ""Big-O gives an upper bound. If an algorithm is , it's also , , etc."""
MATH-0093,1,"Misconception 1: ""Big-O means exact growth rate""",chapters/01-introduction.qmd,914,ASYMPTOTIC_BOUND,native_math,native_math,inline,NO,UNKNOWN,REVIEW,REVIEW,PASS,PASS,PASS,PASS,O(n^2)
MATH-0094,1,"Misconception 1: ""Big-O means exact growth rate""",chapters/01-introduction.qmd,914,ALGORITHM_FORMULA,text_or_ascii,native_math,inline,NO,UNKNOWN,REVIEW,REVIEW,PASS,PASS,PASS,PASS,"**Why this matters:** Big-O tells us the worst an algorithm can be, not exactly how it behaves. Saying ""this algorithm is "" means ""it won't be worse than quadratic,"" not ""it's exactly quadratic."""
MATH-0095,1,"Misconception 1: ""Big-O means exact growth rate""",chapters/01-introduction.qmd,928,ASYMPTOTIC_BOUND,native_math,native_math,inline,NO,UNKNOWN,REVIEW,REVIEW,PASS,PASS,PASS,PASS,O(n)
MATH-0096,1,"Misconception 1: ""Big-O means exact growth rate""",chapters/01-introduction.qmd,929,ASYMPTOTIC_BOUND,native_math,native_math,inline,NO,UNKNOWN,REVIEW,REVIEW,PASS,PASS,PASS,PASS,O(n^2)
MATH-0097,1,"Misconception 1: ""Big-O means exact growth rate""",chapters/01-introduction.qmd,930,ASYMPTOTIC_BOUND,native_math,native_math,inline,NO,UNKNOWN,REVIEW,REVIEW,PASS,PASS,PASS,PASS,O(n^3)
MATH-0098,1,"Misconception 1: ""Big-O means exact growth rate""",chapters/01-introduction.qmd,932,ASYMPTOTIC_BOUND,native_math,native_math,inline,NO,UNKNOWN,REVIEW,REVIEW,PASS,PASS,PASS,PASS,O(n)
MATH-0099,1,"Misconception 2: ""Constants and lower-order terms never matter""",chapters/01-introduction.qmd,936,ASYMPTOTIC_BOUND,native_math,native_math,inline,NO,UNKNOWN,REVIEW,REVIEW,PASS,PASS,PASS,PASS,O(n^2)
MATH-0100,1,"Misconception 2: ""Constants and lower-order terms never matter""",chapters/01-introduction.qmd,936,ALGORITHM_FORMULA,text_or_ascii,native_math,inline,NO,UNKNOWN,REVIEW,REVIEW,PASS,PASS,PASS,PASS,"❌ **Wrong thinking:** ""Algorithm A takes 1000n² time, Algorithm B takes n² time. Since both are , they're equally good."""
MATH-0101,1,"Misconception 2: ""Constants and lower-order terms never matter""",chapters/01-introduction.qmd,942,OTHER,text_or_ascii,native_math,inline,NO,UNKNOWN,REVIEW,REVIEW,PASS,PASS,PASS,PASS,- Algorithm A: 1000n² microseconds
MATH-0102,1,"Misconception 2: ""Constants and lower-order terms never matter""",chapters/01-introduction.qmd,943,OTHER,text_or_ascii,native_math,inline,NO,UNKNOWN,REVIEW,REVIEW,PASS,PASS,PASS,PASS,- Algorithm B: n² microseconds
MATH-0103,1,"Misconception 2: ""Constants and lower-order terms never matter""",chapters/01-introduction.qmd,956,ASYMPTOTIC_BOUND,native_math,native_math,inline,NO,UNKNOWN,REVIEW,REVIEW,PASS,PASS,PASS,PASS,O(n)
MATH-0104,1,"Misconception 2: ""Constants and lower-order terms never matter""",chapters/01-introduction.qmd,956,ASYMPTOTIC_BOUND,native_math,native_math,inline,NO,UNKNOWN,REVIEW,REVIEW,PASS,PASS,PASS,PASS,O(n^2)
MATH-0105,1,"Misconception 3: ""Best case = $O()$, Worst case = $\Omega()$""",chapters/01-introduction.qmd,958,ASYMPTOTIC_BOUND,native_math,native_math,inline,NO,UNKNOWN,REVIEW,REVIEW,PASS,PASS,PASS,PASS,O()
MATH-0106,1,"Misconception 3: ""Best case = $O()$, Worst case = $\Omega()$""",chapters/01-introduction.qmd,958,ASYMPTOTIC_BOUND,native_math,native_math,inline,NO,UNKNOWN,REVIEW,REVIEW,PASS,PASS,PASS,PASS,\Omega()
MATH-0107,1,"Misconception 3: ""Best case = $O()$, Worst case = $\Omega()$""",chapters/01-introduction.qmd,960,ASYMPTOTIC_BOUND,native_math,native_math,inline,NO,UNKNOWN,REVIEW,REVIEW,PASS,PASS,PASS,PASS,O(n log n)
MATH-0108,1,"Misconception 3: ""Best case = $O()$, Worst case = $\Omega()$""",chapters/01-introduction.qmd,960,ASYMPTOTIC_BOUND,native_math,native_math,inline,NO,UNKNOWN,REVIEW,REVIEW,PASS,PASS,PASS,PASS,\Omega(n^2)
MATH-0109,1,"Misconception 3: ""Best case = $O()$, Worst case = $\Omega()$""",chapters/01-introduction.qmd,962,ASYMPTOTIC_BOUND,native_math,native_math,inline,NO,UNKNOWN,REVIEW,REVIEW,PASS,PASS,PASS,PASS,\Theta(n log n)
MATH-0110,1,"Misconception 3: ""Best case = $O()$, Worst case = $\Omega()$""",chapters/01-introduction.qmd,962,ASYMPTOTIC_BOUND,native_math,native_math,inline,NO,UNKNOWN,REVIEW,REVIEW,PASS,PASS,PASS,PASS,\Theta(n^2)
MATH-0111,1,"Misconception 3: ""Best case = $O()$, Worst case = $\Omega()$""",chapters/01-introduction.qmd,962,ASYMPTOTIC_BOUND,text_or_ascii,native_math,inline,NO,UNKNOWN,REVIEW,REVIEW,PASS,PASS,PASS,PASS,"✅ **Correct thinking:** ""QuickSort's best case is and worst case is . Each case has its own Big-O, Big-Ω, and Big-Θ."""
MATH-0112,1,"Misconception 3: ""Best case = $O()$, Worst case = $\Omega()$""",chapters/01-introduction.qmd,966,ASYMPTOTIC_BOUND,native_math,native_math,inline,NO,UNKNOWN,REVIEW,REVIEW,PASS,PASS,PASS,PASS,\Theta(n log n)
