chapter,section,source_file,item_type,description,claimed_algorithm,claimed_complexity,implementation_language,implementation_present,runnable,verification_status,citation_required,source_required,severity,recommended_action,notes
1,Criterion 2: Efficiency—Getting There Fast,/Users/medina/Projects/oer-books/advanced-algorithms-book/chapters/01-introduction.qmd,PSEUDOCODE,Fenced block at lines 218-224,,,UNLABELED,YES,NO,SEE code-verification-results.csv,NO,NO,LOW,Use block-level verification record,Safe automated classification plus targeted tests; unexecuted blocks remain manual review.
1,Criterion 3: Clarity and Elegance,/Users/medina/Projects/oer-books/advanced-algorithms-book/chapters/01-introduction.qmd,CODE,Fenced block at lines 245-248,,,python,YES,CANDIDATE,SEE code-verification-results.csv,NO,NO,LOW,Use block-level verification record,Safe automated classification plus targeted tests; unexecuted blocks remain manual review.
1,Criterion 3: Clarity and Elegance,/Users/medina/Projects/oer-books/advanced-algorithms-book/chapters/01-introduction.qmd,CODE,Fenced block at lines 254-257,,,python,YES,CANDIDATE,SEE code-verification-results.csv,NO,NO,LOW,Use block-level verification record,Safe automated classification plus targeted tests; unexecuted blocks remain manual review.
1,Criterion 4: Robustness,/Users/medina/Projects/oer-books/advanced-algorithms-book/chapters/01-introduction.qmd,MATHEMATICAL_CLAIM,A robust algorithm handles unexpected situations gracefully. This includes:,,,,NO,NO,MANUAL REVIEW,NO,NO,LOW,Verify assumptions and terminology,line 271
1,Criterion 4: Robustness,/Users/medina/Projects/oer-books/advanced-algorithms-book/chapters/01-introduction.qmd,CODE,Fenced block at lines 276-287,,,python,YES,CANDIDATE,SEE code-verification-results.csv,NO,NO,LOW,Use block-level verification record,Safe automated classification plus targeted tests; unexecuted blocks remain manual review.
1,Criterion 4: Robustness,/Users/medina/Projects/oer-books/advanced-algorithms-book/chapters/01-introduction.qmd,CODE,Fenced block at lines 293-298,,,python,YES,CANDIDATE,SEE code-verification-results.csv,NO,NO,LOW,Use block-level verification record,Safe automated classification plus targeted tests; unexecuted blocks remain manual review.
1,Balancing the Criteria,/Users/medina/Projects/oer-books/advanced-algorithms-book/chapters/01-introduction.qmd,MATHEMATICAL_CLAIM,- Robustness: Must handle edge cases and unexpected inputs safely,,,,NO,NO,MANUAL REVIEW,NO,NO,LOW,Verify assumptions and terminology,line 319
1,Step 3: Choose a Strategy,/Users/medina/Projects/oer-books/advanced-algorithms-book/chapters/01-introduction.qmd,MATHEMATICAL_CLAIM,"3. Greedy Make the locally optimal choice at each step. For duplicates: Process elements one by one, keeping track of what we've seen.",,,,NO,NO,MANUAL REVIEW,NO,NO,LOW,Verify assumptions and terminology,line 402
1,Step 3: Choose a Strategy,/Users/medina/Projects/oer-books/advanced-algorithms-book/chapters/01-introduction.qmd,PSEUDOCODE,Fenced block at lines 413-420,,,UNLABELED,YES,NO,SEE code-verification-results.csv,NO,NO,LOW,Use block-level verification record,Safe automated classification plus targeted tests; unexecuted blocks remain manual review.
1,Step 3: Choose a Strategy,/Users/medina/Projects/oer-books/advanced-algorithms-book/chapters/01-introduction.qmd,PSEUDOCODE,Fenced block at lines 426-427,,,UNLABELED,YES,NO,SEE code-verification-results.csv,NO,NO,LOW,Use block-level verification record,Safe automated classification plus targeted tests; unexecuted blocks remain manual review.
1,Step 4: Design the Algorithm,/Users/medina/Projects/oer-books/advanced-algorithms-book/chapters/01-introduction.qmd,PSEUDOCODE,Fenced block at lines 437-450,,,UNLABELED,YES,NO,SEE code-verification-results.csv,NO,NO,LOW,Use block-level verification record,Safe automated classification plus targeted tests; unexecuted blocks remain manual review.
1,Step 5: Trace Through Examples,/Users/medina/Projects/oer-books/advanced-algorithms-book/chapters/01-introduction.qmd,MATHEMATICAL_CLAIM,This matches our expected output! Let's quickly check an edge case:,,,,NO,NO,MANUAL REVIEW,NO,NO,LOW,Verify assumptions and terminology,line 472
1,Step 6: Analyze Complexity,/Users/medina/Projects/oer-books/advanced-algorithms-book/chapters/01-introduction.qmd,MATHEMATICAL_CLAIM,Step 6: Analyze Complexity,,,,NO,NO,MANUAL REVIEW,NO,NO,LOW,Verify assumptions and terminology,line 482
1,Step 6: Analyze Complexity,/Users/medina/Projects/oer-books/advanced-algorithms-book/chapters/01-introduction.qmd,MATHEMATICAL_CLAIM,Time Complexity:,,,,NO,NO,MANUAL REVIEW,NO,NO,LOW,Verify assumptions and terminology,line 486
1,Step 6: Analyze Complexity,/Users/medina/Projects/oer-books/advanced-algorithms-book/chapters/01-introduction.qmd,COMPLEXITY,- We process each element exactly once: O(n),,O(n),,NO,NO,REVIEWED,NO,NO,LOW,Verify assumptions and terminology,line 488
1,Step 6: Analyze Complexity,/Users/medina/Projects/oer-books/advanced-algorithms-book/chapters/01-introduction.qmd,COMPLEXITY,"- Each hash table operation (lookup, insert, update) takes O(1) on average",,O(1),,NO,NO,REVIEWED,NO,NO,LOW,Verify assumptions and terminology,line 489
1,Step 6: Analyze Complexity,/Users/medina/Projects/oer-books/advanced-algorithms-book/chapters/01-introduction.qmd,COMPLEXITY,- Total: O(n) ✓,,O(n),,NO,NO,REVIEWED,NO,NO,LOW,Verify assumptions and terminology,line 490
1,Step 6: Analyze Complexity,/Users/medina/Projects/oer-books/advanced-algorithms-book/chapters/01-introduction.qmd,MATHEMATICAL_CLAIM,Space Complexity:,,,,NO,NO,MANUAL REVIEW,NO,NO,LOW,Verify assumptions and terminology,line 492
1,Step 6: Analyze Complexity,/Users/medina/Projects/oer-books/advanced-algorithms-book/chapters/01-introduction.qmd,COMPLEXITY,- Hash table stores at most n elements: O(n),,O(n),,NO,NO,REVIEWED,NO,NO,LOW,Verify assumptions and terminology,line 494
1,Step 6: Analyze Complexity,/Users/medina/Projects/oer-books/advanced-algorithms-book/chapters/01-introduction.qmd,COMPLEXITY,- Result list stores at most n elements: O(n),,O(n),,NO,NO,REVIEWED,NO,NO,LOW,Verify assumptions and terminology,line 495
1,Step 6: Analyze Complexity,/Users/medina/Projects/oer-books/advanced-algorithms-book/chapters/01-introduction.qmd,COMPLEXITY,- Total: O(n) ✓,,O(n),,NO,NO,REVIEWED,NO,NO,LOW,Verify assumptions and terminology,line 496
1,Step 6: Analyze Complexity,/Users/medina/Projects/oer-books/advanced-algorithms-book/chapters/01-introduction.qmd,COMPLEXITY,This is quite efficient! We can't do better than O(n) time because we must examine every element at least once.,,O(n),,NO,NO,REVIEWED,NO,NO,LOW,Verify assumptions and terminology,line 498
1,Step 7: Implement,/Users/medina/Projects/oer-books/advanced-algorithms-book/chapters/01-introduction.qmd,CODE,Fenced block at lines 505-529,,O(n) O(n),python,YES,CANDIDATE,SEE code-verification-results.csv,NO,NO,LOW,Use block-level verification record,Safe automated classification plus targeted tests; unexecuted blocks remain manual review.
1,Step 8: Test Thoroughly,/Users/medina/Projects/oer-books/advanced-algorithms-book/chapters/01-introduction.qmd,CODE,Fenced block at lines 537-545,,,python,YES,CANDIDATE,SEE code-verification-results.csv,NO,NO,LOW,Use block-level verification record,Safe automated classification plus targeted tests; unexecuted blocks remain manual review.
1,When Correctness Isn't Binary,/Users/medina/Projects/oer-books/advanced-algorithms-book/chapters/01-introduction.qmd,MATHEMATICAL_CLAIM,Heuristic Algorithms: Use rules of thumb that work well in practice but lack theoretical guarantees.,,,,NO,NO,MANUAL REVIEW,NO,NO,LOW,Verify assumptions and terminology,line 574
1,"Approach 1: The ""Correct"" Way",/Users/medina/Projects/oer-books/advanced-algorithms-book/chapters/01-introduction.qmd,CODE,Fenced block at lines 589-597,,,python,YES,CANDIDATE,SEE code-verification-results.csv,NO,NO,LOW,Use block-level verification record,Safe automated classification plus targeted tests; unexecuted blocks remain manual review.
1,"Approach 1: The ""Correct"" Way",/Users/medina/Projects/oer-books/advanced-algorithms-book/chapters/01-introduction.qmd,COMPLEXITY,- Time Complexity: O(n log n) due to sorting,,O(n log n),,NO,NO,REVIEWED,NO,NO,LOW,Verify assumptions and terminology,line 603
1,"Approach 1: The ""Correct"" Way",/Users/medina/Projects/oer-books/advanced-algorithms-book/chapters/01-introduction.qmd,COMPLEXITY,- Space Complexity: O(n) for the sorted copy,,O(n),,NO,NO,REVIEWED,NO,NO,LOW,Verify assumptions and terminology,line 604
1,"Approach 2: The ""Fast"" Way (QuickSelect)",/Users/medina/Projects/oer-books/advanced-algorithms-book/chapters/01-introduction.qmd,CODE,Fenced block at lines 609-636,,,python,YES,CANDIDATE,SEE code-verification-results.csv,NO,NO,LOW,Use block-level verification record,Safe automated classification plus targeted tests; unexecuted blocks remain manual review.
1,"Approach 2: The ""Fast"" Way (QuickSelect)",/Users/medina/Projects/oer-books/advanced-algorithms-book/chapters/01-introduction.qmd,COMPLEXITY,"- Time Complexity: O(n) average case, O(n²) worst case",,O(n) O(n²),,NO,NO,REVIEWED,NO,NO,LOW,Verify assumptions and terminology,line 642
1,"Approach 2: The ""Fast"" Way (QuickSelect)",/Users/medina/Projects/oer-books/advanced-algorithms-book/chapters/01-introduction.qmd,COMPLEXITY,- Space Complexity: O(1) if implemented iteratively,,O(1),,NO,NO,REVIEWED,YES,YES,MEDIUM,Verify assumptions and terminology,line 643
1,"Approach 3: The ""Approximate"" Way",/Users/medina/Projects/oer-books/advanced-algorithms-book/chapters/01-introduction.qmd,CODE,Fenced block at lines 648-655,,,python,YES,CANDIDATE,SEE code-verification-results.csv,NO,NO,LOW,Use block-level verification record,Safe automated classification plus targeted tests; unexecuted blocks remain manual review.
1,"Approach 3: The ""Approximate"" Way",/Users/medina/Projects/oer-books/advanced-algorithms-book/chapters/01-introduction.qmd,COMPLEXITY,- Time Complexity: O(s log s) where s is sample size (constant for fixed sample size),,O(s log s),,NO,NO,REVIEWED,NO,NO,LOW,Verify assumptions and terminology,line 661
1,"Approach 3: The ""Approximate"" Way",/Users/medina/Projects/oer-books/advanced-algorithms-book/chapters/01-introduction.qmd,COMPLEXITY,- Space Complexity: O(s),,O(s),,NO,NO,REVIEWED,NO,NO,LOW,Verify assumptions and terminology,line 662
1,The Surprising Third Option: Making Algorithms Smarter,/Users/medina/Projects/oer-books/advanced-algorithms-book/chapters/01-introduction.qmd,CODE,Fenced block at lines 739-745,,,python,YES,CANDIDATE,SEE code-verification-results.csv,NO,NO,LOW,Use block-level verification record,Safe automated classification plus targeted tests; unexecuted blocks remain manual review.
1,The Surprising Third Option: Making Algorithms Smarter,/Users/medina/Projects/oer-books/advanced-algorithms-book/chapters/01-introduction.qmd,CODE,Fenced block at lines 751-754,,,python,YES,CANDIDATE,SEE code-verification-results.csv,NO,NO,LOW,Use block-level verification record,Safe automated classification plus targeted tests; unexecuted blocks remain manual review.
1,The Surprising Third Option: Making Algorithms Smarter,/Users/medina/Projects/oer-books/advanced-algorithms-book/chapters/01-introduction.qmd,CODE,Fenced block at lines 760-771,,O(n log n) O(1),python,YES,CANDIDATE,SEE code-verification-results.csv,NO,NO,LOW,Use block-level verification record,Safe automated classification plus targeted tests; unexecuted blocks remain manual review.
1,Why Do We Need Asymptotic Analysis?,/Users/medina/Projects/oer-books/advanced-algorithms-book/chapters/01-introduction.qmd,MATHEMATICAL_CLAIM,"Algorithms have the same complexity. An algorithm might be faster on small inputs but slower on large inputs. Asymptotic analysis helps us understand how algorithms behave as the input size grows toward infinity—and in the age of big data, this is often what matters most.",,,,NO,NO,MANUAL REVIEW,NO,NO,LOW,Verify assumptions and terminology,line 798
1,The Intuition Behind Big-O,/Users/medina/Projects/oer-books/advanced-algorithms-book/chapters/01-introduction.qmd,COMPLEXITY,"The Big-O Insight: For sufficiently large inputs, Algorithm A (which is O(n)) will always be faster than Algorithm B (which is O(n²)), regardless of the constant factors.",,O(n) O(n²),,NO,NO,REVIEWED,NO,NO,LOW,Verify assumptions and terminology,line 817
1,The Intuition Behind Big-O,/Users/medina/Projects/oer-books/advanced-algorithms-book/chapters/01-introduction.qmd,COMPLEXITY,"This is why we say that O(n) is ""better"" than O(n²)—not because it's always faster, but because it scales better as problems get larger.",,O(n) O(n²),,NO,NO,REVIEWED,NO,NO,LOW,Verify assumptions and terminology,line 819
1,Big-O Notation (Upper Bound),/Users/medina/Projects/oer-books/advanced-algorithms-book/chapters/01-introduction.qmd,COMPLEXITY,Definition: We say f(n) = O(g(n)) if there exist positive constants c and n₀ such that:,,O(g(n),,NO,NO,REVIEWED,NO,NO,LOW,Verify assumptions and terminology,line 827
1,Big-O Notation (Upper Bound),/Users/medina/Projects/oer-books/advanced-algorithms-book/chapters/01-introduction.qmd,PSEUDOCODE,Fenced block at lines 830-830,,,UNLABELED,YES,NO,SEE code-verification-results.csv,NO,NO,LOW,Use block-level verification record,Safe automated classification plus targeted tests; unexecuted blocks remain manual review.
1,Big-O Notation (Upper Bound),/Users/medina/Projects/oer-books/advanced-algorithms-book/chapters/01-introduction.qmd,COMPLEXITY,Example: Let's prove that 3n² + 5n + 2 = O(n²).,,O(n²),,NO,NO,REVIEWED,NO,NO,LOW,Verify assumptions and terminology,line 837
1,Big-O Notation (Upper Bound),/Users/medina/Projects/oer-books/advanced-algorithms-book/chapters/01-introduction.qmd,PSEUDOCODE,Fenced block at lines 842-842,,,UNLABELED,YES,NO,SEE code-verification-results.csv,NO,NO,LOW,Use block-level verification record,Safe automated classification plus targeted tests; unexecuted blocks remain manual review.
1,Big-O Notation (Upper Bound),/Users/medina/Projects/oer-books/advanced-algorithms-book/chapters/01-introduction.qmd,PSEUDOCODE,Fenced block at lines 855-855,,,UNLABELED,YES,NO,SEE code-verification-results.csv,NO,NO,LOW,Use block-level verification record,Safe automated classification plus targeted tests; unexecuted blocks remain manual review.
1,Big-O Notation (Upper Bound),/Users/medina/Projects/oer-books/advanced-algorithms-book/chapters/01-introduction.qmd,COMPLEXITY,"So we can choose c = 10 and n₀ = 1, proving that 3n² + 5n + 2 = O(n²). ✓",,O(n²),,NO,NO,REVIEWED,NO,NO,LOW,Verify assumptions and terminology,line 858
1,Big-Ω Notation (Lower Bound),/Users/medina/Projects/oer-books/advanced-algorithms-book/chapters/01-introduction.qmd,COMPLEXITY,Definition: We say f(n) = Ω(g(n)) if there exist positive constants c and n₀ such that:,,Ω(g(n),,NO,NO,REVIEWED,NO,NO,LOW,Verify assumptions and terminology,line 862
1,Big-Ω Notation (Lower Bound),/Users/medina/Projects/oer-books/advanced-algorithms-book/chapters/01-introduction.qmd,PSEUDOCODE,Fenced block at lines 865-865,,,UNLABELED,YES,NO,SEE code-verification-results.csv,NO,NO,LOW,Use block-level verification record,Safe automated classification plus targeted tests; unexecuted blocks remain manual review.
1,Big-Ω Notation (Lower Bound),/Users/medina/Projects/oer-books/advanced-algorithms-book/chapters/01-introduction.qmd,COMPLEXITY,Example: Let's prove that 3n² + 5n + 2 = Ω(n²).,,Ω(n²),,NO,NO,REVIEWED,NO,NO,LOW,Verify assumptions and terminology,line 870
1,Big-Ω Notation (Lower Bound),/Users/medina/Projects/oer-books/advanced-algorithms-book/chapters/01-introduction.qmd,PSEUDOCODE,Fenced block at lines 875-875,,,UNLABELED,YES,NO,SEE code-verification-results.csv,NO,NO,LOW,Use block-level verification record,Safe automated classification plus targeted tests; unexecuted blocks remain manual review.
1,Big-Ω Notation (Lower Bound),/Users/medina/Projects/oer-books/advanced-algorithms-book/chapters/01-introduction.qmd,PSEUDOCODE,Fenced block at lines 881-881,,,UNLABELED,YES,NO,SEE code-verification-results.csv,NO,NO,LOW,Use block-level verification record,Safe automated classification plus targeted tests; unexecuted blocks remain manual review.
1,Big-Θ Notation (Tight Bound),/Users/medina/Projects/oer-books/advanced-algorithms-book/chapters/01-introduction.qmd,COMPLEXITY,Definition: We say f(n) = Θ(g(n)) if f(n) = O(g(n)) AND f(n) = Ω(g(n)).,,Θ(g(n) O(g(n) Ω(g(n),,NO,NO,REVIEWED,NO,NO,LOW,Verify assumptions and terminology,line 888
1,Big-Θ Notation (Tight Bound),/Users/medina/Projects/oer-books/advanced-algorithms-book/chapters/01-introduction.qmd,COMPLEXITY,"Example: Since we proved both 3n² + 5n + 2 = O(n²) and 3n² + 5n + 2 = Ω(n²), we can conclude:",,O(n²) Ω(n²),,NO,NO,REVIEWED,YES,YES,MEDIUM,Verify assumptions and terminology,line 892
1,Big-Θ Notation (Tight Bound),/Users/medina/Projects/oer-books/advanced-algorithms-book/chapters/01-introduction.qmd,PSEUDOCODE,Fenced block at lines 895-895,,Θ(n²),UNLABELED,YES,NO,SEE code-verification-results.csv,NO,NO,LOW,Use block-level verification record,Safe automated classification plus targeted tests; unexecuted blocks remain manual review.
1,"Misconception 1: ""Big-O means exact growth rate""",/Users/medina/Projects/oer-books/advanced-algorithms-book/chapters/01-introduction.qmd,COMPLEXITY,"❌ Wrong thinking: ""Since bubble sort is O(n²), it can't also be O(n³).""",,O(n²) O(n³),,NO,NO,REVIEWED,NO,NO,LOW,Verify assumptions and terminology,line 906
1,"Misconception 1: ""Big-O means exact growth rate""",/Users/medina/Projects/oer-books/advanced-algorithms-book/chapters/01-introduction.qmd,COMPLEXITY,"✅ Correct thinking: ""Big-O gives an upper bound. If an algorithm is O(n²), it's also O(n³), O(n⁴), etc.""",,O(n²) O(n³) O(n⁴),,NO,NO,REVIEWED,NO,NO,LOW,Verify assumptions and terminology,line 908
1,"Misconception 1: ""Big-O means exact growth rate""",/Users/medina/Projects/oer-books/advanced-algorithms-book/chapters/01-introduction.qmd,COMPLEXITY,"Why this matters: Big-O tells us the worst an algorithm can be, not exactly how it behaves. Saying ""this algorithm is O(n²)"" means ""it won't be worse than quadratic,"" not ""it's exactly quadratic.""",,O(n²),,NO,NO,REVIEWED,NO,NO,LOW,Verify assumptions and terminology,line 910
1,"Misconception 1: ""Big-O means exact growth rate""",/Users/medina/Projects/oer-books/advanced-algorithms-book/chapters/01-introduction.qmd,CODE,Fenced block at lines 915-919,,,python,YES,CANDIDATE,SEE code-verification-results.csv,NO,NO,LOW,Use block-level verification record,Safe automated classification plus targeted tests; unexecuted blocks remain manual review.
1,"Misconception 1: ""Big-O means exact growth rate""",/Users/medina/Projects/oer-books/advanced-algorithms-book/chapters/01-introduction.qmd,COMPLEXITY,- O(n) ✓ (correct upper bound),,O(n),,NO,NO,REVIEWED,NO,NO,LOW,Verify assumptions and terminology,line 924
1,"Misconception 1: ""Big-O means exact growth rate""",/Users/medina/Projects/oer-books/advanced-algorithms-book/chapters/01-introduction.qmd,COMPLEXITY,- O(n²) ✓ (loose but valid upper bound),,O(n²),,NO,NO,REVIEWED,NO,NO,LOW,Verify assumptions and terminology,line 925
1,"Misconception 1: ""Big-O means exact growth rate""",/Users/medina/Projects/oer-books/advanced-algorithms-book/chapters/01-introduction.qmd,COMPLEXITY,- O(n³) ✓ (very loose but still valid upper bound),,O(n³),,NO,NO,REVIEWED,NO,NO,LOW,Verify assumptions and terminology,line 926
1,"Misconception 1: ""Big-O means exact growth rate""",/Users/medina/Projects/oer-books/advanced-algorithms-book/chapters/01-introduction.qmd,COMPLEXITY,"However, we prefer the tightest bound, so we say it's O(n).",,O(n),,NO,NO,REVIEWED,NO,NO,LOW,Verify assumptions and terminology,line 928
1,"Misconception 2: ""Constants and lower-order terms never matter""",/Users/medina/Projects/oer-books/advanced-algorithms-book/chapters/01-introduction.qmd,COMPLEXITY,"❌ Wrong thinking: ""Algorithm A takes 1000n² time, Algorithm B takes n² time. Since both are O(n²), they're equally good.""",,O(n²),,NO,NO,REVIEWED,NO,NO,LOW,Verify assumptions and terminology,line 932
1,"Misconception 2: ""Constants and lower-order terms never matter""",/Users/medina/Projects/oer-books/advanced-algorithms-book/chapters/01-introduction.qmd,COMPLEXITY,- When choosing between different complexity classes (O(n) vs O(n²)),,O(n) O(n²),,NO,NO,REVIEWED,NO,NO,LOW,Verify assumptions and terminology,line 952
1,"Misconception 3: ""Best case = O(), Worst case = Ω()""",/Users/medina/Projects/oer-books/advanced-algorithms-book/chapters/01-introduction.qmd,COMPLEXITY,"Misconception 3: ""Best case = O(), Worst case = Ω()""",,"O(), Worst case = Ω()",,NO,NO,REVIEWED,NO,NO,LOW,Verify assumptions and terminology,line 954
1,"Misconception 3: ""Best case = O(), Worst case = Ω()""",/Users/medina/Projects/oer-books/advanced-algorithms-book/chapters/01-introduction.qmd,COMPLEXITY,"❌ Wrong thinking: ""QuickSort's best case is O(n log n) and worst case is Ω(n²).""",,O(n log n) Ω(n²),,NO,NO,REVIEWED,NO,NO,LOW,Verify assumptions and terminology,line 956
1,"Misconception 3: ""Best case = O(), Worst case = Ω()""",/Users/medina/Projects/oer-books/advanced-algorithms-book/chapters/01-introduction.qmd,COMPLEXITY,"✅ Correct thinking: ""QuickSort's best case is Θ(n log n) and worst case is Θ(n²). Each case has its own Big-O, Big-Ω, and Big-Θ.""",,Θ(n log n) Θ(n²),,NO,NO,REVIEWED,NO,NO,LOW,Verify assumptions and terminology,line 958
1,"Misconception 3: ""Best case = O(), Worst case = Ω()""",/Users/medina/Projects/oer-books/advanced-algorithms-book/chapters/01-introduction.qmd,COMPLEXITY,- Best case: Θ(n log n) - this means O(n log n) AND Ω(n log n),,Θ(n log n) O(n log n) Ω(n log n),,NO,NO,REVIEWED,NO,NO,LOW,Verify assumptions and terminology,line 962
1,"Misconception 3: ""Best case = O(), Worst case = Ω()""",/Users/medina/Projects/oer-books/advanced-algorithms-book/chapters/01-introduction.qmd,COMPLEXITY,- Average case: Θ(n log n),,Θ(n log n),,NO,NO,REVIEWED,NO,NO,LOW,Verify assumptions and terminology,line 963
1,"Misconception 3: ""Best case = O(), Worst case = Ω()""",/Users/medina/Projects/oer-books/advanced-algorithms-book/chapters/01-introduction.qmd,COMPLEXITY,- Worst case: Θ(n²) - this means O(n²) AND Ω(n²),,Θ(n²) O(n²) Ω(n²),,NO,NO,REVIEWED,NO,NO,LOW,Verify assumptions and terminology,line 964
1,"Misconception 4: ""Asymptotic analysis applies to small inputs""",/Users/medina/Projects/oer-books/advanced-algorithms-book/chapters/01-introduction.qmd,COMPLEXITY,"❌ Wrong thinking: ""This O(n²) algorithm is slow even on 5 elements.""",,O(n²),,NO,NO,REVIEWED,NO,NO,LOW,Verify assumptions and terminology,line 968
1,"Misconception 4: ""Asymptotic analysis applies to small inputs""",/Users/medina/Projects/oer-books/advanced-algorithms-book/chapters/01-introduction.qmd,CODE,Fenced block at lines 975-980,,O(n²) O(n log n),python,YES,CANDIDATE,SEE code-verification-results.csv,NO,NO,LOW,Use block-level verification record,Safe automated classification plus targeted tests; unexecuted blocks remain manual review.
1,Growth Rate Hierarchy: A Roadmap,/Users/medina/Projects/oer-books/advanced-algorithms-book/chapters/01-introduction.qmd,PSEUDOCODE,Fenced block at lines 990-990,,O(1) O(log log n) O(log n) O(n^(1/3) O(√n) O(n) O(n log n) O(n²) O(n³) O(2ⁿ) O(n!) O(nⁿ),UNLABELED,YES,NO,SEE code-verification-results.csv,NO,NO,LOW,Use block-level verification record,Safe automated classification plus targeted tests; unexecuted blocks remain manual review.
1,O(1) - Constant Time,/Users/medina/Projects/oer-books/advanced-algorithms-book/chapters/01-introduction.qmd,COMPLEXITY,O(1) - Constant Time,,O(1),,NO,NO,REVIEWED,NO,NO,LOW,Verify assumptions and terminology,line 995
1,O(log n) - Logarithmic Time,/Users/medina/Projects/oer-books/advanced-algorithms-book/chapters/01-introduction.qmd,COMPLEXITY,O(log n) - Logarithmic Time,,O(log n) Logarithmic Time,,NO,NO,REVIEWED,NO,NO,LOW,Verify assumptions and terminology,line 1005
1,O(n) - Linear Time,/Users/medina/Projects/oer-books/advanced-algorithms-book/chapters/01-introduction.qmd,COMPLEXITY,O(n) - Linear Time,,O(n) Linear Time,,NO,NO,REVIEWED,NO,NO,LOW,Verify assumptions and terminology,line 1023
1,O(n log n) - Linearithmic Time,/Users/medina/Projects/oer-books/advanced-algorithms-book/chapters/01-introduction.qmd,COMPLEXITY,O(n log n) - Linearithmic Time,,O(n log n),,NO,NO,REVIEWED,NO,NO,LOW,Verify assumptions and terminology,line 1033
1,O(n²) - Quadratic Time,/Users/medina/Projects/oer-books/advanced-algorithms-book/chapters/01-introduction.qmd,COMPLEXITY,O(n²) - Quadratic Time,,O(n²) Quadratic Time,,NO,NO,REVIEWED,NO,NO,LOW,Verify assumptions and terminology,line 1045
