chapter,section,source_file,language,block_type,fenced_correctly,syntax_highlightable,line_length_issue,execution_possible,expected_output_present,formatting_problem,recommended_style,notes,phase5_block_id,phase5_status
1,"Approach 2: The ""Fast"" Way (QuickSelect)",chapters/01-introduction.qmd,python,PROGRAM_CODE,YES,YES,NO,YES,NO,NONE,program-code,lines 608-637; 28 content lines,ch01-b019,CLASSIFIED
1,"Approach 3: The ""Approximate"" Way",chapters/01-introduction.qmd,python,PROGRAM_CODE,YES,YES,NO,YES,NO,NONE,program-code,lines 647-656; 8 content lines,ch01-b020,CLASSIFIED
1,The Surprising Third Option: Making Algorithms Smarter,chapters/01-introduction.qmd,python,PROGRAM_CODE,YES,YES,NO,YES,NO,NONE,program-code,lines 738-746; 7 content lines,ch01-b021,CLASSIFIED
1,The Surprising Third Option: Making Algorithms Smarter,chapters/01-introduction.qmd,python,PROGRAM_CODE,YES,YES,NO,YES,NO,NONE,program-code,lines 750-755; 4 content lines,ch01-b022,CLASSIFIED
1,The Surprising Third Option: Making Algorithms Smarter,chapters/01-introduction.qmd,python,PROGRAM_CODE,YES,YES,NO,YES,NO,NONE,program-code,lines 759-772; 12 content lines,ch01-b023,CLASSIFIED
1,Big-O Notation (Upper Bound),chapters/01-introduction.qmd,UNLABELED,INLINE_EXAMPLE,YES,NO,NO,NO,NO,NONE,inline-example,lines 829-831; 1 content lines,ch01-b024,CLASSIFIED
1,Big-O Notation (Upper Bound),chapters/01-introduction.qmd,UNLABELED,INLINE_EXAMPLE,YES,NO,NO,NO,NO,NONE,inline-example,lines 841-843; 1 content lines,ch01-b025,CLASSIFIED
1,Big-O Notation (Upper Bound),chapters/01-introduction.qmd,UNLABELED,INLINE_EXAMPLE,YES,NO,NO,NO,NO,NONE,inline-example,lines 854-856; 1 content lines,ch01-b026,CLASSIFIED
1,Big-Ω Notation (Lower Bound),chapters/01-introduction.qmd,UNLABELED,INLINE_EXAMPLE,YES,NO,NO,NO,NO,NONE,inline-example,lines 864-866; 1 content lines,ch01-b027,CLASSIFIED
1,Big-Ω Notation (Lower Bound),chapters/01-introduction.qmd,UNLABELED,INLINE_EXAMPLE,YES,NO,NO,NO,NO,NONE,inline-example,lines 874-876; 1 content lines,ch01-b028,CLASSIFIED
1,Big-Ω Notation (Lower Bound),chapters/01-introduction.qmd,UNLABELED,INLINE_EXAMPLE,YES,NO,NO,NO,NO,NONE,inline-example,lines 880-882; 1 content lines,ch01-b029,CLASSIFIED
1,Big-Θ Notation (Tight Bound),chapters/01-introduction.qmd,UNLABELED,INLINE_EXAMPLE,YES,NO,NO,NO,NO,NONE,inline-example,lines 894-896; 1 content lines,ch01-b030,CLASSIFIED
1,"Misconception 1: ""Big-O means exact growth rate""",chapters/01-introduction.qmd,python,PROGRAM_CODE,YES,YES,NO,YES,NO,NONE,program-code,lines 914-920; 5 content lines,ch01-b031,CLASSIFIED
1,"Misconception 4: ""Asymptotic analysis applies to small inputs""",chapters/01-introduction.qmd,python,PROGRAM_CODE,YES,YES,NO,YES,NO,NONE,program-code,lines 974-981; 6 content lines,ch01-b032,CLASSIFIED
1,Growth Rate Hierarchy: A Roadmap,chapters/01-introduction.qmd,UNLABELED,PSEUDOCODE,YES,NO,NO,NO,NO,NONE,algorithm,lines 989-992; 2 content lines,ch01-b033,CLASSIFIED
1,Example 1: Nested Loops,chapters/01-introduction.qmd,python,PROGRAM_CODE,YES,YES,NO,YES,NO,NONE,program-code,lines 1102-1108; 5 content lines,ch01-b034,CLASSIFIED
1,Example 2: Variable Inner Loop,chapters/01-introduction.qmd,python,PROGRAM_CODE,YES,YES,NO,YES,NO,NONE,program-code,lines 1119-1125; 5 content lines,ch01-b035,CLASSIFIED
1,Example 3: Logarithmic Loop,chapters/01-introduction.qmd,python,PROGRAM_CODE,YES,YES,NO,YES,NO,NONE,program-code,lines 1139-1153; 13 content lines,ch01-b036,CLASSIFIED
1,Example 4: Divide and Conquer,chapters/01-introduction.qmd,python,PROGRAM_CODE,YES,YES,NO,YES,NO,NONE,program-code,lines 1164-1191; 26 content lines,ch01-b037,CLASSIFIED
1,Performance Prediction,chapters/01-introduction.qmd,python,PROGRAM_CODE,YES,YES,NO,YES,NO,NONE,program-code,lines 1205-1218; 12 content lines,ch01-b038,CLASSIFIED
1,Algorithm Selection,chapters/01-introduction.qmd,python,PROGRAM_CODE,YES,YES,NO,YES,NO,NONE,program-code,lines 1222-1231; 8 content lines,ch01-b039,CLASSIFIED
1,Bottleneck Identification,chapters/01-introduction.qmd,python,PROGRAM_CODE,YES,YES,NO,YES,NO,NONE,program-code,lines 1235-1251; 15 content lines,ch01-b040,CLASSIFIED
1,Space Complexity,chapters/01-introduction.qmd,python,PROGRAM_CODE,YES,YES,NO,YES,NO,NONE,program-code,lines 1287-1300; 12 content lines,ch01-b041,CLASSIFIED
1,Python: Our Language of Choice,chapters/01-introduction.qmd,bash,TERMINAL_COMMAND,YES,YES,NO,NO,NO,NONE,terminal,lines 1335-1347; 11 content lines,ch01-b042,CLASSIFIED
1,Virtual Environments: Keeping Things Clean,chapters/01-introduction.qmd,bash,TERMINAL_COMMAND,YES,YES,NO,NO,NO,NONE,terminal,lines 1353-1365; 11 content lines,ch01-b043,CLASSIFIED
1,Essential Libraries,chapters/01-introduction.qmd,bash,TERMINAL_COMMAND,YES,YES,NO,NO,NO,NONE,terminal,lines 1369-1375; 5 content lines,ch01-b044,CLASSIFIED
1,Project Structure: Building for Scale,chapters/01-introduction.qmd,UNLABELED,TEXT_DIAGRAM,YES,NO,NO,NO,NO,NONE,text-diagram,lines 1393-1449; 55 content lines,ch01-b045,CLASSIFIED
1,Project Structure: Building for Scale,chapters/01-introduction.qmd,bash,TERMINAL_COMMAND,YES,YES,NO,NO,NO,NONE,terminal,lines 1453-1463; 9 content lines,ch01-b046,CLASSIFIED
1,Version Control: Tracking Your Journey,chapters/01-introduction.qmd,bash,TERMINAL_COMMAND,YES,YES,NO,NO,NO,NONE,terminal,lines 1469-1541; 71 content lines,ch01-b047,CLASSIFIED
1,Building Your Benchmarking Framework,chapters/01-introduction.qmd,python,PROGRAM_CODE,YES,YES,NO,YES,NO,NONE,program-code,lines 1549-1953; 403 content lines,ch01-b048,CLASSIFIED
1,Testing Framework: Ensuring Correctness,chapters/01-introduction.qmd,python,PROGRAM_CODE,YES,YES,NO,YES,NO,NONE,program-code,lines 1961-1995; 33 content lines,ch01-b049,CLASSIFIED
1,Algorithm Implementations,chapters/01-introduction.qmd,python,PROGRAM_CODE,YES,YES,NO,YES,NO,NONE,program-code,lines 2003-2207; 203 content lines,ch01-b050,CLASSIFIED
1,Complete Working Example,chapters/01-introduction.qmd,python,PROGRAM_CODE,YES,YES,NO,YES,NO,NONE,program-code,lines 2215-2388; 172 content lines,ch01-b051,CLASSIFIED
1,Complete Working Example,chapters/01-introduction.qmd,python,PROGRAM_CODE,YES,YES,NO,YES,NO,NONE,program-code,lines 2400-2432; 31 content lines,ch01-b052,CLASSIFIED
1,Theoretical Problems,chapters/01-introduction.qmd,python,PROGRAM_CODE,YES,YES,NO,YES,NO,NONE,program-code,lines 2588-2630; 41 content lines,ch01-b053,CLASSIFIED
1,Practical Programming Problems,chapters/01-introduction.qmd,python,PROGRAM_CODE,YES,YES,NO,YES,NO,NONE,program-code,lines 2696-2710; 13 content lines,ch01-b054,CLASSIFIED
1,Practical Programming Problems,chapters/01-introduction.qmd,python,PROGRAM_CODE,YES,YES,NO,YES,NO,NONE,program-code,lines 2716-2728; 11 content lines,ch01-b055,CLASSIFIED
1,Practical Programming Problems,chapters/01-introduction.qmd,python,PROGRAM_CODE,YES,YES,NO,YES,NO,NONE,program-code,lines 2734-2741; 6 content lines,ch01-b056,CLASSIFIED
1,Practical Programming Problems,chapters/01-introduction.qmd,python,PROGRAM_CODE,YES,YES,NO,YES,NO,NONE,program-code,lines 2753-2766; 12 content lines,ch01-b057,CLASSIFIED
1,Submission Guidelines,chapters/01-introduction.qmd,UNLABELED,TEXT_DIAGRAM,YES,NO,NO,NO,NO,NONE,text-diagram,lines 2913-2936; 22 content lines,ch01-b058,CLASSIFIED
2,A Simple Example: Finding Maximum Element,chapters/02-Divide-and-Conquer.qmd,python,PROGRAM_CODE,YES,YES,NO,YES,NO,NONE,program-code,lines 111-119; 7 content lines,ch02-b001,CLASSIFIED
2,A Simple Example: Finding Maximum Element,chapters/02-Divide-and-Conquer.qmd,python,PROGRAM_CODE,YES,YES,NO,YES,NO,NONE,program-code,lines 123-151; 27 content lines,ch02-b002,CLASSIFIED
2,The Merge Operation: The Secret Sauce,chapters/02-Divide-and-Conquer.qmd,UNLABELED,PSEUDOCODE,YES,NO,NO,NO,NO,NONE,algorithm,lines 277-281; 3 content lines,ch02-b003,CLASSIFIED
2,The Merge Operation: The Secret Sauce,chapters/02-Divide-and-Conquer.qmd,python,PROGRAM_CODE,YES,YES,NO,YES,NO,NONE,program-code,lines 287-323; 35 content lines,ch02-b004,CLASSIFIED
2,The Merge Operation: The Secret Sauce,chapters/02-Divide-and-Conquer.qmd,UNLABELED,OTHER,YES,NO,NO,NO,NO,NONE,technical-other,lines 327-356; 28 content lines,ch02-b005,CLASSIFIED
2,The Complete Merge Sort Algorithm,chapters/02-Divide-and-Conquer.qmd,python,PROGRAM_CODE,YES,YES,NO,YES,NO,NONE,program-code,lines 371-425; 53 content lines,ch02-b006,CLASSIFIED
2,The Complete Merge Sort Algorithm,chapters/02-Divide-and-Conquer.qmd,UNLABELED,PSEUDOCODE,YES,NO,NO,NO,NO,NONE,algorithm,lines 431-449; 17 content lines,ch02-b007,CLASSIFIED
2,Time Complexity Analysis,chapters/02-Divide-and-Conquer.qmd,UNLABELED,INLINE_EXAMPLE,YES,NO,NO,NO,NO,NONE,inline-example,lines 505-508; 2 content lines,ch02-b008,CLASSIFIED
2,Time Complexity Analysis,chapters/02-Divide-and-Conquer.qmd,UNLABELED,OTHER,YES,NO,NO,NO,NO,NONE,technical-other,lines 512-521; 8 content lines,ch02-b009,CLASSIFIED
2,Time Complexity Analysis,chapters/02-Divide-and-Conquer.qmd,UNLABELED,OTHER,YES,NO,NO,NO,NO,NONE,technical-other,lines 537-545; 7 content lines,ch02-b010,CLASSIFIED
2,Optimizing Merge Sort,chapters/02-Divide-and-Conquer.qmd,python,PROGRAM_CODE,YES,YES,NO,YES,NO,NONE,program-code,lines 614-629; 14 content lines,ch02-b011,CLASSIFIED
2,Optimizing Merge Sort,chapters/02-Divide-and-Conquer.qmd,python,PROGRAM_CODE,YES,YES,NO,YES,NO,NONE,program-code,lines 640-655; 14 content lines,ch02-b012,CLASSIFIED
2,Optimizing Merge Sort,chapters/02-Divide-and-Conquer.qmd,python,PROGRAM_CODE,YES,YES,NO,YES,NO,NONE,program-code,lines 667-677; 9 content lines,ch02-b013,CLASSIFIED
2,A Simple Example,chapters/02-Divide-and-Conquer.qmd,UNLABELED,OTHER,YES,NO,NO,NO,NO,NONE,technical-other,lines 726-749; 22 content lines,ch02-b014,CLASSIFIED
2,The Partition Operation,chapters/02-Divide-and-Conquer.qmd,python,PROGRAM_CODE,YES,YES,NO,YES,NO,NONE,program-code,lines 765-806; 40 content lines,ch02-b015,CLASSIFIED
2,The Partition Operation,chapters/02-Divide-and-Conquer.qmd,UNLABELED,OTHER,YES,NO,NO,NO,NO,NONE,technical-other,lines 810-848; 37 content lines,ch02-b016,CLASSIFIED
2,The Complete QuickSort Algorithm,chapters/02-Divide-and-Conquer.qmd,python,PROGRAM_CODE,YES,YES,NO,YES,NO,NONE,program-code,lines 863-917; 53 content lines,ch02-b017,CLASSIFIED
2,The Complete QuickSort Algorithm,chapters/02-Divide-and-Conquer.qmd,UNLABELED,OTHER,YES,NO,NO,NO,NO,NONE,technical-other,lines 921-954; 32 content lines,ch02-b018,CLASSIFIED
2,Best Case: O(n log n),chapters/02-Divide-and-Conquer.qmd,UNLABELED,INLINE_EXAMPLE,YES,NO,NO,NO,NO,NONE,inline-example,lines 964-969; 4 content lines,ch02-b019,CLASSIFIED
2,Worst Case: O(n²),chapters/02-Divide-and-Conquer.qmd,UNLABELED,DATA,YES,NO,NO,NO,NO,NONE,data-example,lines 981-987; 5 content lines,ch02-b020,CLASSIFIED
2,Worst Case: O(n²),chapters/02-Divide-and-Conquer.qmd,UNLABELED,OTHER,YES,NO,NO,NO,NO,NONE,technical-other,lines 991-998; 6 content lines,ch02-b021,CLASSIFIED
2,The Worst Case Problem: Randomization to the Rescue!,chapters/02-Divide-and-Conquer.qmd,python,PROGRAM_CODE,YES,YES,NO,YES,NO,NONE,program-code,lines 1029-1064; 34 content lines,ch02-b022,CLASSIFIED
2,Alternative Pivot Selection Strategies,chapters/02-Divide-and-Conquer.qmd,python,PROGRAM_CODE,YES,YES,NO,YES,NO,NONE,program-code,lines 1088-1109; 20 content lines,ch02-b023,CLASSIFIED
2,Alternative Pivot Selection Strategies,chapters/02-Divide-and-Conquer.qmd,python,PROGRAM_CODE,YES,YES,NO,YES,NO,NONE,program-code,lines 1119-1135; 15 content lines,ch02-b024,CLASSIFIED
2,Alternative Pivot Selection Strategies,chapters/02-Divide-and-Conquer.qmd,python,PROGRAM_CODE,YES,YES,NO,YES,NO,NONE,program-code,lines 1145-1153; 7 content lines,ch02-b025,CLASSIFIED
2,Optimizing QuickSort for Production,chapters/02-Divide-and-Conquer.qmd,python,PROGRAM_CODE,YES,YES,NO,YES,NO,NONE,program-code,lines 1207-1231; 23 content lines,ch02-b026,CLASSIFIED
2,Optimizing QuickSort for Production,chapters/02-Divide-and-Conquer.qmd,python,PROGRAM_CODE,YES,YES,NO,YES,NO,NONE,program-code,lines 1245-1282; 36 content lines,ch02-b027,CLASSIFIED
2,Optimizing QuickSort for Production,chapters/02-Divide-and-Conquer.qmd,python,PROGRAM_CODE,YES,YES,NO,YES,NO,NONE,program-code,lines 1292-1309; 16 content lines,ch02-b028,CLASSIFIED
2,Recurrence Relations: The Language of Recursion,chapters/02-Divide-and-Conquer.qmd,UNLABELED,PSEUDOCODE,YES,NO,NO,NO,NO,NONE,algorithm,lines 1339-1346; 6 content lines,ch02-b029,CLASSIFIED
2,Recurrence Relations: The Language of Recursion,chapters/02-Divide-and-Conquer.qmd,UNLABELED,OTHER,YES,NO,NO,NO,NO,NONE,technical-other,lines 1352-1359; 6 content lines,ch02-b030,CLASSIFIED
2,Recurrence Relations: The Language of Recursion,chapters/02-Divide-and-Conquer.qmd,UNLABELED,INLINE_EXAMPLE,YES,NO,NO,NO,NO,NONE,inline-example,lines 1363-1367; 3 content lines,ch02-b031,CLASSIFIED
2,Recurrence Relations: The Language of Recursion,chapters/02-Divide-and-Conquer.qmd,UNLABELED,OTHER,YES,NO,NO,NO,NO,NONE,technical-other,lines 1371-1378; 6 content lines,ch02-b032,CLASSIFIED
2,Recurrence Relations: The Language of Recursion,chapters/02-Divide-and-Conquer.qmd,UNLABELED,OTHER,YES,NO,NO,NO,NO,NONE,technical-other,lines 1382-1389; 6 content lines,ch02-b033,CLASSIFIED
2,Method 1: Recursion Tree (Visual),chapters/02-Divide-and-Conquer.qmd,UNLABELED,OTHER,YES,NO,NO,NO,NO,NONE,technical-other,lines 1401-1412; 10 content lines,ch02-b034,CLASSIFIED
2,Method 2: Substitution (Guess and Verify),chapters/02-Divide-and-Conquer.qmd,UNLABELED,OTHER,YES,NO,NO,NO,NO,NONE,technical-other,lines 1441-1455; 13 content lines,ch02-b035,CLASSIFIED
2,The Master Theorem,chapters/02-Divide-and-Conquer.qmd,UNLABELED,INLINE_EXAMPLE,YES,NO,NO,NO,NO,NONE,inline-example,lines 1469-1471; 1 content lines,ch02-b036,CLASSIFIED
2,The Master Theorem,chapters/02-Divide-and-Conquer.qmd,UNLABELED,INLINE_EXAMPLE,YES,NO,NO,NO,NO,NONE,inline-example,lines 1477-1479; 1 content lines,ch02-b037,CLASSIFIED
2,The Master Theorem,chapters/02-Divide-and-Conquer.qmd,UNLABELED,INLINE_EXAMPLE,YES,NO,NO,NO,NO,NONE,inline-example,lines 1483-1485; 1 content lines,ch02-b038,CLASSIFIED
2,The Master Theorem,chapters/02-Divide-and-Conquer.qmd,UNLABELED,INLINE_EXAMPLE,YES,NO,NO,NO,NO,NONE,inline-example,lines 1489-1491; 1 content lines,ch02-b039,CLASSIFIED
2,Example 1: Merge Sort,chapters/02-Divide-and-Conquer.qmd,UNLABELED,INLINE_EXAMPLE,YES,NO,NO,NO,NO,NONE,inline-example,lines 1534-1536; 1 content lines,ch02-b040,CLASSIFIED
2,Example 1: Merge Sort,chapters/02-Divide-and-Conquer.qmd,UNLABELED,PSEUDOCODE,YES,NO,NO,NO,NO,NONE,algorithm,lines 1540-1545; 4 content lines,ch02-b041,CLASSIFIED
2,Example 1: Merge Sort,chapters/02-Divide-and-Conquer.qmd,UNLABELED,INLINE_EXAMPLE,YES,NO,NO,NO,NO,NONE,inline-example,lines 1551-1555; 3 content lines,ch02-b042,CLASSIFIED
2,Example 2: Binary Search,chapters/02-Divide-and-Conquer.qmd,UNLABELED,INLINE_EXAMPLE,YES,NO,NO,NO,NO,NONE,inline-example,lines 1571-1573; 1 content lines,ch02-b043,CLASSIFIED
2,Example 2: Binary Search,chapters/02-Divide-and-Conquer.qmd,UNLABELED,PSEUDOCODE,YES,NO,NO,NO,NO,NONE,algorithm,lines 1577-1582; 4 content lines,ch02-b044,CLASSIFIED
2,Example 2: Binary Search,chapters/02-Divide-and-Conquer.qmd,UNLABELED,INLINE_EXAMPLE,YES,NO,NO,NO,NO,NONE,inline-example,lines 1588-1590; 1 content lines,ch02-b045,CLASSIFIED
2,Example 3: Finding Maximum (Divide & Conquer),chapters/02-Divide-and-Conquer.qmd,UNLABELED,INLINE_EXAMPLE,YES,NO,NO,NO,NO,NONE,inline-example,lines 1606-1608; 1 content lines,ch02-b046,CLASSIFIED
2,Example 3: Finding Maximum (Divide & Conquer),chapters/02-Divide-and-Conquer.qmd,UNLABELED,PSEUDOCODE,YES,NO,NO,NO,NO,NONE,algorithm,lines 1612-1617; 4 content lines,ch02-b047,CLASSIFIED
2,Example 3: Finding Maximum (Divide & Conquer),chapters/02-Divide-and-Conquer.qmd,UNLABELED,INLINE_EXAMPLE,YES,NO,NO,NO,NO,NONE,inline-example,lines 1623-1627; 3 content lines,ch02-b048,CLASSIFIED
2,Example 4: Strassen's Matrix Multiplication (Preview),chapters/02-Divide-and-Conquer.qmd,UNLABELED,INLINE_EXAMPLE,YES,NO,NO,NO,NO,NONE,inline-example,lines 1643-1645; 1 content lines,ch02-b049,CLASSIFIED
2,Example 4: Strassen's Matrix Multiplication (Preview),chapters/02-Divide-and-Conquer.qmd,UNLABELED,PSEUDOCODE,YES,NO,NO,NO,NO,NONE,algorithm,lines 1649-1654; 4 content lines,ch02-b050,CLASSIFIED
2,Example 4: Strassen's Matrix Multiplication (Preview),chapters/02-Divide-and-Conquer.qmd,UNLABELED,INLINE_EXAMPLE,YES,NO,NO,NO,NO,NONE,inline-example,lines 1660-1663; 2 content lines,ch02-b051,CLASSIFIED
2,Example 5: A Contrived Case 3 Example,chapters/02-Divide-and-Conquer.qmd,UNLABELED,INLINE_EXAMPLE,YES,NO,NO,NO,NO,NONE,inline-example,lines 1679-1681; 1 content lines,ch02-b052,CLASSIFIED
2,Example 5: A Contrived Case 3 Example,chapters/02-Divide-and-Conquer.qmd,UNLABELED,PSEUDOCODE,YES,NO,NO,NO,NO,NONE,algorithm,lines 1685-1690; 4 content lines,ch02-b053,CLASSIFIED
2,Example 5: A Contrived Case 3 Example,chapters/02-Divide-and-Conquer.qmd,UNLABELED,OTHER,YES,NO,NO,NO,NO,NONE,technical-other,lines 1694-1700; 5 content lines,ch02-b054,CLASSIFIED
2,Example 5: A Contrived Case 3 Example,chapters/02-Divide-and-Conquer.qmd,UNLABELED,INLINE_EXAMPLE,YES,NO,NO,NO,NO,NONE,inline-example,lines 1706-1709; 2 content lines,ch02-b055,CLASSIFIED
2,When Master Theorem Doesn't Apply,chapters/02-Divide-and-Conquer.qmd,UNLABELED,OTHER,YES,NO,NO,NO,NO,NONE,technical-other,lines 1721-1732; 10 content lines,ch02-b056,CLASSIFIED
2,When Master Theorem Doesn't Apply,chapters/02-Divide-and-Conquer.qmd,UNLABELED,INLINE_EXAMPLE,YES,NO,NO,NO,NO,NONE,inline-example,lines 1738-1741; 2 content lines,ch02-b057,CLASSIFIED
2,When Master Theorem Doesn't Apply,chapters/02-Divide-and-Conquer.qmd,UNLABELED,INLINE_EXAMPLE,YES,NO,NO,NO,NO,NONE,inline-example,lines 1747-1751; 3 content lines,ch02-b058,CLASSIFIED
2,When Master Theorem Doesn't Apply,chapters/02-Divide-and-Conquer.qmd,UNLABELED,OTHER,YES,NO,NO,NO,NO,NONE,technical-other,lines 1757-1766; 8 content lines,ch02-b059,CLASSIFIED
2,Master Theorem Cheat Sheet,chapters/02-Divide-and-Conquer.qmd,UNLABELED,INLINE_EXAMPLE,YES,NO,NO,NO,NO,NONE,inline-example,lines 1776-1778; 1 content lines,ch02-b060,CLASSIFIED
2,Akra-Bazzi Method (Generalized Master Theorem),chapters/02-Divide-and-Conquer.qmd,UNLABELED,INLINE_EXAMPLE,YES,NO,NO,NO,NO,NONE,inline-example,lines 1865-1869; 3 content lines,ch02-b061,CLASSIFIED
2,Generating Functions,chapters/02-Divide-and-Conquer.qmd,UNLABELED,INLINE_EXAMPLE,YES,NO,NO,NO,NO,NONE,inline-example,lines 1875-1879; 3 content lines,ch02-b062,CLASSIFIED
2,Application 1: Fast Integer Multiplication (Karatsuba Algorithm),chapters/02-Divide-and-Conquer.qmd,UNLABELED,PSEUDOCODE,YES,NO,NO,NO,NO,NONE,algorithm,lines 1899-1904; 4 content lines,ch02-b063,CLASSIFIED
2,Application 1: Fast Integer Multiplication (Karatsuba Algorithm),chapters/02-Divide-and-Conquer.qmd,UNLABELED,INLINE_EXAMPLE,YES,NO,NO,NO,NO,NONE,inline-example,lines 1910-1915; 4 content lines,ch02-b064,CLASSIFIED
2,Application 1: Fast Integer Multiplication (Karatsuba Algorithm),chapters/02-Divide-and-Conquer.qmd,UNLABELED,OTHER,YES,NO,NO,NO,NO,NONE,technical-other,lines 1919-1931; 11 content lines,ch02-b065,CLASSIFIED
2,Application 1: Fast Integer Multiplication (Karatsuba Algorithm),chapters/02-Divide-and-Conquer.qmd,UNLABELED,OTHER,YES,NO,NO,NO,NO,NONE,technical-other,lines 1935-1944; 8 content lines,ch02-b066,CLASSIFIED
2,Application 1: Fast Integer Multiplication (Karatsuba Algorithm),chapters/02-Divide-and-Conquer.qmd,python,PROGRAM_CODE,YES,YES,NO,YES,NO,NONE,program-code,lines 1948-1982; 33 content lines,ch02-b067,CLASSIFIED
2,Application 1: Fast Integer Multiplication (Karatsuba Algorithm),chapters/02-Divide-and-Conquer.qmd,UNLABELED,OTHER,YES,NO,NO,NO,NO,NONE,technical-other,lines 1986-1996; 9 content lines,ch02-b068,CLASSIFIED
2,Application 2: Closest Pair of Points,chapters/02-Divide-and-Conquer.qmd,python,PROGRAM_CODE,YES,YES,NO,YES,NO,NONE,program-code,lines 2012-2024; 11 content lines,ch02-b069,CLASSIFIED
2,Application 2: Closest Pair of Points,chapters/02-Divide-and-Conquer.qmd,python,PROGRAM_CODE,YES,YES,NO,YES,NO,NONE,program-code,lines 2028-2123; 94 content lines,ch02-b070,CLASSIFIED
2,Application 2: Closest Pair of Points,chapters/02-Divide-and-Conquer.qmd,UNLABELED,OTHER,YES,NO,NO,NO,NO,NONE,technical-other,lines 2137-2143; 5 content lines,ch02-b071,CLASSIFIED
2,Application 3: Matrix Multiplication (Strassen's Algorithm),chapters/02-Divide-and-Conquer.qmd,python,PROGRAM_CODE,YES,YES,NO,YES,NO,NONE,program-code,lines 2151-2163; 11 content lines,ch02-b072,CLASSIFIED
