block_id,chapter,section,source_file,current_language,semantic_type,executable,complete_or_fragment,title_needed,caption_needed,line_numbers,print_style,html_style,epub_style,overflow_risk,special_handling,status,notes
ch01-b045,1,Project Structure: Building for Scale,chapters/01-introduction.qmd,UNLABELED,TEXT_DIAGRAM,NO,COMPLETE_OR_SUBSTANTIAL,NO,NO,NO,text-diagram,text-diagram,text-diagram,LOW,NONE,CLASSIFIED,lines 1393-1449; 55 content lines
ch01-b046,1,Project Structure: Building for Scale,chapters/01-introduction.qmd,bash,TERMINAL_COMMAND,NO,COMPLETE_OR_SUBSTANTIAL,NO,NO,NO,terminal,terminal,terminal,LOW,NONE,CLASSIFIED,lines 1453-1463; 9 content lines
ch01-b047,1,Version Control: Tracking Your Journey,chapters/01-introduction.qmd,bash,TERMINAL_COMMAND,NO,COMPLETE_OR_SUBSTANTIAL,NO,NO,NO,terminal,terminal,terminal,LOW,NONE,CLASSIFIED,lines 1469-1541; 71 content lines
ch01-b048,1,Building Your Benchmarking Framework,chapters/01-introduction.qmd,python,PROGRAM_CODE,YES,COMPLETE_OR_SUBSTANTIAL,NO,NO,NO,program-code,program-code,program-code,LOW,NONE,CLASSIFIED,lines 1549-1953; 403 content lines
ch01-b049,1,Testing Framework: Ensuring Correctness,chapters/01-introduction.qmd,python,PROGRAM_CODE,YES,COMPLETE_OR_SUBSTANTIAL,NO,NO,NO,program-code,program-code,program-code,LOW,NONE,CLASSIFIED,lines 1961-1995; 33 content lines
ch01-b050,1,Algorithm Implementations,chapters/01-introduction.qmd,python,PROGRAM_CODE,YES,COMPLETE_OR_SUBSTANTIAL,NO,NO,NO,program-code,program-code,program-code,LOW,NONE,CLASSIFIED,lines 2003-2207; 203 content lines
ch01-b051,1,Complete Working Example,chapters/01-introduction.qmd,python,PROGRAM_CODE,YES,COMPLETE_OR_SUBSTANTIAL,NO,NO,NO,program-code,program-code,program-code,LOW,NONE,CLASSIFIED,lines 2215-2388; 172 content lines
ch01-b052,1,Complete Working Example,chapters/01-introduction.qmd,python,PROGRAM_CODE,YES,COMPLETE_OR_SUBSTANTIAL,NO,NO,NO,program-code,program-code,program-code,LOW,NONE,CLASSIFIED,lines 2400-2432; 31 content lines
ch01-b053,1,Theoretical Problems,chapters/01-introduction.qmd,python,PROGRAM_CODE,YES,COMPLETE_OR_SUBSTANTIAL,NO,NO,NO,program-code,program-code,program-code,LOW,NONE,CLASSIFIED,lines 2588-2630; 41 content lines
ch01-b054,1,Practical Programming Problems,chapters/01-introduction.qmd,python,PROGRAM_CODE,YES,COMPLETE_OR_SUBSTANTIAL,NO,NO,NO,program-code,program-code,program-code,LOW,NONE,CLASSIFIED,lines 2696-2710; 13 content lines
ch01-b055,1,Practical Programming Problems,chapters/01-introduction.qmd,python,PROGRAM_CODE,YES,COMPLETE_OR_SUBSTANTIAL,NO,NO,NO,program-code,program-code,program-code,LOW,NONE,CLASSIFIED,lines 2716-2728; 11 content lines
ch01-b056,1,Practical Programming Problems,chapters/01-introduction.qmd,python,PROGRAM_CODE,YES,FRAGMENT,NO,NO,NO,program-code,program-code,program-code,LOW,NONE,CLASSIFIED,lines 2734-2741; 6 content lines
ch01-b057,1,Practical Programming Problems,chapters/01-introduction.qmd,python,PROGRAM_CODE,YES,COMPLETE_OR_SUBSTANTIAL,NO,NO,NO,program-code,program-code,program-code,LOW,NONE,CLASSIFIED,lines 2753-2766; 12 content lines
ch01-b058,1,Submission Guidelines,chapters/01-introduction.qmd,UNLABELED,TEXT_DIAGRAM,NO,COMPLETE_OR_SUBSTANTIAL,NO,NO,NO,text-diagram,text-diagram,text-diagram,LOW,NONE,CLASSIFIED,lines 2913-2936; 22 content lines
ch02-b001,2,A Simple Example: Finding Maximum Element,chapters/02-Divide-and-Conquer.qmd,python,PROGRAM_CODE,YES,FRAGMENT,NO,NO,NO,program-code,program-code,program-code,LOW,NONE,CLASSIFIED,lines 111-119; 7 content lines
ch02-b002,2,A Simple Example: Finding Maximum Element,chapters/02-Divide-and-Conquer.qmd,python,PROGRAM_CODE,YES,COMPLETE_OR_SUBSTANTIAL,NO,NO,NO,program-code,program-code,program-code,LOW,NONE,CLASSIFIED,lines 123-151; 27 content lines
ch02-b003,2,The Merge Operation: The Secret Sauce,chapters/02-Divide-and-Conquer.qmd,UNLABELED,PSEUDOCODE,NO,FRAGMENT,NO,NO,NO,algorithm,algorithm,algorithm,LOW,NONE,CLASSIFIED,lines 277-281; 3 content lines
ch02-b004,2,The Merge Operation: The Secret Sauce,chapters/02-Divide-and-Conquer.qmd,python,PROGRAM_CODE,YES,COMPLETE_OR_SUBSTANTIAL,NO,NO,NO,program-code,program-code,program-code,LOW,NONE,CLASSIFIED,lines 287-323; 35 content lines
ch02-b005,2,The Merge Operation: The Secret Sauce,chapters/02-Divide-and-Conquer.qmd,UNLABELED,OTHER,NO,COMPLETE_OR_SUBSTANTIAL,NO,NO,NO,technical-other,technical-other,technical-other,LOW,NONE,CLASSIFIED,lines 327-356; 28 content lines
ch02-b006,2,The Complete Merge Sort Algorithm,chapters/02-Divide-and-Conquer.qmd,python,PROGRAM_CODE,YES,COMPLETE_OR_SUBSTANTIAL,NO,NO,NO,program-code,program-code,program-code,LOW,NONE,CLASSIFIED,lines 371-425; 53 content lines
ch02-b007,2,The Complete Merge Sort Algorithm,chapters/02-Divide-and-Conquer.qmd,UNLABELED,PSEUDOCODE,NO,COMPLETE_OR_SUBSTANTIAL,NO,NO,NO,algorithm,algorithm,algorithm,LOW,NONE,CLASSIFIED,lines 431-449; 17 content lines
ch02-b008,2,Time Complexity Analysis,chapters/02-Divide-and-Conquer.qmd,UNLABELED,INLINE_EXAMPLE,NO,FRAGMENT,NO,NO,NO,inline-example,inline-example,inline-example,LOW,NONE,CLASSIFIED,lines 505-508; 2 content lines
ch02-b009,2,Time Complexity Analysis,chapters/02-Divide-and-Conquer.qmd,UNLABELED,OTHER,NO,COMPLETE_OR_SUBSTANTIAL,NO,NO,NO,technical-other,technical-other,technical-other,LOW,NONE,CLASSIFIED,lines 512-521; 8 content lines
ch02-b010,2,Time Complexity Analysis,chapters/02-Divide-and-Conquer.qmd,UNLABELED,OTHER,NO,FRAGMENT,NO,NO,NO,technical-other,technical-other,technical-other,LOW,NONE,CLASSIFIED,lines 537-545; 7 content lines
ch02-b011,2,Optimizing Merge Sort,chapters/02-Divide-and-Conquer.qmd,python,PROGRAM_CODE,YES,COMPLETE_OR_SUBSTANTIAL,NO,NO,NO,program-code,program-code,program-code,LOW,NONE,CLASSIFIED,lines 614-629; 14 content lines
ch02-b012,2,Optimizing Merge Sort,chapters/02-Divide-and-Conquer.qmd,python,PROGRAM_CODE,YES,COMPLETE_OR_SUBSTANTIAL,NO,NO,NO,program-code,program-code,program-code,LOW,NONE,CLASSIFIED,lines 640-655; 14 content lines
ch02-b013,2,Optimizing Merge Sort,chapters/02-Divide-and-Conquer.qmd,python,PROGRAM_CODE,YES,COMPLETE_OR_SUBSTANTIAL,NO,NO,NO,program-code,program-code,program-code,LOW,NONE,CLASSIFIED,lines 667-677; 9 content lines
ch02-b014,2,A Simple Example,chapters/02-Divide-and-Conquer.qmd,UNLABELED,OTHER,NO,COMPLETE_OR_SUBSTANTIAL,NO,NO,NO,technical-other,technical-other,technical-other,LOW,NONE,CLASSIFIED,lines 726-749; 22 content lines
ch02-b015,2,The Partition Operation,chapters/02-Divide-and-Conquer.qmd,python,PROGRAM_CODE,YES,COMPLETE_OR_SUBSTANTIAL,NO,NO,NO,program-code,program-code,program-code,LOW,NONE,CLASSIFIED,lines 765-806; 40 content lines
ch02-b016,2,The Partition Operation,chapters/02-Divide-and-Conquer.qmd,UNLABELED,OTHER,NO,COMPLETE_OR_SUBSTANTIAL,NO,NO,NO,technical-other,technical-other,technical-other,LOW,NONE,CLASSIFIED,lines 810-848; 37 content lines
ch02-b017,2,The Complete QuickSort Algorithm,chapters/02-Divide-and-Conquer.qmd,python,PROGRAM_CODE,YES,COMPLETE_OR_SUBSTANTIAL,NO,NO,NO,program-code,program-code,program-code,LOW,NONE,CLASSIFIED,lines 863-917; 53 content lines
ch02-b018,2,The Complete QuickSort Algorithm,chapters/02-Divide-and-Conquer.qmd,UNLABELED,OTHER,NO,COMPLETE_OR_SUBSTANTIAL,NO,NO,NO,technical-other,technical-other,technical-other,LOW,NONE,CLASSIFIED,lines 921-954; 32 content lines
ch02-b019,2,Best Case: O(n log n),chapters/02-Divide-and-Conquer.qmd,UNLABELED,INLINE_EXAMPLE,NO,FRAGMENT,NO,NO,NO,inline-example,inline-example,inline-example,LOW,NONE,CLASSIFIED,lines 964-969; 4 content lines
ch02-b020,2,Worst Case: O(n²),chapters/02-Divide-and-Conquer.qmd,UNLABELED,DATA,NO,FRAGMENT,NO,NO,NO,data-example,data-example,data-example,LOW,NONE,CLASSIFIED,lines 981-987; 5 content lines
ch02-b021,2,Worst Case: O(n²),chapters/02-Divide-and-Conquer.qmd,UNLABELED,OTHER,NO,FRAGMENT,NO,NO,NO,technical-other,technical-other,technical-other,LOW,NONE,CLASSIFIED,lines 991-998; 6 content lines
ch02-b022,2,The Worst Case Problem: Randomization to the Rescue!,chapters/02-Divide-and-Conquer.qmd,python,PROGRAM_CODE,YES,COMPLETE_OR_SUBSTANTIAL,NO,NO,NO,program-code,program-code,program-code,LOW,NONE,CLASSIFIED,lines 1029-1064; 34 content lines
ch02-b023,2,Alternative Pivot Selection Strategies,chapters/02-Divide-and-Conquer.qmd,python,PROGRAM_CODE,YES,COMPLETE_OR_SUBSTANTIAL,NO,NO,NO,program-code,program-code,program-code,LOW,NONE,CLASSIFIED,lines 1088-1109; 20 content lines
ch02-b024,2,Alternative Pivot Selection Strategies,chapters/02-Divide-and-Conquer.qmd,python,PROGRAM_CODE,YES,COMPLETE_OR_SUBSTANTIAL,NO,NO,NO,program-code,program-code,program-code,LOW,NONE,CLASSIFIED,lines 1119-1135; 15 content lines
ch02-b025,2,Alternative Pivot Selection Strategies,chapters/02-Divide-and-Conquer.qmd,python,PROGRAM_CODE,YES,FRAGMENT,NO,NO,NO,program-code,program-code,program-code,LOW,NONE,CLASSIFIED,lines 1145-1153; 7 content lines
ch02-b026,2,Optimizing QuickSort for Production,chapters/02-Divide-and-Conquer.qmd,python,PROGRAM_CODE,YES,COMPLETE_OR_SUBSTANTIAL,NO,NO,NO,program-code,program-code,program-code,LOW,NONE,CLASSIFIED,lines 1207-1231; 23 content lines
ch02-b027,2,Optimizing QuickSort for Production,chapters/02-Divide-and-Conquer.qmd,python,PROGRAM_CODE,YES,COMPLETE_OR_SUBSTANTIAL,NO,NO,NO,program-code,program-code,program-code,LOW,NONE,CLASSIFIED,lines 1245-1282; 36 content lines
ch02-b028,2,Optimizing QuickSort for Production,chapters/02-Divide-and-Conquer.qmd,python,PROGRAM_CODE,YES,COMPLETE_OR_SUBSTANTIAL,NO,NO,NO,program-code,program-code,program-code,LOW,NONE,CLASSIFIED,lines 1292-1309; 16 content lines
ch02-b029,2,Recurrence Relations: The Language of Recursion,chapters/02-Divide-and-Conquer.qmd,UNLABELED,PSEUDOCODE,NO,FRAGMENT,NO,NO,NO,algorithm,algorithm,algorithm,LOW,NONE,CLASSIFIED,lines 1339-1346; 6 content lines
ch02-b030,2,Recurrence Relations: The Language of Recursion,chapters/02-Divide-and-Conquer.qmd,UNLABELED,OTHER,NO,FRAGMENT,NO,NO,NO,technical-other,technical-other,technical-other,LOW,NONE,CLASSIFIED,lines 1352-1359; 6 content lines
ch02-b031,2,Recurrence Relations: The Language of Recursion,chapters/02-Divide-and-Conquer.qmd,UNLABELED,INLINE_EXAMPLE,NO,FRAGMENT,NO,NO,NO,inline-example,inline-example,inline-example,LOW,NONE,CLASSIFIED,lines 1363-1367; 3 content lines
ch02-b032,2,Recurrence Relations: The Language of Recursion,chapters/02-Divide-and-Conquer.qmd,UNLABELED,OTHER,NO,FRAGMENT,NO,NO,NO,technical-other,technical-other,technical-other,LOW,NONE,CLASSIFIED,lines 1371-1378; 6 content lines
ch02-b033,2,Recurrence Relations: The Language of Recursion,chapters/02-Divide-and-Conquer.qmd,UNLABELED,OTHER,NO,FRAGMENT,NO,NO,NO,technical-other,technical-other,technical-other,LOW,NONE,CLASSIFIED,lines 1382-1389; 6 content lines
ch02-b034,2,Method 1: Recursion Tree (Visual),chapters/02-Divide-and-Conquer.qmd,UNLABELED,OTHER,NO,COMPLETE_OR_SUBSTANTIAL,NO,NO,NO,technical-other,technical-other,technical-other,LOW,NONE,CLASSIFIED,lines 1401-1412; 10 content lines
ch02-b035,2,Method 2: Substitution (Guess and Verify),chapters/02-Divide-and-Conquer.qmd,UNLABELED,OTHER,NO,COMPLETE_OR_SUBSTANTIAL,NO,NO,NO,technical-other,technical-other,technical-other,LOW,NONE,CLASSIFIED,lines 1441-1455; 13 content lines
ch02-b036,2,The Master Theorem,chapters/02-Divide-and-Conquer.qmd,UNLABELED,INLINE_EXAMPLE,NO,FRAGMENT,NO,NO,NO,inline-example,inline-example,inline-example,LOW,NONE,CLASSIFIED,lines 1469-1471; 1 content lines
ch02-b037,2,The Master Theorem,chapters/02-Divide-and-Conquer.qmd,UNLABELED,INLINE_EXAMPLE,NO,FRAGMENT,NO,NO,NO,inline-example,inline-example,inline-example,LOW,NONE,CLASSIFIED,lines 1477-1479; 1 content lines
ch02-b038,2,The Master Theorem,chapters/02-Divide-and-Conquer.qmd,UNLABELED,INLINE_EXAMPLE,NO,FRAGMENT,NO,NO,NO,inline-example,inline-example,inline-example,LOW,NONE,CLASSIFIED,lines 1483-1485; 1 content lines
ch02-b039,2,The Master Theorem,chapters/02-Divide-and-Conquer.qmd,UNLABELED,INLINE_EXAMPLE,NO,FRAGMENT,NO,NO,NO,inline-example,inline-example,inline-example,LOW,NONE,CLASSIFIED,lines 1489-1491; 1 content lines
ch02-b040,2,Example 1: Merge Sort,chapters/02-Divide-and-Conquer.qmd,UNLABELED,INLINE_EXAMPLE,NO,FRAGMENT,NO,NO,NO,inline-example,inline-example,inline-example,LOW,NONE,CLASSIFIED,lines 1534-1536; 1 content lines
ch02-b041,2,Example 1: Merge Sort,chapters/02-Divide-and-Conquer.qmd,UNLABELED,PSEUDOCODE,NO,FRAGMENT,NO,NO,NO,algorithm,algorithm,algorithm,LOW,NONE,CLASSIFIED,lines 1540-1545; 4 content lines
ch02-b042,2,Example 1: Merge Sort,chapters/02-Divide-and-Conquer.qmd,UNLABELED,INLINE_EXAMPLE,NO,FRAGMENT,NO,NO,NO,inline-example,inline-example,inline-example,LOW,NONE,CLASSIFIED,lines 1551-1555; 3 content lines
ch02-b043,2,Example 2: Binary Search,chapters/02-Divide-and-Conquer.qmd,UNLABELED,INLINE_EXAMPLE,NO,FRAGMENT,NO,NO,NO,inline-example,inline-example,inline-example,LOW,NONE,CLASSIFIED,lines 1571-1573; 1 content lines
ch02-b044,2,Example 2: Binary Search,chapters/02-Divide-and-Conquer.qmd,UNLABELED,PSEUDOCODE,NO,FRAGMENT,NO,NO,NO,algorithm,algorithm,algorithm,LOW,NONE,CLASSIFIED,lines 1577-1582; 4 content lines
ch02-b045,2,Example 2: Binary Search,chapters/02-Divide-and-Conquer.qmd,UNLABELED,INLINE_EXAMPLE,NO,FRAGMENT,NO,NO,NO,inline-example,inline-example,inline-example,LOW,NONE,CLASSIFIED,lines 1588-1590; 1 content lines
ch02-b046,2,Example 3: Finding Maximum (Divide & Conquer),chapters/02-Divide-and-Conquer.qmd,UNLABELED,INLINE_EXAMPLE,NO,FRAGMENT,NO,NO,NO,inline-example,inline-example,inline-example,LOW,NONE,CLASSIFIED,lines 1606-1608; 1 content lines
ch02-b047,2,Example 3: Finding Maximum (Divide & Conquer),chapters/02-Divide-and-Conquer.qmd,UNLABELED,PSEUDOCODE,NO,FRAGMENT,NO,NO,NO,algorithm,algorithm,algorithm,LOW,NONE,CLASSIFIED,lines 1612-1617; 4 content lines
ch02-b048,2,Example 3: Finding Maximum (Divide & Conquer),chapters/02-Divide-and-Conquer.qmd,UNLABELED,INLINE_EXAMPLE,NO,FRAGMENT,NO,NO,NO,inline-example,inline-example,inline-example,LOW,NONE,CLASSIFIED,lines 1623-1627; 3 content lines
ch02-b049,2,Example 4: Strassen's Matrix Multiplication (Preview),chapters/02-Divide-and-Conquer.qmd,UNLABELED,INLINE_EXAMPLE,NO,FRAGMENT,NO,NO,NO,inline-example,inline-example,inline-example,LOW,NONE,CLASSIFIED,lines 1643-1645; 1 content lines
