block_id,chapter,section,semantic_type,source_file,source_lines,expected_to_render,pdf_start_page,pdf_end_page,first_meaningful_line_found,last_meaningful_line_found,visible_content_found,verification_method,status
ch01-b027,1,Example 2: Variable Inner Loop,program-code,chapters/01-introduction.qmd,1128-1134,YES,43,43,YES,YES,YES,first and last source signatures,PASS
ch01-b028,1,Example 3: Logarithmic Loop,program-code,chapters/01-introduction.qmd,1148-1162,YES,43,43,YES,YES,YES,first and last source signatures,PASS
ch01-b029,1,Example 4: Divide and Conquer,program-code,chapters/01-introduction.qmd,1173-1200,YES,44,579,YES,YES,YES,first and last source signatures,PASS
ch01-b030,1,Performance Prediction,program-code,chapters/01-introduction.qmd,1214-1227,YES,45,45,YES,YES,YES,first and last source signatures,PASS
ch01-b031,1,Algorithm Selection,program-code,chapters/01-introduction.qmd,1231-1240,YES,45,45,YES,YES,YES,first and last source signatures,PASS
ch01-b032,1,Bottleneck Identification,program-code,chapters/01-introduction.qmd,1244-1260,YES,45,45,YES,YES,YES,first and last source signatures,PASS
ch01-b033,1,Space Complexity,program-code,chapters/01-introduction.qmd,1296-1309,YES,46,487,YES,YES,YES,first and last source signatures,PASS
ch01-b034,1,Python: Our Language of Choice,terminal,chapters/01-introduction.qmd,1344-1356,YES,47,47,YES,YES,YES,first and last source signatures,PASS
ch01-b035,1,Virtual Environments: Keeping Things Clean,terminal,chapters/01-introduction.qmd,1362-1374,YES,48,48,YES,YES,YES,first and last source signatures,PASS
ch01-b036,1,Essential Libraries,terminal,chapters/01-introduction.qmd,1378-1384,YES,48,48,YES,YES,YES,first and last source signatures,PASS
ch01-b037,1,Project Structure: Building for Scale,text-diagram,chapters/01-introduction.qmd,1402-1458,YES,1,49,YES,YES,YES,first and last source signatures,PASS
ch01-b038,1,Project Structure: Building for Scale,terminal,chapters/01-introduction.qmd,1462-1472,YES,50,50,YES,YES,YES,first and last source signatures,PASS
ch01-b039,1,Version Control: Tracking Your Journey,terminal,chapters/01-introduction.qmd,1478-1550,YES,50,51,YES,YES,YES,first and last source signatures,PASS
ch01-b040,1,Building Your Benchmarking Framework,program-code,chapters/01-introduction.qmd,1556-1960,YES,51,58,YES,YES,YES,first and last source signatures,PASS
ch01-b041,1,Testing Framework: Ensuring Correctness,program-code,chapters/01-introduction.qmd,1966-2000,YES,59,59,YES,YES,YES,first and last source signatures,PASS
ch01-b042,1,Algorithm Implementations,program-code,chapters/01-introduction.qmd,2006-2210,YES,60,63,YES,YES,YES,first and last source signatures,PASS
ch01-b043,1,Complete Working Example,program-code,chapters/01-introduction.qmd,2216-2419,YES,63,67,YES,YES,YES,first and last source signatures,PASS
ch01-b044,1,Theoretical Problems,program-code,chapters/01-introduction.qmd,2573-2615,YES,71,71,YES,YES,YES,first and last source signatures,PASS
ch01-b045,1,Practical Programming Problems,program-code,chapters/01-introduction.qmd,2679-2693,YES,73,141,YES,YES,YES,first and last source signatures,PASS
ch01-b046,1,Practical Programming Problems,program-code,chapters/01-introduction.qmd,2697-2709,YES,73,141,YES,YES,YES,first and last source signatures,PASS
ch01-b047,1,Practical Programming Problems,program-code,chapters/01-introduction.qmd,2713-2720,YES,73,141,YES,YES,YES,first and last source signatures,PASS
ch01-b048,1,Practical Programming Problems,program-code,chapters/01-introduction.qmd,2730-2743,YES,74,141,YES,YES,YES,first and last source signatures,PASS
ch01-b049,1,Submission Guidelines,text-diagram,chapters/01-introduction.qmd,2890-2913,YES,77,77,YES,YES,YES,first and last source signatures,PASS
ch02-b001,2,A Simple Example: Finding Maximum Element,program-code,chapters/02-Divide-and-Conquer.qmd,111-119,YES,83,151,YES,YES,YES,first and last source signatures,PASS
ch02-b002,2,A Simple Example: Finding Maximum Element,program-code,chapters/02-Divide-and-Conquer.qmd,123-151,YES,83,83,YES,YES,YES,first and last source signatures,PASS
ch02-b003,2,The Merge Operation: The Secret Sauce,algorithm,chapters/02-Divide-and-Conquer.qmd,277-281,YES,87,88,YES,YES,YES,first and last source signatures,PASS
ch02-b004,2,The Merge Operation: The Secret Sauce,program-code,chapters/02-Divide-and-Conquer.qmd,287-323,YES,44,579,YES,YES,YES,first and last source signatures,PASS
ch02-b005,2,The Merge Operation: The Secret Sauce,technical-other,chapters/02-Divide-and-Conquer.qmd,327-356,YES,88,88,YES,YES,YES,first and last source signatures,PASS
ch02-b006,2,The Complete Merge Sort Algorithm,program-code,chapters/02-Divide-and-Conquer.qmd,371-425,YES,44,579,YES,YES,YES,first and last source signatures,PASS
ch02-b007,2,The Complete Merge Sort Algorithm,algorithm,chapters/02-Divide-and-Conquer.qmd,431-449,YES,90,90,YES,YES,YES,first and last source signatures,PASS
ch02-b008,2,Time Complexity Analysis,technical-other,chapters/02-Divide-and-Conquer.qmd,512-521,YES,92,92,YES,YES,YES,first and last source signatures,PASS
ch02-b009,2,Time Complexity Analysis,technical-other,chapters/02-Divide-and-Conquer.qmd,537-545,YES,92,92,YES,YES,YES,first and last source signatures,PASS
ch02-b010,2,Optimizing Merge Sort,program-code,chapters/02-Divide-and-Conquer.qmd,614-629,YES,94,134,YES,YES,YES,first and last source signatures,PASS
ch02-b011,2,Optimizing Merge Sort,program-code,chapters/02-Divide-and-Conquer.qmd,640-655,YES,95,134,YES,YES,YES,first and last source signatures,PASS
ch02-b012,2,Optimizing Merge Sort,program-code,chapters/02-Divide-and-Conquer.qmd,667-677,YES,95,95,YES,YES,YES,first and last source signatures,PASS
ch02-b013,2,A Simple Example,technical-other,chapters/02-Divide-and-Conquer.qmd,726-749,YES,96,101,YES,YES,YES,first and last source signatures,PASS
ch02-b014,2,The Partition Operation,program-code,chapters/02-Divide-and-Conquer.qmd,765-806,YES,97,98,YES,YES,YES,first and last source signatures,PASS
ch02-b015,2,The Partition Operation,technical-other,chapters/02-Divide-and-Conquer.qmd,810-848,YES,98,99,YES,YES,YES,first and last source signatures,PASS
ch02-b016,2,The Complete QuickSort Algorithm,program-code,chapters/02-Divide-and-Conquer.qmd,863-917,YES,99,128,YES,YES,YES,first and last source signatures,PASS
ch02-b017,2,The Complete QuickSort Algorithm,technical-other,chapters/02-Divide-and-Conquer.qmd,921-954,YES,100,101,YES,YES,YES,first and last source signatures,PASS
ch02-b018,2,Worst Case: $O(n^2)$,data-example,chapters/02-Divide-and-Conquer.qmd,980-986,YES,101,102,YES,YES,YES,first and last source signatures,PASS
ch02-b019,2,The Worst Case Problem: Randomization to the Rescue!,program-code,chapters/02-Divide-and-Conquer.qmd,1030-1065,YES,31,103,YES,YES,YES,first and last source signatures,PASS
ch02-b020,2,Alternative Pivot Selection Strategies,program-code,chapters/02-Divide-and-Conquer.qmd,1089-1110,YES,104,104,YES,YES,YES,first and last source signatures,PASS
ch02-b021,2,Alternative Pivot Selection Strategies,program-code,chapters/02-Divide-and-Conquer.qmd,1120-1136,YES,104,104,YES,YES,YES,first and last source signatures,PASS
ch02-b022,2,Alternative Pivot Selection Strategies,program-code,chapters/02-Divide-and-Conquer.qmd,1146-1154,YES,105,105,YES,YES,YES,first and last source signatures,PASS
ch02-b023,2,Optimizing QuickSort for Production,program-code,chapters/02-Divide-and-Conquer.qmd,1208-1232,YES,106,129,YES,YES,YES,first and last source signatures,PASS
ch02-b024,2,Optimizing QuickSort for Production,program-code,chapters/02-Divide-and-Conquer.qmd,1246-1283,YES,107,107,YES,YES,YES,first and last source signatures,PASS
ch02-b025,2,Optimizing QuickSort for Production,program-code,chapters/02-Divide-and-Conquer.qmd,1293-1310,YES,108,108,YES,YES,YES,first and last source signatures,PASS
ch02-b026,2,Method 1: Recursion Tree (Visual),technical-other,chapters/02-Divide-and-Conquer.qmd,1390-1401,YES,92,110,YES,YES,YES,first and last source signatures,PASS
ch02-b027,2,Method 2: Substitution (Guess and Verify),technical-other,chapters/02-Divide-and-Conquer.qmd,1430-1444,YES,110,110,YES,YES,YES,first and last source signatures,PASS
ch02-b028,2,Example 3: Finding Maximum (Divide & Conquer),algorithm,chapters/02-Divide-and-Conquer.qmd,1604-1609,YES,113,113,YES,YES,YES,first and last source signatures,PASS
ch02-b029,2,Example 4: Strassen's Matrix Multiplication (Preview),algorithm,chapters/02-Divide-and-Conquer.qmd,1639-1644,YES,114,114,YES,YES,YES,first and last source signatures,PASS
ch02-b030,2,Example 5: A Contrived Case 3 Example,algorithm,chapters/02-Divide-and-Conquer.qmd,1674-1679,YES,115,115,YES,YES,YES,first and last source signatures,PASS
ch02-b031,2,When Master Theorem Doesn't Apply,technical-other,chapters/02-Divide-and-Conquer.qmd,1709-1720,YES,115,115,YES,YES,YES,first and last source signatures,PASS
ch02-b032,2,When Master Theorem Doesn't Apply,inline-example,chapters/02-Divide-and-Conquer.qmd,1726-1729,YES,116,139,YES,YES,YES,first and last source signatures,PASS
ch02-b033,2,When Master Theorem Doesn't Apply,inline-example,chapters/02-Divide-and-Conquer.qmd,1735-1739,YES,116,139,YES,YES,YES,first and last source signatures,PASS
ch02-b034,2,When Master Theorem Doesn't Apply,technical-other,chapters/02-Divide-and-Conquer.qmd,1745-1754,YES,116,116,YES,YES,YES,first and last source signatures,PASS
ch02-b035,2,Application 1: Fast Integer Multiplication (Karatsuba Algorithm),algorithm,chapters/02-Divide-and-Conquer.qmd,1888-1893,YES,119,119,YES,YES,YES,first and last source signatures,PASS
ch02-b036,2,Application 1: Fast Integer Multiplication (Karatsuba Algorithm),program-code,chapters/02-Divide-and-Conquer.qmd,1930-1964,YES,120,120,YES,YES,YES,first and last source signatures,PASS
ch02-b037,2,Application 2: Closest Pair of Points,program-code,chapters/02-Divide-and-Conquer.qmd,1990-2002,YES,121,123,YES,YES,YES,first and last source signatures,PASS
ch02-b038,2,Application 2: Closest Pair of Points,program-code,chapters/02-Divide-and-Conquer.qmd,2006-2101,YES,121,123,YES,YES,YES,first and last source signatures,PASS
ch02-b039,2,Application 3: Matrix Multiplication (Strassen's Algorithm),program-code,chapters/02-Divide-and-Conquer.qmd,2127-2139,YES,123,456,YES,YES,YES,first and last source signatures,PASS
ch02-b040,2,Application 4: Fast Fourier Transform (FFT),program-code,chapters/02-Divide-and-Conquer.qmd,2201-2239,YES,51,125,YES,YES,YES,first and last source signatures,PASS
ch02-b041,2,Building a Production-Quality Sorting Library,program-code,chapters/02-Divide-and-Conquer.qmd,2257-2460,YES,126,129,YES,YES,YES,first and last source signatures,PASS
ch02-b042,2,Performance Benchmarking,program-code,chapters/02-Divide-and-Conquer.qmd,2466-2611,YES,129,132,YES,YES,YES,first and last source signatures,PASS
ch02-b043,2,Common Implementation Pitfalls,program-code,chapters/02-Divide-and-Conquer.qmd,2653-2663,YES,133,133,YES,YES,YES,first and last source signatures,PASS
ch02-b044,2,Common Implementation Pitfalls,program-code,chapters/02-Divide-and-Conquer.qmd,2669-2677,YES,133,133,YES,YES,YES,first and last source signatures,PASS
ch02-b045,2,Common Implementation Pitfalls,program-code,chapters/02-Divide-and-Conquer.qmd,2683-2693,YES,133,133,YES,YES,YES,first and last source signatures,PASS
ch02-b046,2,Common Implementation Pitfalls,program-code,chapters/02-Divide-and-Conquer.qmd,2699-2707,YES,133,133,YES,YES,YES,first and last source signatures,PASS
ch02-b047,2,Parallel Divide and Conquer,program-code,chapters/02-Divide-and-Conquer.qmd,2719-2760,YES,134,134,YES,YES,YES,first and last source signatures,PASS
ch02-b048,2,Cache-Oblivious Algorithms,program-code,chapters/02-Divide-and-Conquer.qmd,2779-2798,YES,135,135,YES,YES,YES,first and last source signatures,PASS
ch02-b049,2,When to Use Each Algorithm,algorithm,chapters/02-Divide-and-Conquer.qmd,2888-2903,YES,138,138,YES,YES,YES,first and last source signatures,PASS
ch02-b050,2,Programming Problems,program-code,chapters/02-Divide-and-Conquer.qmd,3019-3026,YES,141,141,YES,YES,YES,first and last source signatures,PASS
ch02-b051,2,Programming Problems,program-code,chapters/02-Divide-and-Conquer.qmd,3042-3058,YES,141,141,YES,YES,YES,first and last source signatures,PASS
ch02-b052,2,Programming Problems,program-code,chapters/02-Divide-and-Conquer.qmd,3068-3083,YES,142,275,YES,YES,YES,first and last source signatures,PASS
ch02-b053,2,Programming Problems,program-code,chapters/02-Divide-and-Conquer.qmd,3093-3103,YES,142,142,YES,YES,YES,first and last source signatures,PASS
ch02-b054,2,Challenge Problems,program-code,chapters/02-Divide-and-Conquer.qmd,3121-3136,YES,143,143,YES,YES,YES,first and last source signatures,PASS
ch02-b055,2,Challenge Problems,program-code,chapters/02-Divide-and-Conquer.qmd,3150-3166,YES,143,143,YES,YES,YES,first and last source signatures,PASS
ch03-b001,3,Core Heap Operations,program-code,chapters/03-Data-Structures-for-Efficiency.qmd,120-231,YES,149,153,YES,YES,YES,first and last source signatures,PASS
ch03-b002,3,Advanced Heap Operations,program-code,chapters/03-Data-Structures-for-Efficiency.qmd,264-328,YES,152,153,YES,YES,YES,first and last source signatures,PASS
ch03-b003,3,Application 1: K Largest Elements,program-code,chapters/03-Data-Structures-for-Efficiency.qmd,334-376,YES,153,154,YES,YES,YES,first and last source signatures,PASS
ch03-b004,3,Application 2: Median Maintenance,program-code,chapters/03-Data-Structures-for-Efficiency.qmd,380-419,YES,154,155,YES,YES,YES,first and last source signatures,PASS
ch03-b005,3,The Balance Problem,technical-other,chapters/03-Data-Structures-for-Efficiency.qmd,431-446,YES,155,176,YES,YES,YES,first and last source signatures,PASS
ch03-b006,3,The Balance Problem,text-diagram,chapters/03-Data-Structures-for-Efficiency.qmd,450-459,YES,155,176,YES,YES,YES,first and last source signatures,PASS
ch03-b007,3,AVL Tree Implementation,program-code,chapters/03-Data-Structures-for-Efficiency.qmd,471-666,YES,156,516,YES,YES,YES,first and last source signatures,PASS
ch03-b008,3,Red-Black Trees: A Different Balance,program-code,chapters/03-Data-Structures-for-Efficiency.qmd,687-832,YES,160,162,YES,YES,YES,first and last source signatures,PASS
ch03-b009,3,Hash Function Design,program-code,chapters/03-Data-Structures-for-Efficiency.qmd,858-985,YES,163,279,YES,YES,YES,first and last source signatures,PASS
ch03-b010,3,Strategy 2: Open Addressing,program-code,chapters/03-Data-Structures-for-Efficiency.qmd,1008-1090,YES,166,278,YES,YES,YES,first and last source signatures,PASS
ch03-b011,3,Cuckoo Hashing - Worst-Case $O(1)$ Lookup,program-code,chapters/03-Data-Structures-for-Efficiency.qmd,1096-1173,YES,168,169,YES,YES,YES,first and last source signatures,PASS
ch03-b012,3,Consistent Hashing - Distributed Systems,program-code,chapters/03-Data-Structures-for-Efficiency.qmd,1177-1237,YES,169,170,YES,YES,YES,first and last source signatures,PASS
ch03-b013,3,Method 1: Aggregate Analysis,program-code,chapters/03-Data-Structures-for-Efficiency.qmd,1259-1297,YES,171,171,YES,YES,YES,first and last source signatures,PASS
ch03-b014,3,Method 2: Accounting Method,program-code,chapters/03-Data-Structures-for-Efficiency.qmd,1303-1317,YES,172,172,YES,YES,YES,first and last source signatures,PASS
ch03-b015,3,Method 3: Potential Method,program-code,chapters/03-Data-Structures-for-Efficiency.qmd,1323-1342,YES,172,172,YES,YES,YES,first and last source signatures,PASS
ch03-b016,3,Union-Find: Amortization in Action,program-code,chapters/03-Data-Structures-for-Efficiency.qmd,1346-1399,YES,172,173,YES,YES,YES,first and last source signatures,PASS
ch03-b017,3,Fibonacci Heaps - Theoretical Optimality,program-code,chapters/03-Data-Structures-for-Efficiency.qmd,1409-1500,YES,174,175,YES,YES,YES,first and last source signatures,PASS
ch03-b018,3,Skip Lists - Probabilistic Balance,program-code,chapters/03-Data-Structures-for-Efficiency.qmd,1504-1590,YES,31,177,YES,YES,YES,first and last source signatures,PASS
ch03-b019,3,Bloom Filters - Space-Efficient Membership,program-code,chapters/03-Data-Structures-for-Efficiency.qmd,1594-1661,YES,169,178,YES,YES,YES,first and last source signatures,PASS
ch03-b020,3,Building a Production-Ready Library,program-code,chapters/03-Data-Structures-for-Efficiency.qmd,1669-1680,YES,179,179,YES,YES,YES,first and last source signatures,PASS
ch03-b021,3,Comprehensive Testing Suite,program-code,chapters/03-Data-Structures-for-Efficiency.qmd,1684-1794,YES,179,181,YES,YES,YES,first and last source signatures,PASS
ch03-b022,3,Performance Benchmarking Framework,program-code,chapters/03-Data-Structures-for-Efficiency.qmd,1798-1921,YES,181,529,YES,YES,YES,first and last source signatures,PASS
ch03-b023,3,Real-World Application: LRU Cache,program-code,chapters/03-Data-Structures-for-Efficiency.qmd,1925-2045,YES,183,185,YES,YES,YES,first and last source signatures,PASS
ch03-b024,3,Implementation Problems,program-code,chapters/03-Data-Structures-for-Efficiency.qmd,2063-2075,YES,186,186,YES,YES,YES,first and last source signatures,PASS
ch03-b025,3,Implementation Problems,program-code,chapters/03-Data-Structures-for-Efficiency.qmd,2079-2091,YES,186,186,YES,YES,YES,first and last source signatures,PASS
ch03-b026,3,Implementation Problems,program-code,chapters/03-Data-Structures-for-Efficiency.qmd,2095-2107,YES,187,187,YES,YES,YES,first and last source signatures,PASS
ch04-b001,4,Implementation and Proof,program-code,chapters/04-Greedy-Algorithms.qmd,163-234,YES,193,194,YES,YES,YES,first and last source signatures,PASS
ch04-b002,4,Weighted Activity Selection,program-code,chapters/04-Greedy-Algorithms.qmd,240-272,YES,194,195,YES,YES,YES,first and last source signatures,PASS
ch04-b003,4,Interval Partitioning,program-code,chapters/04-Greedy-Algorithms.qmd,278-352,YES,195,340,YES,YES,YES,first and last source signatures,PASS
ch04-b004,4,Building the Huffman Tree,program-code,chapters/04-Greedy-Algorithms.qmd,368-559,YES,52,200,YES,YES,YES,first and last source signatures,PASS
ch04-b005,4,Example: Compressing Text,program-code,chapters/04-Greedy-Algorithms.qmd,563-598,YES,200,201,YES,YES,YES,first and last source signatures,PASS
ch04-b006,4,Kruskal's Algorithm - Edge-Centric Greedy,program-code,chapters/04-Greedy-Algorithms.qmd,617-706,YES,201,203,YES,YES,YES,first and last source signatures,PASS
ch04-b007,4,Prim's Algorithm - Vertex-Centric Greedy,program-code,chapters/04-Greedy-Algorithms.qmd,710-824,YES,203,205,YES,YES,YES,first and last source signatures,PASS
ch04-b008,4,MST Properties and Proofs,program-code,chapters/04-Greedy-Algorithms.qmd,828-884,YES,205,348,YES,YES,YES,first and last source signatures,PASS
ch04-b009,4,Single-Source Shortest Paths,program-code,chapters/04-Greedy-Algorithms.qmd,894-1093,YES,206,210,YES,YES,YES,first and last source signatures,PASS
ch04-b010,4,Common Pitfalls,program-code,chapters/04-Greedy-Algorithms.qmd,1101-1193,YES,210,212,YES,YES,YES,first and last source signatures,PASS
ch04-b011,4,Proving Greedy Correctness,program-code,chapters/04-Greedy-Algorithms.qmd,1197-1278,YES,212,348,YES,YES,YES,first and last source signatures,PASS
ch04-b012,4,Comprehensive Implementation,program-code,chapters/04-Greedy-Algorithms.qmd,1286-1448,YES,214,216,YES,YES,YES,first and last source signatures,PASS
ch04-b013,4,Testing and Benchmarking,program-code,chapters/04-Greedy-Algorithms.qmd,1452-1569,YES,217,391,YES,YES,YES,first and last source signatures,PASS
ch04-b014,4,Implementation Problems,program-code,chapters/04-Greedy-Algorithms.qmd,1587-1601,YES,219,219,YES,YES,YES,first and last source signatures,PASS
ch04-b015,4,Implementation Problems,program-code,chapters/04-Greedy-Algorithms.qmd,1605-1618,YES,220,220,YES,YES,YES,first and last source signatures,PASS
ch04-b016,4,Implementation Problems,program-code,chapters/04-Greedy-Algorithms.qmd,1622-1636,YES,220,220,YES,YES,YES,first and last source signatures,PASS
ch05-b001,5,Fibonacci: A Cautionary Tale,technical-other,chapters/05-Dynamic-Programming.qmd,78-84,YES,225,225,YES,YES,YES,first and last source signatures,PASS
ch05-b002,5,Fibonacci: A Cautionary Tale,program-code,chapters/05-Dynamic-Programming.qmd,88-112,YES,226,226,YES,YES,YES,first and last source signatures,PASS
ch05-b003,5,Fibonacci: A Cautionary Tale,program-code,chapters/05-Dynamic-Programming.qmd,116-124,YES,226,226,YES,YES,YES,first and last source signatures,PASS
ch05-b004,5,Counting the Catastrophe,technical-other,chapters/05-Dynamic-Programming.qmd,145-151,YES,227,227,YES,YES,YES,first and last source signatures,PASS
ch05-b005,5,Enter Dynamic Programming: Memoization,program-code,chapters/05-Dynamic-Programming.qmd,174-205,YES,228,228,YES,YES,YES,first and last source signatures,PASS
ch05-b006,5,Enter Dynamic Programming: Memoization,program-code,chapters/05-Dynamic-Programming.qmd,215-220,YES,228,228,YES,YES,YES,first and last source signatures,PASS
ch05-b007,5,The Two Fundamental Properties,technical-other,chapters/05-Dynamic-Programming.qmd,241-245,YES,229,229,YES,YES,YES,first and last source signatures,PASS
ch05-b008,5,The Two Fundamental Properties,technical-other,chapters/05-Dynamic-Programming.qmd,251-258,YES,229,234,YES,YES,YES,first and last source signatures,PASS
ch05-b009,5,Tabulation: The Bottom-Up Alternative,program-code,chapters/05-Dynamic-Programming.qmd,266-301,YES,229,290,YES,YES,YES,first and last source signatures,PASS
ch05-b010,5,Tabulation: The Bottom-Up Alternative,technical-other,chapters/05-Dynamic-Programming.qmd,305-316,YES,230,230,YES,YES,YES,first and last source signatures,PASS
ch05-b011,5,Space Optimization: Using Only What You Need,program-code,chapters/05-Dynamic-Programming.qmd,336-359,YES,231,231,YES,YES,YES,first and last source signatures,PASS
ch05-b012,5,A Systematic Approach to DP Problems,technical-other,chapters/05-Dynamic-Programming.qmd,428-437,YES,233,233,YES,YES,YES,first and last source signatures,PASS
ch05-b013,5,A Systematic Approach to DP Problems,technical-other,chapters/05-Dynamic-Programming.qmd,441-447,YES,233,237,YES,YES,YES,first and last source signatures,PASS
ch05-b014,5,Step 1: Characterize the Structure of Optimal Solutions,technical-other,chapters/05-Dynamic-Programming.qmd,468-482,YES,233,234,YES,YES,YES,first and last source signatures,PASS
ch05-b015,5,Step 2: Define the Recurrence Relation Precisely,algorithm,chapters/05-Dynamic-Programming.qmd,490-505,YES,234,234,YES,YES,YES,first and last source signatures,PASS
ch05-b016,5,Step 3: Identify Overlapping Subproblems,technical-other,chapters/05-Dynamic-Programming.qmd,511-527,YES,234,234,YES,YES,YES,first and last source signatures,PASS
ch05-b017,5,Step 4: Implement Bottom-Up (Tabulation),program-code,chapters/05-Dynamic-Programming.qmd,535-580,YES,235,237,YES,YES,YES,first and last source signatures,PASS
ch05-b018,5,Step 4: Implement Bottom-Up (Tabulation),technical-other,chapters/05-Dynamic-Programming.qmd,584-597,YES,236,236,YES,YES,YES,first and last source signatures,PASS
ch05-b019,5,Step 5: Extract the Solution (Which Items to Take),program-code,chapters/05-Dynamic-Programming.qmd,611-649,YES,236,237,YES,YES,YES,first and last source signatures,PASS
ch05-b020,5,Step 5: Extract the Solution (Which Items to Take),technical-other,chapters/05-Dynamic-Programming.qmd,653-672,YES,237,237,YES,YES,YES,first and last source signatures,PASS
ch05-b021,5,Step 6: Optimize Space (When Possible),program-code,chapters/05-Dynamic-Programming.qmd,678-710,YES,237,238,YES,YES,YES,first and last source signatures,PASS
ch05-b022,5,Step 6: Optimize Space (When Possible),program-code,chapters/05-Dynamic-Programming.qmd,714-732,YES,238,238,YES,YES,YES,first and last source signatures,PASS
ch05-b023,5,The Longest Common Subsequence (LCS) Problem,technical-other,chapters/05-Dynamic-Programming.qmd,780-786,YES,239,239,YES,YES,YES,first and last source signatures,PASS
ch05-b024,5,Developing the Solution,technical-other,chapters/05-Dynamic-Programming.qmd,846-851,YES,241,241,YES,YES,YES,first and last source signatures,PASS
ch05-b025,5,Matrix Chain Implementation,program-code,chapters/05-Dynamic-Programming.qmd,861-924,YES,241,242,YES,YES,YES,first and last source signatures,PASS
ch05-b026,5,Tracing Through an Example,program-code,chapters/05-Dynamic-Programming.qmd,928-948,YES,243,243,YES,YES,YES,first and last source signatures,PASS
