candidate_id,chapter,original_line,section,original_claim,phase3_action,source_key,resolution_status
FRESH-028,13,211,**The Limitations**,"**The engineering challenge**: Quantum states are fragile. Noise and ""decoherence"" corrupt calculations. Current quantum computers work for seconds before errors dominate.",GENERALIZED,,RESOLVED
FRESH-029,13,213,**The Limitations**,**Error correction**: Requires ~1000 physical qubits per logical qubit. This is why we're still years from breaking RSA despite having quantum computers today.,GENERALIZED,,RESOLVED
FRESH-030,13,227,**The Concept**,"**The framework** (Lykouris & Vassilvitskii, 2018):",GENERALIZED,,RESOLVED
FRESH-031,13,235,**Learned Index Structures**,"One of the most successful examples: **learned indexes** (Kraska et al., 2018).",GENERALIZED,,RESOLVED
FRESH-032,13,248,**Learned Index Structures**,**Results**: Google reported 3-5x speedup on real database workloads.,GENERALIZED,,RESOLVED
FRESH-033,13,265,**Learned Caching**,"**Results** (Lykouris & Vassilvitskii, 2018): Up to 50% improvement in cache hit rate.",GENERALIZED,,RESOLVED
FRESH-034,13,273,**Learned Optimizers**,"**Learned optimizers** (Marcus & Papaemmanouil, 2018):",GENERALIZED,,RESOLVED
FRESH-035,13,286,**The Theory**,"**Formal results**: For many problems, we now know:",GENERALIZED,,RESOLVED
FRESH-036,13,303,**The Problem**,"Traditional anonymization fails. AOL released ""anonymized"" search logs in 2006—journalists identified specific users within days.",GENERALIZED,,RESOLVED
FRESH-037,13,305,**The Problem**,"Netflix released ""anonymized"" viewing data in 2007—researchers de-anonymized users by correlating with IMDB reviews.",GENERALIZED,,RESOLVED
FRESH-038,13,309,"**Differential Privacy (Dwork et al., 2006)**","#### **Differential Privacy (Dwork et al., 2006)**",SOURCED OR GENERALIZED,primary source in references.bib,RESOLVED
FRESH-039,13,329,**Real-World Deployment**,**U.S. Census Bureau (2020)**: First census using differential privacy. Injected noise to protect individuals while maintaining statistical accuracy.,SOURCED OR GENERALIZED,primary source in references.bib,RESOLVED
FRESH-040,13,331,**Real-World Deployment**,**Apple (2016-)**: Uses local differential privacy for:,SOURCED OR GENERALIZED,primary source in references.bib,RESOLVED
FRESH-041,13,336,**Real-World Deployment**,**Google (2014-)**: RAPPOR (Randomized Aggregatable Privacy-Preserving Ordinal Response) for Chrome telemetry.,SOURCED OR GENERALIZED,primary source in references.bib,RESOLVED
FRESH-042,13,365,**The Cost of Privacy**,**Current research**:,GENERALIZED,,RESOLVED
FRESH-043,13,377,**How Bias Creeps In**,"- Example: Amazon's hiring algorithm (discontinued 2018) penalized résumés mentioning ""women's"" (as in ""women's chess club"")",GENERALIZED,,RESOLVED
FRESH-044,13,381,**How Bias Creeps In**,"- Example: Facial recognition works worse for darker skin tones (Buolamwini & Gebru, 2018)",GENERALIZED,,RESOLVED
FRESH-045,13,410,**Defining Fairness**,"**Impossibility result** (Kleinberg et al., 2016): You can't satisfy calibration, equal opportunity, AND balance (equal positive predictive value) simultaneously unless base rates are equal or the classifier is perfect.",GENERALIZED,,RESOLVED
FRESH-046,13,417,**Fairness Algorithms**,"- Reweighing (Kamiran & Calders, 2012): Weight training examples to balance groups",GENERALIZED,,RESOLVED
FRESH-047,13,418,**Fairness Algorithms**,"- Learning fair representations (Zemel et al., 2013): Transform features to remove bias",GENERALIZED,,RESOLVED
FRESH-048,13,421,**Fairness Algorithms**,- Zafar et al. (2017): Add fairness constraints to loss function,GENERALIZED,,RESOLVED
FRESH-049,13,422,**Fairness Algorithms**,- Agarwal et al. (2018): Reduction approach—convert any ML algorithm to fair version,GENERALIZED,,RESOLVED
FRESH-050,13,425,**Fairness Algorithms**,- Hardt et al. (2016): Calibrate thresholds per group to achieve equal opportunity,GENERALIZED,,RESOLVED
FRESH-051,13,426,**Fairness Algorithms**,- Pleiss et al. (2017): Isotonic regression for calibration across groups,GENERALIZED,,RESOLVED
FRESH-052,13,432,**Real-World Examples**,- ProPublica investigation (2016): Found racial disparities in false positive rates,GENERALIZED,,RESOLVED
FRESH-053,13,437,**Real-World Examples**,- Amazon shut down AI recruiting tool (2018) due to gender bias,GENERALIZED,,RESOLVED
FRESH-054,13,442,**Real-World Examples**,- Apple Card investigation (2019): Appeared to give men higher limits than women,GENERALIZED,,RESOLVED
FRESH-055,13,446,**Current Research**,#### **Current Research**,GENERALIZED,,RESOLVED
FRESH-056,13,452,**Current Research**,**Feedback loops**: Biased predictions → biased actions → biased future data → more biased predictions. How to break the cycle?,GENERALIZED,,RESOLVED
FRESH-057,13,462,Deep Learning: The Revolution,"In 2012, a neural network called AlexNet won the ImageNet competition by a shocking margin. It started the deep learning revolution that gave us:",GENERALIZED,,RESOLVED
FRESH-058,13,466,Deep Learning: The Revolution,- ChatGPT and Large Language Models,GENERALIZED,,RESOLVED
FRESH-059,13,480,**Backpropagation: The Learning Algorithm**,"For n parameters, this requires n forward passes. For a million parameters, that's impossibly slow!",GENERALIZED,,RESOLVED
FRESH-060,13,482,**Backpropagation: The Learning Algorithm**,"**Backpropagation** (Rumelhart et al., 1986): Use the chain rule to compute all gradients in *one* backward pass.",GENERALIZED,,RESOLVED
FRESH-061,13,533,**Modern Optimizers**,**Momentum** (1964): Accelerate in consistent directions,GENERALIZED,,RESOLVED
FRESH-062,13,540,**Modern Optimizers**,"**Adam** (Kingma & Ba, 2014): Adaptive learning rates per parameter",GENERALIZED,,RESOLVED
FRESH-063,13,551,**Modern Optimizers**,"**Current research**: Better optimizers (AdamW, LAMB), understanding why SGD generalizes better than sophisticated methods, adversarial examples.",GENERALIZED,,RESOLVED
FRESH-064,13,555,Transformers: The Architecture Revolution,"In 2017, ""Attention is All You Need"" (Vaswani et al.) introduced Transformers. They now power:",SOURCED OR GENERALIZED,primary source in references.bib,RESOLVED
FRESH-065,13,556,Transformers: The Architecture Revolution,"- GPT (ChatGPT, GPT-4)",GENERALIZED,,RESOLVED
FRESH-066,13,557,Transformers: The Architecture Revolution,- BERT (Google Search),GENERALIZED,,RESOLVED
FRESH-067,13,614,**Multi-Head Attention**,**Typical setup**: 8-16 heads. GPT-3 uses 96 heads!,GENERALIZED,,RESOLVED
FRESH-068,13,652,**The Full Transformer Architecture**,"**Scaling laws** (Kaplan et al., 2020): Performance improves smoothly with:",GENERALIZED,,RESOLVED
FRESH-069,13,660,**The Full Transformer Architecture**,- GPT-2 (2019): 1.5B parameters,GENERALIZED,,RESOLVED
FRESH-070,13,661,**The Full Transformer Architecture**,- GPT-3 (2020): 175B parameters,GENERALIZED,,RESOLVED
FRESH-071,13,662,**The Full Transformer Architecture**,- GPT-4 (2023): ~1.7T parameters (estimated),REMOVED RELATIVE DATE,,RESOLVED
FRESH-072,13,670,**Efficient Transformers**,"**Sparse attention** (Child et al., 2019): Only attend to subset of positions",GENERALIZED,,RESOLVED
FRESH-073,13,675,**Efficient Transformers**,"**Linformer** (Wang et al., 2020): Project keys/values to lower dimension",GENERALIZED,,RESOLVED
FRESH-074,13,678,**Efficient Transformers**,"**Flash Attention** (Dao et al., 2022): Optimize memory access patterns",GENERALIZED,,RESOLVED
FRESH-075,13,682,**Efficient Transformers**,**Current state**: Can now handle sequences up to 100k+ tokens (vs. 512 in original Transformer).,GENERALIZED,,RESOLVED
FRESH-076,13,687,Reinforcement Learning: Learning by Doing,- AlphaGo beating world champion (2016),SOURCED OR GENERALIZED,primary source in references.bib,RESOLVED
FRESH-077,13,688,Reinforcement Learning: Learning by Doing,- OpenAI Five beating Dota 2 pros (2018),GENERALIZED,,RESOLVED
FRESH-078,13,689,Reinforcement Learning: Learning by Doing,- AlphaStar mastering StarCraft II (2019),GENERALIZED,,RESOLVED
FRESH-079,13,690,Reinforcement Learning: Learning by Doing,- ChatGPT's human-like responses (2022),GENERALIZED,,RESOLVED
FRESH-080,13,714,**The RL Framework**,**Intuitive meaning**: Value of state = immediate reward + discounted future value.,GENERALIZED,,RESOLVED
FRESH-081,13,718,**Q-Learning: The Classic Algorithm**,"**Q-learning** (Watkins, 1989): Learn Q-function through experience",GENERALIZED,,RESOLVED
FRESH-082,13,730,**Q-Learning: The Classic Algorithm**,**The update rule**: Move Q-value toward observed reward + future value.,GENERALIZED,,RESOLVED
FRESH-083,13,738,**Deep Q-Networks (DQN)**,"**The scaling problem**: Q-learning stores Q(s,a) in table. For Atari games: 10^9 states × 18 actions = 18 billion entries!",GENERALIZED,,RESOLVED
FRESH-084,13,740,**Deep Q-Networks (DQN)**,"**Solution** (Mnih et al., 2015): Approximate Q with neural network",GENERALIZED,,RESOLVED
FRESH-085,13,767,**Policy Gradient Methods**,"**REINFORCE** (Williams, 1992): Increase probability of actions that led to high reward",GENERALIZED,,RESOLVED
FRESH-086,13,786,**Proximal Policy Optimization (PPO)**,"**PPO** (Schulman et al., 2017): Current state-of-the-art policy gradient method.",GENERALIZED,,RESOLVED
FRESH-087,13,801,**Proximal Policy Optimization (PPO)**,- OpenAI Five (Dota 2),GENERALIZED,,RESOLVED
FRESH-088,13,803,**Proximal Policy Optimization (PPO)**,- ChatGPT (RLHF: Reinforcement Learning from Human Feedback),GENERALIZED,,RESOLVED
FRESH-089,13,832,**AlphaGo: Putting It All Together**,- AlphaGo beat Lee Sedol 4-1 (2016),SOURCED OR GENERALIZED,primary source in references.bib,RESOLVED
FRESH-090,13,833,**AlphaGo: Putting It All Together**,"- AlphaGo Zero learned from scratch, beat AlphaGo 100-0 (2017)",SOURCED OR GENERALIZED,primary source in references.bib,RESOLVED
FRESH-091,13,834,**AlphaGo: Putting It All Together**,- AlphaZero generalized to chess and shogi (2017),GENERALIZED,,RESOLVED
FRESH-092,13,840,Big Data Algorithms: Computing at Planetary Scale,"When Google processes 8.5 billion searches per day, Facebook handles 4 petabytes of new data daily, and Netflix streams 250 million hours of video daily, traditional algorithms break down.",GENERALIZED,,RESOLVED
FRESH-093,13,850,**The Problem**,**Reality in 2004** (when Google invented MapReduce):,SOURCED OR GENERALIZED,primary source in references.bib,RESOLVED
FRESH-094,13,901,**The MapReduce Paradigm**,"- Google runs MapReduce on 100,000+ machines",SOURCED OR GENERALIZED,primary source in references.bib,RESOLVED
FRESH-095,13,915,**MapReduce Algorithms**,**Inverted index** (Google Search):,GENERALIZED,,RESOLVED
FRESH-096,13,942,**Limitations and Evolution**,**Apache Spark** (2012): In-memory successor,GENERALIZED,,RESOLVED
FRESH-097,13,947,**Limitations and Evolution**,**Apache Flink** (2014): True streaming,GENERALIZED,,RESOLVED
FRESH-098,13,968,**Count-Min Sketch**,"**Count-Min Sketch** (Cormode & Muthukrishnan, 2005):",GENERALIZED,,RESOLVED
FRESH-099,13,991,**Count-Min Sketch**,**Real deployment**: Google uses Count-Min Sketch in their data centers for monitoring.,GENERALIZED,,RESOLVED
FRESH-100,13,999,**HyperLogLog**,"**HyperLogLog** (Flajolet et al., 2007):",GENERALIZED,,RESOLVED
FRESH-101,13,1028,**Bloom Filters**,"**Bloom Filter** (Bloom, 1970):",GENERALIZED,,RESOLVED
FRESH-102,13,1056,**Bloom Filters**,**Chrome's Safe Browsing**: Uses Bloom filter to check 1M+ malicious URLs locally before querying Google's servers.,GENERALIZED,,RESOLVED
FRESH-103,13,1064,**Pregel: Thinking Like a Vertex**,"**Pregel** (Google, 2010): Framework for graph algorithms on billions of nodes.",GENERALIZED,,RESOLVED
FRESH-104,13,1100,**Pregel: Thinking Like a Vertex**,"**Deployed at**: Google (Pregel), Facebook (Apache Giraph), Twitter (Cassovary)",GENERALIZED,,RESOLVED
FRESH-105,13,1124,**The Problem That Seemed Impossible**,"Before 1976, secret communication required shared secret keys. If Alice and Bob wanted secure communication:",GENERALIZED,,RESOLVED
FRESH-106,13,1131,**The Problem That Seemed Impossible**,"**The miracle**: **Public-key cryptography** (Diffie-Hellman 1976, RSA 1977)",GENERALIZED,,RESOLVED
FRESH-107,13,1141,**RSA: The Algorithm That Secured the Internet**,"**RSA** (Rivest, Shamir, Adleman, 1977) is based on a simple idea: multiplying primes is easy, factoring is hard.",GENERALIZED,,RESOLVED
FRESH-108,13,1168,**RSA: The Algorithm That Secured the Internet**,For 2048-bit N: Would take millions of years with current computers.,GENERALIZED,,RESOLVED
FRESH-109,13,1172,**The Quantum Threat to RSA**,**Shor's algorithm** (1994): Quantum computer can factor N in polynomial time: O((log N)³).,GENERALIZED,,RESOLVED
FRESH-110,13,1175,**The Quantum Threat to RSA**,- 2012: Factor 21 using quantum computer,GENERALIZED,,RESOLVED
FRESH-111,13,1176,**The Quantum Threat to RSA**,- 2019: Factor 35 (still pathetic),GENERALIZED,,RESOLVED
FRESH-112,13,1177,**The Quantum Threat to RSA**,- 2024: Still nowhere near breaking real RSA,GENERALIZED,,RESOLVED
FRESH-113,13,1178,**The Quantum Threat to RSA**,- **But**: Cryptographically relevant quantum computers might arrive by 2030-2035,GENERALIZED,,RESOLVED
FRESH-114,13,1180,**The Quantum Threat to RSA**,**The response**: NIST's post-quantum cryptography standardization (completed 2024).,UPDATED AND SOURCED,nist2024pqc,RESOLVED
FRESH-115,13,1198,**The Byzantine Generals Problem**,"**Byzantine Generals Problem** (Lamport, 1982):",GENERALIZED,,RESOLVED
FRESH-116,13,1208,**Bitcoin's Proof-of-Work**,#### **Bitcoin's Proof-of-Work**,GENERALIZED,,RESOLVED
FRESH-117,13,1228,**Bitcoin's Proof-of-Work**,**Why this secures Bitcoin**:,GENERALIZED,,RESOLVED
FRESH-118,13,1241,**The Energy Cost**,**Current state** (2024):,GENERALIZED,,RESOLVED
FRESH-119,13,1242,**The Energy Cost**,- Bitcoin network: ~400 EH/s (exahashes per second = 10^18),GENERALIZED,,RESOLVED
FRESH-120,13,1250,**Alternative Consensus: Proof-of-Stake**,"**Proof-of-Stake** (Ethereum 2.0, 2022): Validators chosen based on stake (how much cryptocurrency they hold), not computational work.",GENERALIZED,,RESOLVED
FRESH-121,13,1267,**Alternative Consensus: Proof-of-Stake**,"**Results**: Ethereum's ""Merge"" (Sept 2022) reduced energy consumption from 112 TWh/year to 0.01 TWh/year.",GENERALIZED,,RESOLVED
